DATE,MONTH,SEX,CLIENT GROUP,MEASURE,VALUE
2017-07-31,Jul17,Female,Number of indigenous clients,,1349.0
2017-07-31,Jul17,Female,Number of clients who have experienced family and domestic violence,,1994.0
2017-07-31,Jul17,Female,Number of clients with a current mental health issue,,906.0
2017-07-31,Jul17,Female,Number of clients with problematic drug or alcohol issues,,371.0
2017-07-31,Jul17,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,51.0
2017-07-31,Jul17,Female,Number of nights in short-term/emergency accommodation,,8518.0
2017-07-31,Jul17,Female,Number of clients accommodated in short-term/emergency accommodation,,836.0
2017-07-31,Jul17,Female,Number of clients who are homeless,,1256.0
2017-07-31,Jul17,Female,Number of clients who are at risk of homelessness,,2231.0
2017-07-31,Jul17,Male,Number of indigenous clients,,735.0
2017-07-31,Jul17,Male,Number of clients who have experienced family and domestic violence,,524.0
2017-07-31,Jul17,Male,Number of clients with a current mental health issue,,519.0
2017-07-31,Jul17,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,15.0
2017-07-31,Jul17,Male,Number of clients with problematic drug or alcohol issues,,320.0
2017-07-31,Jul17,Male,Number of clients who are at risk of homelessness,,976.0
2017-07-31,Jul17,Male,Number of clients who are homeless,,996.0
2017-07-31,Jul17,Male,Number of clients accommodated in short-term/emergency accommodation,,555.0
2017-07-31,Jul17,Male,Number of nights in short-term/emergency accommodation,,6504.0
2017-08-31,Aug17,Male,Number of indigenous clients,,702.0
2017-08-31,Aug17,Female,Number of clients who are at risk of homelessness,,2257.0
2017-08-31,Aug17,Female,Number of clients who are homeless,,1325.0
2017-08-31,Aug17,Female,Number of clients accommodated in short-term/emergency accommodation,,895.0
2017-08-31,Aug17,Female,Number of nights in short-term/emergency accommodation,,9766.0
2017-08-31,Aug17,Female,Number of clients with a current mental health issue,,957.0
2017-08-31,Aug17,Female,Number of clients with problematic drug or alcohol issues,,392.0
2017-08-31,Aug17,Female,Number of clients who have experienced family and domestic violence,,2081.0
2017-08-31,Aug17,Female,Number of indigenous clients,,1447.0
2017-08-31,Aug17,Male,Number of clients who have experienced family and domestic violence,,525.0
2017-08-31,Aug17,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,65.0
2017-08-31,Aug17,Male,Number of clients with a current mental health issue,,547.0
2017-08-31,Aug17,Male,Number of clients with problematic drug or alcohol issues,,351.0
2017-08-31,Aug17,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,20.0
2017-08-31,Aug17,Male,Number of clients who are at risk of homelessness,,916.0
2017-08-31,Aug17,Male,Number of clients who are homeless,,1028.0
2017-08-31,Aug17,Male,Number of clients accommodated in short-term/emergency accommodation,,491.0
2017-08-31,Aug17,Male,Number of nights in short-term/emergency accommodation,,6677.0
2017-09-30,Sep17,Female,Number of clients who are homeless,,1251.0
2017-09-30,Sep17,Male,Number of clients who have experienced family and domestic violence,,475.0
2017-09-30,Sep17,Male,Number of indigenous clients,,700.0
2017-09-30,Sep17,Female,Number of clients who are at risk of homelessness,,2112.0
2017-09-30,Sep17,Female,Number of clients accommodated in short-term/emergency accommodation,,827.0
2017-09-30,Sep17,Male,Number of clients with a current mental health issue,,513.0
2017-09-30,Sep17,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,33.0
2017-09-30,Sep17,Female,Number of clients with problematic drug or alcohol issues,,365.0
2017-09-30,Sep17,Female,Number of clients with a current mental health issue,,890.0
2017-09-30,Sep17,Female,Number of clients who have experienced family and domestic violence,,1936.0
2017-09-30,Sep17,Female,Number of indigenous clients,,1350.0
2017-09-30,Sep17,Female,Number of nights in short-term/emergency accommodation,,9187.0
2017-09-30,Sep17,Male,Number of clients with problematic drug or alcohol issues,,337.0
2017-09-30,Sep17,Male,Number of nights in short-term/emergency accommodation,,6356.0
2017-09-30,Sep17,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,9.0
2017-09-30,Sep17,Male,Number of clients who are at risk of homelessness,,894.0
2017-09-30,Sep17,Male,Number of clients who are homeless,,994.0
2017-09-30,Sep17,Male,Number of clients accommodated in short-term/emergency accommodation,,492.0
2017-10-31,Oct17,Female,Number of clients who are homeless,,1349.0
2017-10-31,Oct17,Male,Number of clients who have experienced family and domestic violence,,554.0
2017-10-31,Oct17,Male,Number of indigenous clients,,741.0
2017-10-31,Oct17,Female,Number of clients who are at risk of homelessness,,2218.0
2017-10-31,Oct17,Female,Number of clients accommodated in short-term/emergency accommodation,,891.0
2017-10-31,Oct17,Male,Number of clients with a current mental health issue,,503.0
2017-10-31,Oct17,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,43.0
2017-10-31,Oct17,Female,Number of clients with problematic drug or alcohol issues,,393.0
2017-10-31,Oct17,Female,Number of clients with a current mental health issue,,944.0
2017-10-31,Oct17,Female,Number of clients who have experienced family and domestic violence,,2094.0
2017-10-31,Oct17,Female,Number of indigenous clients,,1466.0
2017-10-31,Oct17,Female,Number of nights in short-term/emergency accommodation,,9758.0
2017-10-31,Oct17,Male,Number of clients with problematic drug or alcohol issues,,331.0
2017-10-31,Oct17,Male,Number of nights in short-term/emergency accommodation,,7071.0
2017-10-31,Oct17,Male,Number of clients financially assisted with payments for short term/emergency accommodation,,15.0
2017-10-31,Oct17,Male,Number of clients who are at risk of homelessness,,950.0
2017-10-31,Oct17,Male,Number of clients who are homeless,,1025.0
2017-10-31,Oct17,Male,Number of clients accommodated in short-term/emergency accommodation,,541.0
2017-11-30,Nov17,Male,Number of clients who have experienced family and domestic violence,,529.0
2017-11-30,Nov17,Male,Number of indigenous clients,,697.0
2017-11-30,Nov17,Female,Number of clients who are at risk of homelessness,,2233.0
2017-11-30,Nov17,Female,Number of clients who are homeless,,1324.0
2017-11-30,Nov17,Female,Number of clients accommodated in short-term/emergency accommodation,,900.0
2017-11-30,Nov17,Female,Number of clients with problematic drug or alcohol issues,,339.0
2017-11-30,Nov17,Female,Number of clients financially assisted with payments for short term/emergency accommodation,,51.0
2017-11-30,Nov17,Female,Number of clients with a current mental health issue,,939.0
2017-11-30,Nov17,Female,Number of clients who have experienced family and domestic violence,,2074.0
2017-11-30,Nov17,Male,Number of clients with a current mental health issue,,500.0
2017-11-30,Nov17,Female,Number of nights in short-term/emergency accommodation,,9615.0
2017-11-30,Nov17,Female,Number of indigenous clients,,1472.0
2017-11-30,Nov17,Male,Number of clients with problematic drug or alcohol issues,,348.0
