CED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
CED501,90571,90975,181547,6748,6204,12956,13790,13096,26888,5919,5488,11407,5752,5382,11132,12933,13245,26178,12883,13219,26097,11702,11859,23560,9784,9901,19691,6453,7174,13616,3570,3951,7519,1033,1466,2499,83898,87423,171316,6674,3553,10226,2865,2444,5304,58,61,124,112,75,187,3033,2585,5620,57256,57170,114433,27604,29619,57225,73778,75410,149187,9666,11198,20865,74001,76177,150175,1843,1678,3523,12907,12259,25164,4070,4026,8097,1269,1595,2863,1998,4173,6169,31724,36778,68495,8688,8426,17114,18500,16953,35458,3670,3488,7160,1608,1690,3297,312,278,586,80549,85566,166111,5708,3931,9638
CED502,90718,91615,182330,7081,6798,13880,13939,13099,27036,5412,5243,10650,5773,5587,11357,13049,14034,27081,14844,14600,29443,11100,10672,21774,8697,9131,17836,6621,7289,13916,3248,3728,6976,940,1437,2379,86522,88946,175478,4193,2664,6856,2559,2723,5276,50,37,88,48,55,106,2657,2815,5472,50206,49784,99993,35436,37299,72732,58002,58098,116105,27183,28524,55709,72640,72716,145358,1866,1795,3662,12962,12165,25128,3903,3997,7895,1850,2098,3946,2656,4482,7135,35921,39219,75142,7076,6997,14078,15303,14740,30044,3505,3202,6701,2186,2303,4488,912,1043,1954,84529,86726,171248,3845,4055,7893
CED503,78193,81752,159946,4776,4638,9410,10644,10336,20979,4627,4599,9221,3996,4013,8011,8367,9309,17675,9227,9854,19084,9837,10309,20147,9973,10745,20723,9539,10067,19607,5629,5780,11411,1571,2108,3679,71209,77282,148494,6984,4466,11453,2073,2118,4192,47,53,100,43,49,90,2166,2214,4385,53918,55870,109788,19353,21832,41184,67680,71317,138997,5229,6319,11547,67286,71188,138477,1313,1234,2543,10009,9684,19691,3151,3386,6538,880,1215,2096,1281,2988,4268,25606,30783,56386,7582,8096,15677,18269,17934,36207,4119,3666,7781,2086,1930,4022,221,170,386,69631,75805,145431,3757,3781,7537
CED504,89247,90932,180177,5669,5483,11148,11252,10361,21615,5106,4881,9985,5990,5609,11595,13385,13440,26823,12690,12680,25369,10984,11288,22277,10324,11010,21335,8118,9184,17297,4419,5066,9489,1300,1937,3231,85380,88189,173569,3872,2736,6607,1710,1968,3681,42,35,78,51,55,108,1802,2066,3868,49689,49506,99194,35051,37414,72464,54224,54019,108238,30105,32335,62443,73327,75002,148328,1469,1464,2929,10413,9598,20016,3886,3888,7778,2228,2371,4593,2991,4572,7561,40088,42100,82182,6622,6307,12932,13621,13740,27360,3157,3227,6387,3068,3917,6984,1347,1731,3078,83936,86403,170334,3326,3486,6818
CED505,83620,89421,173040,4423,4184,8608,10912,10259,21166,5673,5442,11116,5193,5501,10697,11275,12214,23487,11353,12230,23589,11040,11890,22932,9334,10041,19378,7722,8655,16374,4842,5817,10662,1852,3173,5030,78664,85421,164089,4955,3996,8951,612,623,1234,17,19,33,8,13,20,635,654,1290,52905,55950,108861,27045,30086,57136,66776,70133,136913,13019,15672,28698,70798,75582,146376,1451,1373,2820,10522,9915,20438,5007,4950,9958,2973,3306,6278,3276,4689,7965,51331,56056,107391,4058,4093,8153,6311,7897,14201,1895,1967,3865,754,1087,1844,156,211,365,75807,82037,157840,5834,6811,12643
CED506,104921,96523,201445,6791,6343,13132,14322,13617,27935,5721,5151,10871,5547,5073,10620,14976,14497,29474,15144,13907,29047,14618,12916,27532,13697,11950,25648,9150,8100,17253,3985,3715,7701,968,1268,2233,96534,90256,186787,8384,6270,14662,14702,14820,29513,241,198,432,380,367,749,15315,15381,30699,72910,68011,140928,16627,16728,33351,77817,73339,151157,10692,11201,21894,82181,77803,159984,1489,1435,2922,12195,11557,23753,3036,2978,6013,549,720,1272,1547,3505,5051,30148,34553,64702,9775,8928,18703,21626,16776,38400,4689,3521,8210,2967,2205,5165,512,436,951,81217,81624,162837,60199,33550,93753
CED507,77818,80181,157999,4483,4271,8751,11274,10479,21753,4735,4525,9255,3503,3212,6720,8385,8785,17173,9924,10762,20693,10511,10969,21483,10077,10861,20938,9124,9404,18530,4499,4893,9389,1301,2010,3312,70407,75022,145434,7413,5158,12566,2079,2104,4185,33,27,57,45,44,94,2160,2176,4339,57930,59343,117275,14745,16503,31246,67082,69899,136986,5182,6077,11256,67189,70178,137368,1204,1126,2326,10509,9769,20275,3216,3187,6402,558,721,1276,1210,3074,4279,26137,32119,58263,7387,7647,15033,17859,16519,34377,3648,3050,6695,1863,1748,3603,231,174,409,68135,72991,141124,6694,6099,12787
CED508,81582,85202,166782,5470,5033,10501,10124,9821,19944,4485,4422,8904,4935,5169,10100,11888,12774,24662,12463,12844,25311,11080,11433,22514,9362,10021,19380,6971,7688,14658,3603,4071,7668,1208,1930,3136,76623,81825,158450,4951,3373,8328,1417,1456,2871,31,21,46,30,41,66,1474,1510,2990,51764,53605,105368,25713,28217,53933,62799,64871,127670,14475,16736,31209,69462,72944,142403,1624,1470,3096,9596,9356,18957,3392,3566,6962,1798,2290,4085,2564,4385,6951,39035,44587,83619,6169,5685,11855,11835,11326,23152,2556,2454,5006,1825,2150,3980,361,455,817,75025,80039,155059,4113,4008,8123
CED509,87342,87397,174739,6132,5667,11794,12564,11803,24357,5632,5156,10784,5180,4793,9971,11712,12260,23971,12749,12627,25366,11588,11737,23326,9746,9961,19710,7103,7583,14690,3821,4168,7991,1127,1651,2780,81727,84126,165848,5618,3268,8891,2972,2553,5522,83,45,126,77,47,125,3127,2646,5770,57063,56367,113433,26021,27713,53729,67166,68115,135282,13864,15449,29311,73560,75003,148558,1747,1592,3344,11937,11197,23132,4114,3958,8073,1473,1727,3197,2053,3838,5893,35357,40157,75515,7325,7055,14379,16249,14166,30407,3179,2828,6010,1636,1741,3378,445,500,942,78658,82445,161102,5444,4004,9451
CED510,81170,82942,164113,4476,4146,8616,11377,10762,22143,5484,5034,10523,4894,4302,9197,8010,8136,16143,10551,11210,21760,11510,11932,23435,10774,11711,22482,9078,9564,18638,3892,4287,8175,1131,1868,2995,76335,79922,156259,4833,3021,7852,635,598,1234,33,24,56,18,18,35,688,642,1326,49338,49700,99039,29106,31203,60312,70449,71262,141710,7887,9528,17418,71921,73739,145661,1525,1364,2886,11049,10424,21467,4412,4288,8698,2050,2094,4139,1930,3187,5120,40319,43660,83982,6368,6240,12604,12233,12149,24387,2415,2291,4706,910,1115,2023,139,172,313,75955,79252,155204,2219,2529,4743
