CED_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
CED501,39107,21282,24238,24350,21879,18166,12703,7165,2426,171316,25,33,24,31,25,31,45,34,10,261,3,9,47,30,15,13,23,3,0,148,0,3,5,10,8,17,19,5,0,69,3,12,10,9,22,12,15,5,0,87,0,0,4,5,19,18,9,0,0,58,571,710,704,514,418,389,260,119,37,3719,5,6,9,3,0,13,0,6,0,34,4,7,8,5,7,5,0,0,0,31,0,5,8,5,10,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,587,757,793,582,493,464,318,137,37,4172,615,788,819,614,519,493,359,171,46,4430,39723,22071,25058,24962,22397,18658,13062,7337,2466,175746
CED502,40272,21201,25796,28261,20652,16957,13310,6719,2304,175478,51,22,33,45,22,29,38,29,15,275,6,10,10,4,9,4,13,4,0,53,3,7,11,11,7,12,10,0,0,65,3,0,7,3,9,11,3,6,0,50,0,0,7,0,4,7,3,0,0,17,529,535,545,404,387,327,257,119,74,3180,0,0,0,0,0,5,4,0,0,9,0,0,0,0,6,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,5,0,12,540,563,580,423,420,364,299,141,81,3394,592,588,606,466,441,392,334,166,93,3673,40868,21790,26400,28730,21092,17341,13647,6890,2393,179148
CED503,29760,16141,16220,17545,18404,18734,17627,10545,3503,148494,17,35,23,35,27,63,82,56,28,363,12,8,3,14,8,16,26,0,0,89,13,7,9,7,17,16,32,7,0,113,7,0,3,3,5,14,21,0,0,50,3,0,0,5,5,3,6,6,0,27,555,573,492,406,486,493,438,229,96,3769,0,0,0,0,4,0,14,0,0,28,0,3,3,0,10,0,0,3,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,590,591,520,442,530,555,543,252,96,4113,607,620,539,473,560,620,624,311,118,4483,30369,16766,16768,18020,18967,19354,18252,10854,3626,152970
CED504,32243,20871,25545,24281,21366,20421,16632,9143,3066,173569,31,29,25,27,32,41,40,25,9,257,6,7,5,16,9,8,9,0,0,68,5,9,14,12,12,4,14,4,0,70,0,6,3,6,5,10,4,0,0,27,6,3,0,0,0,0,0,3,0,12,426,490,584,455,371,274,247,153,95,3101,0,0,0,0,0,0,7,0,0,16,3,4,4,0,4,0,0,0,0,16,0,0,0,0,3,3,0,0,0,7,0,0,0,4,0,0,0,0,0,4,452,512,618,493,394,310,284,169,98,3325,477,541,644,520,426,351,321,197,106,3584,32720,21412,26188,24801,21788,20774,16962,9337,3172,177147
CED505,29187,20896,21472,22423,21890,18151,15187,10059,4823,164089,26,23,26,25,27,25,29,26,11,204,15,34,39,33,13,21,19,13,3,186,7,33,46,21,13,25,20,12,4,169,3,3,14,14,14,17,5,3,0,68,3,9,3,4,15,6,9,0,0,41,833,829,835,665,552,567,586,468,230,5567,4,0,8,0,5,14,26,6,5,63,6,8,14,8,5,3,4,0,0,47,8,7,8,4,8,0,0,0,0,37,0,0,0,0,0,0,0,0,0,6,872,928,962,756,620,653,665,500,238,6195,894,950,986,781,640,674,691,520,250,6394,30088,21847,22453,23199,22536,18820,15881,10587,5075,170484
CED506,39568,19826,27213,27122,25077,23176,15604,7109,2081,186787,99,98,102,99,127,117,111,75,19,837,293,105,319,384,351,650,770,94,9,2977,511,91,274,459,450,977,1205,163,4,4137,201,91,329,497,509,844,781,95,3,3349,99,58,151,189,252,473,585,109,0,1921,2095,3395,9610,8877,9584,10058,8515,2739,295,55171,53,29,79,76,80,181,162,30,0,684,43,28,112,89,84,105,44,12,0,515,45,7,15,34,16,39,39,0,0,199,0,0,0,0,0,0,0,0,0,0,3351,3805,10891,10612,11322,13325,12105,3238,312,68964,3452,3899,10988,10711,11444,13443,12217,3315,335,69806,43022,23728,38203,37832,36529,36616,27821,10430,2409,256586
CED507,29734,14871,15684,19096,19634,18591,16190,8538,3097,145434,37,18,39,34,53,73,97,65,18,442,10,14,17,11,10,28,20,4,0,100,16,9,27,17,16,29,44,4,5,171,8,3,22,13,17,39,49,3,0,161,13,5,4,5,26,16,0,3,0,81,710,930,1096,873,909,1309,1047,386,156,7423,3,0,0,5,9,24,14,0,0,59,0,3,12,5,5,3,0,0,0,30,0,3,0,0,0,4,6,0,0,15,0,0,0,0,0,3,5,0,0,7,765,970,1174,940,987,1458,1180,405,163,8045,801,991,1209,972,1040,1531,1283,472,185,8480,30536,15861,16894,20070,20673,20119,17470,9005,3283,153914
CED508,29883,18137,23025,23858,21273,18134,13833,7293,3023,158450,17,10,23,27,20,31,25,28,13,192,7,53,76,36,30,16,30,3,0,256,9,7,30,23,24,35,34,6,0,167,10,3,12,23,17,34,14,0,0,113,5,3,14,9,4,11,6,0,0,48,407,644,631,498,464,486,385,230,104,3846,4,7,7,3,6,13,13,3,0,52,0,4,5,10,4,3,0,0,0,20,0,0,0,3,0,0,0,0,0,16,0,0,0,0,6,0,0,0,0,0,438,716,775,616,548,599,491,244,104,4534,457,728,797,645,566,636,513,277,122,4732,30339,18861,23820,24504,21836,18764,14346,7569,3141,163184
CED509,35509,19795,22446,23941,21819,18356,13787,7597,2604,165848,30,17,28,28,23,38,47,35,16,262,0,10,6,0,11,15,18,4,0,61,11,0,17,19,16,20,18,13,0,109,0,3,3,10,9,15,20,0,0,58,0,0,9,4,12,14,4,0,0,39,604,699,658,575,488,431,318,228,121,4120,0,0,0,3,0,4,8,5,0,21,0,0,0,5,5,6,4,0,0,22,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,622,716,689,619,530,500,382,255,124,4439,651,737,720,645,555,536,429,289,138,4701,36158,20530,23166,24586,22374,18892,14217,7882,2742,170549
CED510,30266,18946,15081,20695,22239,20968,17378,7806,2873,156259,24,5,21,18,24,25,33,9,3,164,9,7,8,3,8,13,23,3,0,72,10,8,13,18,10,25,32,3,0,137,8,5,3,5,6,16,15,7,0,60,0,0,0,4,3,4,4,0,0,15,425,505,498,417,368,340,272,199,177,3200,4,0,0,0,0,3,8,3,0,24,3,0,4,6,0,0,3,0,0,13,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,464,527,537,447,392,399,361,219,177,3524,487,536,553,464,419,424,392,231,184,3687,30757,19482,15634,21159,22659,21394,17775,8035,3054,159945
