CED_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
CED501,1225,1177,2401,1365,1217,2580,1365,1236,2598,1345,1310,2651,1445,1275,2727,6748,6204,12956,1382,1358,2745,1327,1315,2640,1354,1266,2617,1426,1389,2818,1423,1255,2675,6909,6577,13490,1401,1318,2719,1386,1304,2691,1371,1285,2656,1347,1329,2669,1378,1276,2657,6880,6513,13394,1284,1262,2541,1171,1087,2252,1169,1071,2242,1124,1033,2156,1178,1039,2216,5919,5488,11407,1144,1024,2174,1108,1076,2184,1138,1120,2261,1222,1081,2301,1138,1076,2212,5752,5382,11132,1226,1186,2412,1272,1191,2466,1277,1254,2528,1177,1269,2442,1295,1259,2559,6250,6161,12408,1316,1413,2734,1374,1389,2762,1317,1422,2737,1322,1467,2782,1357,1395,2750,6686,7081,13768,1403,1437,2843,1394,1460,2854,1392,1465,2852,1352,1479,2832,1286,1309,2597,6823,7149,13973,1298,1354,2659,1276,1265,2547,1186,1154,2340,1145,1095,2236,1145,1199,2344,6058,6064,12123,1141,1233,2377,1143,1169,2320,1151,1202,2361,1195,1206,2398,1243,1193,2439,5872,6018,11891,1263,1293,2554,1202,1177,2378,1209,1164,2370,1044,1117,2165,1108,1090,2197,5824,5842,11664,1076,1113
CED502,1276,1247,2520,1404,1335,2732,1453,1367,2822,1452,1381,2827,1509,1470,2981,7081,6798,13880,1552,1464,3010,1548,1450,2995,1386,1361,2755,1465,1354,2821,1366,1364,2730,7318,6996,14316,1403,1327,2730,1367,1190,2555,1322,1203,2525,1320,1253,2575,1204,1124,2333,6616,6103,12722,1192,1077,2275,1072,1129,2205,1069,1038,2107,1043,1024,2070,1028,977,2002,5412,5243,10650,1139,1039,2180,1115,1129,2241,1222,1094,2320,1160,1158,2321,1135,1169,2304,5773,5587,11357,1284,1167,2451,1259,1260,2518,1220,1273,2491,1208,1316,2524,1224,1365,2594,6193,6382,12574,1290,1449,2736,1351,1505,2849,1377,1535,2909,1433,1536,2967,1407,1636,3039,6859,7652,14509,1536,1618,3156,1619,1703,3323,1612,1699,3311,1664,1592,3259,1604,1489,3092,8039,8090,16136,1553,1476,3026,1403,1325,2732,1283,1350,2630,1305,1208,2512,1260,1148,2410,6799,6503,13306,1173,1099,2275,1166,1111,2275,1108,1101,2202,1179,1038,2213,1180,1162,2341,5803,5506,11310,1172,1099,2274,1041,1047,2086,1135,1065,2199,976,991,1968,978,956,1935,5300,5159,10459,926,952
CED503,893,852,1741,899,895,1793,981,953,1932,984,964,1953,1019,968,1990,4776,4638,9410,1045,1049,2089,1053,993,2049,1032,983,2017,1019,1043,2063,1048,1034,2082,5193,5106,10302,1043,1082,2123,1101,1078,2184,1090,1010,2093,1058,1034,2095,1159,1030,2184,5449,5228,10678,980,1054,2035,919,937,1858,966,938,1896,872,854,1726,890,821,1712,4627,4599,9221,847,798,1643,818,881,1698,801,775,1576,791,778,1569,739,780,1522,3996,4013,8011,734,807,1545,759,839,1596,794,879,1668,804,890,1687,823,904,1727,3913,4311,8225,881,947,1825,866,987,1850,923,1008,1929,850,1047,1898,934,1011,1950,4458,4997,9453,1020,1069,2094,930,1051,1976,915,979,1896,965,1046,2018,978,1008,1986,4804,5158,9965,908,984,1895,934,945,1873,910,941,1847,869,931,1802,811,895,1705,4421,4694,9120,879,931,1807,907,970,1877,940,969,1912,970,1000,1974,1060,1133,2198,4758,5009,9767,1013,1037,2051,1069,1096,2166,1034,1118,2153,973,1055,2029,986,999,1986,5077,5303,10384,974,1029
CED504,1091,1065,2158,1171,1084,2253,1127,1091,2218,1100,1134,2231,1186,1110,2295,5669,5483,11148,1258,1049,2304,1145,1074,2223,1158,1095,2252,1185,1057,2248,1088,1134,2222,5837,5407,11243,1112,1021,2134,1150,933,2085,1032,987,2016,1099,1047,2143,1029,967,2000,5417,4956,10370,1040,983,2021,1063,946,2013,1053,974,2029,983,1016,1998,973,958,1935,5106,4881,9985,1135,1008,2143,1229,1138,2365,1136,1124,2260,1221,1166,2382,1274,1174,2447,5990,5609,11595,1285,1215,2494,1366,1245,2617,1253,1307,2559,1265,1290,2552,1309,1281,2583,6479,6328,12804,1329,1376,2707,1367,1427,2799,1379,1437,2817,1387,1417,2804,1440,1455,2896,6904,7109,14017,1386,1462,2850,1431,1438,2864,1432,1397,2837,1350,1387,2734,1346,1316,2660,6950,7005,13948,1254,1231,2485,1179,1166,2343,1105,1162,2273,1136,1085,2221,1067,1033,2103,5742,5679,11424,1132,1170,2305,1023,1153,2175,1121,1080,2203,1108,1083,2189,1133,1157,2297,5524,5654,11175,1150,1186,2334,1105,1128,2232,1133,1127,2259,994,1107,2099,1082,1089,2173,5463,5637,11100,1046,1105
CED505,869,815,1680,854,822,1674,859,824,1689,906,833,1738,934,888,1830,4423,4184,8608,969,897,1861,990,922,1916,1038,966,2011,1090,979,2069,1069,980,2049,5158,4748,9903,1085,999,2082,1068,1124,2193,1221,1083,2303,1188,1135,2324,1186,1174,2362,5753,5516,11269,1185,1128,2308,1147,1127,2271,1142,990,2133,1096,1090,2186,1106,1105,2211,5673,5442,11116,1082,1165,2244,1022,1086,2105,1041,1076,2116,993,1078,2073,1057,1104,2155,5193,5501,10697,1076,1074,2154,1124,1182,2305,1072,1143,2213,993,1250,2239,1094,1185,2274,5361,5831,11191,1162,1223,2386,1218,1252,2467,1210,1339,2545,1188,1250,2440,1148,1319,2472,5916,6385,12300,1201,1263,2460,1155,1230,2386,1164,1279,2445,1160,1301,2459,1196,1236,2437,5872,6317,12188,1084,1245,2332,1094,1181,2272,1090,1182,2269,1077,1194,2270,1140,1118,2257,5485,5922,11402,1071,1130,2196,1059,1184,2242,1141,1190,2333,1088,1240,2324,1171,1254,2427,5524,5996,11521,1171,1326,2495,1119,1197,2314,1139,1178,2316,1088,1109,2190,1001,1092,2097,5517,5895,11414,960,1062
CED506,1244,1125,2369,1387,1337,2723,1350,1240,2592,1412,1311,2724,1398,1324,2727,6791,6343,13132,1476,1386,2859,1514,1395,2907,1531,1416,2945,1463,1406,2871,1482,1380,2866,7466,6985,14445,1494,1390,2878,1413,1384,2793,1335,1315,2645,1358,1287,2645,1255,1255,2512,6852,6630,13485,1253,1218,2475,1191,1056,2248,1173,1012,2186,1033,949,1980,1064,914,1978,5721,5151,10871,1008,894,1904,1057,926,1986,1085,979,2063,1160,1108,2270,1224,1169,2399,5547,5073,10620,1340,1221,2555,1376,1353,2731,1424,1377,2797,1407,1390,2798,1511,1354,2861,7052,6689,13739,1537,1570,3105,1543,1585,3125,1610,1535,3147,1622,1527,3147,1623,1590,3206,7927,7812,15734,1661,1596,3250,1563,1529,3091,1638,1503,3144,1591,1473,3064,1558,1424,2983,8010,7525,15535,1557,1396,2949,1440,1258,2703,1379,1326,2703,1375,1213,2593,1390,1180,2570,7131,6378,13510,1373,1201,2568,1394,1285,2678,1407,1267,2675,1494,1279,2771,1599,1352,2946,7256,6386,13638,1663,1438,3102,1496,1255,2747,1385,1357,2742,1476,1309,2788,1339,1172,2514,7362,6534,13894,1458,1214
CED507,825,827,1651,888,778,1663,915,877,1785,887,888,1781,963,910,1868,4483,4271,8751,1052,992,2040,1126,962,2086,1056,999,2060,1088,1011,2102,1132,1059,2193,5460,5023,10483,1152,988,2138,1200,1136,2338,1122,1095,2216,1159,1095,2250,1184,1145,2335,5819,5458,11274,1108,1042,2152,1076,980,2058,987,992,1973,858,813,1670,708,697,1407,4735,4525,9255,737,617,1353,670,610,1282,704,674,1378,672,627,1295,726,688,1408,3503,3212,6720,696,688,1384,779,780,1555,790,807,1600,796,846,1640,817,884,1703,3877,4000,7882,891,926,1815,847,920,1772,932,987,1924,894,982,1879,930,969,1899,4504,4785,9294,986,1063,2041,860,1090,1951,963,1077,2036,1023,1124,2145,1015,1112,2123,4848,5462,10311,1018,1041,2057,986,1117,2099,1063,1077,2140,1016,1021,2035,1007,1048,2056,5081,5305,10381,979,1039,2026,1005,1096,2099,1066,1068,2134,1095,1057,2154,1101,1173,2278,5253,5441,10694,1152,1221,2378,1101,1128,2228,1045,1056,2095,946,1088,2032,1025,1030,2054,5263,5526,10789,1008,1010
CED508,1127,1013,2140,1020,1008,2025,1080,1008,2084,1133,982,2116,1113,1022,2139,5470,5033,10501,1055,1026,2078,1060,1031,2091,1027,1027,2053,1006,1006,2018,941,1010,1953,5081,5101,10186,978,961,1939,987,958,1947,982,971,1951,1063,858,1919,1029,971,2007,5039,4724,9759,941,870,1809,909,880,1791,866,887,1758,871,895,1762,898,887,1787,4485,4422,8904,955,942,1895,925,1031,1954,1014,1082,2096,1024,1062,2087,1017,1051,2070,4935,5169,10100,1023,1082,2108,1063,1119,2185,1099,1212,2314,1159,1227,2389,1170,1226,2399,5518,5871,11388,1224,1349,2573,1250,1365,2612,1323,1404,2725,1243,1422,2671,1327,1372,2697,6364,6907,13272,1327,1409,2739,1384,1401,2788,1293,1393,2692,1296,1258,2550,1283,1340,2621,6586,6806,13392,1247,1315,2568,1221,1206,2427,1167,1252,2418,1143,1119,2259,1096,1140,2239,5875,6040,11915,1130,1054,2178,1063,1133,2192,1097,1079,2184,1122,1255,2375,1194,1226,2417,5613,5745,11356,1196,1322,2516,1180,1110,2288,1042,1146,2185,1094,1074,2172,956,1031,1995,5471,5689,11158,971,1049
CED509,1131,1122,2254,1182,1083,2272,1253,1083,2332,1256,1144,2397,1318,1225,2541,6132,5667,11794,1258,1252,2506,1256,1166,2423,1263,1209,2473,1274,1197,2475,1240,1150,2389,6292,5971,12264,1264,1205,2476,1262,1174,2436,1249,1123,2377,1224,1189,2407,1267,1136,2402,6274,5828,12095,1214,1124,2338,1202,1074,2271,1090,966,2060,1095,1044,2144,1028,944,1976,5632,5156,10784,1077,941,2018,1085,997,2079,1044,968,2012,1000,909,1910,978,977,1948,5180,4793,9971,992,1021,2013,1033,1078,2113,1076,1055,2128,1110,1160,2275,1139,1221,2361,5347,5534,10883,1156,1311,2462,1249,1346,2593,1271,1360,2630,1340,1338,2682,1345,1366,2713,6361,6718,13088,1391,1387,2777,1354,1331,2685,1358,1280,2636,1401,1323,2723,1299,1257,2554,6806,6575,13376,1324,1293,2615,1195,1197,2390,1168,1245,2414,1167,1167,2327,1095,1146,2241,5944,6046,11993,1133,1169,2304,1115,1128,2246,1122,1115,2234,1129,1175,2309,1236,1270,2506,5745,5859,11603,1275,1239,2518,1141,1184,2327,1177,1171,2347,1136,1163,2295,1118,1126,2240,5844,5883,11721,1047,1048
CED510,832,749,1575,850,810,1662,862,849,1717,974,854,1826,957,878,1839,4476,4146,8616,1114,990,2106,1061,972,2027,1017,1067,2083,1082,1041,2120,1158,1056,2213,5432,5118,10555,1163,1091,2254,1190,1147,2339,1184,1096,2284,1222,1174,2389,1180,1137,2319,5938,5645,11585,1184,1067,2250,1154,1034,2184,1088,1050,2141,1032,990,2023,1023,907,1924,5484,5034,10523,1049,962,2007,978,932,1910,1036,898,1931,905,762,1671,922,745,1671,4894,4302,9197,805,700,1505,811,708,1523,770,710,1480,740,695,1433,707,756,1463,3833,3572,7401,750,817,1561,800,848,1649,816,934,1751,897,917,1818,920,1044,1965,4183,4563,8743,970,1016,1980,1019,1110,2128,1020,1144,2162,1117,1078,2195,1133,1150,2281,5254,5494,10750,1128,1162,2288,1046,1149,2191,1008,1127,2136,1027,1154,2182,1078,1133,2211,5297,5718,11013,1094,1177,2272,1057,1117,2180,1107,1175,2281,1222,1211,2430,1206,1222,2427,5689,5899,11590,1312,1289,2600,1174,1251,2426,1181,1169,2351,1090,1166,2256,1055,1154,2208,5819,6032,11843,1049,1137
