CED_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
CED501,0,0,0,11,3,0,0,0,0,16,6365,11474,8083,15801,6088,4500,3163,1419,357,57256,0,3,5,42,8,0,4,0,0,58,0,0,0,29,15,16,14,5,0,81,0,6,4,48,4,0,5,4,0,75,0,0,4,4,0,0,0,0,0,7,0,16,17,52,36,22,16,5,0,166,0,0,3,24,18,6,7,8,0,72,0,12,18,74,27,19,20,8,0,181,0,3,0,27,18,27,33,27,4,129,0,4,0,20,11,3,11,3,0,47,21,331,796,1647,1713,2352,1363,1064,339,9621,0,0,6,38,12,15,3,0,0,74,0,0,0,34,15,12,10,4,0,77,6,12,15,64,52,60,69,48,17,332,0,0,0,5,0,5,4,0,0,11,0,0,5,22,10,7,4,0,0,58,4,86,128,939,117,68,70,39,18,1460,6,22,23,71,28,12,5,3,0,171,0,0,8,40,9,9,3,4,0,64
CED502,7,67,175,692,139,74,26,7,4,1187,6600,11001,6914,12663,4871,3739,2974,1172,270,50206,0,34,15,157,67,13,9,4,0,294,0,0,3,16,4,12,3,5,0,48,0,0,0,18,3,0,0,0,0,27,0,6,5,42,26,21,16,4,0,120,5,9,17,26,22,10,5,8,0,99,0,6,0,18,20,30,5,4,0,88,7,53,108,551,206,103,77,28,14,1140,0,0,0,17,7,16,14,17,3,64,0,11,18,29,17,3,11,6,0,100,9,100,175,802,833,1363,1035,774,239,5322,0,0,3,27,16,9,3,0,0,56,0,0,0,18,13,11,9,11,0,68,0,5,4,50,24,36,73,57,11,266,0,0,0,0,3,0,8,3,0,13,0,8,21,95,17,22,15,3,0,174,37,418,534,3307,619,270,231,104,21,5533,6,57,105,358,163,64,56,18,0,828,0,7,33,92,37,17,10,4,0,207
CED503,0,0,5,23,3,0,0,0,0,33,4518,9334,6735,12141,6001,5704,5697,2957,836,53918,0,0,4,14,0,5,0,0,0,21,0,0,0,10,0,3,3,4,0,16,0,3,0,22,5,3,0,0,0,30,0,0,0,0,0,0,0,0,0,7,4,15,16,34,27,32,27,9,3,163,0,0,0,6,3,10,8,0,0,23,0,3,4,29,19,11,8,6,0,74,0,0,0,10,6,7,17,17,4,50,0,0,0,5,0,4,10,5,0,26,6,201,434,938,1192,1825,1652,1305,344,7899,0,0,11,29,7,6,5,0,4,59,0,0,5,12,12,10,14,3,4,66,0,3,3,15,34,31,88,68,7,261,0,0,0,0,0,3,10,4,0,23,0,0,7,15,0,7,7,0,0,36,3,42,40,443,74,51,46,38,9,755,5,14,17,42,9,4,10,3,3,104,0,5,6,21,9,10,9,4,0,52
CED504,4,34,87,353,73,43,14,5,0,607,5280,9159,7624,12505,5351,4608,3222,1573,369,49689,0,0,9,50,7,6,11,4,0,94,0,0,6,151,57,112,51,31,3,417,0,11,10,173,17,5,0,0,0,217,0,3,3,35,40,33,21,7,0,145,4,14,8,40,23,18,17,0,3,128,0,0,3,30,7,14,14,0,0,68,0,32,91,377,135,150,98,28,22,929,0,0,0,61,26,55,93,69,17,327,4,18,25,28,9,21,19,22,3,148,12,69,124,694,557,859,699,504,140,3655,0,0,5,5,7,4,8,0,0,27,0,0,8,57,9,20,7,0,0,107,0,5,11,68,30,26,73,62,8,292,0,3,11,12,22,44,68,118,55,332,3,9,26,123,30,48,36,12,4,296,11,146,335,1730,277,244,269,168,32,3218,3,20,36,88,34,30,19,6,0,240,0,35,47,223,86,53,34,10,6,493
CED505,0,0,0,10,0,5,0,0,0,13,4090,8838,8091,12299,6354,5190,4302,2725,1028,52905,4,3,5,35,10,11,3,0,0,68,0,0,0,25,4,17,11,0,0,56,3,21,18,324,32,8,0,4,0,404,0,4,4,3,0,5,0,0,0,17,8,38,50,96,77,79,37,16,4,405,3,7,5,46,15,7,8,0,0,89,8,121,215,568,176,114,94,51,12,1373,0,0,0,10,17,17,26,24,7,111,0,11,6,24,11,12,11,8,8,86,39,313,452,1405,1060,1231,946,615,216,6282,0,0,3,3,4,9,4,0,0,27,4,26,44,151,51,27,21,9,0,335,6,7,22,119,77,54,56,63,9,416,0,6,5,4,8,10,32,15,11,85,3,66,62,90,59,40,27,19,0,373,5,89,103,579,204,103,94,58,26,1264,4,39,65,98,27,20,30,17,6,316,0,22,20,146,61,36,21,19,6,319
CED506,0,0,4,24,3,0,0,0,0,31,6045,12042,8609,19222,9371,8535,6056,2419,616,72910,0,5,0,27,6,0,0,0,0,42,0,0,0,8,8,0,4,3,0,22,0,3,0,39,3,0,0,0,0,49,0,4,0,14,3,0,0,0,0,21,0,8,3,44,15,20,14,5,3,102,0,0,0,27,0,3,5,0,0,36,0,3,7,133,31,11,3,0,0,195,0,0,0,10,4,9,13,12,0,65,0,3,0,23,0,0,0,9,0,36,3,56,171,714,629,1057,731,475,97,3934,0,4,8,49,22,16,3,0,0,105,0,0,22,116,7,11,6,3,0,171,0,0,17,62,41,45,96,54,7,327,0,0,0,0,0,3,6,3,3,26,0,3,0,27,8,4,4,0,0,47,9,48,26,416,92,47,14,15,9,666,3,24,14,63,26,7,4,6,4,151,0,0,3,46,4,5,3,0,0,57
CED507,0,0,6,36,3,11,0,0,0,62,4229,10062,6891,13063,7278,6763,6114,2785,749,57930,0,0,0,17,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,49,6,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,4,9,8,46,38,18,13,5,0,146,0,0,0,17,6,3,7,5,0,33,0,7,12,74,15,3,5,0,0,126,0,0,0,3,6,0,4,8,0,21,0,0,0,10,0,6,3,0,0,23,5,88,192,632,728,1122,1063,758,196,4784,0,0,0,18,8,0,0,0,0,26,0,6,8,74,12,16,9,0,4,126,0,0,13,61,25,39,92,57,5,287,0,0,0,0,0,0,3,7,3,19,0,0,0,23,0,5,0,0,0,37,0,31,22,259,55,23,23,24,8,447,0,16,11,24,12,3,3,0,0,73,0,4,0,16,6,0,0,0,0,27
CED508,0,0,0,17,5,0,0,0,0,26,5196,8650,7132,14273,6243,4918,3420,1513,418,51764,4,9,3,50,9,5,4,0,0,81,0,0,6,55,33,41,33,23,0,188,0,9,7,79,8,10,3,0,0,118,0,0,0,3,0,0,0,0,0,7,0,9,13,80,43,31,25,10,0,223,0,0,6,31,24,17,14,6,0,101,0,40,82,326,137,74,65,18,0,733,0,0,4,93,49,96,175,137,65,624,0,7,0,13,3,10,18,17,8,74,15,176,315,1432,1042,1285,888,529,157,5845,0,0,0,8,9,6,9,0,0,33,0,14,12,152,39,18,17,9,0,248,0,17,17,143,72,49,61,41,0,404,0,0,0,3,0,4,12,4,4,33,3,9,32,81,16,17,11,7,3,185,10,68,96,722,165,94,89,37,19,1303,3,16,38,157,55,26,24,11,0,337,0,9,20,125,41,25,8,3,4,238
CED509,0,13,45,146,26,12,11,0,0,254,5861,10961,8195,14679,6572,5048,3644,1683,416,57063,0,7,6,26,7,6,0,0,0,51,0,0,0,47,22,18,6,4,0,105,0,4,3,26,0,0,0,0,0,44,0,5,6,13,11,5,4,0,0,45,0,7,11,43,36,26,19,6,8,152,0,0,4,13,10,3,0,3,0,40,0,4,17,91,34,32,12,6,0,198,0,0,0,33,3,19,59,35,18,169,0,7,22,23,3,9,3,8,0,71,15,126,319,982,1147,1554,1193,886,279,6499,0,0,0,12,6,14,0,3,0,42,0,0,0,35,9,9,12,9,3,78,0,6,16,65,54,53,109,87,11,398,0,0,0,3,0,3,5,10,0,29,0,9,3,52,6,7,0,0,7,87,20,137,202,1801,285,182,149,79,13,2877,3,13,19,54,19,4,11,3,0,134,0,13,12,50,17,16,0,0,0,109
CED510,0,0,0,19,7,8,6,0,0,43,4292,9666,7424,10839,5684,5007,4286,1659,484,49338,0,0,5,11,4,0,4,0,0,26,0,0,0,8,6,18,5,0,0,44,0,7,9,70,13,4,6,0,0,96,0,3,0,0,0,0,5,0,0,15,0,20,23,68,56,44,22,5,3,239,0,4,0,9,9,8,5,0,0,30,3,32,36,154,46,47,64,8,4,384,0,0,0,9,8,27,22,19,9,97,0,4,3,32,12,25,30,15,0,126,20,568,1111,2041,2232,2445,1854,943,281,11489,0,0,3,5,5,0,4,0,0,22,0,4,11,50,22,9,13,4,0,108,0,6,16,87,79,57,107,72,19,436,0,0,3,5,5,14,23,16,8,74,0,9,12,40,13,23,19,0,0,120,0,31,47,213,90,97,82,65,20,649,0,16,20,40,10,13,20,4,0,116,0,16,10,114,51,19,21,7,0,239
