CED_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
CED501,0,0,0,13,18,3572,132,75,12,6,12,25,10,4,114,3958,955,15,4,0,4,3,0,6,0,55,1045,91,4,4,0,0,0,0,0,0,8,103,40,4,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,128,3,4,0,0,0,0,0,0,8,146,12,0,0,0,0,0,0,0,0,7,13,1092,17,6,0,4,6,0,6,0,67,1203,22648,8160,6812,531,464,449,432,221,117,741,40574,3336,4944,4113,627,538,489,509,206,88,214,15070,354,216,235,49,48,65,127,70,20,45,1227,11,10,10,0,0,0,3,0,3,8,47,3705,5173,4359,682,581,550,638,276,117,266,16342,34,20,7,0,0,0,0,0,0,236,309,26392,13343,11184,1212,1044,996,1073,494,234,1246,57225
CED502,0,0,0,19,28,3498,109,87,14,7,3,38,14,0,125,3908,805,6,4,0,0,0,0,0,0,38,864,184,4,0,0,0,0,0,0,0,12,199,104,10,3,0,0,0,4,3,0,3,138,6,0,0,0,0,0,0,0,0,0,3,293,15,6,0,0,0,0,3,0,16,340,9,0,0,0,0,0,0,0,0,5,14,1100,20,16,4,0,0,9,3,0,59,1210,19145,4573,3279,350,301,313,309,141,76,643,29130,7647,12375,10716,1591,1273,1405,1650,493,119,475,37734,1207,1411,1238,274,235,247,504,243,88,144,5603,26,24,24,3,3,4,14,5,3,14,119,8886,13802,11978,1871,1511,1659,2159,740,214,637,43457,38,20,17,7,4,0,5,0,0,61,148,28072,18396,15274,2229,1818,1975,2470,878,294,1340,72732
CED503,0,0,0,31,39,4078,114,82,15,4,9,18,15,0,188,4529,931,22,4,0,0,0,0,0,0,57,1021,103,4,4,0,0,0,0,0,0,25,130,20,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,126,4,4,0,0,0,0,0,0,25,157,7,0,0,0,0,0,0,0,0,29,34,1061,23,9,0,0,0,0,0,0,110,1207,21007,5265,3667,338,248,277,293,140,90,799,32119,2128,2546,2172,283,217,284,305,121,52,151,8263,140,96,110,24,25,40,74,43,13,26,587,7,3,7,7,0,0,0,0,0,3,28,2271,2649,2286,309,245,319,380,163,61,180,8873,26,8,11,0,0,0,0,0,0,159,198,23295,7925,5965,644,493,593,671,308,153,1139,41184
CED504,0,0,0,0,10,4902,116,92,13,3,10,19,18,0,138,5315,687,7,6,0,4,0,0,0,0,23,730,540,7,0,0,0,0,0,0,0,51,595,480,18,10,3,5,0,0,0,0,37,550,7,0,0,0,0,0,0,0,0,23,29,1023,20,12,5,5,0,0,0,0,116,1177,5,0,0,0,0,0,0,0,0,0,9,1720,33,16,5,4,0,0,0,0,137,1918,17574,3437,2710,318,282,318,332,138,58,535,25707,15405,7377,6777,1570,1244,1274,1532,552,82,690,36513,4706,1498,1409,348,319,378,595,256,70,346,9928,51,15,16,0,4,0,21,3,0,50,162,20166,8891,8202,1925,1568,1655,2145,818,151,1085,46605,39,21,12,5,0,0,0,11,0,71,152,37780,12352,10921,2243,1855,1981,2474,963,209,1692,72464
CED505,0,0,0,16,29,3481,95,61,10,15,14,35,18,5,121,3858,990,29,18,0,5,6,4,0,4,74,1129,317,8,8,0,0,0,0,0,0,24,364,123,5,0,0,0,3,0,0,0,19,150,3,0,0,0,0,0,0,0,0,0,5,448,12,6,0,0,4,4,0,0,39,516,5,0,0,0,0,0,0,0,0,12,19,1439,37,28,0,4,11,10,5,4,131,1665,21274,4633,4130,561,649,665,917,729,285,660,34500,6692,3568,4024,941,1129,1356,1793,847,131,266,20752,548,194,241,69,97,87,266,138,18,76,1729,18,8,5,0,0,0,4,4,0,8,57,7257,3770,4270,1014,1227,1442,2063,997,153,347,22539,26,3,7,0,0,0,6,0,0,46,94,28553,8409,8407,1580,1874,2106,2979,1724,438,1057,57136
CED506,0,0,0,13,21,1746,23,24,3,10,0,3,0,0,111,1921,313,4,5,0,0,5,0,0,0,28,354,60,0,0,0,0,0,0,0,0,3,65,14,0,6,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,76,0,6,0,0,0,0,0,0,5,87,11,0,0,0,0,0,0,0,0,11,19,397,4,9,0,0,5,0,7,0,40,457,13407,3325,2585,303,279,302,443,185,102,769,21704,1953,2427,2623,507,471,593,908,374,200,211,10265,228,95,117,26,43,73,111,63,41,40,831,13,10,8,3,0,4,10,4,8,10,72,2197,2522,2751,536,508,671,1033,436,247,267,11176,56,12,6,0,0,0,15,4,0,389,478,15664,5859,5344,837,790,977,1485,633,350,1415,33351
CED507,0,0,0,6,16,2542,74,43,4,4,6,6,5,0,107,2797,638,17,9,0,0,0,0,0,0,71,737,121,0,0,0,0,0,0,0,0,5,128,29,0,0,0,0,0,0,0,0,5,43,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,10,171,0,0,0,0,0,0,0,0,0,4,8,794,19,7,0,0,0,0,0,0,82,917,15413,3235,2209,250,222,218,292,160,64,671,22741,1716,1881,2016,365,358,362,449,183,64,173,7562,125,91,123,17,36,88,136,45,22,77,756,15,4,6,0,0,0,3,4,3,0,36,1858,1976,2147,383,392,446,585,226,81,250,8358,29,0,0,0,5,0,9,0,0,112,152,17299,5216,4362,633,621,659,888,388,150,1028,31246
CED508,0,0,0,9,10,3386,91,50,15,6,3,23,24,0,130,3735,597,22,10,0,0,0,0,0,0,67,695,365,0,0,0,0,0,0,0,0,28,399,358,3,3,0,0,0,0,0,0,46,416,5,0,0,0,0,0,0,0,0,0,5,725,5,3,0,0,0,4,0,0,73,820,4,0,0,0,0,0,0,0,0,6,8,1329,29,15,0,4,5,4,4,0,143,1526,18484,4765,4096,508,421,455,519,287,131,607,30277,7862,4779,4650,677,650,660,740,317,92,295,20721,1475,446,351,52,62,43,144,77,18,111,2783,24,17,5,0,0,0,4,0,0,9,59,9361,5243,4998,734,711,705,890,407,107,412,23566,30,5,9,0,3,0,0,0,0,48,86,27868,10017,9099,1244,1137,1157,1418,689,242,1063,53933
CED509,0,0,0,16,22,3416,121,57,7,3,14,24,13,0,143,3795,843,20,14,0,5,0,0,0,0,80,957,185,0,5,0,0,0,5,0,0,30,219,102,3,0,3,3,0,0,0,0,3,119,0,0,0,0,0,0,0,0,0,0,0,294,5,5,3,3,0,5,0,0,31,341,6,0,0,0,0,0,0,0,0,37,38,1134,27,18,4,0,0,3,0,0,150,1336,20815,5006,3634,316,307,280,287,148,91,640,31520,5076,6637,4888,719,475,541,621,247,92,309,19601,656,406,369,83,67,68,170,90,28,75,2018,19,10,16,7,0,5,0,0,5,3,65,5757,7054,5271,800,541,615,793,346,125,391,21676,23,11,5,0,0,5,0,3,0,485,533,26593,12067,8911,1113,851,895,1072,493,218,1513,53729
CED510,0,0,0,5,16,3724,202,82,11,13,19,33,6,6,110,4203,915,55,20,3,3,8,6,0,0,78,1081,178,3,3,0,0,0,0,0,0,17,205,80,6,5,0,0,0,0,0,0,3,94,0,0,0,0,0,0,0,0,0,0,0,258,7,10,3,0,0,0,0,0,19,303,3,0,0,0,0,0,0,0,0,0,10,1171,67,25,3,3,5,6,0,0,105,1392,28244,8769,6408,701,539,539,562,321,114,644,46839,5544,2572,2242,327,311,386,451,261,59,170,12324,504,129,132,25,25,45,100,42,3,34,1035,13,3,0,0,5,0,0,0,0,3,30,6055,2703,2379,352,335,429,558,301,64,205,13385,32,7,9,0,0,0,0,0,0,34,85,34334,11479,8791,1054,876,976,1118,626,183,885,60312
