CED_CODE_2021,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
CED501,2566,420,314,249,309,448,419,154,30,4905,963,157,62,33,73,113,169,63,10,1645,592,355,306,200,221,309,373,199,43,2608,269,336,431,302,350,493,1162,923,225,4494,248,273,277,216,257,398,881,706,249,3507,347,428,346,240,274,334,696,478,119,3264,211,549,485,306,287,386,462,293,73,3054,127,676,967,660,556,581,414,166,42,4193,103,641,1470,1213,1067,949,445,119,24,6034,53,467,1435,1182,975,837,287,61,8,5309,23,311,1368,1348,1205,930,226,47,17,5482,22,169,1048,1208,1053,786,117,20,5,4415,12,235,2011,2747,2538,1592,254,15,9,9420,0,38,439,744,716,392,56,6,0,2393,7,19,303,746,729,508,74,11,9,2403,383,665,1649,1482,1095,726,422,312,168,6892,5919,5752,12933,12883,11702,9784,6453,3570,1033,70029,2085,426,1458,1418,1133,1576,757,166,45,9062,1205,191,369,402,314,308,227,66,18,3100,776,475,621,601,437,528,532,267,76,4304
CED502,2487,510,469,375,347,542,602,214,50,5598,867,202,102,75,79,118,209,64,18,1735,573,499,368,307,291,334,432,180,49,3030,222,402,504,393,431,569,1239,918,239,4929,228,388,372,299,337,367,962,582,177,3714,253,502,539,428,357,369,640,408,100,3591,174,591,764,602,436,367,467,261,58,3717,137,805,1452,1171,876,711,396,130,32,5716,64,683,2074,2002,1415,1028,432,97,16,7804,29,339,1604,1733,1160,858,273,43,8,6042,13,202,1273,1707,1174,782,188,32,7,5376,3,103,826,1284,886,613,133,10,8,3874,10,119,1289,2405,1649,1016,175,11,3,6668,0,16,241,562,409,190,42,4,0,1469,4,12,175,532,404,222,51,16,4,1408,339,398,999,983,849,616,384,275,175,5023,5412,5773,13049,14844,11100,8697,6621,3248,940,69692,2221,550,1820,1892,1121,1369,896,243,59,10178,1056,230,396,427,257,270,234,54,17,2946,726,582,734,657,496,587,517,211,52,4568
CED503,1878,265,249,218,244,527,555,212,75,4219,784,105,56,47,53,145,238,103,32,1554,476,285,219,194,193,314,587,316,85,2675,197,242,288,236,319,496,1685,1441,334,5252,225,238,203,205,279,445,1193,987,298,4066,296,328,271,229,203,428,1085,708,181,3722,195,417,320,253,254,392,784,510,124,3256,137,490,593,442,457,540,635,295,80,3666,74,447,945,717,765,844,665,231,31,4719,31,261,802,752,763,734,378,123,14,3864,14,200,857,827,805,813,302,88,19,3917,15,133,677,823,845,704,208,55,6,3455,17,217,1464,2013,2187,1706,333,47,10,8004,0,30,351,630,606,473,84,16,6,2182,7,21,297,674,914,634,170,56,17,2790,285,321,770,962,951,773,640,450,257,5414,4627,3996,8367,9227,9837,9973,9539,5629,1571,62773,1637,307,1020,1006,932,1610,942,252,137,7844,1078,155,288,275,230,391,355,117,39,2928,663,357,499,483,402,662,806,365,94,4326
CED504,2339,522,494,389,396,604,681,307,67,5800,910,228,94,67,94,165,239,80,27,1904,600,555,329,298,354,473,537,308,88,3535,222,473,513,410,511,652,1434,1192,395,5806,196,416,428,346,394,576,1119,805,290,4567,231,580,565,420,466,514,762,470,107,4110,124,657,790,558,473,615,587,355,66,4215,108,726,1508,1053,992,808,575,218,39,6018,63,648,2067,1594,1329,1248,562,152,29,7696,24,336,1602,1429,1097,926,368,72,17,5875,12,185,1273,1285,902,808,244,56,9,4776,0,83,926,997,843,649,164,25,0,3699,0,111,1358,1894,1527,1141,280,43,4,6367,0,16,270,486,351,241,73,13,0,1450,0,12,224,578,546,316,99,26,5,1808,271,439,939,891,707,582,402,310,163,4696,5106,5990,13385,12690,10984,10324,8118,4419,1300,72324,1962,438,1251,1224,922,1463,971,309,103,8637,1034,267,243,351,271,374,290,127,33,2980,754,615,549,631,587,713,737,369,92,5049
CED505,2620,478,340,197,299,348,375,211,64,4926,1401,381,93,56,49,108,171,103,47,2403,639,645,190,92,135,177,315,216,100,2500,236,502,274,168,193,262,501,473,212,2822,193,414,264,154,182,256,587,532,250,2823,164,504,430,229,242,266,561,464,186,3043,101,410,477,251,176,223,459,419,163,2686,60,427,707,380,319,371,545,397,114,3331,26,459,1057,634,441,511,589,407,108,4229,14,301,1058,641,418,489,495,241,73,3731,11,220,1169,745,580,574,429,225,62,4017,7,94,983,788,622,532,335,151,42,3552,3,109,2122,2369,1930,1481,684,264,63,9019,6,26,552,947,889,678,258,74,20,3455,4,16,705,3048,4027,2596,992,290,59,11732,190,223,851,656,537,454,421,384,300,4011,5673,5193,11275,11353,11040,9334,7722,4842,1852,68286,2222,353,660,1118,881,834,717,297,134,7218,1493,394,150,262,265,309,334,177,74,3459,768,685,297,342,286,377,507,377,157,3789
CED506,1990,288,275,253,304,542,528,199,38,4418,756,68,68,73,92,150,218,78,16,1526,585,425,571,512,478,481,519,253,57,3882,194,271,425,402,481,665,1390,914,201,4939,192,184,267,248,363,559,1164,716,175,3872,331,290,296,276,351,491,722,364,93,3218,258,424,434,294,358,479,571,263,74,3142,202,551,805,535,552,714,509,160,37,4059,134,538,1216,908,921,1060,594,155,22,5553,68,392,1069,912,941,938,381,85,8,4809,37,320,1222,1100,1106,997,331,61,21,5186,19,229,1019,1132,1059,931,293,32,3,4718,25,368,2515,3020,2784,2037,424,41,4,11222,4,72,827,1052,948,679,128,19,4,3739,14,52,790,1469,1194,760,202,42,14,4540,913,1072,3175,2948,2685,2217,1174,596,194,14976,5721,5547,14976,15144,14618,13697,9150,3985,968,83807,1605,267,1072,839,752,1193,704,165,55,6646,1020,112,290,270,196,300,247,62,16,2515,606,396,706,726,605,680,572,244,52,4581
CED507,1634,203,170,153,215,394,454,150,42,3415,1063,55,33,49,58,149,233,97,29,1766,428,163,173,175,179,314,532,233,88,2299,188,174,263,216,284,469,1489,1063,292,4439,267,182,197,200,275,435,1118,735,258,3666,326,276,298,284,316,502,1009,596,126,3729,214,439,441,295,337,523,794,395,94,3525,159,573,773,565,598,700,648,267,50,4332,68,461,1103,1011,952,970,709,219,38,5532,20,253,907,926,898,800,404,115,21,4341,22,162,778,1006,944,827,295,84,31,4149,8,105,666,875,977,765,181,44,8,3629,8,162,1222,1986,2074,1486,355,54,14,7356,0,18,262,540,617,413,101,10,3,1968,6,21,194,620,778,526,185,46,16,2383,316,272,911,1020,1013,796,626,387,198,5548,4735,3503,8385,9924,10511,10077,9124,4499,1301,62069,1385,186,785,772,685,1275,751,213,75,6130,1253,77,265,342,226,361,346,118,67,3054,544,206,407,514,398,652,645,339,124,3828
CED508,1882,399,314,237,272,419,485,197,60,4263,921,197,71,54,71,125,202,91,30,1769,491,404,216,184,221,289,402,264,56,2535,212,373,320,249,292,426,913,796,271,3856,160,352,281,185,266,356,768,577,220,3163,240,456,381,218,279,343,685,401,105,3097,146,546,457,311,243,378,499,280,79,2944,129,584,923,583,505,566,522,178,44,4038,56,514,1457,1038,853,886,526,153,29,5496,17,342,1317,1079,905,793,350,89,13,4900,13,180,1336,1228,1070,827,295,60,12,5029,6,96,1097,1254,973,688,211,42,11,4374,8,141,1988,2910,2425,1506,381,56,12,9421,0,27,484,838,705,436,105,20,3,2619,3,14,396,1258,1295,829,222,64,11,4086,203,299,847,837,712,505,404,343,240,4395,4485,4935,11888,12463,11080,9362,6971,3603,1208,65985,1624,315,853,1068,819,1091,752,241,99,6854,1127,211,259,315,237,324,294,108,39,2917,586,545,370,449,393,470,533,257,86,3686
CED509,2447,380,309,268,304,444,491,184,37,4855,1006,162,74,54,46,138,205,79,21,1800,589,380,233,173,187,260,371,248,64,2505,221,329,263,246,249,379,995,867,243,3791,248,320,245,175,211,301,834,583,208,3126,288,412,330,277,256,344,745,466,109,3212,250,518,457,347,303,349,529,322,85,3160,147,682,986,715,587,608,522,230,62,4527,81,619,1566,1206,1059,979,554,191,29,6282,27,367,1413,1357,1038,891,359,106,11,5564,17,194,1203,1345,1111,935,327,87,23,5235,12,130,927,1190,1043,722,208,28,4,4266,7,153,1568,2450,2314,1558,319,49,8,8422,0,30,390,709,683,432,103,20,6,2368,6,28,315,827,1066,647,161,41,6,3099,292,484,1433,1406,1140,767,394,313,212,6438,5632,5180,11712,12749,11588,9746,7103,3821,1127,68650,1908,344,1173,1217,1013,1276,792,262,66,8062,1256,169,313,370,269,337,325,128,36,3215,731,422,528,497,422,505,580,265,84,4036
CED510,2324,376,253,166,200,429,558,172,66,4557,1231,247,71,43,42,166,240,108,26,2186,612,462,222,99,109,224,482,254,66,2523,264,379,250,156,162,307,1019,736,239,3502,249,351,216,152,151,239,829,564,193,2951,270,466,269,164,180,296,947,527,128,3242,175,513,349,194,209,368,798,371,89,3059,103,626,541,325,345,545,765,295,62,3616,60,541,934,715,725,927,819,218,39,4980,18,303,907,783,779,894,589,136,23,4440,16,180,932,1010,1030,996,483,105,17,4774,3,91,685,1015,1043,843,290,43,3,4014,3,108,1285,2661,2720,2155,499,68,15,9516,0,28,305,940,1000,613,152,33,3,3066,0,11,334,1545,2177,1260,261,33,7,5634,153,218,469,559,628,506,350,229,155,3264,5484,4894,8010,10551,11510,10774,9078,3892,1131,65320,1766,236,531,970,861,1344,938,262,134,7043,1473,241,166,283,250,484,477,138,39,3548,779,525,300,354,311,556,781,342,133,4080
