CED_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
CED501,383,716,369,204,61,0,0,0,1740,8,40,51,46,66,0,0,0,210,40,311,533,880,1116,983,488,182,4538,437,1069,958,1128,1242,983,488,182,6489,10288,10303,10533,9595,7901,5133,2849,702,57297,947,1568,1393,981,645,334,234,147,6241,11675,12933,12883,11702,9784,6453,3570,1033,70029,177,202,83,16,10,0,0,0,483,4,14,26,14,3,0,0,0,63,23,109,200,261,228,140,68,21,1053,199,328,307,294,246,140,68,21,1609,10082,12199,12320,11085,9292,6726,3575,1199,66487,581,713,584,476,363,306,311,248,3579,10863,13245,13219,11859,9901,7174,3951,1466,71674,556,915,453,223,70,0,0,0,2218,13,57,75,59,71,0,0,0,276,68,426,737,1136,1347,1126,557,208,5591,636,1393,1264,1419,1487,1126,557,208,8091,20372,22500,22855,20683,17193,11861,6422,1899,123791,1524,2279,1977,1459,1009,636,540,395,9820,22537,26178,26097,23560,19691,13616,7519,2499,141699
CED502,13,20,18,3,9,0,0,0,56,9,22,23,6,6,0,0,0,69,35,109,201,375,516,734,352,154,2483,54,152,243,385,527,734,352,154,2609,10485,11979,13691,9967,7653,5595,2696,633,62691,644,921,910,750,522,291,201,156,4395,11178,13049,14844,11100,8697,6621,3248,940,69692,5,4,6,0,0,0,0,0,11,0,6,0,4,5,0,0,0,11,7,17,43,78,98,87,44,22,401,16,25,52,82,100,87,44,22,429,10232,13236,13859,10111,8674,6872,3369,1157,67520,586,768,686,473,360,328,307,263,3769,10835,14034,14600,10672,9131,7289,3728,1437,71717,12,22,26,3,9,0,0,0,69,12,34,28,6,5,0,0,0,81,43,126,248,456,618,826,394,173,2886,69,183,296,466,630,826,394,173,3041,20713,25214,27552,20080,16328,12465,6071,1786,130208,1231,1689,1591,1230,878,623,506,417,8165,22013,27081,29443,21774,17836,13916,6976,2379,141417
CED503,14,43,31,26,10,0,0,0,128,11,17,11,26,22,0,0,0,90,23,121,287,517,720,1320,926,405,4321,49,181,336,573,753,1320,926,405,4540,8062,7477,8012,8400,8566,7708,4344,966,53531,518,712,885,868,656,509,354,200,4702,8628,8367,9227,9837,9973,9539,5629,1571,62773,8,14,9,0,4,0,0,0,37,0,8,7,8,6,0,0,0,30,5,23,77,167,146,176,89,48,746,19,48,97,178,155,176,89,48,814,8126,8799,9273,9648,10148,9472,5231,1691,62383,462,462,488,490,437,419,457,371,3581,8605,9309,9854,10309,10745,10067,5780,2108,66779,26,59,45,26,14,0,0,0,163,15,25,23,28,28,0,0,0,120,35,149,370,685,868,1494,1019,454,5067,73,228,427,747,908,1494,1019,454,5353,16180,16275,17278,18042,18716,17184,9581,2654,115912,981,1169,1376,1361,1092,929,813,563,8283,17235,17675,19084,20147,20723,19607,11411,3679,129549
CED504,12,26,11,11,10,0,0,0,62,15,40,24,22,15,0,0,0,114,12,93,160,290,478,816,533,215,2599,37,156,201,319,502,816,533,215,2772,10460,12401,11713,10053,9346,7005,3644,972,65602,595,824,780,608,482,301,245,111,3949,11098,13385,12690,10984,10324,8118,4419,1300,72324,6,14,7,6,4,0,0,0,32,9,6,5,3,0,0,0,0,21,3,22,23,49,103,94,59,31,384,14,43,37,60,104,94,59,31,432,9971,12681,12033,10785,10524,8757,4671,1681,71112,500,710,615,446,379,325,330,225,3540,10489,13440,12680,11288,11010,9184,5066,1937,75084,14,37,21,16,10,0,0,0,91,15,48,27,22,15,0,0,0,137,15,120,186,342,577,911,595,241,2983,52,198,233,378,605,911,595,241,3208,20434,25082,23747,20842,19870,15765,8316,2649,136711,1102,1534,1392,1056,861,626,580,338,7488,21581,26823,25369,22277,21335,17297,9489,3231,147408
CED505,16,185,117,43,11,0,0,0,377,30,66,37,42,35,0,0,0,208,16,141,206,374,364,653,671,447,2873,62,390,364,457,409,653,671,447,3457,10451,10106,10379,10131,8547,6711,3839,1170,61325,357,782,609,453,381,357,329,232,3504,10866,11275,11353,11040,9334,7722,4842,1852,68286,11,15,13,9,0,0,0,0,46,10,19,9,10,5,0,0,0,52,5,34,45,76,74,53,37,50,383,27,66,67,100,82,53,37,50,479,10508,11549,11720,11458,9663,8216,5387,2684,71190,408,607,440,335,301,388,392,440,3312,10945,12214,12230,11890,10041,8655,5817,3173,74980,24,194,135,49,11,0,0,0,422,42,84,50,51,38,0,0,0,254,20,170,248,451,440,705,712,502,3252,84,452,433,558,492,705,712,502,3935,20959,21650,22099,21588,18210,14925,9223,3855,132512,763,1386,1054,788,679,742,722,676,6812,21811,23487,23589,22932,19378,16374,10662,5030,143257
CED506,50,52,34,30,14,0,0,0,175,10,52,43,24,14,0,0,0,150,19,169,359,588,787,1112,451,216,3707,78,278,436,642,810,1112,451,216,4034,9350,11695,11886,11424,10830,7022,3038,593,65832,1841,3004,2824,2547,2056,1017,498,158,13939,11261,14976,15144,14618,13697,9150,3985,968,83807,12,15,5,10,0,0,0,0,38,0,12,13,6,5,0,0,0,34,7,29,83,152,174,105,58,14,628,20,48,102,167,177,105,58,14,691,8781,12430,12006,11205,10492,7175,3195,1023,66314,1423,2019,1794,1546,1277,819,459,231,9566,10230,14497,13907,12916,11950,8100,3715,1268,76576,59,67,42,38,14,0,0,0,210,14,62,51,35,21,0,0,0,184,31,199,444,739,960,1220,508,235,4334,103,326,539,817,989,1220,508,235,4728,18133,24130,23889,22627,21326,14193,6232,1608,132146,3262,5022,4621,4095,3333,1837,955,387,23509,21492,29474,29047,27532,25648,17253,7701,2233,160379
CED507,0,4,8,5,7,0,0,0,21,6,12,10,15,15,0,0,0,58,17,76,194,451,521,1048,662,328,3300,26,96,216,473,541,1048,662,328,3379,7685,7411,8766,9118,8833,7542,3549,821,53725,529,881,945,925,698,538,290,161,4958,8237,8385,9924,10511,10077,9124,4499,1301,62069,5,0,3,0,4,0,0,0,7,0,3,0,0,0,0,0,0,13,6,23,48,100,131,138,69,42,564,12,27,57,104,136,138,69,42,584,7291,8220,10190,10336,10242,8772,4461,1718,61232,436,539,524,530,488,494,358,254,3610,7743,8785,10762,10969,10861,9404,4893,2010,65428,5,4,5,11,6,0,0,0,31,8,21,12,15,15,0,0,0,66,21,103,248,555,653,1185,733,365,3864,30,127,270,579,679,1185,733,365,3964,14982,15628,18954,19450,19075,16316,8009,2535,114955,967,1416,1467,1447,1189,1028,649,412,8569,15980,17173,20693,21483,20938,18530,9389,3312,127496
CED508,42,188,71,34,19,0,0,0,356,13,43,40,36,12,0,0,0,150,22,154,299,433,443,605,437,215,2614,76,392,409,495,475,605,437,215,3115,8903,10705,11289,9961,8441,6055,2926,839,59116,441,787,768,624,444,309,236,146,3754,9415,11888,12463,11080,9362,6971,3603,1208,65985,24,41,18,7,7,0,0,0,95,6,7,5,6,3,0,0,0,34,6,37,70,116,109,74,43,31,483,42,94,92,135,113,74,43,31,618,9157,12108,12276,10887,9573,7300,3719,1639,66648,399,581,473,412,337,317,309,263,3083,9590,12774,12844,11433,10021,7688,4071,1930,70349,68,235,90,43,19,0,0,0,454,25,62,48,42,16,0,0,0,179,31,191,367,550,552,681,479,248,3102,118,482,501,631,583,681,479,248,3731,18061,22808,23561,20853,18011,13352,6646,2479,125769,835,1370,1246,1035,781,622,544,409,6836,19007,24662,25311,22514,19380,14658,7668,3136,136332
CED509,14,26,23,18,6,0,0,0,82,9,33,31,35,18,0,0,0,125,18,143,279,511,607,814,526,190,3089,48,202,327,562,631,814,526,190,3300,10122,10124,11103,10019,8444,5974,3044,762,59589,645,1385,1321,1009,670,316,251,172,5762,10808,11712,12749,11588,9746,7103,3821,1127,68650,9,11,8,3,3,0,0,0,26,4,7,4,8,0,0,0,0,29,10,26,66,126,140,94,63,27,551,21,42,81,135,145,94,63,27,610,9493,11572,11998,11154,9476,7170,3806,1345,66008,423,643,545,450,350,321,299,277,3315,9944,12260,12627,11737,9961,7583,4168,1651,69938,25,40,22,20,6,0,0,0,114,14,44,38,43,17,0,0,0,156,28,169,345,633,749,908,591,220,3644,70,247,407,700,773,908,591,220,3911,19617,21696,23100,21170,17911,13146,6851,2102,125594,1064,2030,1864,1456,1023,637,548,454,9076,20758,23971,25366,23326,19710,14690,7991,2780,138584
CED510,12,24,35,33,13,0,0,0,117,14,34,35,34,37,0,0,0,160,16,99,278,455,584,938,554,224,3152,44,162,353,528,629,938,554,224,3429,10054,7451,9718,10463,9744,7865,3177,797,59261,281,399,482,516,405,275,165,107,2634,10383,8010,10551,11510,10774,9078,3892,1131,65320,7,10,6,9,0,0,0,0,25,3,10,0,13,5,0,0,0,31,5,21,61,105,128,103,58,33,523,17,35,74,127,132,103,58,33,587,9115,7800,10885,11552,11306,9187,3983,1616,65447,206,293,258,253,271,266,241,220,2007,9341,8136,11210,11932,11711,9564,4287,1868,68038,14,35,39,41,8,0,0,0,143,18,48,40,51,37,0,0,0,191,22,123,340,567,715,1046,612,262,3675,61,197,422,652,764,1046,612,262,4009,19165,15254,20603,22011,21045,17053,7156,2409,124702,492,695,733,773,677,543,406,327,4641,19721,16143,21760,23435,22482,18638,8175,2995,133353
