CED_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
CED501,2757,3118,1832,1238,1576,609,331,11462,1248,1122,566,342,414,78,42,3813,1320,1151,590,356,372,98,46,3933,4813,4498,2725,1720,1896,422,166,16235,36,50,30,17,10,0,0,140,10165,9946,5740,3675,4271,1216,585,35586,225,368,299,224,300,118,72,1604,339,390,271,169,186,39,26,1417,157,269,175,134,147,31,21,934,1282,1702,1083,817,792,131,74,5872,66,59,39,13,17,4,0,192,2062,2794,1872,1353,1431,317,192,10023,12234,12735,7612,5025,5700,1534,771,45606
CED502,6064,6209,3140,1801,2277,1157,713,21352,855,798,477,321,341,108,54,2942,892,854,369,245,283,89,38,2773,3390,3146,1747,1101,1224,295,142,11044,66,50,28,20,7,0,0,171,11260,11059,5761,3478,4136,1647,952,38289,356,519,351,251,376,190,129,2182,216,304,198,141,133,45,40,1076,144,214,145,107,96,32,22,759,1089,1338,871,632,621,117,65,4734,61,69,46,38,21,10,3,239,1876,2448,1607,1165,1245,395,261,8996,13132,13504,7363,4650,5375,2043,1209,47287
CED503,1274,1516,1012,663,934,348,173,5922,794,781,415,301,358,113,34,2803,923,871,468,336,350,98,36,3073,4356,4347,2669,1722,1863,416,176,15548,40,51,38,25,5,0,0,153,7389,7563,4608,3045,3514,973,416,27490,96,211,159,109,174,56,31,840,196,286,184,88,113,24,17,911,138,209,120,103,110,31,8,718,1022,1446,929,675,674,119,56,4928,39,45,30,22,8,0,0,140,1494,2195,1425,1000,1080,235,110,7544,8876,9757,6036,4036,4597,1204,530,35034
CED504,4458,4308,2174,1371,1891,1125,757,16087,874,754,398,265,354,177,72,2899,923,729,375,242,318,119,64,2760,2808,2513,1447,968,1224,441,227,9618,59,66,34,16,13,4,3,193,9124,8368,4427,2858,3794,1856,1123,31560,411,685,436,363,479,282,194,2848,170,279,165,141,160,53,34,1002,114,195,140,101,112,36,33,727,702,986,683,465,561,153,83,3635,61,83,45,16,17,10,4,228,1451,2222,1466,1083,1327,537,350,8436,10580,10591,5892,3943,5124,2397,1471,39998
CED505,2123,2603,1609,1073,1370,817,413,10019,1037,1042,670,458,629,374,177,4389,1030,1231,712,473,607,305,163,4534,3486,3555,2381,1545,2189,1258,543,14951,19,13,14,9,5,0,0,59,7699,8450,5380,3564,4801,2759,1301,33953,92,250,252,180,241,157,106,1283,79,174,143,139,189,99,42,868,55,154,114,84,145,78,48,683,207,450,381,320,446,231,142,2183,20,29,3,7,4,0,0,68,454,1063,900,725,1027,576,339,5084,8155,9515,6276,4289,5827,3336,1638,39036
CED506,1179,1177,686,410,508,59,36,4049,675,618,330,193,204,27,9,2049,981,886,437,266,241,28,9,2848,6505,6956,3886,2274,2135,207,56,22009,58,66,34,28,12,0,0,192,9392,9694,5372,3173,3094,320,106,31148,52,94,75,44,91,9,3,365,86,170,111,76,84,7,9,538,79,120,95,66,81,6,0,456,1493,2088,1402,916,841,62,13,6814,75,115,57,47,12,0,0,300,1784,2585,1749,1142,1113,84,24,8471,11178,12281,7116,4318,4204,401,129,39624
CED507,1033,1106,753,481,605,83,34,4104,659,743,447,292,359,31,17,2542,780,904,472,290,337,43,10,2836,4449,5109,3133,2142,2411,228,77,17554,25,51,28,16,5,0,0,127,6936,7919,4839,3220,3722,382,140,27155,71,113,92,71,103,16,3,474,117,212,157,117,112,16,0,729,84,172,128,99,132,12,0,626,878,1366,1011,763,823,61,17,4911,32,43,24,19,9,0,0,137,1179,1899,1415,1068,1176,109,22,6873,8122,9817,6252,4287,4894,486,167,34031
CED508,2685,2482,1272,812,1092,583,364,9285,1080,970,516,328,428,179,101,3608,1286,1068,544,337,405,178,92,3909,3978,3475,2053,1376,1636,623,301,13439,25,26,11,10,0,0,4,84,9048,8026,4399,2866,3567,1566,855,30322,139,275,209,171,228,82,81,1184,164,245,176,116,159,59,35,954,95,195,130,104,124,42,34,720,533,897,646,468,573,184,99,3396,43,43,28,11,6,3,0,142,977,1660,1193,868,1095,369,240,6396,10022,9684,5587,3733,4656,1934,1097,36725
CED509,3306,3326,1753,1093,1443,674,359,11957,1041,1015,602,407,465,153,83,3756,1080,1014,566,361,418,139,77,3643,4409,4256,2574,1715,2008,574,272,15808,50,40,36,13,13,6,0,165,9877,9653,5530,3581,4350,1548,798,35331,247,348,282,188,248,99,72,1494,164,281,167,109,149,38,21,930,107,172,127,93,132,36,21,684,830,1209,769,557,646,165,67,4250,44,42,37,11,6,0,0,150,1391,2055,1388,957,1184,347,178,7508,11271,11705,6920,4536,5536,1894,977,42837
CED510,2152,2664,1858,1323,1830,950,567,11343,1098,1272,721,441,630,270,146,4573,1101,1233,700,490,567,237,108,4432,3354,3846,2429,1586,1920,789,349,14268,25,23,18,16,4,0,0,93,7727,9037,5728,3847,4951,2248,1174,34708,98,260,206,185,303,141,100,1294,106,191,156,124,160,48,36,818,97,160,132,97,119,36,30,679,287,581,469,311,429,169,95,2325,31,18,7,10,3,0,0,72,609,1213,970,734,1013,395,260,5196,8336,10252,6701,4580,5964,2638,1433,39900
