CED_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
CED501,..,14880,14880,19061,1416,20475,10665,224,10887,10721,52,10768,4719,20,4740,2338,5,2340,47493,16597,64091
CED502,..,14539,14539,17014,1526,18542,10679,310,10989,11006,109,11119,4880,37,4911,3003,22,3026,46581,16540,63120
CED503,..,14429,14429,21017,1080,22093,8377,147,8528,8371,31,8402,3729,12,3744,1914,5,1911,43398,15700,59100
CED504,..,17043,17043,19748,1644,21397,11002,430,11438,9935,156,10087,4132,54,4194,2470,25,2496,47297,19353,66651
CED505,..,19010,19010,20102,1901,22004,9009,689,9695,10536,256,10793,3835,46,3881,914,17,929,44395,21921,66316
CED506,..,17157,17157,20619,1490,22111,8739,291,9031,8803,76,8876,4334,30,4359,2616,22,2635,45105,19067,64174
CED507,..,14599,14599,20379,1250,21634,8133,245,8375,8458,83,8541,3522,16,3534,1434,22,1455,41933,16214,58142
CED508,..,16624,16624,19450,1680,21129,10151,507,10654,10176,165,10336,3451,40,3492,1263,15,1274,44486,19031,63514
CED509,..,12733,12733,18625,1144,19770,10251,197,10452,10719,43,10758,4483,15,4502,2311,5,2320,46386,14147,60539
CED510,..,10819,10819,19653,892,20551,9686,203,9888,11950,75,12019,4198,24,4216,1205,17,1220,46694,12025,58715
CED511,..,19075,19075,22131,1334,23463,7912,210,8129,7598,45,7643,3669,14,3684,1819,18,1833,43120,20697,63824
CED512,..,11047,11047,17212,958,18169,11141,178,11320,12378,40,12413,4992,9,4999,2315,7,2324,48043,12237,60283
CED513,..,27617,27617,23854,3271,27124,9950,993,10950,8401,284,8685,2399,79,2473,787,38,826,45402,32277,77678
CED514,..,22417,22417,22124,2895,25017,10570,1151,11720,9394,436,9837,3417,171,3586,1626,87,1708,47131,27155,74290
CED515,..,13197,13197,19214,963,20171,10624,391,11014,12867,174,13041,4877,65,4945,1897,29,1928,49478,14819,64292
CED594,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
