CED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
CED501,1108,654,404,197,72,6,3124,63,446,592,504,360,173,46,11,2186,824,3503,4133,2757,1499,901,335,66,14013,724,2481,3216,3054,2204,1124,408,111,13311,3655,7995,6975,6172,4867,2553,1174,275,33666,1291,717,384,298,243,116,40,6,3087,224,337,489,587,482,351,181,28,2695,5175,9049,7850,7056,5598,3011,1395,307,39444,82,139,185,175,176,149,92,33,1036,1558,2083,2025,1730,1408,1108,981,525,11422,8454,18332,19106,15936,11651,6670,3333,1059,84532
CED502,2515,974,451,214,76,11,5869,49,467,667,409,289,166,52,4,2106,1089,5324,6386,2985,1582,945,343,73,18715,849,2861,3500,2442,1740,1028,407,98,12921,3157,5974,5708,4508,3690,2485,1013,203,26737,1111,564,384,278,186,109,41,8,2691,200,332,453,489,396,316,158,39,2383,4471,6873,6540,5285,4267,2909,1211,253,31810,73,177,265,191,157,142,78,27,1108,1415,2049,2041,1614,1297,1116,910,561,10996,8019,19299,21914,13891,9780,6522,3077,1027,83524
CED503,633,546,458,323,115,16,2440,30,302,399,454,398,288,93,17,1981,545,2268,2662,2271,1757,1487,612,117,11720,492,1593,2177,2361,2395,1784,827,172,11809,2873,5751,5462,5266,5016,3596,1655,366,29990,966,417,322,229,240,181,63,10,2434,193,246,368,481,517,460,274,71,2611,4039,6414,6153,5970,5775,4239,1994,453,35042,57,89,139,135,184,206,168,46,1017,1104,1345,1546,1605,1498,1621,1494,853,11070,6296,12326,13716,13344,12466,9960,5297,1678,75077
CED504,1831,920,553,329,112,13,5880,66,660,687,541,392,242,94,4,2685,1655,6481,5713,3343,2202,1520,556,99,21575,947,2906,2898,2451,2128,1529,609,120,13593,2595,5168,4536,4165,3982,2609,1152,283,24494,853,419,338,292,234,135,45,3,2335,202,321,419,567,591,397,185,45,2731,3660,5911,5289,5031,4809,3154,1382,325,29566,83,194,216,202,191,199,111,40,1230,1271,1974,1829,1403,1307,1170,1037,496,10485,7820,20097,18464,13884,11581,8143,3909,1103,85011
CED505,4629,4043,2837,1883,843,230,18452,74,997,1246,1431,1159,749,325,63,6046,3300,9592,9452,8540,5994,4441,2162,666,44142,577,1721,2115,2424,2378,2024,1374,497,13118,1386,2560,2054,1771,1716,1190,715,293,11686,422,167,135,109,111,91,57,17,1114,119,169,212,375,421,386,281,140,2093,1929,2903,2400,2253,2248,1663,1052,451,14896,80,161,206,198,159,240,198,101,1334,822,1619,1286,1023,987,1140,1147,922,8941,7095,20648,21329,19910,15762,12146,7100,2933,106921
CED506,871,565,491,258,60,5,3096,39,530,609,526,411,243,38,6,2406,728,4054,3723,2741,1770,965,359,60,14409,399,1891,2548,2422,2280,1371,427,70,11401,2659,7447,7289,6431,5269,2928,902,155,33079,1120,713,534,357,322,167,35,0,3250,178,313,426,512,496,351,128,35,2442,3956,8471,8252,7303,6089,3451,1058,194,38773,52,129,140,156,153,128,83,29,869,3471,5241,4901,4562,3928,2534,1447,558,26647,8695,21113,21038,18272,15125,8951,3475,923,97595
CED507,671,618,509,444,160,25,2865,23,296,569,618,514,351,107,16,2490,379,2703,3680,3216,2385,1832,708,175,15074,302,1406,2136,2328,2365,1826,750,187,11301,2835,5360,5991,5528,4815,3176,1166,257,29138,1032,492,344,304,254,178,50,12,2667,158,220,387,531,546,443,180,38,2496,4020,6065,6722,6366,5613,3791,1398,316,34299,35,95,142,127,153,200,110,32,897,1058,1418,1580,1682,1606,1610,1195,655,10814,5840,12411,15510,14953,13134,10052,4433,1391,77737
CED508,2583,1755,1276,762,221,39,8674,64,835,1029,893,704,379,112,12,4030,1674,7498,7007,4743,3058,1859,647,122,26603,708,2291,2965,2824,2260,1566,566,105,13286,2392,4995,4702,4222,3601,2162,889,231,23208,788,332,288,249,200,113,45,11,2015,180,260,384,513,519,372,161,52,2422,3357,5589,5368,4985,4317,2646,1093,290,27643,78,154,219,185,190,172,91,34,1128,928,1639,1592,1402,1159,1127,910,739,9493,6920,19932,20759,16773,12973,8511,3634,1354,90862
CED509,1572,1021,703,476,201,25,5043,52,507,747,698,538,285,110,10,2951,1002,4398,4960,3725,2249,1690,666,152,18845,658,2408,3189,2910,2343,1608,762,162,14049,2948,6431,5757,5152,4237,2577,1103,247,28444,966,474,359,276,167,129,54,11,2435,194,297,459,548,536,399,194,55,2678,4106,7209,6572,5976,4936,3106,1340,303,33551,76,149,219,172,182,159,118,39,1116,1022,1555,1594,1505,1301,1045,962,688,9674,6976,17207,18856,16014,12254,8370,4157,1390,85230
CED510,1911,1848,1315,725,198,35,7205,63,529,1008,1073,870,506,123,19,4182,1711,4815,6577,5735,3937,2621,810,150,26364,668,1545,2712,3381,3284,2425,803,181,15010,2255,3694,4353,4334,4523,3132,1177,254,23733,647,183,202,153,204,178,58,4,1625,153,176,380,609,605,544,252,62,2776,3053,4055,4935,5096,5332,3859,1487,323,28136,56,95,168,214,202,255,145,42,1173,627,857,1013,1123,1059,1042,783,597,7098,6270,12967,18318,18474,15990,11431,4358,1345,89160
