CED_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
CED501,8,0,0,0,0,4,0,4,0,274,5,295,0,0,0,0,0,0,0,9,4,86,0,97,0,0,0,0,0,0,0,10,6,71,0,90,0,0,0,0,0,0,0,18,0,59,0,86,0,9,0,0,0,6,0,32,0,310,5,367,7,8,0,0,0,11,3,64,3,222,0,320,0,22,0,9,0,32,0,130,13,1509,22,1744,12,45,0,15,4,91,3,174,15,836,6,1195,18,71,8,54,6,188,14,155,26,618,4,1160,56,106,8,173,15,200,14,134,22,544,15,1281,69,68,5,219,10,269,15,60,19,155,0,888,152,53,14,278,14,178,17,59,14,129,4,913,662,88,9,527,60,425,33,94,51,138,8,2090,656,55,25,467,64,110,39,31,22,50,3,1506,593,28,19,265,62,131,23,24,14,35,6,1193,410,12,12,125,29,30,15,6,0,4,0,648,627,23,22,174,62,145,23,19
CED502,5,0,6,0,0,5,0,8,3,376,11,417,0,3,0,0,0,0,0,18,0,89,0,108,0,5,0,0,0,0,0,21,3,58,0,85,0,0,0,0,0,3,0,15,0,68,0,85,0,4,0,0,0,10,0,49,6,280,9,350,0,12,0,5,0,15,6,75,6,184,0,296,0,21,0,11,4,62,0,141,14,1462,21,1744,11,52,3,21,4,124,0,186,20,640,8,1067,7,98,10,67,9,255,10,135,17,553,10,1164,62,101,10,227,14,279,14,111,19,386,8,1236,89,64,6,249,12,219,10,71,14,95,3,826,197,62,8,273,18,198,7,53,12,87,0,912,791,82,14,540,57,302,14,56,20,87,10,1968,682,38,23,364,55,73,21,32,6,34,0,1336,534,15,14,202,38,73,13,13,10,29,3,939,330,14,10,90,26,18,0,9,0,6,0,504,432,12,10,119,34,70,6,11
CED503,3,0,0,7,0,4,0,8,0,357,0,390,8,0,0,0,0,0,0,23,8,149,3,182,0,4,0,0,0,0,0,12,3,104,0,127,0,0,0,0,0,0,0,20,0,81,0,107,5,10,0,0,0,6,3,47,4,471,9,554,3,15,0,0,0,18,0,84,10,261,4,396,0,23,3,4,0,27,0,155,13,2348,21,2601,15,58,6,32,4,70,10,208,32,1295,11,1739,27,79,3,61,6,144,9,200,20,1078,8,1631,55,110,0,166,8,203,16,142,28,910,12,1658,55,69,3,162,9,172,4,79,20,234,4,816,100,55,10,224,14,179,12,63,24,258,6,948,489,91,29,489,43,394,33,108,49,243,3,1969,516,62,22,441,57,114,27,28,15,105,0,1387,470,25,18,275,40,131,16,30,24,70,4,1109,311,17,14,118,27,17,18,6,5,36,0,566,601,44,29,247,61,213,26,46
CED504,0,0,0,3,0,0,0,10,0,429,10,463,0,0,0,0,0,0,0,17,0,105,3,127,0,0,0,0,0,0,0,26,4,67,3,101,0,0,0,0,0,4,0,12,0,71,0,91,0,8,0,0,0,6,0,62,3,451,3,528,0,13,0,8,0,18,0,89,8,211,9,359,4,37,5,8,0,63,10,163,13,1746,26,2069,0,66,0,31,0,111,3,237,11,807,6,1281,25,112,0,70,6,231,9,189,15,667,3,1331,73,172,5,262,12,225,20,194,17,489,17,1485,76,91,6,249,18,197,14,69,14,129,0,868,170,84,3,278,31,167,15,51,15,140,7,957,775,136,13,561,41,291,21,76,16,153,8,2090,735,57,8,415,44,87,15,34,7,61,0,1478,571,27,15,238,25,85,13,17,5,31,8,1029,385,18,9,111,29,22,6,8,4,15,0,614,689,31,12,192,46,86,11,32
CED505,3,4,0,0,0,5,0,8,4,248,0,262,0,0,0,0,0,3,0,21,0,87,0,123,0,0,0,0,0,3,0,19,3,59,0,84,0,0,0,0,0,0,0,10,0,28,0,45,0,3,0,3,0,0,0,27,3,228,5,271,0,12,0,0,0,3,0,55,3,154,3,227,0,27,0,4,0,12,5,87,4,615,4,758,3,48,0,15,0,37,4,107,13,518,0,741,10,110,4,42,3,63,4,133,11,615,3,999,20,125,4,107,8,89,11,151,16,653,13,1185,17,80,0,153,0,85,4,89,14,242,4,695,76,76,3,149,10,115,3,102,17,387,0,938,384,137,14,390,27,226,16,145,18,464,9,1829,507,88,8,419,39,91,11,127,10,289,0,1589,557,63,7,292,34,163,14,96,16,188,3,1430,502,39,14,178,20,49,8,49,5,126,0,991,1854,245,36,779,104,595,42,331
CED506,18,9,5,5,0,3,0,0,10,268,9,322,3,6,0,0,0,5,0,14,4,95,0,127,3,0,0,6,0,0,0,21,0,68,0,104,5,0,0,0,0,7,0,12,0,58,0,88,17,14,0,9,0,11,4,48,4,429,8,538,5,9,4,8,4,20,0,91,8,175,3,327,33,42,4,31,0,54,7,141,18,1419,25,1757,36,70,7,42,0,83,7,178,16,633,18,1093,71,101,7,68,3,191,6,138,22,466,11,1088,118,116,11,174,13,191,17,140,23,445,7,1250,91,67,7,159,8,179,18,63,20,120,0,722,201,73,13,223,25,182,11,42,22,129,0,927,770,107,39,483,62,347,31,82,49,134,11,2112,823,72,38,460,66,122,29,35,12,73,0,1731,831,42,20,328,71,148,32,28,15,43,5,1562,619,35,23,177,37,34,13,5,12,23,0,970,1370,54,59,359,134,209,32,31
CED507,7,0,0,7,0,4,0,5,4,263,4,301,8,12,0,0,0,0,0,13,0,119,4,155,0,5,0,4,0,0,4,19,6,83,0,122,0,0,0,0,0,3,0,13,0,66,0,90,8,13,6,14,0,0,0,51,8,401,7,518,4,11,0,0,4,14,3,92,4,220,3,360,10,39,4,16,0,36,4,166,31,1758,25,2082,24,62,7,22,4,72,8,207,16,952,16,1388,31,132,8,79,9,150,10,217,36,882,12,1566,89,166,11,239,11,173,12,189,22,736,16,1673,77,79,12,219,19,171,15,88,15,198,0,890,169,76,10,271,19,179,16,75,14,257,4,1098,616,136,28,578,62,309,35,93,41,263,11,2176,549,67,24,532,48,86,18,40,11,112,3,1497,464,47,19,311,50,94,25,19,14,81,4,1130,321,15,11,122,25,27,17,7,0,24,0,575,582,81,23,284,47,147,29,49
CED508,6,0,0,0,0,4,0,0,0,297,4,310,0,3,0,0,0,0,0,7,0,97,0,108,0,0,0,0,0,0,0,12,0,81,0,98,0,0,0,0,0,6,0,13,0,54,0,78,4,6,0,0,0,0,0,32,0,293,3,340,3,9,0,5,0,10,0,65,3,151,3,251,4,29,0,3,0,36,4,116,18,1186,11,1401,8,46,0,23,0,89,5,149,16,602,5,943,14,76,0,47,5,149,4,150,23,568,3,1038,53,95,7,154,7,180,16,158,15,474,10,1162,48,77,4,217,14,174,12,106,9,137,0,808,129,61,7,245,18,167,11,78,10,189,0,911,681,113,13,562,57,338,24,106,33,177,3,2088,754,78,15,503,63,107,35,38,8,80,7,1684,732,61,21,366,54,119,17,44,10,69,0,1489,611,29,14,174,35,40,9,12,0,26,0,952,1172,77,25,454,84,212,32,70
CED509,5,0,0,7,0,3,0,6,5,276,3,311,0,4,0,0,0,3,0,15,0,104,0,124,0,4,0,0,0,6,0,22,0,85,0,121,0,0,0,0,0,0,0,12,0,33,0,48,4,16,0,0,0,9,0,44,3,271,0,346,5,14,0,6,0,17,3,72,0,173,6,292,7,33,4,9,0,40,9,122,13,1287,14,1532,12,44,3,22,0,79,3,166,13,712,3,1053,26,78,3,64,3,171,4,206,15,691,9,1278,71,113,3,183,5,200,4,155,19,625,4,1388,60,63,4,171,8,174,10,101,14,174,3,778,184,62,7,244,21,159,9,61,17,187,3,947,725,115,18,570,61,357,23,88,36,200,5,2203,771,68,25,434,46,111,28,37,16,78,0,1610,652,38,26,284,52,116,7,32,13,66,6,1278,450,11,17,156,48,25,10,14,3,20,0,764,808,41,30,296,65,207,14,37
CED510,0,3,0,0,0,5,0,13,0,301,3,328,0,0,0,0,0,3,0,10,0,144,3,162,0,3,0,0,0,8,0,28,5,86,0,124,0,0,0,0,0,0,0,17,6,60,0,84,0,14,3,0,0,6,0,44,14,343,0,416,5,11,3,0,0,3,3,71,3,207,0,312,0,31,0,3,0,43,4,135,12,1226,6,1476,3,51,4,10,0,50,3,178,19,938,5,1259,12,83,0,50,9,119,11,206,21,970,9,1479,29,137,0,104,5,151,7,193,22,876,4,1528,33,61,3,151,12,182,10,130,21,302,4,909,79,77,13,193,11,152,7,113,19,324,5,991,426,134,18,445,53,343,26,151,38,334,0,1968,613,86,11,449,53,128,29,56,18,147,0,1589,565,73,12,332,39,143,13,40,16,102,4,1339,435,37,5,185,34,52,15,14,4,38,0,825,1012,108,36,439,84,302,19,91
CED511,37,9,3,15,5,6,0,3,5,233,7,323,9,6,0,4,0,3,0,11,4,130,0,170,6,3,0,4,0,7,0,23,0,72,4,120,4,0,0,4,0,4,0,26,4,58,0,95,22,35,0,18,3,12,4,54,11,403,11,569,3,12,0,9,0,27,0,81,8,236,13,391,33,54,6,30,3,64,8,203,15,1889,37,2338,61,79,13,45,3,132,4,219,30,834,19,1432,85,160,16,116,9,242,10,209,33,653,13,1547,153,165,18,281,18,189,18,203,32,626,13,1720,110,68,16,230,17,192,18,74,14,128,7,865,251,95,29,296,17,172,19,74,26,173,8,1169,789,154,38,640,64,338,42,82,42,180,12,2388,704,75,30,476,71,98,37,49,18,86,3,1654,554,48,22,331,56,121,14,23,17,74,5,1269,390,30,5,140,31,33,6,6,3,29,5,695,870,80,27,339,54,147,25,34
