CED_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
CED501,26,28,549,176,35,632,217,899,61,2630,127,213,1435,418,126,373,472,802,86,4054,746,988,3496,735,453,387,1617,1272,208,9903,1312,1381,3259,649,543,282,1648,980,204,10250,1266,1045,2810,585,486,251,1711,845,211,9215,843,765,1824,404,388,209,1462,699,119,6714,191,193,265,81,88,69,290,180,32,1396,19,27,18,4,11,0,15,24,12,124,0,0,0,0,4,0,0,0,8,9,4531,4644,13650,3059,2135,2205,7429,5695,926,44284,41,54,128,645,123,1212,42,428,40,2713,202,421,325,1136,507,721,111,331,65,3807,746,1998,740,1918,1742,826,255,571,122,8919,853,2195,548,2008,1877,758,236,720,122,9309,861,1705,460,1861,1828,801,237,841,102,8702,418,979,244,1173,1416,528,173,581,79,5604,68,158,48,192,263,95,33,132,14,1002,9,12,0,5,11,6,0,11,7,61,0,0,0,0,0,0,0,3,6,5,3191,7524,2495,8938,7773,4946,1084,3620,563,40124
CED502,31,41,407,137,37,464,222,762,44,2147,123,266,1161,363,204,442,615,865,97,4131,758,1394,2972,632,628,517,1804,1355,271,10321,1366,2227,3277,707,850,415,2084,1124,259,12321,975,1140,2366,514,538,293,1659,958,192,8635,660,640,1413,330,415,202,1507,702,124,5993,175,201,349,87,137,86,323,243,32,1621,24,28,18,11,12,9,9,27,10,149,3,0,0,0,0,0,0,0,0,9,4113,5930,11961,2779,2816,2430,8223,6039,1032,45322,32,36,71,455,144,1024,47,316,56,2187,156,406,283,1001,591,730,135,334,73,3713,670,2178,667,1877,1744,776,253,673,158,8990,793,2547,579,2003,1971,696,263,837,129,9814,599,1366,360,1507,1686,572,230,945,99,7361,334,810,242,995,1323,518,181,641,61,5108,80,171,47,212,312,114,40,143,20,1140,0,15,0,11,31,3,0,11,7,86,0,0,0,0,0,0,0,0,0,10,2669,7534,2248,8051,7799,4440,1155,3897,606,38408
CED503,35,25,537,172,40,424,167,758,42,2193,102,162,1089,209,87,289,374,597,60,2968,498,544,2647,362,205,276,1099,825,158,6616,982,819,2333,348,288,223,1446,715,173,7329,1239,857,2245,343,326,207,1627,673,175,7707,1041,807,1839,305,310,228,1461,600,151,6737,401,263,382,85,96,123,383,215,49,1993,91,49,33,10,16,19,35,38,16,304,12,4,0,0,0,0,0,0,4,20,4387,3525,11106,1833,1378,1803,6595,4415,828,35862,19,36,119,654,120,1051,58,336,43,2437,121,288,266,839,369,557,105,245,36,2830,518,1344,555,1270,1197,568,241,387,92,6164,710,1563,508,1373,1381,569,244,495,87,6928,785,1544,451,1461,1647,696,248,576,88,7507,601,1051,318,1160,1424,590,196,538,71,5945,148,259,55,188,361,129,40,136,15,1346,18,11,5,9,29,11,0,9,17,114,0,0,0,0,0,3,0,0,3,14,2931,6096,2280,6951,6529,4173,1141,2728,450,33278
CED504,20,35,344,198,49,499,161,670,40,2003,146,410,1017,471,244,503,488,818,95,4203,899,1988,2991,835,659,602,1354,1282,261,10878,1387,2037,2644,599,624,403,1315,1127,230,10366,1226,1345,2132,439,567,356,1259,1036,170,8526,920,955,1759,395,557,328,1162,924,113,7113,303,354,457,113,158,105,327,309,48,2165,38,44,43,6,30,17,23,29,10,248,0,0,6,0,3,5,0,3,7,18,4939,7178,11386,3060,2875,2812,6097,6201,969,45522,23,46,63,475,135,1027,20,311,40,2125,158,555,260,1131,619,885,87,310,67,4076,797,2810,645,1937,1630,769,181,593,197,9563,883,2378,514,1635,1813,637,184,689,140,8871,790,1576,436,1569,1885,702,193,893,113,8165,511,1001,335,1190,1686,566,145,836,87,6353,109,295,82,272,473,158,40,202,25,1653,11,16,5,15,36,9,4,17,6,116,0,0,0,0,0,0,0,0,3,3,3274,8671,2337,8227,8287,4751,850,3850,683,40929
CED505,21,120,191,511,89,489,153,676,32,2284,138,889,550,739,274,497,194,463,47,3795,1054,3817,1604,747,493,407,462,634,155,9372,2370,4117,1242,404,462,345,397,478,162,9967,2998,3784,869,283,459,354,296,308,144,9486,2057,2878,694,196,345,279,238,278,104,7062,772,1246,210,78,143,149,104,122,50,2885,158,275,27,11,40,45,14,24,28,618,15,21,0,5,4,11,0,3,9,60,9581,17149,5391,2979,2316,2565,1852,2977,724,45533,21,91,50,966,160,969,23,234,25,2551,171,1013,170,1325,655,729,40,168,43,4319,990,4928,417,1266,1253,493,110,415,121,9990,1547,4548,299,874,1388,354,37,285,119,9455,1637,4179,261,789,1707,432,33,195,118,9349,874,2780,186,616,1312,405,52,156,71,6457,261,809,66,175,534,139,15,55,46,2098,42,107,10,19,88,31,0,17,20,329,3,5,0,0,9,0,0,0,9,24,5549,18460,1459,6030,7099,3543,310,1528,577,44565
CED506,39,43,642,146,42,497,160,752,75,2385,158,222,1236,215,87,233,430,762,66,3410,945,1170,3715,630,301,309,1515,1456,240,10285,1688,1253,3569,554,377,224,1740,1068,247,10720,1864,1038,2745,532,376,234,2178,1003,282,10245,1695,871,1996,463,373,240,2122,921,175,8863,787,304,467,136,106,105,591,316,71,2876,211,30,34,14,19,22,32,50,32,440,26,0,0,0,0,0,0,6,7,54,7416,4927,14405,2684,1672,1859,8775,6325,1208,49280,29,43,153,605,189,823,47,393,58,2337,128,458,247,733,525,395,161,352,70,3056,764,2380,664,1606,1678,634,418,878,137,9163,1153,2195,584,1604,1963,601,369,795,151,9423,1228,1781,473,1497,1889,701,401,854,132,8942,1057,1256,319,1122,1547,630,281,751,115,7083,373,327,63,245,396,152,64,225,46,1893,81,21,5,14,27,11,3,32,20,225,5,0,0,0,0,0,0,0,6,11,4831,8470,2514,7417,8213,3942,1742,4286,728,42141
CED507,26,21,596,224,21,582,134,847,49,2488,75,99,1048,154,64,199,334,665,33,2667,542,680,2496,324,152,289,869,1180,133,6675,1076,1044,2682,342,241,233,1286,1019,186,8104,1425,1203,2326,362,306,309,1464,898,162,8449,1196,978,1636,323,311,273,1376,828,120,7050,577,375,390,83,115,130,379,277,52,2382,145,39,21,5,16,21,32,39,15,328,21,0,0,3,0,4,0,0,7,35,5082,4437,11193,1824,1239,2035,5864,5750,746,38178,33,33,110,767,132,1049,33,412,41,2611,125,257,216,663,325,367,63,296,36,2349,534,1470,526,1118,984,568,147,694,62,6104,879,2130,520,1427,1467,692,152,788,112,8165,941,1940,468,1541,1749,788,206,875,92,8600,668,1332,302,1134,1448,658,158,702,61,6463,268,324,70,196,351,176,28,172,32,1618,58,19,6,13,29,8,6,27,13,169,3,0,0,0,0,0,0,0,3,15,3513,7493,2218,6866,6484,4299,798,3964,453,36080
CED508,34,30,370,272,41,461,157,701,28,2094,140,394,1001,527,196,465,370,594,41,3729,1027,2625,2758,759,536,400,802,871,206,9973,1956,2831,2694,534,575,352,867,676,209,10692,1839,2117,2117,381,518,328,961,661,189,9113,1305,1388,1553,278,442,266,871,622,106,6830,328,519,375,85,132,127,235,187,46,2032,55,73,23,7,4,18,16,35,8,237,0,0,0,0,3,0,0,0,0,12,6694,9968,10884,2838,2452,2413,4290,4349,831,44714,23,61,94,677,137,982,28,319,31,2363,185,670,251,1266,584,694,74,244,40,4009,992,3903,684,1499,1702,594,159,321,144,10010,1276,3785,528,1321,1866,502,120,424,137,9959,1080,2726,451,1341,1997,582,136,534,98,8940,674,1716,302,979,1638,489,111,492,78,6479,140,477,67,184,390,150,21,132,23,1578,11,26,9,10,32,17,0,15,4,123,0,0,0,0,0,0,0,0,6,9,4382,13368,2390,7270,8348,4019,649,2480,557,43464
CED509,31,49,526,232,58,603,200,858,43,2603,121,266,1181,350,190,434,489,692,91,3814,821,1307,3036,622,497,419,1395,946,192,9240,1669,1719,2834,613,608,331,1668,746,191,10389,1761,1575,2369,558,601,347,1333,667,168,9382,1252,1085,1625,399,480,272,1249,595,140,7105,365,458,374,92,138,105,353,197,49,2124,85,77,32,10,10,18,28,37,15,307,11,6,3,0,0,0,0,6,6,27,6106,6534,11986,2885,2586,2540,6719,4738,908,44986,43,37,109,696,151,1138,58,425,45,2703,185,429,282,996,586,677,103,286,81,3617,765,2210,628,1714,1865,809,244,462,125,8821,1002,2497,537,1677,2174,637,186,540,153,9401,1079,2077,459,1623,2154,691,222,597,119,9023,628,1357,317,1099,1671,556,141,490,76,6341,137,340,91,214,415,128,21,123,27,1505,27,31,7,16,37,9,0,18,6,159,5,0,0,0,0,0,0,4,3,12,3872,8987,2423,8042,9056,4650,979,2945,631,41581
CED510,24,54,483,392,74,602,179,873,15,2694,123,486,1042,508,217,547,266,604,57,3840,663,1563,2179,504,351,322,482,541,141,6741,2034,2477,2368,483,494,297,560,497,144,9345,2705,2494,2152,511,587,390,647,526,177,10187,1944,1903,1854,416,555,344,678,540,110,8345,512,636,511,105,207,159,253,219,38,2650,36,71,32,4,19,18,14,43,13,260,3,3,4,0,6,0,0,4,5,16,8040,9687,10622,2914,2501,2678,3082,3841,708,44076,26,52,87,856,167,1265,28,381,18,2880,146,612,164,1053,600,731,40,187,41,3577,625,2558,402,907,1198,463,68,174,102,6501,1192,3595,393,1145,1910,424,56,204,127,9031,1236,3225,447,1429,2448,601,69,317,106,9887,762,2196,332,1134,2313,647,84,353,70,7897,144,448,66,231,627,184,19,119,25,1857,11,26,10,11,32,9,0,9,8,118,0,0,0,0,0,0,0,0,3,9,4139,12714,1909,6752,9300,4320,368,1746,507,41757
