CED_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
CED501,138,118,128,97,758,1269,531,1457,38,4531,142,255,203,176,1038,1494,429,881,32,4644,682,459,474,510,2499,3657,1313,3851,211,13650,144,375,290,170,431,807,246,538,52,3059,80,87,95,69,586,601,210,390,12,2135,63,649,308,145,393,333,90,184,25,2205,515,372,352,256,1209,1280,664,2634,148,7429,328,1015,532,359,856,970,356,1149,138,5695,45,49,35,32,124,162,70,187,229,926,2133,3399,2421,1813,7893,10576,3901,11272,888,44284,138,210,255,251,823,811,261,423,26,3191,486,899,1017,841,1619,1489,394,731,48,7524,159,427,397,248,537,391,92,210,30,2495,493,2115,2021,1245,1484,822,167,452,147,8938,368,1020,1269,821,2162,1440,275,350,61,7773,242,1957,1037,442,725,302,76,110,56,4946,90,149,126,68,182,122,69,263,16,1084,175,1231,757,390,430,245,65,262,63,3620,41,55,51,36,91,79,18,32,154,563,2196,8073,6931,4333,8046,5703,1408,2832,600,40124
CED502,80,126,139,117,782,1258,483,1096,25,4113,144,291,266,257,1591,2055,461,814,49,5930,426,554,589,509,2561,3227,1201,2674,221,11961,100,404,351,254,528,605,180,321,48,2779,68,153,154,131,860,827,236,373,23,2816,56,638,326,146,484,437,125,189,26,2430,333,498,560,417,1690,1692,743,2101,190,8223,206,1174,730,436,1199,1072,354,760,111,6039,33,75,50,37,176,169,53,150,285,1032,1445,3903,3163,2304,9866,11340,3833,8474,986,45322,88,200,233,209,725,661,213,328,20,2669,425,851,1009,853,1863,1544,357,555,69,7534,87,384,374,227,580,337,94,148,24,2248,397,1840,1826,1187,1459,622,181,411,129,8051,358,1004,1185,796,2343,1449,289,305,73,7799,192,1646,977,408,695,292,77,84,62,4440,66,172,152,98,261,178,54,152,23,1155,161,1187,793,467,601,332,76,201,80,3897,29,87,57,22,113,74,12,31,183,606,1805,7370,6600,4269,8635,5486,1365,2214,672,38408
CED503,137,194,192,137,558,1067,444,1606,47,4387,154,258,207,190,713,974,294,702,34,3525,614,429,472,412,1986,2555,1075,3378,184,11106,106,348,224,123,217,409,130,248,32,1833,55,116,72,71,321,337,127,251,16,1378,53,515,232,130,283,264,72,212,37,1803,610,341,322,208,992,831,633,2529,128,6595,238,916,461,266,608,753,251,824,93,4415,55,60,34,20,99,126,48,164,222,828,2033,3185,2222,1549,5787,7309,3081,9913,782,35862,133,254,296,246,623,640,213,487,23,2931,411,800,907,728,1170,1116,327,597,43,6096,131,429,392,247,462,298,89,196,28,2280,389,1909,1600,936,1101,500,113,299,102,6951,305,1136,1223,694,1596,1000,208,319,53,6529,212,1643,892,379,551,294,68,93,47,4173,138,133,111,72,183,99,45,341,27,1141,142,1039,539,293,229,187,43,197,48,2728,34,45,50,20,58,53,3,31,147,450,1888,7387,6013,3610,5976,4188,1123,2568,527,33278
CED504,79,166,207,177,914,1418,540,1396,46,4939,170,424,372,359,1779,2259,619,1142,51,7178,346,612,702,613,2479,3237,968,2221,215,11386,123,616,473,235,446,549,185,366,74,3060,83,199,208,130,900,786,202,340,24,2875,48,728,403,195,511,492,127,264,44,2812,242,487,537,350,1295,1206,454,1385,143,6097,184,1298,854,459,1229,1057,290,707,123,6201,26,83,44,43,162,162,55,122,272,969,1301,4608,3806,2556,9707,11169,3446,7942,985,45522,114,240,308,281,831,796,267,410,29,3274,505,1056,1129,928,1993,1795,482,706,68,8671,87,368,425,229,612,343,83,157,33,2337,360,2033,1930,1074,1442,674,167,401,146,8227,335,1213,1325,860,2435,1435,266,336,77,8287,168,1810,1067,431,676,361,55,109,73,4751,43,133,111,90,191,116,35,109,26,850,136,1241,848,405,571,339,66,176,70,3850,34,84,66,43,99,92,5,37,215,683,1791,8184,7206,4332,8849,5950,1438,2445,734,40929
CED505,186,469,410,366,992,2515,1144,3454,47,9581,407,1261,969,893,2563,5236,1721,4019,73,17149,213,374,336,257,895,1412,509,1317,64,5391,140,1056,432,206,255,410,143,282,39,2979,73,315,191,88,530,600,176,342,10,2316,74,788,301,152,293,428,144,361,17,2565,122,287,181,113,247,278,112,476,32,1852,138,1087,488,210,310,316,67,332,35,2977,26,83,55,49,74,122,35,122,158,724,1382,5715,3375,2337,6169,11325,4056,10700,476,45533,202,477,623,494,854,1335,476,1050,36,5549,956,2732,2902,2046,2908,3639,1135,2050,91,18460,86,299,209,129,289,259,53,118,20,1459,265,2334,1329,598,673,456,111,198,70,6030,248,1594,1318,717,1457,1144,245,322,60,7099,147,1638,700,243,316,265,78,133,25,3543,33,67,30,24,21,35,8,91,7,310,58,645,369,136,126,79,12,80,17,1528,44,100,60,42,83,59,8,48,137,577,2035,9889,7544,4414,6731,7273,2127,4089,465,44565
CED506,241,252,258,194,638,1426,698,3611,103,7416,283,270,216,225,896,1254,471,1248,57,4927,852,596,520,402,1644,2897,1449,5761,278,14405,185,243,180,159,400,733,244,496,55,2684,65,88,88,62,357,378,208,417,14,1672,54,450,174,143,285,325,135,266,34,1859,729,478,362,209,673,1029,767,4358,175,8775,342,947,548,359,775,968,402,1780,200,6325,76,77,43,41,106,164,72,311,312,1208,2833,3399,2393,1786,5774,9171,4440,18256,1229,49280,207,346,385,332,826,983,401,1281,60,4831,611,867,923,838,1681,1737,608,1133,69,8470,173,372,313,235,403,370,162,445,41,2514,433,1442,1302,989,1371,964,250,526,129,7417,432,1184,1125,790,2064,1488,378,666,88,8213,191,1191,727,393,656,400,124,209,61,3942,205,139,138,73,124,153,138,733,35,1742,189,1157,772,422,496,456,134,589,84,4286,54,73,43,26,84,73,22,83,269,728,2482,6768,5726,4098,7716,6627,2212,5669,842,42141
CED507,212,248,237,188,546,1144,549,1916,45,5082,195,309,278,279,764,1245,412,930,31,4437,695,490,475,432,1715,2900,1114,3209,164,11193,124,337,246,157,230,367,112,238,19,1824,67,114,98,68,246,293,114,237,11,1239,69,569,236,163,329,322,106,217,21,2035,513,338,289,201,638,968,567,2247,101,5864,304,1047,562,423,933,1000,394,973,120,5750,34,62,36,28,76,143,42,158,171,746,2203,3507,2463,1935,5475,8378,3410,10121,681,38178,186,372,378,328,633,720,284,569,39,3513,544,1163,1200,973,1238,1235,424,670,41,7493,129,436,374,251,449,299,86,169,29,2218,396,1803,1596,1037,1009,534,123,281,94,6866,347,1280,1230,726,1485,905,180,280,44,6484,230,1530,950,461,563,322,73,126,40,4299,98,94,114,46,92,87,39,209,22,798,200,1402,806,394,499,306,94,178,72,3964,36,70,42,37,56,50,15,22,129,453,2165,8149,6693,4263,6023,4461,1310,2499,513,36080
CED508,147,206,228,221,939,1930,784,2207,27,6694,326,615,553,504,2038,3127,887,1834,81,9968,429,473,473,441,1965,3117,1109,2730,140,10884,143,612,405,220,366,541,210,316,38,2838,74,137,139,101,655,703,244,383,13,2452,54,670,300,147,368,441,147,259,27,2413,267,299,247,185,738,876,394,1198,84,4290,212,1020,521,306,618,684,246,658,76,4349,27,65,28,23,132,186,36,149,182,831,1685,4087,2889,2160,7827,11618,4045,9733,668,44714,210,316,429,359,984,1072,359,635,15,4382,840,1796,2109,1554,2467,2510,794,1221,74,13368,111,483,369,275,505,363,87,164,23,2390,344,2048,1645,975,1169,601,120,291,82,7270,374,1333,1445,885,2131,1484,259,392,54,8348,155,1621,862,378,514,290,58,104,42,4019,47,96,86,61,123,72,30,130,5,649,98,916,513,225,301,191,63,134,44,2480,27,74,69,31,82,71,14,35,146,557,2198,8690,7523,4752,8269,6666,1784,3089,498,43464
CED509,130,192,232,177,859,1622,747,2103,46,6106,207,419,346,301,1349,1969,634,1248,46,6534,543,503,519,448,2232,3125,1143,3284,180,11986,141,462,313,220,427,681,230,359,55,2885,78,173,115,104,735,693,229,434,22,2586,62,661,323,154,429,448,146,290,30,2540,404,401,356,289,1103,1253,580,2214,123,6719,225,1033,532,321,767,801,250,736,86,4738,49,75,29,32,116,158,44,157,236,908,1840,3920,2758,2047,8030,10736,4005,10834,822,44986,158,257,357,278,959,907,330,604,20,3872,542,1185,1316,998,1828,1675,506,874,58,8987,125,438,393,231,547,357,98,206,23,2423,405,1976,1801,1061,1416,733,177,363,101,8042,397,1357,1471,911,2447,1622,344,448,59,9056,215,1734,1030,427,625,367,86,104,54,4650,105,128,116,61,159,133,47,217,9,979,119,1087,609,289,359,216,52,166,50,2945,35,80,61,35,109,73,13,43,182,631,2102,8246,7158,4291,8453,6078,1654,3031,561,41581
CED510,162,223,262,216,1072,2272,1056,2737,40,8040,284,641,464,464,1864,3156,915,1841,48,9687,466,552,524,501,1819,3146,1007,2495,116,10622,147,676,342,176,297,681,244,325,22,2914,82,224,157,108,627,737,222,344,9,2501,58,808,377,125,365,483,138,309,17,2678,200,318,239,165,445,536,250,890,42,3082,186,1165,437,256,478,589,173,520,48,3841,28,58,39,36,104,147,42,115,145,708,1618,4665,2833,2049,7067,11746,4045,9569,482,44076,182,297,467,399,877,942,309,642,19,4139,784,1824,2278,1508,2280,2210,693,1077,60,12714,93,390,383,248,371,247,59,109,14,1909,354,2137,1614,812,902,522,122,226,71,6752,384,1740,1885,1119,2113,1365,281,357,52,9300,185,1915,997,345,434,270,66,83,32,4320,30,70,50,27,44,27,16,91,9,368,66,854,318,145,162,87,21,68,28,1746,29,69,56,33,82,58,20,26,126,507,2104,9299,8060,4635,7263,5722,1586,2674,410,41757
