LGA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
LGA50080,0,7,..,39,0,36,0,42,..,78,5,91,4,91,..,13,0,16,0,16,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,16,0,19,0,19,..,5,0,5,0,5,..,23,0,24,0,24,..,3,0,3,0,3,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,119,6,123,0,123,..,37,3,43,0,43,..,125,7,128,0,132,..,48,0,54,0,54,..,329,17,343,0,347,..,16,0,16,0,16,..,11,0,11,0,11,..,40,4,44,0,44,..,0,0,0,0,0,..,16,0,20,0,20,..,221,63,285,0,288,..,1145,122,1273,4,1274,..,51,9,60,898,960,17495,1203,135,1334,904,19732,34040,..,..,..,..,34040,..,218,3,217,0,219,..,6,4,6,0,6,..,28,0,28,0,28,..,37,11,51,0,51,..,81,17,102,0,102
LGA50210,0,139,..,2368,255,2620,41,2666,..,171,16,190,3,190,..,75,13,88,0,86,..,31,8,39,0,39,..,105,45,154,3,153,..,9,0,10,0,10,..,738,58,797,5,803,..,83,15,100,0,100,..,56,0,58,0,58,..,60,3,67,0,67,..,51,12,66,0,66,..,34,0,33,0,33,..,38,0,34,0,38,..,378,14,394,5,400,..,277,22,303,5,311,..,534,24,563,3,562,..,293,19,313,4,315,..,1490,83,1570,19,1589,..,187,22,206,5,209,..,593,58,656,6,658,..,174,22,200,0,197,..,22,5,27,0,27,..,69,26,98,3,97,..,1939,311,2251,40,2293,..,10133,1243,11378,157,11534,..,241,42,282,2070,2350,33701,10376,1284,11655,2219,47583,66921,..,..,..,..,66921,..,529,12,542,0,543,..,453,42,492,4,500,..,132,0,136,3,138,..,412,63,475,4,483,..,1412,345,1762,34,1796
LGA50250,0,0,..,13,0,13,0,13,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,21,0,21,..,19,0,25,0,25,..,25,0,25,0,25,..,0,0,0,0,0,..,68,0,75,0,75,..,9,0,9,0,9,..,0,0,0,0,0,..,27,5,33,0,30,..,0,0,0,0,0,..,3,0,3,0,3,..,144,9,155,0,157,..,365,24,390,3,396,..,14,0,14,486,499,2205,381,24,404,491,3096,5167,..,..,..,..,5167,..,23,0,21,0,21,..,14,3,16,0,20,..,153,13,162,3,161,..,3,0,3,0,3,..,29,0,30,0,30
LGA50280,0,0,..,9,4,13,0,13,..,51,4,58,0,58,..,17,5,23,0,23,..,0,0,0,0,0,..,16,4,22,0,22,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,23,0,23,0,25,..,7,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,19,4,19,0,19,..,17,0,16,0,17,..,20,3,25,0,25,..,7,0,11,0,11,..,69,9,73,0,74,..,65,0,68,0,68,..,0,0,0,0,0,..,20,6,26,0,26,..,0,0,0,0,0,..,6,4,13,0,13,..,78,11,88,0,87,..,591,52,644,13,649,..,28,0,30,596,625,7130,618,49,666,604,8400,14155,..,..,..,..,14155,..,28,0,28,0,30,..,0,0,0,0,0,..,3,0,3,0,3,..,17,4,22,0,22,..,38,14,49,0,49
LGA50350,0,12,..,93,10,103,3,105,..,103,17,120,0,120,..,27,3,29,0,29,..,0,0,0,0,0,..,12,5,17,0,20,..,13,0,13,0,13,..,19,0,19,0,19,..,3,0,3,0,3,..,28,8,36,0,36,..,14,0,14,0,14,..,12,0,12,0,12,..,0,0,0,0,0,..,34,3,36,0,36,..,29,0,29,3,34,..,26,0,22,0,22,..,56,0,56,0,56,..,14,0,15,0,15,..,124,6,128,3,130,..,20,0,20,0,20,..,12,0,12,0,12,..,26,10,34,0,34,..,5,0,5,0,5,..,66,30,96,0,98,..,206,25,226,7,236,..,1049,167,1216,17,1235,..,27,0,30,343,374,6529,1078,167,1246,360,8135,12856,..,..,..,..,12856,..,20,0,20,0,17,..,37,5,47,3,48,..,23,0,23,0,23,..,49,20,72,0,72,..,114,41,152,0,154
LGA50420,0,61,..,904,78,982,15,991,..,841,123,959,6,961,..,152,20,176,0,178,..,16,8,25,0,25,..,89,26,119,0,121,..,87,19,105,0,105,..,86,4,92,0,92,..,114,18,130,0,130,..,174,29,199,3,199,..,111,10,115,3,123,..,81,14,93,0,94,..,4,0,4,0,4,..,237,34,274,0,278,..,163,7,169,0,170,..,136,11,143,0,143,..,191,9,199,3,200,..,119,11,133,0,129,..,600,40,640,8,651,..,217,25,240,0,242,..,95,0,92,0,95,..,156,24,180,0,177,..,27,15,42,0,42,..,879,461,1333,7,1340,..,1135,164,1303,20,1323,..,8064,1761,9829,94,9920,..,177,28,207,1251,1458,23517,8243,1797,10034,1347,34900,47267,..,..,..,..,47267,..,104,0,107,0,107,..,461,107,560,0,564,..,43,0,45,0,45,..,912,375,1282,12,1296,..,1301,545,1844,22,1864
LGA50490,0,29,..,966,107,1072,16,1088,..,203,21,228,0,232,..,72,17,84,0,86,..,10,4,18,0,17,..,108,32,149,0,149,..,20,0,23,0,23,..,69,6,78,3,84,..,68,22,91,0,90,..,67,11,73,0,77,..,73,5,79,0,81,..,38,6,45,0,45,..,17,0,17,0,17,..,27,0,23,0,29,..,226,3,230,5,232,..,173,18,187,3,195,..,302,7,316,4,316,..,149,9,160,0,160,..,851,37,890,9,894,..,124,22,147,5,149,..,48,0,50,0,52,..,117,38,155,0,157,..,33,15,51,0,51,..,205,55,264,0,264,..,921,162,1075,28,1101,..,5623,957,6586,83,6670,..,128,18,151,1256,1407,12771,5755,980,6734,1343,20846,26130,..,..,..,..,26130,..,80,0,80,0,82,..,668,84,747,10,757,..,63,3,68,0,63,..,529,121,656,10,666,..,1295,464,1763,17,1779
LGA50560,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,34,0,38,0,38,..,0,0,0,89,89,714,34,0,38,89,834,1442,..,..,..,..,1442,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0
LGA50630,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,37,3,39,0,44,..,0,0,0,66,66,716,37,3,39,68,822,1475,..,..,..,..,1475,..,18,0,18,0,18,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0
LGA50770,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,26,0,27,0,27,..,5,0,5,92,95,792,29,0,33,92,914,1598,..,..,..,..,1598,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
