LGA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
LGA50080,3,9,35,79,161,338,483,350,146,1611,322,207,172,173,163,177,165,75,20,1479,3,0,13,8,58,108,249,191,75,704,0,0,0,0,3,0,22,82,50,162,3,10,26,38,128,246,320,245,69,1083,4,8,13,12,60,214,341,316,147,1108,0,0,8,0,14,30,57,36,25,173,6,4,5,7,22,72,138,111,44,410,96,227,244,196,236,279,205,73,26,1591,0,0,0,0,18,27,71,90,50,260,204,116,110,99,177,246,246,160,57,1412,2602,1465,1302,1243,1348,1207,877,320,99,10465,289,225,349,310,260,256,198,110,47,2042,3471,2175,2155,2048,2342,2574,2429,1340,498,19033,9,17,36,94,274,590,763,628,276,2681,195,210,261,252,298,263,246,144,43,1910,4,5,7,25,76,169,222,164,50,730,0,0,0,0,5,10,18,86,136,254,7,12,26,58,113,219,273,218,70,995,3,0,9,24,36,105,214,221,141,751
LGA50210,14,22,81,196,322,544,684,395,128,2378,747,402,512,492,351,273,203,89,21,3096,10,15,34,48,93,200,321,210,59,996,0,0,0,0,3,13,45,83,55,197,16,32,72,239,415,609,658,308,85,2439,14,13,27,75,190,378,585,375,130,1790,18,0,10,28,34,61,85,90,33,372,12,7,12,41,81,150,225,187,49,767,259,431,655,609,496,429,233,73,24,3208,3,0,3,20,35,61,102,100,38,349,569,272,322,451,491,501,367,196,63,3232,9001,3894,4650,5412,3306,2112,1100,404,79,29942,895,504,649,637,546,426,199,105,45,3994,11329,5390,6711,7707,5572,4577,3306,1589,426,46604,12,25,143,295,624,1026,1209,710,244,4281,543,482,768,726,591,539,458,186,40,4333,8,16,35,95,164,227,331,183,45,1099,0,0,0,3,0,16,26,74,92,212,18,38,91,241,354,529,559,272,92,2193,7,16,32,56,104,257,367,251,136,1228
LGA50250,0,0,6,18,25,35,14,8,0,108,51,20,35,54,36,22,3,5,0,225,0,0,0,4,9,23,12,4,0,54,0,0,0,0,0,0,0,0,0,3,0,4,8,15,22,56,10,0,0,121,4,0,0,9,10,34,7,13,0,71,4,0,0,0,6,3,0,0,0,16,0,4,4,0,0,0,6,4,0,28,11,17,33,36,19,21,0,0,0,133,0,0,0,4,0,0,0,4,0,9,27,12,13,25,21,22,11,0,0,127,667,217,546,560,387,215,46,6,0,2644,141,96,208,217,156,117,24,9,0,968,902,357,848,904,661,482,106,30,3,4297,0,0,6,18,22,27,17,10,4,99,26,15,52,37,34,24,9,6,0,196,0,0,3,6,8,15,3,4,0,38,0,0,0,0,0,0,0,5,0,9,0,0,6,8,16,18,9,8,0,83,0,0,0,3,13,6,9,0,0,39
LGA50280,4,0,10,23,53,108,167,68,28,465,106,34,52,77,75,48,43,28,8,473,0,0,4,9,13,50,103,50,17,248,0,0,0,0,0,0,13,15,12,36,0,8,4,6,25,39,68,34,9,192,0,0,4,3,28,71,137,86,24,350,5,0,4,0,0,5,17,11,8,58,0,0,3,3,4,20,40,24,3,94,26,41,49,107,101,75,60,18,4,469,0,0,0,0,8,11,23,15,4,69,51,31,23,56,68,77,91,37,24,461,1381,522,617,842,824,608,409,132,27,5354,198,71,117,156,195,108,86,26,11,980,1767,703,854,1224,1301,1068,975,379,120,8388,5,0,7,44,88,169,249,136,62,764,55,34,69,101,92,70,82,27,9,547,0,0,3,19,40,54,63,42,11,235,0,0,0,0,0,0,9,22,30,60,4,0,3,15,22,40,52,27,19,174,0,0,0,3,15,35,69,54,35,206
LGA50350,0,4,12,27,55,102,144,70,34,453,85,71,104,108,88,39,55,21,14,589,0,3,3,18,26,40,71,50,17,222,0,0,0,4,0,9,8,16,15,49,0,7,12,22,47,90,124,72,11,391,7,0,5,14,32,84,103,85,38,377,0,0,0,0,9,10,15,32,12,79,0,0,6,5,25,23,47,37,23,161,29,82,137,120,114,90,39,22,4,649,0,0,0,3,6,13,22,21,8,77,80,50,67,80,109,85,83,24,16,590,1172,587,725,729,626,456,242,91,18,4651,130,88,109,111,98,83,67,34,11,726,1472,847,1115,1145,1067,933,736,364,120,7797,0,6,23,49,94,193,244,192,103,900,62,65,110,137,123,115,86,49,22,763,4,0,16,16,35,52,67,54,20,270,0,0,0,0,0,5,4,17,48,74,5,6,6,20,44,78,89,69,41,357,0,4,0,12,14,36,71,87,71,286
LGA50420,3,6,42,103,204,368,529,383,170,1814,291,283,417,417,301,226,190,108,41,2275,12,5,17,53,60,136,282,222,86,871,0,0,0,0,0,5,45,94,71,222,11,16,45,125,207,404,503,361,98,1768,7,5,12,32,115,299,497,431,156,1550,6,5,15,10,18,54,75,73,55,317,14,6,11,16,43,95,146,144,70,543,98,295,516,479,399,307,196,95,35,2430,3,0,0,11,15,54,89,108,55,343,253,158,259,270,356,406,369,217,105,2401,4741,2805,4176,3753,2706,1981,1156,520,97,21944,365,281,453,423,353,314,183,126,65,2556,5735,3752,5754,5404,4345,3875,3113,1813,594,34387,5,19,75,129,310,623,950,763,422,3312,211,299,545,487,385,342,325,206,69,2881,5,4,19,76,138,202,287,190,86,1005,0,0,0,0,6,13,43,134,188,378,3,9,46,85,162,320,435,313,132,1508,6,6,9,13,48,128,255,317,215,1002
LGA50490,5,6,40,76,124,245,274,192,79,1036,152,155,237,184,138,141,94,57,21,1174,6,8,9,25,45,87,159,98,42,472,0,0,0,0,3,7,15,54,45,124,18,12,44,81,167,254,275,197,47,1084,8,8,13,24,71,181,236,219,91,858,4,3,3,8,14,27,31,51,21,164,4,0,9,7,30,73,77,81,31,307,47,147,323,239,193,157,98,60,28,1290,0,0,3,16,13,52,58,50,30,224,132,108,156,204,201,250,176,97,51,1376,2806,1869,3249,2374,1631,1143,542,204,66,13881,290,257,421,359,290,233,131,68,49,2097,3417,2506,4351,3450,2647,2329,1555,832,328,21413,0,22,58,107,188,387,490,402,226,1869,108,187,308,257,242,229,207,121,46,1708,3,3,8,32,72,108,135,114,45,520,0,0,0,0,0,0,22,59,97,174,5,10,39,58,97,191,262,182,89,948,3,3,16,15,33,98,148,158,127,600
LGA50560,0,0,3,0,9,25,35,24,4,102,8,0,11,8,13,15,13,10,0,85,0,0,0,0,0,4,11,8,4,27,0,0,0,0,0,0,0,5,9,7,0,0,0,3,4,13,26,10,3,64,0,0,0,0,7,9,17,21,8,60,0,0,0,0,0,0,4,3,4,13,0,0,0,0,3,9,6,9,7,31,0,7,10,4,15,17,12,6,0,66,0,0,0,0,0,0,0,6,0,6,4,0,5,8,11,20,18,9,8,77,65,41,33,50,55,64,73,24,7,404,11,13,11,10,27,16,20,12,0,123,97,57,66,81,111,144,187,95,31,858,0,0,4,0,16,42,49,26,8,143,7,7,10,14,12,19,12,11,0,89,0,0,0,0,0,11,11,11,0,35,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,22,19,10,3,60,0,0,0,0,0,6,18,14,0,43
LGA50630,0,0,5,5,4,14,22,11,0,60,21,6,11,7,12,3,5,3,4,64,3,0,0,0,5,10,5,5,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,14,11,10,0,41,0,0,0,0,0,5,16,8,0,38,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,6,3,3,0,15,0,7,11,13,15,5,8,5,0,58,0,0,0,0,0,0,7,3,0,9,12,3,0,6,4,15,7,6,0,46,159,38,56,67,78,69,41,12,0,521,14,9,16,7,17,20,7,7,0,100,208,57,91,102,130,136,109,43,11,885,0,0,0,3,10,28,30,17,4,96,7,10,12,12,14,11,13,7,0,80,0,0,0,0,0,5,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,6,10,10,0,34,0,0,0,0,3,3,7,3,3,20
LGA50770,0,0,0,3,6,22,26,18,0,81,8,4,5,9,13,10,3,5,0,53,0,0,0,0,5,7,12,18,0,38,0,0,0,0,0,0,0,7,0,7,0,0,0,0,6,12,15,19,4,57,0,0,0,0,3,15,20,15,0,58,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,5,12,3,0,18,0,9,7,4,13,13,7,4,3,64,0,0,0,0,0,4,5,6,0,11,4,0,0,5,7,17,16,6,0,55,134,44,37,61,75,74,45,14,7,496,39,7,11,9,21,21,13,9,5,132,182,67,57,90,129,155,125,83,17,917,0,0,5,11,7,28,37,37,8,129,8,4,6,11,4,5,12,6,0,58,0,0,0,0,0,4,9,4,0,29,0,0,0,0,0,0,0,3,0,7,0,0,3,0,0,4,7,9,0,38,0,0,0,0,4,3,10,11,3,29
