LGA_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
LGA50080,59,1117,85,1260,48,790,80,913,111,1745,299,2155,176,1628,244,2048,289,1868,180,2342,391,2002,175,2574,271,2001,152,2429,148,1104,86,1340,59,388,51,498,1558,12647,1360,15562,56,1016,69,1144,44,717,49,810,202,1671,117,1990,362,1724,99,2179,524,1979,134,2635,641,2085,143,2872,415,1992,159,2565,225,1212,118,1551,46,546,76,661,2511,12938,957,16411,117,2131,159,2404,88,1503,127,1726,314,3414,414,4150,537,3346,341,4231,816,3848,317,4976,1036,4089,319,5440,689,3995,309,4990,367,2321,200,2890,105,930,127,1164,4073,25581,2311,31970
LGA50210,129,2413,181,2721,102,2379,192,2667,379,5821,507,6711,682,6518,506,7707,569,4593,411,5572,535,3727,313,4577,382,2778,151,3306,157,1321,108,1589,50,324,59,426,2985,29869,2417,35273,134,2385,163,2684,169,2347,164,2680,723,6288,416,7429,1078,6345,392,7815,1018,4175,279,5471,931,3610,210,4755,571,2989,152,3710,188,1377,133,1703,28,467,89,581,4845,29970,2000,36821,254,4799,345,5404,270,4725,353,5350,1107,12108,920,14140,1762,12864,904,15526,1586,8759,690,11039,1472,7340,528,9336,949,5763,302,7019,352,2698,240,3289,79,784,142,1006,7829,59845,4422,72096
LGA50250,5,103,36,138,6,150,59,216,23,622,203,848,49,641,216,904,34,472,154,661,26,353,107,482,4,86,20,106,4,23,4,30,0,3,0,3,155,2444,804,3400,5,81,22,115,3,126,36,164,33,516,110,666,42,444,103,589,38,255,67,359,18,200,48,268,8,65,15,90,5,17,0,20,0,4,0,4,151,1715,405,2270,7,184,60,258,9,279,91,381,60,1135,318,1511,91,1083,313,1494,70,726,221,1021,43,551,159,744,8,151,38,200,4,35,7,54,0,4,0,10,309,4152,1208,5670
LGA50280,20,372,48,434,11,229,21,260,29,714,104,854,77,1020,132,1224,121,1020,163,1301,129,855,80,1068,115,789,74,975,47,307,23,379,14,97,10,120,563,5394,662,6621,16,321,31,371,6,171,23,205,56,755,72,879,155,1179,111,1446,193,914,109,1219,226,854,72,1150,150,732,62,946,44,304,22,366,15,130,21,163,859,5360,532,6747,35,688,83,806,16,405,45,467,86,1467,177,1734,228,2199,242,2673,308,1928,275,2511,361,1709,150,2214,264,1521,136,1925,93,613,39,746,31,225,32,286,1422,10755,1192,13368
LGA50350,19,351,17,386,30,396,41,459,72,942,96,1115,89,977,84,1145,126,879,67,1067,142,741,50,933,84,602,51,736,35,294,36,364,14,94,14,120,610,5274,443,6322,23,312,15,346,21,360,24,405,75,987,61,1122,151,1043,53,1249,219,817,63,1096,246,741,47,1035,127,673,32,834,43,401,32,482,8,211,19,241,904,5550,349,6810,39,664,37,736,52,759,61,867,148,1930,155,2231,239,2020,137,2389,341,1696,126,2165,390,1481,101,1971,215,1275,78,1574,79,693,68,839,24,305,30,360,1513,10821,796,13129
LGA50420,66,1488,74,1633,105,1884,131,2124,293,5075,384,5754,425,4646,334,5404,557,3532,260,4345,559,3095,225,3875,369,2611,132,3113,200,1501,114,1813,54,471,71,594,2632,24307,1713,28653,74,1378,72,1526,115,1829,103,2052,427,5162,301,5889,620,4396,256,5278,836,3374,187,4396,895,2890,136,3925,590,2783,120,3490,220,1655,141,2018,39,870,122,1032,3820,24341,1443,29606,145,2872,146,3159,226,3707,237,4175,716,10238,686,11640,1044,9047,587,10678,1394,6906,442,8739,1455,5985,359,7799,959,5399,247,6607,417,3158,254,3832,102,1338,190,1634,6451,48648,3157,58257
LGA50490,43,851,71,962,62,1324,156,1545,195,3770,391,4351,227,2907,313,3450,284,2105,255,2647,290,1867,173,2329,185,1265,111,1555,76,687,62,832,30,255,46,328,1397,15029,1577,17997,41,760,63,868,84,1301,116,1501,288,3573,315,4171,337,2593,223,3162,371,1859,152,2375,440,1580,137,2165,284,1339,98,1723,91,810,97,999,19,463,94,574,1960,14288,1291,17537,90,1614,133,1827,151,2631,270,3044,481,7337,704,8528,568,5504,540,6610,652,3962,402,5019,736,3447,314,4498,465,2612,204,3282,170,1500,160,1827,48,715,138,902,3351,29317,2864,35533
LGA50560,0,26,6,39,0,21,3,22,0,53,11,66,4,59,12,81,10,82,16,111,15,111,14,144,17,143,18,187,8,75,16,95,0,22,10,31,70,585,109,762,0,24,7,34,0,15,6,25,4,47,8,56,6,69,7,85,21,81,13,116,31,109,19,153,34,115,19,169,10,56,10,73,0,22,0,27,106,529,88,727,5,51,15,75,5,33,12,47,8,98,13,124,15,129,19,161,32,164,32,220,42,216,34,292,52,261,37,349,11,126,23,165,7,41,9,58,176,1119,198,1491
LGA50630,0,22,3,28,6,24,0,30,11,60,19,91,3,87,7,102,7,111,14,130,16,114,18,136,17,82,9,109,0,37,7,43,0,8,0,11,64,548,68,677,0,30,3,41,0,27,0,26,17,75,7,97,12,86,13,108,14,83,11,111,22,98,6,129,13,73,7,93,9,27,7,38,0,7,4,7,79,510,63,652,4,59,8,70,8,48,3,54,24,134,20,183,13,180,15,208,22,194,28,242,33,209,24,266,23,160,15,197,10,60,11,86,0,10,3,20,145,1058,131,1333
LGA50770,5,25,4,32,0,36,5,36,0,51,9,57,5,76,7,90,12,96,18,129,10,125,20,155,11,101,9,125,8,62,14,83,0,10,3,17,63,587,84,730,8,33,3,39,0,33,4,37,8,53,5,67,17,88,19,127,23,89,15,118,26,101,15,140,22,82,14,116,14,53,13,77,5,14,0,20,110,550,81,744,5,59,4,72,0,68,9,75,10,105,12,129,24,171,28,220,29,185,30,243,35,229,35,295,32,186,24,245,18,113,22,158,3,28,3,35,174,1133,168,1469
