LGA_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
LGA50080,97,16,3,0,115,0,0,0,115,8,0,127,488,89,8,4,585,3,4,7,587,17,6,611,98,14,3,0,115,0,0,0,115,4,0,121,4,0,0,3,11,0,0,0,11,0,0,11,683,114,20,12,831,4,4,5,835,31,4,870,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,15,0,0,15,15,0,0,0,15,0,0,0,15,0,0,15,695,114,20,12,843,4,4,5,854,31,4,883,404,59,15,7,486,7,5,13,495,33,4,533,4,0,0,3,0,0,0,0,0,3,8,17,1107,174,27,18,1329,9,7,24,1348,66,14,1432,244,54,7,0,305,0,0,0,307,14,0,325,613,103,20,9,743,4,0,4,746,12,0,766,21,0,3,0,23,0,0,0,23,3,0,23,3,0,0,3,4,0,0,0,4,0,0,4,883,155,33,11,1074,4,4,9
LGA50210,741,94,21,6,865,13,6,17,879,32,0,909,1559,216,38,12,1822,11,3,16,1836,48,8,1886,350,53,55,6,465,7,0,4,470,10,0,484,27,4,0,18,42,3,0,3,47,0,6,57,2680,363,113,40,3194,32,6,39,3237,83,6,3331,44,4,0,5,51,0,0,0,56,0,0,55,105,12,4,0,121,3,6,12,133,4,0,142,142,17,4,3,169,10,6,15,191,7,0,196,2824,378,123,41,3367,39,15,56,3423,91,6,3528,1576,204,55,49,1884,65,9,75,1959,150,8,2112,12,0,0,4,19,0,0,0,19,0,17,35,4405,585,179,97,5268,107,22,132,5399,243,28,5677,1096,145,24,17,1281,10,6,15,1298,46,3,1341,1879,230,34,13,2155,27,4,34,2189,55,4,2246,98,27,14,0,133,0,4,7,142,7,0,146,18,5,0,16,37,4,0,4,42,0,6,45,3089,405,70,43,3607,43,9,56
LGA50250,36,0,0,0,42,0,0,0,42,4,0,52,102,13,11,0,123,0,0,0,123,0,0,123,21,0,15,0,38,0,0,0,38,0,0,38,0,0,0,0,3,0,0,0,3,0,0,5,159,14,25,9,210,0,0,0,210,8,0,214,7,0,0,0,7,0,0,0,3,0,0,3,8,0,3,0,11,0,0,0,11,0,0,11,6,0,3,0,14,0,0,0,16,0,0,16,167,14,25,7,223,0,0,0,220,8,0,231,111,11,18,5,146,0,0,3,150,3,4,154,0,0,0,0,0,0,0,0,0,0,0,0,283,27,46,13,367,3,0,3,371,13,4,385,95,6,7,4,108,0,0,0,110,9,0,120,151,7,20,5,176,0,0,0,176,0,0,176,15,0,4,0,17,0,0,0,17,0,0,17,7,0,0,3,8,0,0,0,8,0,0,8,263,13,26,8,314,0,0,0
LGA50280,50,11,3,0,64,0,0,0,64,0,0,69,231,48,12,0,295,0,0,0,298,12,0,307,40,9,22,0,73,0,0,0,73,0,0,71,3,0,0,0,3,0,0,0,3,0,0,4,326,75,37,4,436,0,0,0,438,13,0,452,3,0,0,0,3,0,0,0,3,0,0,3,4,4,0,0,7,0,0,0,7,0,0,7,3,4,0,0,6,0,0,0,6,0,0,6,325,78,37,4,444,0,0,0,443,13,0,462,165,27,16,15,217,4,0,4,223,13,0,232,0,0,0,3,3,0,0,0,3,0,0,8,489,110,50,17,665,0,0,5,670,29,3,699,119,22,6,0,150,4,0,4,151,3,0,162,330,72,22,4,423,0,0,0,425,18,0,439,15,0,8,0,27,0,0,0,27,0,0,27,0,0,0,3,5,0,0,0,5,0,0,10,465,92,37,4,598,3,0,3
LGA50350,101,20,5,0,126,3,0,4,125,6,0,138,285,44,5,0,337,0,0,0,336,4,0,344,75,14,13,0,100,0,0,0,100,0,0,103,0,0,0,0,5,0,0,0,5,0,0,5,466,79,20,6,562,3,0,4,570,18,0,585,0,0,0,0,0,4,0,4,3,0,0,3,6,0,0,0,6,0,0,0,6,0,0,6,10,0,0,0,10,4,0,4,14,0,0,14,473,79,20,6,576,6,0,6,580,18,0,598,131,21,4,6,157,8,0,8,167,17,0,182,0,0,0,0,4,0,0,0,4,0,0,4,605,101,22,5,734,14,0,18,752,33,0,782,122,26,0,0,159,3,3,4,161,14,0,175,260,50,6,0,316,0,0,7,320,3,0,326,16,0,0,0,18,0,0,0,18,3,0,23,5,0,0,0,5,0,0,0,5,0,0,5,403,77,12,0,494,6,6,9
LGA50420,411,63,5,0,484,10,4,11,493,22,4,518,1068,149,25,12,1255,10,3,9,1261,27,6,1291,333,46,31,0,404,8,0,8,412,3,0,419,12,5,3,14,37,0,0,0,37,0,0,35,1821,265,59,31,2178,24,4,27,2202,56,4,2267,17,0,0,0,17,0,0,0,19,0,0,18,43,11,0,0,47,3,0,3,51,0,0,51,58,11,0,0,64,5,0,5,66,3,0,70,1880,276,59,31,2246,23,4,26,2269,55,4,2337,681,127,28,19,855,19,0,20,872,71,0,950,4,0,0,3,7,0,0,0,7,0,9,17,2562,401,87,47,3105,45,4,47,3149,129,16,3298,558,87,16,3,651,15,0,15,667,38,0,708,995,109,13,0,1116,14,6,21,1133,24,4,1164,42,3,3,0,57,0,0,0,57,4,0,55,6,3,0,11,14,0,0,0,17,3,0,22,1597,201,35,14,1842,26,6,36
LGA50490,232,36,6,0,273,9,3,10,278,18,0,305,494,78,10,8,583,6,0,7,598,14,0,614,136,12,11,0,162,0,0,0,166,9,0,168,12,0,0,12,26,0,0,0,26,0,0,26,871,125,24,21,1044,16,0,19,1070,39,0,1108,10,6,0,0,17,0,0,0,22,0,0,22,37,5,5,0,48,4,0,4,50,0,0,52,48,14,5,0,65,6,0,6,69,0,0,72,915,143,27,28,1110,24,0,26,1138,38,3,1180,473,113,14,13,613,12,9,26,640,75,0,725,0,0,0,3,6,0,0,0,6,0,15,21,1394,255,41,39,1732,37,15,52,1783,121,16,1922,339,50,13,6,397,0,3,9,403,24,0,430,478,77,6,7,568,5,5,9,573,13,6,589,16,6,0,0,28,0,0,0,28,3,0,28,6,0,0,5,12,0,0,0,12,0,0,16,836,128,18,18,999,9,11,19
LGA50560,3,0,0,0,5,0,0,0,5,0,0,10,10,4,0,0,16,0,0,0,20,0,0,20,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,27,0,0,0,34,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,27,0,0,0,34,0,0,33,13,0,0,0,13,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,37,5,0,0,42,0,0,0,45,0,0,46,6,0,0,0,8,0,0,0,8,0,0,12,25,0,0,5,29,0,0,0,27,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,5,36,0,0,0
LGA50630,14,0,0,0,19,0,0,0,18,0,0,16,8,4,0,0,15,0,0,0,11,0,0,11,5,0,0,0,8,0,0,0,8,0,0,8,0,0,0,6,6,0,0,0,6,0,0,6,29,3,0,6,36,3,0,3,41,0,0,41,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,33,3,0,6,41,3,0,3,46,0,0,47,27,8,3,0,32,5,0,5,38,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,57,8,5,6,74,3,0,3,78,0,0,82,21,0,0,0,20,0,0,0,20,5,4,28,18,0,8,0,33,4,0,4,33,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,8,3,51,4,0,4
LGA50770,7,0,0,0,13,0,0,0,13,0,0,13,27,10,0,0,33,0,0,0,33,0,0,34,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,3,0,0,3,39,9,0,0,44,0,0,0,44,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,9,0,0,45,0,0,0,45,0,0,51,27,3,0,0,32,0,0,0,32,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,61,11,0,3,78,0,0,0,78,0,0,82,14,5,0,0,21,0,0,0,21,4,0,23,36,3,0,0,37,0,0,0,37,3,0,37,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,55,12,0,0,62,0,0,0
