LGA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
LGA50080,15,0,0,0,15,0,0,18,1076,184,31,4,1301,0,7,5,1306,68,5,1380,1996,313,51,12,2369,13,16,30,2398,80,3,2480,143,21,18,0,184,0,0,0,184,12,0,197,12,0,0,22,38,0,0,0,38,3,0,41,3229,518,98,39,3886,16,23,40,3925,160,10,4098,16,0,0,0,16,0,0,0,16,0,0,16,39,5,0,0,42,0,0,0,42,4,0,46,49,5,0,0,55,0,0,0,55,4,0,59,3276,523,98,46,3944,16,23,40,3985,165,10,4158,888,159,26,27,1099,20,12,27,1130,117,8,1257,0,0,0,6,11,0,0,0,11,4,18,27,4172,680,127,76,5054,30,35,67,5116,287,31,5440
LGA50210,283,4,0,5,294,29,0,319,3699,507,81,34,4311,47,16,65,4378,218,4,4599,5729,725,136,47,6645,85,19,104,6745,178,3,6929,547,104,90,7,743,9,3,12,755,20,0,776,73,15,0,56,140,12,0,12,150,3,6,159,10037,1345,313,142,11833,140,46,186,12022,420,23,12464,167,13,6,4,189,15,0,15,199,19,0,220,314,42,16,4,374,10,14,24,400,26,0,425,474,58,20,7,563,26,16,41,600,48,0,641,10520,1403,328,148,12396,166,60,224,12619,464,27,13108,3982,492,147,98,4718,139,17,155,4870,519,18,5407,18,3,0,22,45,0,0,0,45,3,46,93,14516,1890,476,263,17152,305,78,381,17532,993,88,18607
LGA50250,0,0,0,0,0,0,0,0,224,18,14,4,259,0,0,0,261,24,0,282,336,34,38,8,407,0,0,0,407,0,0,407,47,0,24,0,71,0,0,0,71,0,0,71,9,0,0,11,15,0,0,0,15,3,0,23,602,53,73,22,755,0,0,0,757,28,0,786,12,0,0,0,12,4,0,4,14,0,0,14,11,0,5,0,14,0,0,0,14,0,0,14,22,0,5,0,23,4,0,4,31,0,0,31,622,53,80,24,777,3,0,3,783,28,0,815,205,19,27,4,253,0,0,3,253,12,4,267,6,0,0,0,6,0,0,0,6,0,0,6,831,70,107,32,1036,5,6,9,1045,37,4,1082
LGA50280,7,0,0,0,7,0,0,7,407,89,19,0,514,15,0,13,531,26,0,556,966,234,56,6,1254,5,4,5,1262,54,0,1314,73,11,36,0,127,0,0,0,127,0,0,124,4,0,4,9,19,0,0,0,19,3,0,19,1444,330,112,23,1913,17,4,22,1933,85,6,2020,4,0,0,0,4,0,0,0,4,0,0,4,12,4,0,0,19,0,0,0,22,4,0,23,20,4,0,0,30,0,0,0,27,4,0,35,1468,341,112,23,1941,20,4,21,1965,86,6,2056,327,62,26,17,436,8,0,8,441,39,0,480,3,0,0,8,11,0,0,0,11,0,6,24,1795,404,146,41,2388,27,4,29,2417,131,10,2554
LGA50350,48,0,0,0,52,11,0,64,532,105,14,0,644,13,7,19,664,44,0,705,853,170,16,6,1046,8,0,11,1057,24,0,1081,105,19,13,0,136,0,0,0,136,7,0,139,5,0,0,0,9,0,0,0,9,0,0,9,1489,293,42,8,1829,22,8,32,1861,74,0,1935,8,0,0,0,8,5,0,5,10,0,0,10,36,4,3,0,38,0,0,7,46,9,0,49,42,4,3,0,48,3,0,6,53,9,0,60,1528,292,42,8,1873,26,7,38,1914,79,0,1998,309,48,6,13,370,7,0,7,380,48,0,427,0,0,0,0,10,0,0,0,10,0,0,9,1839,335,51,19,2252,38,7,51,2300,129,4,2431
LGA50420,280,8,0,7,293,30,0,325,2267,312,48,7,2634,51,12,60,2696,141,5,2844,3539,485,58,13,4101,43,21,61,4165,135,13,4306,404,61,37,0,507,8,0,8,515,6,0,520,30,6,3,44,79,0,0,0,80,3,5,88,6246,860,146,66,7313,96,36,132,7450,289,22,7757,45,3,0,3,54,13,0,13,61,4,0,61,159,32,6,0,202,7,3,13,215,6,0,220,204,35,6,6,250,17,3,27,273,15,0,284,6446,898,151,67,7565,117,41,158,7722,300,24,8043,1587,294,48,50,1982,43,16,58,2038,264,7,2314,12,0,0,17,27,0,0,0,27,0,28,59,8046,1196,193,136,9577,157,50,212,9792,563,58,10413
LGA50490,107,0,0,4,108,13,0,126,1171,168,29,14,1378,21,10,32,1410,104,0,1519,1554,244,36,25,1859,28,15,42,1904,42,5,1941,168,15,20,5,207,3,0,10,212,7,0,221,23,0,0,26,50,0,0,0,54,0,0,58,2913,428,83,74,3501,59,22,80,3581,157,6,3742,37,17,0,0,51,3,4,6,55,7,0,66,87,19,6,0,113,9,4,13,123,15,0,141,125,37,6,0,162,10,10,18,183,22,0,202,3039,465,90,68,3660,71,29,101,3762,175,10,3947,1139,256,31,31,1455,44,31,73,1530,280,7,1817,3,0,0,19,22,0,0,0,22,0,29,52,4179,723,118,119,5138,115,58,172,5312,461,45,5818
LGA50560,0,0,0,0,0,0,0,0,30,7,3,0,35,0,0,0,35,0,0,43,46,5,0,3,59,0,0,0,61,9,0,68,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,5,3,0,0,0,3,0,0,3,85,15,3,8,106,0,0,0,108,5,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,15,3,8,106,3,0,5,111,5,0,115,23,3,0,0,23,3,0,4,34,6,0,34,0,0,0,0,0,0,0,0,0,0,0,0,104,16,3,8,130,8,0,8,138,12,0,148
LGA50630,0,0,0,0,0,0,0,0,52,11,4,0,64,0,0,0,70,5,6,78,50,16,15,0,79,7,0,7,85,3,0,93,5,0,0,0,9,0,0,0,9,0,0,9,3,0,0,6,5,0,0,0,5,0,0,5,109,21,24,6,163,10,0,10,172,8,6,188,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,114,21,24,6,167,10,0,10,177,8,6,192,61,10,4,0,70,3,0,3,73,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,171,27,25,6,237,12,0,12,252,11,6,267
LGA50770,0,0,0,0,0,0,0,0,66,8,0,4,74,0,0,0,74,0,0,76,93,14,0,0,106,0,0,0,106,4,0,114,0,4,0,0,8,0,0,0,8,0,0,8,4,0,0,6,5,0,0,0,5,0,0,5,162,21,0,7,189,0,0,0,189,8,0,201,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,170,21,0,7,195,0,0,0,195,8,0,206,44,6,0,8,53,0,0,0,53,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,211,27,0,12,248,0,0,0,248,8,0,259
