LGA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA50080,148,150,150,135,47,13,765,11,72,104,154,155,115,23,9,646,105,555,709,740,647,545,215,41,3556,88,324,474,577,671,525,260,56,2979,686,1323,1165,1227,1139,752,320,104,6717,318,119,86,79,75,44,14,3,735,38,46,56,123,154,134,47,14,625,1043,1485,1314,1425,1370,927,379,130,8074,8,17,29,33,27,57,36,11,221,254,306,272,331,412,437,384,236,2633,1519,2882,3049,3406,3428,2744,1346,498,18875
LGA50210,1356,530,255,137,43,8,3024,21,292,404,254,178,98,32,3,1274,467,2703,3492,1625,881,550,196,44,9949,371,1479,1964,1280,1032,589,227,41,6994,1615,3549,3224,2417,2050,1323,467,92,14742,585,326,190,138,107,51,32,3,1416,110,162,247,240,204,181,70,10,1227,2303,4034,3651,2796,2360,1551,566,108,17385,41,77,128,73,85,67,51,14,538,706,1004,1032,790,668,558,433,204,5399,3956,10249,12028,7348,5457,3545,1547,423,44561
LGA50250,28,8,16,4,0,0,95,0,17,18,17,10,0,0,0,70,29,180,155,71,47,15,3,0,495,11,106,118,84,61,10,0,0,391,105,473,492,267,171,42,6,0,1554,27,27,20,9,7,0,0,0,91,5,11,19,11,8,4,0,0,66,136,511,531,294,187,45,9,0,1709,5,4,8,7,7,0,0,0,26,158,324,313,231,164,39,12,0,1242,336,1189,1170,715,479,114,21,0,4031
LGA50280,116,79,74,87,30,7,470,0,29,93,78,73,60,20,0,348,28,439,631,477,350,271,90,21,2315,17,166,278,301,271,240,92,27,1402,152,426,645,543,496,281,73,15,2634,60,22,34,42,28,16,3,4,214,10,25,56,62,61,37,20,0,272,227,474,737,649,582,336,99,24,3118,3,5,23,22,18,28,13,7,110,122,184,269,300,174,197,85,58,1396,406,1369,2143,1902,1538,1225,433,142,9161
LGA50350,239,146,98,48,15,3,709,5,72,105,111,83,33,11,0,421,121,654,615,419,264,159,54,12,2303,56,214,257,253,226,144,66,11,1225,198,447,460,402,370,277,116,32,2304,77,42,35,18,13,15,0,0,212,18,13,37,50,56,32,17,5,230,297,499,536,472,439,331,132,38,2744,4,9,9,6,13,19,13,3,81,88,180,148,144,127,124,96,49,968,592,1772,1910,1553,1259,854,389,113,8444
LGA50420,1243,630,378,220,75,14,3772,29,383,430,349,262,154,48,13,1665,743,3795,3241,1917,1160,809,269,63,11991,406,1191,1190,1069,894,691,295,75,5802,798,1923,1603,1394,1327,968,464,130,8613,288,143,93,100,82,59,11,4,773,57,117,156,182,191,182,83,32,994,1143,2187,1853,1672,1600,1212,560,163,10383,30,71,106,63,70,71,54,17,481,380,738,653,500,469,419,435,259,3857,2804,9490,8721,6204,4833,3570,1736,594,37944
LGA50490,729,295,135,86,31,3,2086,29,196,186,140,103,44,9,0,707,459,2428,1670,856,495,296,99,35,6345,299,960,796,591,501,280,105,32,3560,675,1358,1025,882,783,516,232,85,5555,236,123,70,48,45,27,14,0,564,39,85,100,108,118,77,25,12,564,949,1563,1188,1035,950,622,275,97,6688,26,69,65,52,43,38,30,19,344,398,761,600,451,391,289,254,179,3334,2194,6749,5234,3414,2618,1668,803,366,23059
LGA50560,3,0,8,0,0,0,17,0,0,3,6,0,3,0,0,19,4,18,24,30,28,27,4,0,129,0,8,11,20,24,36,12,0,115,17,36,34,41,52,49,19,8,247,0,7,4,9,0,0,0,0,17,0,0,5,0,5,14,0,0,25,17,41,43,42,53,55,23,8,285,0,0,3,0,3,7,0,0,12,27,20,29,32,39,49,27,11,230,47,96,111,132,153,177,71,25,811
LGA50630,7,4,4,3,0,0,20,0,0,3,4,0,3,0,0,14,8,25,37,17,15,14,0,0,113,3,7,16,13,21,24,9,0,82,14,67,47,56,67,28,7,0,290,10,9,5,3,0,3,0,0,33,0,3,5,5,0,3,5,0,26,27,79,54,65,76,38,14,3,348,0,0,0,3,4,0,0,0,11,15,24,20,38,34,23,19,5,174,48,137,134,136,148,106,42,7,754
LGA50770,3,0,5,3,0,0,14,0,0,0,0,0,4,3,0,15,3,27,47,37,26,11,4,0,152,0,4,19,23,26,26,11,0,113,34,41,55,55,58,34,9,3,285,7,4,0,4,0,0,0,0,19,3,4,5,11,7,9,4,0,38,42,47,54,67,66,47,16,3,341,0,0,0,0,0,0,4,0,0,13,13,27,32,40,28,32,10,199,58,98,161,155,159,122,71,11,835
LGA50840,13,6,18,28,10,0,93,0,6,13,16,24,18,5,0,83,10,55,92,105,88,98,30,7,472,10,36,58,73,102,108,43,0,417,69,137,139,183,219,162,49,9,976,31,20,14,11,4,12,5,0,91,9,7,9,14,15,24,15,0,92,107,160,166,205,241,200,69,14,1166,0,0,3,9,12,14,6,0,37,39,32,56,74,85,103,64,16,467,171,287,408,479,565,566,218,31,2730
LGA50910,4,0,0,3,0,0,11,0,0,3,0,7,0,0,0,13,0,14,17,13,9,3,0,0,52,0,4,7,8,8,6,4,0,42,10,24,21,26,19,17,7,3,125,0,0,4,4,0,0,0,0,9,5,0,0,3,0,0,0,0,8,9,29,25,37,21,17,9,4,148,0,0,0,0,3,0,0,0,6,17,8,12,6,16,15,13,3,88,31,54,69,71,68,55,23,9,365
LGA50980,138,80,60,27,7,0,459,3,91,109,70,50,17,3,0,346,72,618,485,326,192,89,19,4,1818,43,222,305,232,185,81,17,3,1087,199,502,552,481,315,152,28,3,2233,86,60,49,23,24,4,0,0,242,21,36,38,51,41,16,5,0,206,304,595,636,556,375,176,32,3,2683,9,11,14,12,13,10,3,0,69,335,520,406,424,327,162,67,20,2241,773,2194,2089,1703,1205,568,149,33,8716
