LGA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA50080,3428,2744,1346,498,18875
LGA50210,5457,3545,1547,423,44561
LGA50250,479,114,21,0,4031
LGA50280,1538,1225,433,142,9161
LGA50350,1259,854,389,113,8444
LGA50420,4833,3570,1736,594,37944
LGA50490,2618,1668,803,366,23059
LGA50560,153,177,71,25,811
LGA50630,148,106,42,7,754
LGA50770,159,122,71,11,835
LGA50840,565,566,218,31,2730
LGA50910,68,55,23,9,365
LGA50980,1205,568,149,33,8716
LGA51080,91,59,22,0,431
LGA51120,80,64,30,9,432
LGA51190,2640,1994,955,383,15922
LGA51260,3491,3045,1508,443,20567
LGA51310,3050,1999,1108,567,17620
LGA51330,6677,4623,2172,635,52320
LGA51400,1545,969,316,53,8887
LGA51470,40,48,9,6,274
LGA51540,396,261,94,23,2448
LGA51610,141,91,28,5,766
LGA51680,619,333,172,31,2892
LGA51710,121,72,4,0,968
LGA51750,1091,970,730,344,7186
LGA51820,8053,4876,1983,735,61177
LGA51860,54,15,13,0,249
LGA51890,664,511,243,79,3788
LGA51960,272,137,43,4,1600
LGA52030,105,109,50,14,492
LGA52100,66,59,27,16,414
LGA52170,978,763,428,166,5167
LGA52240,88,63,32,10,476
LGA52310,94,69,31,8,411
LGA52380,21,31,3,0,121
LGA52450,68,57,25,10,489
LGA52520,92,43,24,12,569
LGA52590,311,304,112,18,1623
LGA52660,1033,723,374,175,6854
LGA52730,783,682,333,80,3553
LGA52800,413,236,46,6,2655
LGA52870,593,528,229,49,3021
LGA52940,32,60,14,6,271
LGA53010,51,45,14,0,301
LGA53080,66,37,16,0,292
LGA53150,884,655,308,166,4705
LGA53220,672,122,21,0,5602
LGA53290,1006,668,431,104,6269
LGA53360,249,131,54,9,1724
LGA53430,3404,2473,1064,367,19746
LGA53570,495,491,245,37,2614
LGA53640,89,63,8,6,472
LGA53710,81,75,19,3,412
LGA53780,7137,4788,2252,768,57919
LGA53800,2981,1925,890,370,18394
LGA53920,150,70,27,3,1110
LGA53990,2297,1573,624,153,13320
LGA54060,346,316,165,33,1682
LGA54130,95,46,16,5,500
LGA54170,15336,10911,4069,1205,86272
LGA54200,4507,3549,1883,633,29184
LGA54280,1889,876,284,92,13572
LGA54310,1257,333,69,3,11532
LGA54340,237,157,87,34,1557
LGA54410,99,59,46,14,474
LGA54480,25,20,7,0,204
LGA54550,141,98,67,29,824
LGA54620,55,38,21,6,331
LGA54690,24,23,12,0,128
LGA54760,51,38,8,3,326
LGA54830,2230,1278,492,145,20817
LGA54900,85,43,24,6,519
LGA54970,134,29,4,0,794
LGA55040,109,43,12,0,909
LGA55110,7286,6336,3627,1245,42731
LGA55180,813,592,272,83,4071
LGA55250,96,35,12,0,619
LGA55320,9679,7769,3867,1635,59574
LGA55390,46,20,6,0,337
LGA55460,226,163,66,22,1366
LGA55530,33,28,16,4,190
LGA55600,167,140,56,23,970
LGA55670,46,55,20,7,303
LGA55740,916,746,415,128,5604
LGA55810,77,45,18,4,404
LGA55880,36,14,3,3,181
LGA55950,38,19,11,4,223
LGA56090,3681,2757,1339,387,19721
LGA56160,4,4,0,0,36
LGA56230,1370,1188,631,205,8084
LGA56300,175,211,83,12,821
LGA56370,56,30,32,20,310
LGA56460,367,289,151,77,2218
LGA56580,2411,2028,1097,447,13617
LGA56620,58,12,0,0,272
LGA56730,910,725,305,92,5101
LGA56790,318,310,113,28,1473
LGA56860,28,23,6,0,118
LGA56930,184,143,69,30,881
LGA57000,73,27,7,5,347
LGA57080,1897,1308,576,153,20650
LGA57140,85,75,37,8,416
LGA57210,514,443,173,60,2541
LGA57280,1009,267,55,11,7840
LGA57350,99,103,39,19,480
LGA57420,169,106,58,3,972
LGA57490,9423,5397,2844,920,63713
LGA57630,18,6,9,0,76
LGA57700,1957,1051,411,89,14409
LGA57770,96,72,30,5,567
LGA57840,3971,3188,1544,750,26957
LGA57910,16108,11643,6298,2477,127047
LGA57980,1680,1514,816,254,11580
LGA58050,9466,5362,2302,736,70630
LGA58190,36,15,7,3,162
LGA58260,34,35,17,0,248
LGA58330,625,492,193,27,2374
LGA58400,21,21,8,0,124
LGA58470,10,7,0,0,62
LGA58510,2521,1709,875,594,22798
LGA58540,66,47,18,3,344
LGA58570,2860,1634,589,221,23641
LGA58610,133,129,53,7,702
LGA58680,46,42,17,0,258
LGA58760,12932,7273,3428,1171,97322
LGA58820,374,270,141,51,1943
LGA58890,76,37,12,3,326
LGA59030,23,11,6,3,108
LGA59100,68,32,19,4,291
LGA59170,75,49,26,7,465
LGA59250,27,20,5,0,296
LGA59310,94,84,26,9,540
LGA59320,40,40,12,0,208
LGA59330,30,35,21,5,200
LGA59340,564,246,75,18,3629
LGA59350,22,18,7,0,227
LGA59360,97,42,14,8,579
LGA59370,348,385,195,52,1666
LGA59499,876,505,105,20,5668
LGA59799,48,15,0,0,428
