LGA_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
LGA50080,0,5,0,0,0,0,0,0,0,5,10,42,0,0,0,0,0,3,0,56,32,104,9,13,4,5,0,0,0,172,0,6,0,0,0,0,0,0,0,6,15,76,5,7,0,0,0,11,0,103,12,12,0,5,3,0,0,0,0,31,167,502,61,52,31,16,28,36,8,907,0,4,0,0,0,0,0,0,0,3,82,89,43,41,22,20,29,15,4,333,98,93,90,61,20,21,24,48,5,455,370,114,1467,234,67,133,357,331,39,3113,16,14,39,25,7,37,32,45,4,218,26,8,19,15,7,11,16,24,4,129,14,9,4,7,0,0,0,0,4,45,19,7,25,21,3,8,17,32,10,145,858,1070,1764,474,165,255,510,550,81,5714,8,19,0,0,0,0,0,0,0,29,9,30,5,0,0,0,0,0,0,42,27,180,7,13,19,0,3,9,0,258,3,9,0,0,0,0,0,0,0,13
LGA50210,3,6,0,0,0,0,3,0,0,13,22,118,3,5,3,4,3,0,0,162,210,510,74,54,92,44,69,25,12,1102,0,22,4,10,4,0,4,0,0,47,44,125,12,10,14,3,4,8,0,223,12,37,9,15,13,0,0,0,0,90,505,1540,369,206,260,125,256,144,48,3447,0,0,0,4,0,0,0,0,0,13,174,176,212,87,53,35,110,53,13,916,239,212,429,174,133,55,233,99,26,1592,621,288,3495,381,287,205,956,615,116,6947,19,10,82,36,19,56,72,97,3,400,38,22,60,33,22,23,58,34,6,299,36,21,42,11,6,10,37,27,7,186,34,33,67,27,17,20,72,46,68,375,1954,3120,4852,1029,923,575,1882,1149,303,15789,0,16,0,0,4,0,0,0,0,26,10,87,6,0,5,0,0,0,5,118,103,548,49,148,161,44,9,30,14,1104,5,29,0,3,7,0,5,0,0,51
LGA50250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,8,5,0,0,0,0,0,50,0,3,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,5,0,0,3,0,3,0,0,0,0,12,37,77,22,10,7,3,22,10,0,180,0,0,0,0,0,0,0,0,0,4,7,6,19,0,0,0,10,0,0,53,12,11,27,4,6,0,31,15,0,108,49,17,655,12,21,0,249,58,31,1100,0,0,10,4,0,0,14,9,0,41,4,0,0,0,0,0,9,4,0,25,0,0,5,0,0,0,4,8,0,10,8,0,9,0,0,4,18,0,3,42,122,151,748,48,38,11,362,103,41,1625,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,19,3,5,0,5,0,3,0,40,0,0,0,0,0,0,0,0,0,0
LGA50280,0,5,0,0,0,0,0,0,0,5,10,24,3,0,0,0,0,0,0,38,22,52,5,3,3,0,3,10,0,101,0,0,0,0,0,0,0,3,0,4,20,30,0,5,0,4,0,0,0,60,4,8,5,3,0,0,0,0,0,19,156,289,84,39,18,26,26,54,5,690,0,0,0,0,0,0,0,0,0,5,50,51,26,7,9,10,14,19,6,174,47,41,56,21,5,6,12,42,4,234,157,38,729,49,22,32,140,153,30,1356,9,5,23,3,9,7,10,10,0,70,10,5,9,9,4,7,9,10,0,63,4,4,8,0,0,0,5,3,0,25,15,6,19,8,0,3,13,16,0,69,507,552,953,146,59,102,227,323,45,2918,3,5,0,0,0,0,0,0,0,10,4,10,0,3,0,0,0,0,0,23,15,96,0,18,13,3,0,6,0,149,0,6,0,0,0,0,0,0,0,8
LGA50350,0,3,0,0,0,0,0,0,0,5,9,30,0,0,3,0,0,0,0,36,65,127,9,6,8,11,3,4,0,236,0,9,0,0,0,0,0,0,0,4,15,62,0,11,0,0,0,0,0,82,5,13,0,0,0,0,0,0,0,25,130,432,53,48,54,24,22,30,7,795,0,0,0,0,0,0,0,0,0,0,25,44,27,13,11,6,9,10,4,148,55,48,69,35,10,18,20,17,5,276,101,55,562,61,64,49,102,88,12,1097,3,0,12,8,4,13,9,19,0,74,5,8,10,6,3,3,9,5,0,46,0,9,4,4,6,0,3,0,0,19,0,10,3,4,3,3,13,9,7,57,421,837,751,202,168,127,184,176,37,2908,0,7,0,0,0,0,0,0,0,8,6,41,5,0,0,0,0,0,0,51,40,161,4,6,28,12,0,0,6,261,0,7,0,0,5,0,0,0,0,12
LGA50420,4,12,5,0,3,0,0,0,0,25,31,171,4,0,4,0,3,4,0,210,284,669,58,63,74,47,40,33,19,1269,11,19,0,0,0,0,0,0,0,38,65,206,11,14,24,10,9,7,0,342,36,52,0,8,10,0,0,0,0,114,754,2365,349,260,342,153,182,188,51,4652,0,0,0,0,0,0,0,5,0,12,144,166,180,90,60,32,48,45,9,779,217,217,313,154,112,76,100,108,16,1308,402,216,1977,249,207,181,420,343,57,4049,21,12,32,34,22,29,28,44,0,222,25,30,39,34,19,16,28,30,6,226,15,32,25,11,13,4,11,10,7,131,31,39,48,26,16,12,39,28,50,295,2042,4201,3049,942,904,566,911,851,211,13664,11,22,0,5,3,0,0,0,0,37,22,176,0,4,5,0,0,0,3,214,224,818,45,105,159,48,11,29,16,1450,8,51,0,5,5,0,0,0,0,72
LGA50490,0,6,0,0,0,0,0,0,0,7,5,99,0,0,0,0,5,0,0,118,120,404,54,41,51,42,52,27,8,803,0,8,0,0,0,0,0,0,0,15,33,75,11,7,8,0,10,5,3,147,18,16,3,9,5,0,0,0,0,53,362,1090,254,152,173,102,161,141,22,2446,0,0,4,0,0,6,0,0,0,11,87,82,122,47,27,10,56,28,8,480,149,121,256,79,67,41,104,65,12,887,209,137,1395,165,136,93,318,244,50,2747,10,5,29,27,8,18,41,44,3,195,22,7,19,15,15,15,32,17,0,149,17,18,32,4,4,0,10,17,3,106,13,19,43,14,17,6,27,32,45,223,1051,2086,2235,567,514,340,823,619,152,8388,0,16,0,3,0,6,0,0,0,24,3,67,0,4,0,0,0,3,0,80,78,359,22,67,105,34,7,20,13,714,6,11,0,0,0,0,0,0,0,18
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,6,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,11,7,0,6,0,0,0,0,0,0,11,23,4,27,3,0,6,21,19,3,90,0,0,3,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,3,9,55,15,39,5,0,3,20,21,3,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,3,0,0,0,6,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7,0,0,0,4,0,0,0,0,0,12,11,8,87,4,4,4,31,5,3,163,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,27,27,100,13,4,4,44,12,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,23,4,0,3,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,13,9,3,0,0,0,0,0,5,0,13,44,0,50,4,3,3,14,11,0,130,0,0,3,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,92,18,59,6,9,9,20,18,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
