LGA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA50080,0,0,0,108,26,131,0,0,0,0,0,0,18,13,36,6280,5967,12255,419,494,917,121,0,128,39,8,49,69,19,90,119,31,146,199,178,374,7382,6741,14126,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,5,7,9,0,0,5,0,0,3,13,9,19,67,45,113,80,58,139,0,3,3,6,0,6,4,0,4,7,3,9,487,661,1149,908,1175,2086,56,37,91,8925,8676,17599
LGA50210,445,478,915,341,154,500,9,0,9,0,0,6,66,47,112,16419,13560,29980,930,993,1926,273,14,287,92,7,103,70,15,79,518,140,661,207,184,397,19380,15593,34968,237,268,501,0,0,0,0,0,0,285,206,494,26,35,63,20,12,26,567,522,1089,0,0,0,0,0,0,9,23,30,10,21,36,22,4,29,46,49,96,207,74,279,822,643,1461,93,149,243,22,9,30,12,0,13,123,160,276,989,1524,2508,2171,2866,5044,112,77,187,23594,20859,44453
LGA50250,0,6,5,688,186,870,0,0,0,0,0,0,4,6,10,811,600,1407,146,83,231,18,7,28,8,3,14,11,34,45,163,39,205,111,158,267,1955,1116,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,13,5,0,7,19,0,21,30,13,39,20,22,36,47,28,83,0,0,0,12,4,14,0,0,0,12,4,23,27,82,105,313,192,501,27,18,42,2387,1444,3828
LGA50280,0,0,0,83,15,97,0,0,0,0,0,0,0,0,0,2358,2373,4729,208,168,375,54,0,54,9,0,17,70,33,96,125,26,152,166,162,329,3079,2773,5859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,7,5,3,8,3,9,51,28,79,60,33,95,0,0,0,6,0,6,0,0,0,5,0,4,449,588,1033,605,633,1238,40,26,71,4245,4049,8297
LGA50350,197,213,409,69,48,114,0,0,0,0,0,0,12,21,31,2560,2392,4945,140,181,316,34,3,38,22,4,23,61,13,76,74,21,93,39,45,86,3210,2941,6152,36,42,77,0,0,0,0,0,0,28,27,57,4,7,19,4,11,13,69,92,163,0,0,0,0,0,0,3,4,11,4,3,3,9,4,10,10,12,20,29,10,37,108,112,223,11,22,32,5,0,5,0,0,0,20,23,40,335,357,689,396,576,976,17,6,22,4083,4014,8098
LGA50420,560,538,1102,884,866,1741,3,0,7,3,0,4,105,101,199,12025,10216,22241,641,1000,1644,143,5,146,103,9,109,346,93,436,337,95,433,192,162,355,15338,13082,28414,154,182,337,0,0,0,0,0,0,113,115,230,16,31,46,12,12,19,295,341,636,0,0,0,0,0,3,56,57,116,28,58,86,30,17,43,113,134,252,148,93,239,553,571,1124,43,57,96,14,8,25,9,0,9,68,68,132,1227,1499,2726,1652,2370,4023,80,47,133,18919,17633,36553
LGA50490,75,89,164,723,672,1398,0,0,4,0,0,0,102,80,186,7617,5993,13612,453,706,1157,86,0,91,53,9,62,128,19,144,319,98,413,163,144,305,9731,7820,17543,78,75,151,0,0,0,0,0,0,50,61,103,8,10,18,4,0,3,133,146,279,0,0,0,0,0,0,28,33,55,13,37,51,23,19,39,64,88,153,101,47,151,304,275,581,18,48,64,22,24,40,3,3,3,47,69,120,581,662,1241,1101,1248,2354,85,42,126,11855,10113,21968
LGA50560,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,176,171,354,3,12,18,13,0,13,0,0,0,0,3,3,15,5,19,22,14,36,237,202,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,55,52,109,40,46,88,5,5,10,344,311,651
LGA50630,0,0,0,15,0,13,0,0,0,0,0,0,0,0,0,283,203,484,11,5,10,5,0,5,3,0,3,4,0,4,0,0,0,9,25,36,335,236,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,7,0,7,4,0,3,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,17,26,40,58,75,132,4,3,8,428,333,759
LGA50770,0,0,0,5,4,9,0,0,0,0,0,0,0,0,0,194,174,373,6,13,19,7,0,7,4,0,4,0,0,0,9,5,13,25,15,44,257,214,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,13,7,3,13,0,0,0,0,0,0,0,0,0,0,0,0,123,101,226,42,48,84,11,0,14,439,372,807
LGA50840,0,0,0,29,8,36,0,0,0,0,0,0,0,0,0,693,668,1361,47,54,95,20,0,22,0,3,3,0,0,0,21,4,25,48,40,86,859,783,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,11,7,13,10,8,21,0,0,0,0,0,0,0,0,0,0,0,0,117,145,261,153,163,315,8,5,18,1157,1105,2261
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,97,208,4,6,13,4,0,4,3,0,3,0,0,0,4,0,3,20,21,43,146,131,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,43,27,66,19,17,37,3,0,0,212,179,395
LGA50980,0,3,7,57,23,85,0,0,0,0,0,0,7,6,14,2259,2506,4769,198,298,491,30,0,37,83,38,123,120,93,208,96,36,126,263,339,600,3117,3341,6451,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,6,4,10,32,22,59,36,36,70,0,0,0,0,0,0,0,0,0,0,0,0,149,250,394,389,482,871,60,51,103,3739,4149,7893
LGA51080,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,131,113,249,11,3,11,3,0,3,0,0,0,0,0,3,3,5,4,27,18,45,178,147,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,46,113,16,15,27,4,0,0,269,202,466
LGA51120,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,124,94,224,4,4,11,0,0,0,0,0,0,5,0,4,11,0,15,20,18,39,174,125,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,37,67,15,15,32,0,5,3,233,179,411
