POA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
POA6000,5,0,8,49,8,7,0,0,0,77,0,0,12,53,12,9,0,0,0,87,0,0,6,16,0,0,0,0,0,27,0,0,0,33,0,0,0,0,0,33,0,0,8,26,5,0,0,0,0,37,0,0,0,8,0,5,0,0,0,12,3,4,14,24,9,10,11,0,0,69,0,6,19,33,20,12,15,4,0,113,0,0,0,4,4,5,3,0,0,17,0,0,3,21,5,0,0,0,0,30,0,7,32,297,37,21,10,13,0,410,11,17,140,509,114,101,41,24,12,980,207,231,980,4052,791,646,362,145,38,7462,0,0,0,0,0,0,0,0,0,0,180,181,334,1091,208,190,99,38,11,2328,0,0,5,3,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,8,0,0,3,64,3,0,0,0,0,73,0,0,3,0,0,0,0,0,0,4,0,0,7,32,0,0,0,0,0,40
POA6003,0,0,3,16,0,3,3,0,0,26,0,0,0,25,3,3,4,0,0,36,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,4,0,15,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,7,0,0,0,6,3,0,0,0,0,16,0,0,0,4,4,6,3,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,7,8,74,11,5,4,8,0,114,0,11,19,129,24,15,7,3,0,210,62,86,184,1081,211,159,101,46,8,1936,0,0,0,0,0,0,0,0,0,0,47,54,125,365,68,67,42,5,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,11,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,11
POA6004,0,8,9,57,8,10,3,4,0,105,0,0,9,33,9,16,3,3,0,72,0,0,7,17,5,0,4,0,0,26,0,0,4,21,0,0,0,0,0,27,0,5,3,16,0,0,0,0,0,22,0,0,0,3,0,0,4,0,0,6,0,4,0,18,4,7,0,0,0,43,0,0,7,18,6,9,3,0,0,50,0,0,0,5,0,0,3,0,0,10,0,0,3,13,3,3,0,0,0,29,3,12,31,260,31,28,25,10,4,398,20,16,46,281,94,61,50,25,3,584,241,220,580,2921,722,687,528,196,42,6139,0,0,0,0,0,0,0,0,0,5,151,111,264,630,209,242,172,59,15,1853,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,8,0,5,9,69,3,0,0,0,0,92,0,0,0,3,0,0,0,0,0,7,0,0,3,16,0,5,7,0,0,26
POA6005,0,0,0,18,9,5,0,0,0,30,0,0,5,24,12,5,0,0,0,54,0,0,0,12,0,0,0,0,0,21,0,0,0,10,0,0,0,0,0,13,0,0,0,14,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,26,0,0,0,8,6,0,4,0,0,19,0,0,0,7,0,0,0,0,0,14,0,0,4,6,3,3,0,6,0,17,4,11,5,124,15,10,16,3,6,196,5,6,14,132,23,20,13,6,0,218,119,125,238,1630,319,293,217,142,46,3136,0,0,0,0,0,0,0,0,0,0,88,82,192,551,129,122,80,58,33,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,27,4,0,0,0,0,33,0,0,0,3,0,0,0,0,0,3,0,0,0,11,0,6,0,0,0,22
POA6006,0,0,4,21,10,0,3,0,0,35,0,0,3,36,5,4,4,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,5,0,7,6,5,3,0,0,33,0,0,3,16,15,19,13,10,0,80,0,0,0,0,3,0,0,0,0,6,0,0,0,3,4,0,0,0,0,11,6,0,8,55,16,20,13,8,9,132,4,16,4,84,23,23,20,9,3,194,278,501,472,1666,624,585,376,188,81,4766,0,0,0,0,0,0,0,0,0,0,216,440,428,1036,409,356,203,81,35,3211,0,0,0,4,0,0,0,0,0,3,0,0,0,9,0,0,5,0,0,11,0,0,0,11,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,26
POA6007,0,3,5,13,6,0,0,5,0,28,0,0,5,30,11,4,5,0,3,70,0,0,0,3,0,0,0,0,0,10,0,0,0,11,0,0,0,0,0,11,0,0,3,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,5,15,3,0,0,0,0,25,0,0,0,3,9,6,8,0,0,29,0,0,0,3,0,3,4,0,0,9,0,0,0,9,4,0,3,0,0,14,0,8,6,56,12,18,7,3,0,113,6,7,21,90,23,17,15,8,10,198,217,358,355,1550,492,390,314,123,66,3864,0,0,0,0,0,0,0,0,0,0,179,278,314,898,280,236,208,104,83,2566,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,13,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,5,0,0,0,32
POA6008,3,9,5,29,12,5,8,3,0,77,0,6,7,39,23,15,15,9,0,113,0,0,4,3,6,0,0,0,0,12,0,0,7,3,0,0,0,0,0,12,0,3,3,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,8,11,29,8,10,5,0,0,81,0,0,3,4,8,4,4,3,0,26,0,0,0,4,4,3,4,4,0,21,0,0,0,9,5,3,6,4,0,18,6,32,22,125,56,42,15,21,3,326,9,31,27,116,51,50,55,25,10,391,389,903,822,2249,970,919,910,451,111,7725,0,0,0,0,0,0,0,0,0,0,343,680,624,1306,591,561,513,282,89,4996,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,4,19,0,6,0,29,3,0,4,0,0,34,0,0,0,0,0,0,0,0,0,0,0,4,0,20,9,7,4,8,0,54
POA6009,0,21,56,55,27,14,21,13,0,214,0,6,42,40,38,29,18,10,0,183,0,3,8,17,13,4,3,3,3,67,0,0,4,11,14,3,3,0,0,32,0,0,7,5,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,12,23,28,22,10,12,8,6,7,121,0,11,6,22,13,3,7,0,0,62,0,0,0,3,5,6,5,9,0,28,0,0,4,4,5,5,0,3,0,27,8,32,50,82,31,40,35,5,5,285,9,33,56,84,26,29,41,24,8,303,322,1254,1998,1995,1062,925,940,594,202,9296,0,0,0,0,0,0,0,0,0,0,341,835,1309,895,578,529,547,355,180,5565,0,0,0,15,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,5,0,9,5,5,0,0,0,25,0,0,0,7,0,0,0,0,0,7,0,4,0,22,13,10,4,0,0,60
POA6010,0,14,16,19,12,9,9,5,0,94,0,14,38,51,43,44,27,9,3,239,0,0,0,7,3,3,11,4,0,31,0,0,0,4,0,0,0,0,0,4,3,6,4,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,16,25,11,10,14,4,3,87,0,7,0,3,0,0,0,0,0,9,0,0,0,3,8,0,6,3,0,25,0,0,3,11,7,13,10,0,0,46,3,35,25,73,46,45,30,15,5,278,9,28,45,118,58,51,55,44,42,449,450,1306,1353,1912,1200,1038,947,689,266,9166,0,0,0,0,0,0,0,0,0,0,350,892,907,1166,790,647,667,530,282,6222,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,8,0,0,6,18,6,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,9,14,10,9,5,4,0,59
POA6011,0,7,4,5,3,0,3,0,0,19,0,5,6,18,13,16,15,3,0,78,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,10,9,11,3,6,3,0,64,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,7,3,0,11,0,0,0,7,5,3,4,0,0,21,0,0,6,27,17,30,13,5,0,106,5,7,22,68,16,30,14,21,18,206,222,521,606,950,595,644,533,332,108,4507,0,0,0,0,0,0,0,0,0,0,156,455,578,646,429,419,390,219,88,3385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,3,9,12,8,3,0,0,31
