POA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA6000,528,1243,387,827,308,612,697,1432,365,623,790,1297,1770,2923,1886,3213,3,3,4817,8067,0,0,0,0,0,0,4,4,4,4,15,31,6064,10786,1733,..,7787,10786
POA6003,250,586,63,136,269,511,330,644,159,232,510,874,377,629,78,139,0,0,1128,1869,0,0,0,0,0,0,9,6,9,6,7,4,1724,3115,346,..,2066,3115
POA6004,214,526,10,15,326,735,338,751,99,147,559,939,1602,2809,2743,4960,0,0,4999,8853,0,0,0,0,0,0,0,0,0,0,14,14,5564,10147,1470,..,7032,10147
POA6005,265,564,132,239,245,500,373,741,103,165,560,910,1123,1900,523,847,0,0,2308,3825,0,0,0,0,0,0,0,0,0,0,0,0,2949,5129,638,..,3589,5129
POA6006,2539,6486,283,493,437,927,720,1420,242,375,192,297,180,243,0,0,4,5,618,925,0,0,0,0,0,0,7,22,7,22,3,12,3883,8864,419,..,4298,8864
POA6007,1575,3898,205,356,659,1316,864,1671,193,282,247,388,426,644,148,247,0,0,1013,1568,0,0,0,0,0,0,18,32,19,36,5,4,3478,7176,404,..,3884,7176
POA6008,3299,8704,260,528,962,1913,1217,2441,543,891,686,1017,1069,1670,34,57,0,3,2338,3643,0,0,0,0,0,0,12,12,12,12,4,14,6864,14804,839,..,7707,14804
POA6009,4230,12331,374,767,530,1176,901,1942,487,963,332,568,193,372,109,193,10,19,1135,2107,0,0,0,0,0,0,0,0,0,0,0,16,6274,16404,708,..,6982,16404
POA6010,4092,11637,798,1682,635,1328,1427,3013,313,467,279,365,721,1212,248,392,0,0,1556,2441,0,0,0,0,0,0,6,5,6,5,11,10,7093,17102,856,..,7948,17102
POA6011,2405,6681,133,287,279,584,413,868,176,294,330,500,86,143,0,0,3,9,596,947,0,0,0,0,0,0,0,0,0,0,0,4,3415,8506,536,..,3952,8506
POA6012,2160,6163,291,509,219,419,507,927,84,120,341,452,375,560,43,73,0,0,843,1205,0,0,0,0,0,0,0,0,0,0,4,7,3520,8303,413,..,3933,8303
