POA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
POA6000,5,7,3,3,10,7,3,36,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16,35,14,11,26,14,10,122,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,8,16,35,16,7,26,14,7,128,13,17,11,6,3,3,3,59,0,0,0,0,0,0,0,0,27,56,25,16,29,17,15,188
POA6003,4,5,3,3,3,0,0,17,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,4,8,12,8,5,5,6,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,12,8,5,7,6,3,53,3,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,18,12,13,5,8,6,3,67
POA6004,5,15,4,9,8,7,5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,21,15,22,17,4,113,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,7,0,3,0,0,0,0,3,13,12,23,21,23,22,17,4,122,8,8,7,12,9,9,4,57,0,0,0,0,0,0,0,0,22,36,30,33,35,23,6,183
POA6005,4,16,7,3,0,0,0,32,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,11,30,15,9,10,11,3,97,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,31,18,9,10,11,3,98,3,3,6,0,4,0,0,20,0,0,0,0,0,0,0,0,16,32,22,16,20,12,9,118
POA6006,16,20,10,8,8,9,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,44,31,18,31,10,11,179,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,3,0,0,4,0,0,4,21,48,31,18,35,10,11,183,11,6,0,8,4,3,0,34,0,0,0,0,0,0,0,0,32,58,34,27,40,18,14,220
POA6007,8,9,11,8,12,4,0,49,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,19,41,32,26,35,17,4,167,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,4,0,0,5,19,43,35,26,34,17,4,174,3,8,4,10,4,8,4,38,0,0,0,0,0,0,0,0,17,45,35,30,44,24,11,211
POA6008,16,34,39,29,31,9,15,157,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,4,33,74,72,65,89,40,40,410,0,7,5,3,0,0,0,15,5,3,3,3,3,0,0,16,5,8,7,8,6,3,0,27,38,85,76,70,99,37,39,436,13,7,17,6,11,8,3,70,0,0,0,0,0,0,0,0,42,88,94,80,107,47,43,502
POA6009,8,43,23,16,30,16,15,145,0,0,3,4,0,6,0,11,0,0,0,0,0,0,0,0,14,75,58,36,71,54,40,349,0,0,0,5,5,0,0,7,0,6,0,5,5,0,0,9,0,6,0,4,4,0,5,18,13,77,57,40,75,55,48,367,10,9,14,10,14,8,9,77,0,0,0,0,0,0,0,0,25,92,71,51,89,66,55,446
POA6010,16,50,41,26,31,32,12,211,0,0,4,0,3,0,0,11,0,0,0,0,0,0,0,7,28,83,78,76,105,74,28,468,0,5,0,6,0,0,0,12,0,3,5,0,7,0,0,17,0,11,5,6,6,0,3,34,29,89,85,80,113,74,31,506,13,15,13,5,23,15,12,104,0,6,0,0,0,0,0,8,42,109,101,88,136,88,48,612
POA6011,9,15,15,10,18,13,0,82,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,31,38,23,43,25,12,185,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,11,10,31,40,25,54,23,9,197,4,5,12,7,9,11,6,56,0,0,0,0,0,0,0,0,12,42,46,37,68,37,17,257
