POA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA6000,390,171,100,73,23,0,1541,8,128,103,43,42,24,0,0,358,394,1744,886,335,243,107,41,8,3761,182,417,282,152,134,62,20,4,1251,185,416,218,167,132,57,21,0,1196,57,38,21,5,10,3,6,0,128,14,31,25,28,16,24,5,0,140,251,481,258,205,151,84,23,9,1459,21,44,22,12,8,12,3,0,129,307,611,321,198,155,81,57,26,1752,1214,4159,2258,1113,843,435,179,46,10251
POA6003,105,53,32,18,11,0,371,0,40,25,16,11,11,0,0,109,70,491,202,89,56,35,8,5,954,37,129,80,34,30,26,8,0,352,51,125,78,40,42,15,5,0,361,13,14,4,0,9,0,0,0,31,3,8,11,0,5,3,0,0,36,64,142,96,45,58,20,5,0,431,0,15,11,5,0,0,0,0,33,48,183,50,35,25,17,6,3,364,231,1150,573,276,214,132,41,5,2621
POA6004,423,186,141,74,19,6,1506,12,96,68,37,41,26,8,0,281,277,1358,751,348,296,195,42,17,3282,124,299,201,140,177,112,44,10,1101,130,268,165,149,134,94,31,0,977,27,23,11,12,10,0,0,0,86,9,30,22,22,25,17,4,7,125,162,319,196,175,170,112,34,9,1187,12,32,20,12,11,19,8,5,115,95,302,238,169,137,105,52,12,1108,712,3031,1893,1066,976,641,209,44,8582
POA6005,254,92,68,35,16,3,859,10,84,68,35,23,15,7,0,233,162,768,398,183,138,80,47,13,1783,24,142,106,59,64,46,22,10,478,71,136,99,58,58,33,17,7,481,22,15,3,0,0,5,0,0,58,4,7,7,9,6,6,5,0,52,95,154,113,75,70,40,26,12,588,8,18,6,6,8,8,7,3,63,43,139,91,46,44,47,25,14,439,355,1689,1043,491,407,268,147,49,4449
POA6006,252,138,109,59,12,0,816,9,83,87,89,74,26,10,0,380,186,726,666,429,288,152,39,9,2492,38,133,148,136,153,86,18,6,713,90,182,155,132,119,63,27,19,793,30,14,11,10,5,7,3,0,72,3,7,13,26,23,16,5,4,106,129,202,172,167,154,82,40,21,967,0,12,6,14,4,9,3,0,49,24,99,85,38,62,80,54,39,485,402,1482,1409,1015,850,489,174,79,5902
POA6007,297,197,106,81,9,5,1009,6,93,65,69,50,18,8,4,313,155,811,547,351,224,176,50,23,2332,40,115,120,105,112,78,40,16,630,86,139,98,75,82,54,28,13,565,32,14,4,0,4,3,5,0,65,5,11,10,20,17,18,8,0,79,114,163,114,95,102,74,36,15,711,0,9,8,10,8,4,3,0,56,58,151,55,54,48,59,51,72,550,389,1646,1203,878,656,504,200,128,5601
POA6008,585,454,364,279,105,22,2387,10,114,126,157,113,98,39,3,663,349,1144,973,724,627,506,212,63,4593,47,129,152,202,199,204,128,24,1083,102,162,126,99,114,92,50,11,762,44,11,13,11,7,10,3,0,99,11,16,22,24,53,41,21,13,187,155,185,154,134,179,143,72,24,1049,0,7,20,18,16,22,18,7,117,70,148,130,123,110,167,130,79,958,680,2259,2141,1808,1614,1410,709,222,10838
POA6009,614,596,457,378,181,45,2950,15,76,117,169,139,94,58,10,676,765,870,859,946,727,697,341,107,5317,110,82,100,164,190,208,154,58,1076,177,96,76,77,78,63,41,10,616,93,10,0,3,6,7,6,0,130,15,7,9,17,27,34,24,13,152,289,114,93,99,108,108,69,25,898,24,14,21,12,15,31,29,12,157,158,88,115,69,72,108,98,61,764,1424,1842,1922,2046,1709,1620,934,335,11833
POA6010,443,530,371,266,149,62,2182,3,99,96,174,148,105,46,14,677,388,893,867,1058,780,646,340,124,5108,44,101,169,228,287,293,213,80,1405,111,144,119,121,133,93,67,25,810,24,18,11,13,11,7,6,3,82,5,11,20,38,39,53,35,9,212,143,168,145,167,176,154,115,39,1107,6,14,24,23,19,30,35,28,178,117,146,93,127,125,141,172,145,1058,732,1742,1833,2318,1907,1624,1054,496,11716
POA6011,166,251,235,157,63,15,1067,3,39,41,60,68,49,16,3,280,178,500,448,598,504,391,184,49,2852,14,46,66,103,144,125,94,32,634,39,65,55,55,49,53,22,15,349,13,4,6,8,13,5,0,4,46,4,4,8,18,31,24,21,6,112,56,72,65,81,87,76,50,26,502,4,4,11,13,6,20,14,3,79,43,78,70,46,79,60,67,62,508,306,902,867,1155,1133,880,492,188,5921
