POA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6000,843,435,179,46,10251
POA6003,214,132,41,5,2621
POA6004,976,641,209,44,8582
POA6005,407,268,147,49,4449
POA6006,850,489,174,79,5902
POA6007,656,504,200,128,5601
POA6008,1614,1410,709,222,10838
POA6009,1709,1620,934,335,11833
POA6010,1907,1624,1054,496,11716
POA6011,1133,880,492,188,5921
POA6012,916,746,415,128,5604
POA6014,2029,1421,742,382,13442
POA6015,872,503,404,185,4062
POA6016,804,435,139,55,6337
POA6017,222,160,66,17,2858
POA6018,3226,2315,1516,694,24452
POA6019,1970,1249,699,219,15312
POA6020,2281,2178,952,253,12874
POA6021,1444,972,555,215,10909
POA6022,336,368,175,36,2782
POA6023,1348,1275,560,133,8708
POA6024,954,975,441,69,7213
POA6025,2960,2162,815,196,17130
POA6026,2314,1590,533,283,11916
POA6027,4118,2819,979,338,23384
POA6028,2560,1105,356,84,12484
POA6029,297,245,132,39,1669
POA6030,3132,1511,885,366,19957
POA6031,1000,455,141,26,8710
POA6032,27,11,7,0,108
POA6033,44,29,3,0,203
POA6034,122,59,11,0,1734
POA6035,714,471,282,89,5079
POA6036,1006,489,172,36,8089
POA6037,349,201,83,12,1799
POA6038,441,202,65,12,4906
POA6041,141,138,75,10,736
POA6042,9,31,7,0,63
POA6043,25,38,12,0,124
POA6044,127,136,71,15,667
POA6050,1489,1107,594,321,9814
POA6051,865,692,231,39,8644
POA6052,1016,607,265,94,6639
POA6053,1223,792,358,178,8651
POA6054,1599,1054,485,125,10662
POA6055,1599,894,385,113,16125
POA6056,3043,2191,1124,473,19760
POA6057,1128,764,410,107,7653
POA6058,861,652,258,114,6176
POA6059,1911,1391,832,310,12702
POA6060,1718,1115,498,284,15323
POA6061,1965,1267,602,177,20031
POA6062,2244,1773,960,265,16909
POA6063,900,528,180,36,6323
POA6064,1817,1222,551,202,12661
POA6065,3949,2369,1106,411,32485
POA6066,1544,724,281,61,7920
POA6067,4,0,0,0,17
