POA_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
POA6000,21,120,18,7,9,11,4,5,0,199,40,183,29,0,13,6,9,11,0,288,136,445,185,25,41,23,50,50,15,974,16,50,62,5,19,5,13,19,5,193,6,16,9,3,0,0,3,7,0,50,14,192,9,27,4,0,5,8,0,267,11,53,3,5,7,0,5,0,0,77,206,275,34,53,106,40,25,42,13,799,54,164,19,39,42,15,15,27,6,377,27,75,22,21,18,17,12,13,0,207,34,3,120,32,4,9,10,18,4,235,0,0,0,0,0,0,0,0,0,3,5,14,8,8,3,0,0,8,5,51,8,17,15,4,4,4,12,6,21,88,587,1608,537,235,272,134,160,218,66,3814,8,74,15,8,16,9,0,6,0,145,4,52,7,6,8,6,0,3,0,85,11,93,21,11,12,3,0,15,0,172,12,40,10,8,5,4,0,4,0,81,0,12,0,4,3,4,0,3,0,33
POA6003,11,25,3,5,0,0,0,5,0,51,8,39,7,3,0,0,0,0,0,64,33,74,48,5,10,7,7,13,0,206,9,18,11,6,0,3,0,0,5,43,3,3,4,0,0,0,0,0,0,16,7,38,0,12,4,0,0,0,0,55,4,17,3,5,0,0,0,0,0,33,42,69,20,23,22,14,11,14,0,216,16,69,5,22,9,6,5,0,3,134,12,36,10,10,6,8,4,0,0,85,3,0,41,4,0,0,6,4,0,64,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,12,0,3,5,0,0,0,0,5,4,23,143,402,169,95,63,43,36,45,11,1004,8,15,3,5,5,5,0,0,0,40,0,5,0,0,0,0,0,0,0,7,4,21,0,0,3,0,0,0,0,32,4,10,3,9,0,5,0,0,0,29,0,5,0,3,5,0,0,0,0,13
POA6004,33,115,8,10,17,4,3,5,0,187,31,162,21,9,9,9,12,12,3,267,140,429,168,22,33,15,35,37,9,879,29,32,46,9,9,10,7,17,0,162,6,10,3,0,0,3,4,6,0,36,21,171,7,22,6,0,7,6,5,244,21,24,3,8,3,0,0,6,0,62,205,237,43,43,91,61,25,36,5,742,52,123,13,52,34,11,11,16,6,314,14,40,14,14,4,5,0,14,3,102,11,8,82,18,4,6,3,12,0,143,0,0,0,0,0,0,0,0,0,0,8,9,9,5,3,0,3,0,0,43,14,4,7,4,3,0,4,3,16,54,578,1363,435,212,215,109,121,176,46,3244,10,71,10,13,16,9,0,0,0,140,3,39,6,8,8,0,0,3,0,68,18,93,21,3,15,11,3,6,5,180,6,23,8,6,8,3,0,0,0,56,3,4,0,0,0,0,3,5,0,20
POA6005,17,98,8,3,3,4,0,0,0,137,14,77,4,0,0,4,0,0,0,109,56,222,76,4,24,4,13,18,4,417,9,31,26,3,9,0,3,5,0,78,4,9,4,0,0,3,5,0,0,24,6,107,5,7,5,0,0,0,5,136,8,35,6,0,0,0,0,0,0,52,83,146,24,20,25,23,16,12,8,356,20,102,4,20,19,5,5,8,5,183,7,30,7,13,6,3,4,0,0,70,8,0,29,5,0,5,0,4,0,54,0,0,0,0,0,0,0,0,0,0,5,5,6,0,0,6,0,0,0,23,4,5,9,0,0,0,0,3,4,32,237,867,209,79,98,59,47,59,21,1672,7,57,4,12,12,3,0,0,0,91,3,15,3,4,12,0,0,0,0,36,10,54,10,9,3,0,0,6,3,94,3,21,3,0,6,3,0,0,0,42,0,5,4,4,0,0,0,0,0,16
POA6006,22,76,18,4,3,4,3,0,0,134,16,63,16,0,3,4,0,5,0,107,116,190,108,19,13,0,23,8,7,490,42,57,56,4,8,5,0,9,4,192,8,13,4,3,3,4,0,0,0,33,6,116,4,11,9,0,0,3,0,155,12,64,3,3,0,4,0,0,0,87,159,171,16,18,42,37,0,16,3,469,40,133,3,36,16,3,0,3,3,246,21,72,23,16,14,8,3,3,0,161,12,0,34,10,3,4,3,5,0,67,0,0,0,0,0,0,0,0,0,4,3,8,4,4,0,4,0,0,3,33,6,10,5,0,0,0,3,0,3,36,455,983,301,137,125,73,51,62,33,2212,20,57,11,11,12,3,0,3,0,116,4,12,0,0,7,0,0,0,0,20,10,43,6,0,9,4,0,3,0,75,7,33,0,4,4,0,0,0,0,48,0,12,0,5,0,3,0,0,0,26
POA6007,20,92,10,10,7,0,4,3,0,141,26,62,5,0,0,0,0,7,0,102,105,190,85,10,16,4,15,19,3,444,26,44,52,3,12,3,7,14,0,151,3,14,5,0,0,4,0,3,0,30,19,174,8,4,3,4,6,3,0,218,3,42,0,3,0,0,0,0,0,56,128,175,11,11,45,21,3,14,13,413,42,143,9,30,13,3,0,3,4,242,14,48,16,7,6,5,4,3,0,109,6,0,31,4,5,0,4,6,0,51,0,0,0,0,0,0,0,0,0,4,9,8,5,0,0,0,0,0,0,33,4,6,8,0,0,0,4,0,0,29,400,1013,227,88,98,59,41,74,19,2032,18,71,9,3,12,5,0,0,0,123,4,12,4,4,3,0,0,0,0,27,17,58,7,6,3,0,0,7,0,93,6,32,9,5,7,0,0,0,0,53,5,16,0,3,0,0,0,0,0,27
POA6008,54,202,10,14,12,8,5,4,0,308,36,100,11,3,5,0,0,0,3,170,175,374,102,14,19,13,23,18,9,748,41,77,39,4,15,14,3,7,0,200,14,22,5,0,0,0,0,4,0,49,28,387,4,18,6,7,0,5,3,459,16,58,0,6,0,0,5,0,0,92,267,350,13,19,83,59,16,26,8,842,80,314,9,36,26,11,8,14,8,506,14,68,11,3,8,11,0,3,0,120,9,0,24,5,4,0,5,5,0,48,0,0,0,6,0,0,0,0,0,6,11,10,6,3,6,0,0,0,3,37,4,4,4,4,7,0,3,0,4,40,745,1973,255,134,189,115,60,103,47,3618,17,150,8,18,24,12,0,4,0,240,8,25,0,5,11,0,0,0,0,50,23,72,16,4,13,0,3,0,0,138,13,51,10,9,3,9,0,0,0,86,6,21,3,9,5,5,0,0,0,42
POA6009,77,207,12,19,15,9,6,13,0,359,24,53,10,0,5,0,3,7,0,112,188,368,64,25,26,23,13,21,4,732,43,48,31,0,7,4,0,4,0,140,12,24,9,9,5,3,4,13,0,81,26,615,8,17,3,3,0,0,3,682,9,36,4,4,4,4,6,0,0,71,321,354,16,27,85,59,17,19,23,916,85,312,14,35,32,10,8,21,8,522,10,39,15,15,10,11,3,8,0,117,9,3,17,6,0,0,3,4,0,50,0,0,0,0,0,0,0,0,0,0,5,14,4,0,0,0,3,0,3,36,14,10,7,3,4,3,3,4,11,59,830,2087,207,164,193,139,72,119,59,3873,36,162,19,32,31,23,0,7,3,315,5,20,5,4,9,3,0,0,0,47,24,75,5,10,16,0,0,0,0,131,12,31,5,19,11,0,0,4,0,76,0,20,0,13,8,0,0,6,0,50
POA6010,57,132,7,12,4,8,5,9,3,245,29,69,10,0,8,0,0,0,0,122,211,311,108,24,25,9,16,16,3,729,67,64,35,8,12,9,4,4,0,203,21,16,6,5,8,3,3,6,0,65,28,358,3,31,5,3,3,0,3,444,9,78,9,9,4,7,0,0,0,116,412,431,17,36,70,73,15,19,20,1095,111,261,7,44,34,14,9,10,5,494,20,59,10,6,8,9,0,8,0,121,12,0,21,6,0,6,0,4,0,56,0,0,0,0,0,0,0,0,0,0,11,11,6,8,0,5,0,0,0,36,8,12,8,4,3,0,0,0,8,45,993,1802,249,201,173,147,58,72,53,3743,30,116,11,22,21,4,0,0,0,198,11,17,4,0,12,0,0,0,0,38,24,65,12,3,3,6,0,0,0,117,15,60,6,4,14,10,0,0,0,97,5,17,3,0,5,0,0,0,0,35
POA6011,41,66,8,0,5,5,0,3,3,130,6,11,0,0,0,0,0,0,0,22,109,127,37,7,7,5,8,10,0,313,33,40,28,0,9,3,0,0,0,113,19,8,3,0,0,4,0,3,0,40,20,267,0,9,0,0,0,0,0,305,8,16,0,8,0,0,0,0,0,39,247,249,13,17,36,50,4,7,14,635,62,167,0,17,14,11,3,5,9,283,9,30,6,3,0,0,0,3,3,63,9,0,14,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,23,3,6,0,0,3,3,0,3,5,30,569,1001,116,62,83,88,22,36,51,2026,14,50,5,8,13,0,0,0,0,90,0,4,0,0,0,0,0,0,0,11,9,31,9,0,6,0,0,0,0,46,5,34,4,0,4,7,0,0,0,59,4,3,0,4,6,0,0,0,0,15
POA6012,33,88,8,4,6,0,7,0,0,140,9,19,5,3,0,0,0,3,0,45,96,125,65,9,19,15,8,23,6,368,25,31,34,0,7,0,0,5,5,110,13,11,10,3,6,8,5,3,0,51,9,162,0,9,4,3,0,0,4,192,10,23,5,9,4,0,3,0,0,51,182,149,14,8,26,46,16,10,15,463,51,123,7,24,15,7,0,9,3,251,6,31,6,12,0,7,0,8,0,77,7,0,18,5,4,5,0,0,0,39,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,21,9,8,4,0,5,0,5,4,5,37,457,786,169,85,85,95,51,81,36,1842,27,51,4,14,19,4,0,0,0,121,0,7,4,0,3,0,0,0,0,10,3,34,0,5,3,8,0,0,0,54,5,21,3,0,0,0,0,0,0,39,7,9,0,3,3,0,0,0,0,20
