POA_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
POA6000,17,79,0,12,10,5,0,4,0,128,8,16,0,0,3,0,0,0,0,37,155,658,74,177,171,55,8,91,17,1405,0,0,0,4,0,0,0,0,0,7,28,28,17,25,34,18,0,3,3,161,42,39,42,92,49,17,3,23,3,313,27,19,39,72,61,14,8,15,5,259,0,0,3,5,14,5,0,5,0,41,4,3,7,11,20,0,0,5,0,51,6,7,4,3,10,3,0,6,0,39,8,12,0,9,3,4,0,7,11,58,363,1279,209,438,433,140,23,175,45,3110,0,21,0,0,0,0,0,0,0,20,10,176,0,0,6,3,0,5,0,199,159,664,32,44,96,29,10,23,10,1069,3,12,0,3,4,0,0,0,0,26,37,146,11,13,23,5,4,4,0,228,13,37,5,0,6,6,0,0,0,68,424,1539,188,254,300,108,51,166,44,3068,0,0,0,3,0,0,0,0,0,6
POA6003,10,13,0,3,6,4,0,0,0,30,6,14,0,0,3,0,0,0,0,19,47,183,27,35,55,24,4,19,3,393,0,0,0,0,0,0,0,0,0,0,5,12,3,11,0,4,0,3,0,39,8,16,17,27,11,6,0,8,0,95,8,5,16,37,21,11,0,4,3,99,3,0,0,3,0,0,0,0,0,13,5,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,6,104,345,70,134,122,48,7,43,8,874,3,0,0,0,0,0,0,0,0,6,10,43,0,0,3,0,0,4,0,56,40,151,14,19,19,5,0,0,0,259,0,3,0,0,0,0,0,0,0,4,9,30,0,5,10,3,0,0,0,60,4,19,0,0,3,3,0,0,0,31,112,409,55,64,81,40,12,38,9,810,0,0,0,0,0,0,0,0,0,9
POA6004,17,30,0,4,15,0,0,0,3,69,5,14,0,0,5,0,0,0,0,32,149,573,46,138,185,49,7,56,3,1210,0,0,0,0,0,0,0,0,0,8,18,34,15,15,32,12,0,5,0,128,27,36,25,81,44,20,6,16,3,254,31,20,39,67,50,29,8,13,0,258,3,4,0,8,7,5,0,0,0,33,0,3,0,13,14,3,0,0,0,41,4,12,4,10,3,5,0,0,0,37,0,11,0,6,14,3,0,5,5,51,337,1088,145,378,430,145,24,122,31,2690,0,10,0,0,3,0,0,0,0,17,19,149,0,0,6,0,3,0,0,176,188,573,46,53,96,24,15,32,7,1040,3,22,0,3,5,0,0,0,0,38,30,70,0,8,19,0,5,0,3,141,11,18,3,6,6,0,0,5,0,45,380,1310,136,218,277,89,45,119,23,2591,0,0,0,0,0,0,0,0,0,7
POA6005,12,48,0,8,9,5,0,3,0,79,0,15,0,0,0,0,0,0,0,27,78,383,29,66,122,32,0,23,8,742,0,0,0,3,0,0,0,0,0,4,13,12,4,13,16,6,0,4,0,57,18,26,9,36,20,6,0,7,5,122,19,10,16,36,33,6,7,10,0,144,0,0,0,0,13,0,0,0,0,17,0,0,0,3,7,3,0,0,0,16,0,8,0,3,3,0,0,4,0,24,0,8,6,5,0,0,0,0,3,28,190,744,67,185,251,66,8,55,20,1591,0,7,0,0,0,0,0,0,0,7,3,112,0,0,4,0,0,0,0,121,90,398,18,24,39,7,8,10,0,586,4,7,0,0,3,0,0,0,0,19,18,87,3,13,7,5,0,5,0,139,10,19,3,6,4,0,0,0,0,46,184,828,66,94,166,62,13,44,19,1475,0,0,6,3,0,0,0,0,0,8
POA6006,14,107,0,13,10,6,0,0,0,148,9,27,0,0,3,0,0,5,0,41,175,654,30,78,125,36,0,22,6,1126,5,0,0,0,0,0,0,0,0,0,16,38,6,20,27,3,0,6,0,110,26,29,10,40,23,21,0,8,0,152,15,22,33,51,49,24,0,11,0,199,9,4,0,3,9,0,0,0,0,29,0,7,5,6,18,0,0,0,0,37,0,9,0,0,4,0,0,6,0,19,4,9,0,0,9,0,0,0,0,27,326,1155,87,226,297,101,9,58,14,2270,0,10,0,0,0,0,0,0,0,9,14,113,0,0,10,0,0,0,0,127,131,342,10,18,39,4,0,5,5,558,6,15,0,0,0,0,0,0,0,18,37,167,11,9,15,4,0,0,0,246,11,38,3,4,3,0,0,4,0,66,383,1233,86,138,180,69,14,35,14,2148,5,0,0,0,0,0,0,0,0,3
POA6007,8,69,0,9,9,0,0,4,0,101,0,33,0,4,3,0,0,0,0,43,124,632,23,77,108,36,0,18,4,1024,0,0,0,0,0,0,0,0,0,4,12,35,6,10,19,10,0,0,0,100,18,24,15,32,32,5,0,8,0,145,14,13,15,46,29,20,0,9,3,147,0,0,0,4,9,9,0,0,0,19,5,5,3,6,7,4,0,0,0,28,0,7,3,0,4,0,0,0,0,20,5,11,0,7,0,5,0,3,4,30,272,1142,74,202,258,100,9,41,25,2124,0,17,0,0,0,0,0,0,0,16,19,149,3,0,3,0,0,0,0,172,142,444,16,16,44,9,3,8,4,692,5,21,0,0,3,0,0,0,0,25,27,126,3,9,10,4,0,4,5,183,9,38,0,3,3,0,0,0,0,56,311,1167,53,113,157,63,20,40,13,1943,0,0,0,0,0,0,0,0,0,4
POA6008,31,150,5,15,20,8,0,0,9,227,3,30,0,0,9,0,0,0,0,45,215,1115,34,140,202,65,3,27,16,1816,0,0,0,0,0,0,0,0,0,0,26,65,13,29,35,10,4,4,0,170,27,27,18,37,49,8,0,6,0,177,17,17,33,41,53,21,4,7,7,204,0,0,0,7,8,12,0,0,0,32,10,11,4,11,15,8,0,3,0,64,0,18,3,3,4,0,0,0,3,39,4,15,4,11,15,10,0,3,0,61,452,2111,122,328,456,156,16,67,35,3736,0,19,0,0,0,0,0,0,0,19,61,420,3,3,5,3,0,0,0,505,249,935,24,33,75,29,4,17,10,1372,8,23,0,0,0,0,0,0,0,41,61,249,3,18,30,10,0,0,7,380,8,52,3,0,7,0,0,0,0,74,559,2081,88,193,292,115,19,68,32,3451,0,0,0,0,0,0,0,0,0,5
POA6009,31,117,6,7,21,7,0,0,0,196,4,18,0,0,12,0,0,0,0,32,213,944,25,150,237,84,3,27,20,1708,0,0,0,0,0,0,0,0,0,0,30,48,10,13,28,12,0,4,4,147,16,26,9,22,33,18,0,3,0,143,14,13,11,53,23,20,0,8,0,140,0,4,0,16,3,9,0,0,0,37,0,4,0,3,9,8,0,0,0,27,0,17,0,8,3,0,0,0,3,40,6,15,0,8,5,0,0,4,8,45,458,1849,80,319,459,173,9,57,47,3450,5,23,0,0,0,0,0,0,0,26,74,604,4,6,15,0,0,3,10,726,304,800,16,44,94,21,16,27,17,1335,15,47,0,0,0,3,0,0,0,67,70,195,5,12,31,7,0,0,0,329,10,30,0,4,10,0,0,0,0,54,625,2000,80,223,335,156,32,65,51,3568,0,0,0,0,0,0,0,0,0,0
POA6010,42,140,5,19,23,5,0,0,0,229,13,26,0,0,6,0,0,0,0,47,279,1048,35,110,214,81,8,20,11,1792,0,0,0,0,0,0,0,0,0,0,32,61,8,35,60,24,4,0,6,227,27,33,6,36,44,18,0,3,0,168,23,12,28,57,40,19,0,11,10,201,0,4,0,4,9,4,0,0,0,30,5,11,4,11,16,5,0,3,0,61,5,16,0,5,7,0,0,0,0,34,11,9,3,9,13,3,0,0,0,54,579,1900,96,294,501,179,14,38,31,3627,5,27,0,0,3,0,0,0,0,32,45,319,3,3,7,0,0,0,5,380,341,693,15,29,90,25,3,7,11,1216,11,28,0,0,4,0,0,0,0,56,67,226,4,22,32,7,0,5,0,358,25,34,0,5,6,0,0,0,0,66,752,2075,90,189,297,144,27,39,38,3659,0,0,0,0,0,0,0,0,0,3
POA6011,14,64,0,8,7,0,0,0,0,99,5,13,0,0,0,0,0,0,0,25,139,581,16,66,129,39,0,3,10,987,0,0,0,0,0,0,0,0,0,0,13,35,8,5,24,11,0,5,0,103,16,11,3,11,15,6,0,0,0,66,7,3,12,27,23,6,0,0,0,82,0,3,7,3,0,6,0,0,0,16,4,3,0,3,10,4,0,0,3,29,0,13,0,4,3,0,0,0,0,18,10,9,0,0,7,7,0,0,7,35,272,982,45,136,244,85,0,12,34,1814,3,9,0,0,0,0,0,0,0,10,19,171,0,0,5,0,0,0,0,205,161,369,3,13,33,11,3,0,10,608,5,13,0,0,0,0,0,0,3,25,30,87,0,8,16,0,0,0,0,140,7,13,0,0,0,0,0,0,0,30,440,1163,36,99,170,80,9,16,33,2034,0,0,0,0,0,0,0,0,0,0
