POA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA6000,1174,3050,880,934,908,450,298,590,150,8429
POA6003,320,792,281,295,244,143,82,160,32,2340
POA6004,1075,2583,692,792,839,389,249,451,97,7173
POA6005,518,1679,340,370,449,189,105,193,50,3903
POA6006,911,2247,502,536,589,351,129,264,70,5591
POA6007,787,2232,370,403,480,290,78,191,57,4888
POA6008,1336,4236,463,703,829,490,129,336,108,8629
POA6009,1438,4132,373,1028,860,639,148,378,146,9142
POA6010,1790,3889,437,917,883,606,132,303,115,9073
POA6011,986,2079,211,430,435,329,66,124,101,4762
POA6012,836,1733,278,482,424,321,99,235,65,4486
POA6014,1935,4661,774,1146,1204,715,310,773,135,11657
POA6015,718,1310,136,256,351,236,50,107,60,3235
POA6016,907,2173,548,712,575,416,236,545,74,6187
POA6017,233,625,351,360,297,193,199,410,35,2704
POA6018,3453,7652,2313,2129,2663,1663,663,1151,311,22018
POA6019,2246,4804,1594,1479,1540,934,452,693,222,13971
POA6020,2002,3594,1205,1122,1430,913,261,537,157,11219
POA6021,1423,2760,1446,1091,1557,1012,521,791,177,10766
POA6022,285,712,457,281,342,182,119,185,29,2598
POA6023,1244,2522,965,771,1027,590,248,413,93,7877
POA6024,803,1770,1113,751,997,516,341,520,103,6908
POA6025,2382,4327,2567,1861,2171,1195,671,1055,210,16439
POA6026,1509,3003,1678,1345,1832,1017,506,748,116,11755
POA6027,2725,5093,3822,2770,3074,1882,1138,1813,397,22702
POA6028,1888,2988,2057,1568,1964,1192,563,895,197,13309
POA6029,268,520,141,157,158,116,23,69,26,1477
POA6030,2153,3384,3534,2865,2713,1823,1462,2090,364,20381
POA6031,955,1657,1779,1346,1377,890,744,1062,186,9987
POA6032,12,21,15,11,14,8,4,25,4,113
POA6033,48,39,39,13,30,14,12,31,9,248
POA6034,176,284,347,306,253,170,155,174,26,1888
POA6035,444,595,914,683,599,381,504,548,101,4774
POA6036,884,1385,1607,1290,1142,953,694,913,173,9035
POA6037,155,194,354,193,169,128,191,199,21,1596
POA6038,527,930,1024,825,672,440,405,466,71,5356
POA6041,74,63,125,56,64,44,84,95,13,610
POA6042,6,6,4,0,5,0,0,0,0,22
POA6043,18,8,13,8,6,7,8,16,4,95
POA6044,73,53,84,42,49,26,64,157,21,558
POA6050,1500,3214,704,872,967,603,215,410,94,8568
POA6051,984,2590,833,937,939,495,421,541,134,7871
POA6052,949,2147,651,644,839,455,195,365,68,6316
POA6053,1197,2625,990,922,1080,524,390,529,105,8368
POA6054,1151,2459,1546,1229,1389,814,689,958,161,10390
POA6055,1801,3194,2857,2265,2342,1302,1682,1459,279,17181
POA6056,2026,3060,3372,2469,2628,1747,1972,2076,407,19764
POA6057,867,1188,1515,961,1363,711,1026,771,140,8545
POA6058,580,846,1285,714,934,529,787,618,129,6420
POA6059,1530,3235,1536,1360,1648,1134,541,970,209,12159
POA6060,1664,4319,1809,1678,1887,1062,729,1178,216,14535
POA6061,1380,3045,2939,3149,2143,1579,1940,2767,433,19374
POA6062,1721,3484,2667,2012,2319,1431,1203,1701,307,16845
POA6063,590,874,1280,981,876,672,749,923,158,7106
POA6064,1049,1690,2435,1965,1633,1210,1402,2161,296,13843
POA6065,4168,6759,5884,4303,5076,3281,2460,3268,555,35750
POA6066,811,1251,1613,1187,1223,892,905,1104,177,9154
POA6067,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,3
POA6069,2514,3359,3861,3272,3314,2201,2285,2199,402,23411
POA6070,319,628,221,192,204,124,63,91,30,1873
POA6071,247,508,266,208,220,124,90,108,27,1800
POA6072,58,84,79,37,67,35,29,39,6,438
POA6073,203,331,241,148,166,110,116,112,18,1444
POA6074,62,102,108,58,62,27,39,39,6,499
POA6076,1637,2683,1669,1095,1438,724,568,721,164,10693
POA6077,131,107,156,81,128,52,56,66,5,782
POA6078,88,65,113,45,51,38,38,46,8,491
POA6079,3,0,0,0,4,0,0,3,0,7
POA6081,344,520,456,302,354,187,178,189,48,2574
POA6082,164,284,344,220,180,125,161,133,31,1645
POA6083,315,269,361,187,255,123,162,147,33,1858
POA6084,547,561,1011,481,624,304,554,474,92,4641
POA6090,3,0,6,0,0,0,6,0,0,13
POA6100,1255,2972,1064,1073,1111,634,481,668,153,9412
POA6101,1202,3118,1177,1092,1170,592,484,718,135,9686
POA6102,516,1533,851,1108,663,598,568,925,160,6919
POA6103,714,1617,922,786,793,449,462,503,107,6348
POA6104,866,1576,1180,897,976,559,703,689,136,7572
POA6105,727,1496,1330,946,1048,635,822,867,168,8047
POA6106,0,0,0,3,0,0,4,0,0,10
POA6107,1883,4674,3861,3279,2835,1839,2455,2959,532,24324
POA6108,861,1742,1911,1390,1463,922,1150,1325,183,10944
POA6109,327,615,1069,744,613,427,771,875,144,5592
POA6110,1716,3136,3441,2573,2720,1788,2315,2454,377,20525
POA6111,1148,1794,1945,1266,1380,905,1104,1152,165,10871
POA6112,3104,6118,5506,4321,4360,2663,3502,3373,638,33594
POA6121,235,238,324,158,259,113,160,138,34,1662
POA6122,1024,1376,2163,1409,1504,896,1331,1057,202,10957
POA6123,96,103,241,125,144,65,143,135,29,1082
POA6124,87,93,108,62,73,26,72,54,15,589
POA6125,217,209,368,159,214,114,175,157,64,1683
POA6126,37,18,21,13,8,10,6,13,4,126
POA6147,509,1356,1184,953,855,508,681,849,134,7035
POA6148,1126,2847,1034,963,1083,652,433,629,122,8893
POA6149,1179,3140,973,885,1329,624,381,556,141,9214
POA6150,824,2119,595,596,797,566,207,366,98,6175
POA6151,1595,3601,739,915,1079,684,243,440,146,9450
