SA1_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
50101100101,0,3,0,0,0,9,3,3,0,16,0,0,0,6,0,4,0,0,0,16,0,0,0,0,0,7,0,0,0,14,0,0,6,0,5,6,3,0,0,20,0,0,5,0,6,0,0,0,0,12,0,0,0,0,5,4,4,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,5,4,3,0,0,0,18,17,5,18,24,27,41,24,10,0,158,10,0,0,0,0,9,0,0,0,20,4,0,0,0,0,0,0,0,0,6,3,0,0,4,0,0,3,0,0,10,0,3,5,0,0,4,5,3,0,18,0,0,0,6,0,3,9,0,0,23,5,3,0,0,4,4,0,4,5,25
50101100102,0,0,7,16,5,3,7,3,0,46,0,3,10,8,8,5,3,0,0,43,0,0,5,24,9,10,10,3,0,54,0,0,3,20,4,11,3,3,0,51,0,0,3,15,17,7,5,0,0,51,0,0,3,23,13,7,0,0,0,48,0,0,7,8,7,0,0,0,0,30,0,0,4,11,7,0,0,0,0,22,0,0,7,9,0,0,0,0,0,18,0,0,9,9,7,6,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,0,10,19,5,5,5,0,0,46,35,7,75,182,105,71,49,10,3,541,17,0,12,16,12,6,3,0,0,66,23,0,0,5,3,3,3,0,0,44,5,0,3,5,5,6,9,0,0,40,0,0,7,16,6,6,15,7,4,60,4,3,9,8,8,7,6,9,0,56,4,0,7,24,13,9,17,0,5,81
50101100103,0,0,0,0,0,0,15,6,5,29,0,0,0,6,8,4,16,12,8,44,0,0,0,0,5,9,7,9,4,31,0,0,4,6,0,0,6,0,6,21,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,4,6,0,0,14,0,0,0,0,4,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,3,24,5,0,10,14,23,32,61,42,31,223,3,0,0,0,4,0,5,6,4,27,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,7,11,5,0,23,0,0,0,4,6,7,25,24,5,62,0,0,4,3,8,6,27,16,13,77,0,0,0,0,3,10,12,23,14,63
50101100104,0,3,4,0,0,3,11,7,0,29,0,0,3,0,0,3,9,5,4,33,0,0,0,0,5,6,7,4,0,25,0,0,0,5,0,3,0,3,0,21,0,0,3,0,0,4,4,0,3,18,0,0,6,3,5,7,0,0,0,11,0,0,0,0,0,3,0,0,0,8,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,7,0,19,10,9,17,21,25,38,48,27,17,206,3,0,0,0,0,5,0,3,0,15,0,3,0,0,0,4,5,3,0,16,0,0,3,4,3,5,9,3,3,25,0,3,0,0,0,7,23,12,7,58,0,0,3,4,0,7,15,8,4,40,0,4,4,0,12,4,12,9,4,51
50101100105,0,0,0,0,0,6,3,5,0,14,0,0,0,0,0,7,14,0,6,22,0,0,0,6,0,3,8,0,0,15,0,0,0,0,0,0,6,3,0,12,0,0,0,0,5,0,5,0,0,9,0,0,0,0,5,5,3,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,3,0,4,10,19,34,44,11,3,136,4,0,0,0,0,10,6,3,3,25,3,0,0,0,0,4,5,0,0,12,0,0,0,6,0,0,3,0,0,14,0,0,0,0,3,6,9,7,0,26,0,0,0,6,9,12,21,0,3,41,5,0,0,6,3,3,7,5,0,29
50101100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101100107,0,0,0,0,3,6,6,4,0,20,0,0,3,0,0,3,4,3,0,20,0,0,0,0,0,0,9,9,0,13,0,0,0,6,0,7,4,7,0,14,0,0,4,6,3,4,3,0,0,22,0,0,0,0,3,0,4,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,0,0,0,15,7,0,17,21,22,55,37,22,6,179,9,0,5,0,3,7,3,0,0,36,3,0,0,0,0,4,5,0,0,21,0,6,0,0,0,3,4,0,0,23,0,0,0,4,8,9,14,8,0,46,0,0,4,0,4,9,17,5,0,46,0,0,0,0,0,7,15,8,0,34
50101100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101100109,0,0,0,3,3,5,5,0,0,21,0,0,0,0,0,7,9,5,0,23,0,0,5,3,6,3,3,0,0,23,0,7,3,6,8,9,7,0,0,40,0,0,0,4,6,8,4,0,0,24,0,0,3,0,0,4,0,0,0,12,0,0,0,0,0,0,7,0,0,14,0,0,0,4,5,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,14,11,6,21,39,45,49,42,6,0,223,10,0,0,3,4,0,3,0,0,22,7,0,0,3,4,0,5,0,0,18,0,0,0,3,0,3,6,0,0,25,5,0,0,7,3,8,8,3,0,41,3,4,0,4,4,11,8,5,0,37,0,3,5,3,6,7,11,6,0,40
50101100110,0,0,0,0,0,8,6,0,0,10,0,0,0,0,4,0,0,0,0,12,0,0,5,0,0,0,0,0,0,13,0,0,0,3,0,0,3,0,0,12,0,3,0,3,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,6,0,0,0,4,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,15,13,15,18,20,14,0,109,0,0,0,0,5,3,6,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,0,5,0,0,19,0,0,5,3,3,9,6,0,0,20,0,0,0,0,5,3,10,0,0,25,0,0,5,0,0,0,6,3,0,16
