SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
50101100101,0,0,3,7,10,13,6,6,0,46,47,31,30,41,54,75,48,22,4,363
50101100102,57,8,15,44,23,20,3,0,0,176,449,87,131,342,207,132,92,30,9,1478
50101100103,6,0,0,3,8,4,6,3,8,49,30,12,15,29,45,71,116,90,53,460
50101100104,12,6,0,3,8,0,11,0,4,43,57,23,38,39,51,66,98,63,28,459
50101100105,3,0,3,0,9,0,9,0,0,19,24,19,13,23,39,53,85,21,18,290
50101100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
50101100107,3,0,11,3,9,13,9,0,0,42,44,30,30,48,57,96,85,37,7,434
50101100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
50101100109,9,0,0,8,10,8,7,6,0,52,84,36,34,65,86,106,90,27,0,541
50101100110,3,5,3,0,9,0,4,0,0,28,37,12,29,24,37,48,39,14,3,253
50101100111,13,4,11,20,4,14,3,0,0,68,126,32,60,121,65,93,59,17,0,586
50101100112,21,5,4,14,8,3,6,0,0,61,87,23,33,61,54,75,61,26,3,433
50101100113,3,0,0,4,0,6,3,5,5,26,34,11,14,18,37,49,53,22,6,247
50101100114,22,9,10,16,17,6,5,3,0,98,155,45,59,113,109,84,47,22,12,648
50101100115,8,3,9,9,7,4,5,0,0,40,74,27,32,59,59,66,65,20,6,400
50101100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101100301,0,9,5,0,0,4,0,6,0,23,24,17,23,28,20,39,25,31,16,218
50101100302,0,0,0,4,4,0,0,5,0,19,86,30,19,62,50,34,31,22,0,334
50101100303,6,0,0,0,3,3,7,3,0,24,41,29,16,33,57,64,67,30,6,346
50101100304,3,0,3,3,0,8,5,0,0,35,52,33,26,33,40,39,37,17,0,265
50101100305,8,4,0,4,13,4,5,8,5,51,52,24,32,36,43,54,37,16,6,305
50101100306,5,5,5,3,3,6,0,0,0,30,89,46,51,66,70,95,50,20,0,497
50101100307,3,5,4,4,4,0,3,0,0,23,60,21,24,44,45,57,51,17,0,324
50101100308,5,0,3,11,5,4,4,0,0,43,69,34,23,53,74,93,65,23,0,429
50101100310,3,0,0,6,5,5,4,4,0,23,61,34,31,45,56,77,76,33,4,420
50101100311,0,0,3,3,5,3,14,4,0,38,86,14,31,60,45,45,34,20,0,345
50101100312,3,3,3,7,0,5,7,8,0,32,52,22,24,56,38,47,57,37,13,338
