SA2_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
501011001,1192,349,451,884,800,887,778,373,143,5867,8,0,0,3,5,8,5,4,0,33,6,0,7,0,0,7,0,0,0,15,0,0,0,0,0,4,6,0,0,8,0,0,0,0,0,6,0,0,0,10,0,0,0,3,3,0,0,3,0,10,26,30,82,56,49,83,85,23,5,449,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,89,63,62,97,104,23,7,504,35,31,93,64,66,106,109,26,7,544,1227,386,547,953,860,995,886,403,148,6408
501011003,2319,821,936,1532,1522,1373,1310,590,133,10538,6,0,4,11,5,11,17,14,3,63,0,6,5,0,0,0,4,0,0,20,3,0,5,4,0,0,0,0,0,15,0,0,4,0,6,10,13,0,0,31,5,0,0,0,7,0,0,0,0,15,109,66,193,145,130,242,275,84,6,1243,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,118,76,199,148,139,266,292,80,6,1332,126,77,204,153,144,274,309,92,9,1400,2445,900,1143,1691,1660,1654,1622,686,145,11929
501011004,2064,796,1069,1485,1404,1037,811,298,125,9097,4,4,3,10,4,4,4,0,0,30,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,5,3,0,0,13,0,0,7,4,3,12,13,0,0,34,0,3,0,4,7,0,0,0,0,16,69,54,122,86,100,181,117,38,15,787,0,0,0,0,0,6,0,0,0,12,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,5,73,63,138,96,113,206,144,41,15,886,76,71,143,106,115,213,146,41,15,914,2141,868,1210,1591,1522,1245,955,338,136,10011
501011293,1550,842,825,946,1193,1146,1189,652,171,8520,6,0,4,0,0,3,10,3,0,24,0,0,0,0,0,7,0,0,0,11,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,44,60,77,54,37,72,82,30,9,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,65,83,56,43,75,86,27,9,497,48,68,83,58,45,88,95,32,11,525,1592,909,911,1006,1241,1232,1284,685,186,9041
501011294,3531,1733,1645,2188,2257,2143,2215,1361,679,17744,0,0,0,0,9,7,12,11,0,43,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,9,3,0,0,15,0,0,0,3,0,3,0,4,0,14,0,0,0,0,5,7,0,0,0,12,132,115,106,118,141,213,175,92,31,1137,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,115,119,133,155,233,184,96,31,1200,141,115,123,134,157,243,197,107,31,1245,3675,1843,1760,2322,2418,2384,2414,1465,712,18991
501021005,4264,2011,2053,2484,2218,2125,1659,807,182,17810,3,4,0,0,4,6,11,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,72,70,64,61,58,81,53,24,8,498,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,72,78,61,64,62,85,61,24,8,520,80,79,70,64,67,94,70,28,6,561,4342,2090,2124,2548,2288,2220,1733,838,190,18368
501021007,1038,498,425,613,737,769,615,278,61,5031,3,0,4,3,6,3,6,5,0,31,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,5,3,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,15,16,26,9,10,18,11,3,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,23,14,10,27,19,6,0,142,24,16,27,14,16,30,27,9,0,169,1056,514,457,627,748,799,641,286,56,5195
501021008,1118,786,982,905,844,826,626,360,186,6623,0,0,4,0,0,3,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,52,43,33,44,38,50,35,25,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,26,47,44,35,44,38,51,35,25,345,22,51,54,35,44,34,57,35,25,361,1140,838,1033,939,888,870,679,394,208,6981
501021009,1508,851,830,912,1052,1180,1090,532,172,8126,14,6,10,4,0,0,11,3,0,42,0,0,0,5,0,3,0,0,0,7,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,34,56,66,64,54,64,24,14,7,384,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,54,68,72,59,79,26,14,7,413,44,59,75,71,65,79,36,21,7,455,1551,912,902,993,1117,1257,1124,548,179,8585
501021010,588,295,254,354,481,479,380,171,45,3037,0,3,0,0,4,3,3,0,0,16,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,10,20,7,18,17,7,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,7,20,10,18,19,7,0,114,15,18,7,16,11,20,26,8,0,132,606,305,264,375,489,498,404,181,48,3169
501021011,0,0,0,0,8,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,3,0,0,0,11
501021012,2479,1225,1500,1534,1346,1258,1071,738,288,11439,0,0,5,0,0,3,0,15,8,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,37,45,49,37,37,53,27,4,22,307,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,45,47,37,36,55,36,8,22,328,39,47,55,37,39,59,38,18,31,354,2513,1272,1550,1566,1389,1312,1110,755,318,11793
501021014,1588,932,931,1031,1208,1248,1071,540,191,8740,0,0,0,0,5,0,8,4,0,21,0,0,3,0,0,6,0,0,0,8,3,0,8,0,4,4,3,0,0,19,0,0,0,0,3,0,0,4,0,12,0,0,0,0,10,0,0,0,0,11,25,119,49,27,44,52,26,9,12,371,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,122,53,29,58,59,32,11,12,423,36,122,53,30,60,64,37,17,14,448,1624,1054,984,1072,1268,1314,1108,554,207,9186
501021015,1246,729,936,810,820,870,715,450,156,6721,3,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,24,37,26,21,18,23,8,8,0,171,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,43,31,23,17,24,12,9,0,183,26,41,31,29,19,28,18,3,0,197,1269,767,960,831,842,894,731,459,159,6917
501021016,676,381,326,438,529,595,544,286,99,3885,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,6,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,24,21,25,40,32,14,3,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,21,29,47,37,16,4,0,205,12,26,28,30,47,43,16,4,0,213,690,409,351,475,575,637,565,289,98,4096
501021251,2393,1282,1134,1375,1328,862,550,268,41,9227,0,0,0,0,0,0,4,0,0,8,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,48,31,27,30,28,6,9,5,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,48,34,30,28,31,6,9,5,219,29,54,32,30,30,31,5,10,5,226,2423,1330,1171,1407,1359,891,563,275,42,9457
501021252,551,361,173,307,484,466,342,100,24,2812,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,13,6,4,0,9,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,13,6,4,0,9,0,0,74,20,17,13,6,4,0,9,0,0,74,568,378,185,311,487,471,347,98,25,2886
501021253,1874,1146,1332,1395,1587,1575,1459,858,506,11728,0,0,0,0,0,14,10,0,3,37,0,0,0,0,0,3,7,0,0,18,0,5,3,7,3,11,3,0,0,39,4,0,0,4,0,3,0,0,0,14,4,0,3,0,0,0,0,0,0,8,38,76,139,131,145,140,49,7,19,750,0,0,0,0,0,3,3,0,0,3,0,0,4,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,83,152,142,157,167,71,11,20,852,50,83,154,142,164,182,73,12,24,890,1922,1229,1487,1541,1746,1758,1531,876,536,12614
501021254,936,605,599,618,636,613,545,254,51,4852,0,0,5,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,34,23,23,18,20,8,6,6,148,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,34,28,21,17,18,10,6,6,159,22,34,32,21,23,24,14,10,6,170,958,636,632,638,659,632,554,254,54,5019
501031017,1204,491,468,694,864,1078,1047,544,127,6512,0,0,0,0,4,3,7,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,21,35,64,48,51,88,60,14,15,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,35,68,53,49,95,60,14,15,423,21,40,72,57,55,100,67,18,13,445,1228,529,542,749,918,1181,1116,563,137,6959
501031018,1011,479,449,632,768,907,855,435,122,5650,0,0,4,5,0,0,9,0,0,17,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,0,7,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,57,34,15,32,38,35,18,0,236,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,56,40,17,31,42,40,16,0,261,17,62,42,21,32,42,50,16,0,281,1024,537,483,649,801,949,903,454,120,5931
501031019,979,570,535,558,637,754,571,327,118,5052,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,32,35,36,27,27,17,13,8,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,35,36,29,29,22,13,8,219,23,30,34,34,28,31,22,13,8,227,1002,600,566,597,661,790,597,335,126,5281
501031020,651,339,371,491,653,869,779,388,96,4648,0,0,3,0,0,0,0,0,5,22,0,0,0,0,0,5,0,0,0,4,0,0,3,0,0,3,0,0,0,9,0,0,0,0,3,4,5,0,0,7,3,0,0,0,0,6,0,0,0,8,59,43,80,86,91,127,96,23,7,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,43,84,84,93,146,110,23,7,650,65,45,92,84,92,147,108,24,11,671,713,382,468,581,749,1016,891,414,109,5320
502011021,1582,750,702,893,967,1016,1180,564,71,7717,0,0,0,0,5,3,0,3,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,9,30,24,19,22,16,3,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,11,28,30,22,29,16,3,177,15,26,13,28,29,29,32,15,3,191,1602,775,713,921,994,1044,1210,580,76,7910
502011022,1453,884,772,916,1108,1332,1440,681,175,8761,0,0,0,4,0,3,11,9,0,24,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,37,47,19,14,35,36,37,14,6,235,0,0,0,0,0,0,3,0,0,5,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,46,21,17,35,40,51,14,6,263,43,48,21,24,35,44,58,26,3,290,1496,932,789,935,1150,1369,1498,706,181,9048
