SA2_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
501011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,14,21,47,30,15,133,0,3,4,19,17,47,30,15,138,186,203,398,389,428,404,182,48,2253,16,25,59,57,42,28,18,5,247,202,236,461,471,483,487,232,66,2637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,0,0,23,0,0,0,3,8,6,0,0,21,178,256,476,393,492,415,177,70,2460,15,32,52,41,35,35,13,12,227,193,285,525,441,538,453,188,83,2707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,21,28,54,31,14,157,0,3,5,26,28,54,31,14,157,363,466,870,787,921,821,360,118,4708,35,53,110,96,72,60,31,13,472,396,523,990,908,1025,936,422,148,5343
501011003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,18,28,38,61,47,18,222,0,5,17,32,36,61,47,18,225,460,438,691,757,700,703,289,45,4084,48,56,71,78,66,46,30,12,408,509,504,781,868,801,817,369,75,4717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,8,4,5,0,32,0,4,7,7,8,4,5,0,32,366,520,872,796,771,716,302,67,4416,40,51,58,45,47,56,35,7,331,408,578,936,844,829,773,340,72,4779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,23,38,48,72,48,22,260,0,12,20,40,45,72,48,22,264,832,959,1560,1551,1473,1419,595,111,8501,84,108,130,116,112,101,66,16,734,916,1084,1713,1712,1630,1587,708,143,9492
501011004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,16,26,13,9,108,0,0,6,23,17,26,13,9,110,447,539,685,702,525,425,126,33,3490,46,75,76,104,33,39,8,7,380,495,615,763,830,579,498,151,52,3977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,6,0,18,0,0,0,7,5,0,6,0,18,350,550,859,712,579,463,165,75,3761,31,39,59,60,29,30,5,10,263,380,590,924,777,609,490,175,89,4038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,18,33,20,9,122,0,0,13,32,25,33,20,9,131,803,1092,1543,1415,1106,887,298,109,7246,75,115,128,165,65,74,9,16,643,877,1208,1684,1608,1194,989,327,139,8018
501011293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6,28,37,87,53,26,244,0,10,8,33,40,87,53,26,249,445,420,444,545,515,547,283,44,3242,25,49,42,47,46,31,27,7,262,466,478,488,623,598,657,359,73,3753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,10,7,3,35,0,0,5,5,5,10,7,3,35,400,428,531,661,661,652,327,99,3761,31,28,21,26,32,31,32,10,215,436,452,558,695,699,696,366,109,4007,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6,4,38,42,94,59,28,273,3,10,13,36,41,94,59,28,282,846,848,975,1207,1174,1195,610,146,7000,55,81,62,69,77,60,55,18,479,904,931,1047,1318,1300,1350,723,184,7764
501011294,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,11,0,4,27,46,48,142,120,78,463,0,8,27,51,51,142,120,78,472,913,784,1013,1021,1005,996,567,154,6457,35,70,88,74,59,52,36,22,430,948,861,1123,1149,1111,1192,724,250,7368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,20,15,34,17,10,104,0,5,4,17,15,34,17,10,110,838,871,1203,1246,1237,1269,739,418,7829,49,53,53,45,49,56,50,36,392,889,932,1260,1311,1301,1365,806,468,8326,0,0,0,0,0,0,0,0,5,0,3,0,7,4,0,0,0,10,0,4,28,64,62,182,138,90,570,0,9,28,67,67,182,138,90,583,1752,1655,2221,2272,2241,2269,1304,570,14283,82,129,139,120,108,108,85,55,826,1831,1795,2383,2463,2412,2563,1529,715,15691
501021005,0,0,0,3,0,0,0,0,3,0,0,0,4,3,0,0,0,7,3,11,34,48,83,123,72,24,401,3,12,38,53,86,123,72,24,409,1017,984,1179,1064,978,773,342,56,6391,61,64,80,76,89,43,19,8,432,1078,1063,1301,1196,1151,934,428,87,7231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,15,20,11,7,3,63,0,10,3,15,20,11,7,3,65,1024,1101,1334,1193,1212,913,428,102,7300,33,61,35,45,47,48,26,10,305,1063,1166,1374,1248,1278,980,458,110,7677,0,0,0,3,0,0,0,0,3,0,0,0,4,3,0,0,0,7,3,12,42,62,103,135,71,27,463,3,20,43,66,106,135,71,27,473,2040,2082,2509,2255,2194,1689,772,156,13698,95,132,115,117,133,93,48,18,741,2133,2233,2670,2443,2432,1913,890,200,14910
501021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,19,26,37,22,7,119,0,3,13,15,26,37,22,7,121,248,195,261,327,364,300,123,15,1833,26,10,25,36,31,30,12,3,178,273,210,296,383,423,360,163,24,2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,6,0,0,12,0,4,0,3,5,6,0,0,15,250,238,337,391,426,316,136,35,2115,27,18,20,22,26,26,8,3,138,277,255,354,416,453,343,137,38,2270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,31,42,22,7,132,0,3,14,21,31,42,22,7,133,495,432,595,710,786,616,260,49,3954,47,30,41,61,53,54,26,9,318,546,469,649,796,873,703,305,62,4400
501021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,21,41,36,15,140,0,4,9,26,26,41,36,15,146,334,363,319,301,363,250,130,39,2111,69,213,202,115,59,33,14,4,709,410,584,528,442,443,325,171,61,2961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,7,0,0,17,0,0,3,0,10,7,0,0,16,371,414,373,407,408,337,198,112,2617,36,50,31,36,27,14,13,15,224,407,463,409,446,442,355,206,129,2860,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,21,29,42,36,15,158,0,4,13,21,30,42,36,15,162,702,781,693,705,776,591,326,155,4723,105,261,231,152,82,44,21,21,931,816,1043,935,884,892,683,375,190,5818
501021009,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,19,49,96,41,21,245,0,3,15,17,49,96,41,21,247,463,398,426,453,562,519,207,33,3071,42,41,44,48,40,40,27,18,314,507,440,489,523,652,656,285,77,3630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,6,3,0,30,0,0,0,3,12,6,3,0,29,398,439,450,563,603,521,243,69,3283,42,36,38,31,32,38,36,33,297,439,474,493,600,642,567,286,101,3611,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,18,18,61,105,46,21,271,6,5,15,22,61,105,46,21,273,860,837,873,1014,1161,1039,456,104,6354,86,76,86,82,74,75,64,51,608,947,920,976,1120,1301,1220,568,183,7239
501021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,13,23,8,4,66,5,3,3,9,12,23,8,4,71,151,127,156,235,236,203,73,16,1195,4,7,17,23,18,21,11,0,105,157,133,178,268,263,244,90,28,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,3,0,0,9,154,119,194,241,250,160,83,15,1215,9,6,8,19,20,10,11,4,88,167,132,204,256,274,175,95,17,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,15,17,24,8,4,80,5,3,8,15,17,24,8,4,83,310,244,351,469,488,360,152,29,2411,11,18,22,41,38,32,24,10,195,325,265,382,525,539,417,186,44,2685
