SA2_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
501011001,..,3,56,203,192,239,257,133,30,1113,..,9,58,86,70,55,30,12,0,323,..,0,0,13,18,7,4,4,0,40,560,..,..,..,..,..,..,..,..,560,..,64,..,..,..,..,..,..,..,64,..,66,19,15,13,8,5,0,0,117,..,5,3,7,5,3,8,3,0,27,..,7,13,0,0,5,0,0,0,21,..,6,18,5,8,7,11,0,0,57,..,8,26,30,51,73,68,36,23,314,15,16,9,15,18,21,7,4,0,103,573,177,192,364,376,417,389,196,57,2741,..,0,76,273,210,264,250,95,16,1188,..,11,82,98,62,57,18,9,0,340,..,0,17,45,39,19,3,3,8,132,519,..,..,..,..,..,..,..,..,519,..,85,..,..,..,..,..,..,..,85,..,46,17,8,4,3,0,0,0,75,..,3,0,0,6,10,5,7,4,36,..,4,8,4,9,3,0,0,0,27
501011003,..,4,106,393,454,448,467,212,44,2119,..,19,130,121,94,66,53,17,3,497,..,0,4,9,33,15,3,3,4,80,1120,..,..,..,..,..,..,..,..,1120,..,201,..,..,..,..,..,..,..,201,..,151,54,23,10,9,0,0,0,242,..,20,8,4,3,6,5,3,0,54,..,7,29,6,3,7,0,0,0,56,..,28,42,14,19,15,8,7,0,132,..,10,24,42,70,66,91,42,12,359,15,25,14,21,22,26,19,4,0,148,1139,450,406,648,714,649,663,291,61,5011,..,4,166,549,467,473,428,160,24,2268,..,25,179,137,102,71,30,9,0,553,..,3,9,75,106,28,6,8,0,239,1065,..,..,..,..,..,..,..,..,1065,..,185,..,..,..,..,..,..,..,185,..,69,17,8,6,3,0,0,0,115,..,7,8,0,0,6,20,8,10,58,..,17,21,6,3,3,3,0,0,49
501011004,..,3,103,309,358,260,245,94,20,1390,..,18,156,145,107,81,28,4,0,533,..,0,3,20,39,11,0,5,5,86,1004,..,..,..,..,..,..,..,..,1004,..,180,..,..,..,..,..,..,..,180,..,143,43,9,9,3,0,0,0,208,..,25,8,8,3,7,4,0,0,55,..,11,21,20,5,4,7,0,0,67,..,37,111,34,23,28,13,3,0,252,..,16,35,62,76,83,73,16,13,379,16,10,14,30,21,12,14,3,0,125,1026,442,500,633,642,498,390,132,37,4283,..,0,161,429,353,268,214,63,8,1510,..,31,180,177,127,71,16,3,0,594,..,0,18,121,118,49,17,5,6,338,943,..,..,..,..,..,..,..,..,943,..,158,..,..,..,..,..,..,..,158,..,73,27,16,4,3,0,0,0,124,..,7,6,5,0,11,15,11,3,53,..,21,35,11,9,5,6,0,0,79
501011293,..,0,101,228,319,331,403,216,41,1642,..,31,97,63,70,53,33,15,3,370,..,0,5,14,29,9,3,6,0,74,763,..,..,..,..,..,..,..,..,763,..,157,..,..,..,..,..,..,..,157,..,164,85,18,19,12,0,0,0,298,..,22,17,0,0,4,13,0,0,61,..,7,8,4,10,0,0,0,0,39,..,22,37,14,15,22,7,6,0,121,..,10,34,49,51,71,95,59,20,387,9,19,24,17,8,15,9,8,0,115,778,436,404,419,524,514,573,309,64,4036,..,0,147,308,367,366,369,179,18,1751,..,45,121,74,81,45,36,11,0,420,..,14,41,82,100,43,17,18,11,324,723,..,..,..,..,..,..,..,..,723,..,161,..,..,..,..,..,..,..,161,..,111,14,8,9,8,3,0,0,163,..,17,9,4,7,19,19,9,7,95,..,18,13,0,7,0,0,0,0,33
501011294,..,4,235,551,603,605,700,452,109,3256,..,59,208,193,135,110,74,17,5,805,..,0,6,30,59,26,8,0,6,142,1739,..,..,..,..,..,..,..,..,1739,..,351,..,..,..,..,..,..,..,351,..,338,115,38,25,6,0,0,0,530,..,36,18,9,11,14,16,4,5,101,..,35,28,14,7,10,4,0,0,93,..,30,44,22,26,36,18,8,0,189,..,20,76,91,116,133,167,94,56,754,19,18,30,19,24,23,34,12,4,170,1754,900,757,965,1002,966,1017,600,182,8133,..,15,323,686,691,655,691,327,69,3464,..,98,250,195,164,108,67,9,0,894,..,16,88,208,198,80,23,18,16,638,1682,..,..,..,..,..,..,..,..,1682,..,345,..,..,..,..,..,..,..,345,..,220,62,14,14,13,5,0,0,328,..,28,16,8,11,22,28,19,12,141,..,38,15,8,0,8,4,0,0,69
501021005,..,8,357,711,687,700,601,306,45,3413,..,77,274,170,116,94,47,15,0,803,..,7,15,49,61,12,5,8,3,150,2179,..,..,..,..,..,..,..,..,2179,..,374,..,..,..,..,..,..,..,374,..,374,99,62,21,10,0,0,0,567,..,47,25,13,10,8,13,3,4,129,..,30,22,16,10,4,3,0,0,91,..,26,46,16,22,21,16,0,0,148,..,34,87,91,94,93,92,59,16,560,23,37,25,27,21,26,25,9,0,194,2206,1021,944,1144,1040,971,805,396,75,8611,..,21,499,866,758,748,543,228,14,3678,..,130,319,165,126,114,38,8,0,900,..,26,122,210,152,60,28,17,7,619,1962,..,..,..,..,..,..,..,..,1962,..,443,..,..,..,..,..,..,..,443,..,257,53,27,14,3,0,0,0,357,..,30,13,9,12,36,34,22,6,160,..,35,17,10,8,7,0,4,0,75
501021007,..,3,68,143,197,230,201,101,17,948,..,24,51,57,56,53,31,4,0,271,..,0,5,13,17,8,4,0,0,44,496,..,..,..,..,..,..,..,..,496,..,92,..,..,..,..,..,..,..,92,..,89,29,20,7,6,0,0,0,148,..,10,3,3,5,10,4,0,0,31,..,4,7,3,0,4,0,0,0,23,..,8,12,6,7,7,10,0,0,57,..,11,11,24,29,32,50,28,5,191,11,6,5,4,3,9,0,0,0,49,505,242,187,270,320,358,308,141,22,2355,..,8,90,200,231,240,193,60,13,1016,..,31,69,52,62,57,17,4,0,293,..,8,29,47,40,15,20,15,3,174,492,..,..,..,..,..,..,..,..,492,..,91,..,..,..,..,..,..,..,91,..,77,16,11,8,12,0,0,0,119,..,14,0,0,0,16,4,5,0,44,..,4,3,0,4,3,0,0,0,20
501021008,..,9,75,131,125,170,148,93,28,780,..,50,96,42,40,35,14,3,4,289,..,0,3,23,22,11,8,0,0,76,509,..,..,..,..,..,..,..,..,509,..,87,..,..,..,..,..,..,..,87,..,102,48,21,16,7,0,0,0,195,..,21,14,12,7,6,4,0,0,70,..,14,13,8,11,3,8,0,0,51,..,32,44,11,12,28,10,3,0,142,..,16,48,73,77,101,83,34,12,440,16,4,16,3,3,14,5,4,0,71,529,338,358,323,310,375,281,145,45,2705,..,10,112,143,160,166,140,68,13,822,..,65,95,54,40,34,16,8,0,305,..,23,64,110,96,33,15,15,16,372,507,..,..,..,..,..,..,..,..,507,..,104,..,..,..,..,..,..,..,104,..,71,25,14,11,14,6,0,0,126,..,9,11,4,6,10,19,11,0,65,..,10,13,4,4,0,0,0,0,28
501021009,..,3,76,198,227,319,330,176,23,1345,..,31,121,82,71,54,36,6,0,410,..,0,6,20,20,7,7,3,5,78,745,..,..,..,..,..,..,..,..,745,..,145,..,..,..,..,..,..,..,145,..,184,70,28,18,16,4,0,0,324,..,20,22,3,6,11,14,3,0,82,..,9,14,12,3,3,0,0,0,46,..,14,15,12,17,18,11,4,0,94,..,21,36,60,77,134,151,52,24,550,26,28,23,13,10,16,12,5,0,143,777,455,381,422,458,582,575,250,57,3958,..,9,132,211,287,327,314,112,3,1401,..,66,136,90,83,48,27,0,0,453,..,7,74,90,76,33,15,12,11,313,660,..,..,..,..,..,..,..,..,660,..,123,..,..,..,..,..,..,..,123,..,100,35,10,9,7,0,0,0,157,..,19,9,0,10,11,10,9,4,73,..,15,6,5,0,0,0,0,0,28
501021010,..,3,47,96,144,147,142,54,9,646,..,6,28,33,25,29,15,3,0,139,..,0,0,4,7,0,0,0,0,20,305,..,..,..,..,..,..,..,..,305,..,53,..,..,..,..,..,..,..,53,..,63,22,9,11,0,0,0,0,104,..,5,0,4,0,0,4,0,0,14,..,3,4,0,4,4,0,0,0,13,..,0,0,0,0,0,0,0,0,17,..,3,18,12,28,37,42,13,3,155,0,9,0,3,0,3,0,0,0,17,306,147,129,159,228,224,212,79,25,1498,..,7,57,124,169,164,104,40,7,674,..,14,36,35,28,30,8,5,0,157,..,0,10,15,24,3,8,8,0,72,267,..,..,..,..,..,..,..,..,267,..,60,..,..,..,..,..,..,..,60,..,44,19,9,3,0,0,0,0,76,..,4,0,0,0,0,6,3,0,20,..,4,0,0,0,0,0,0,0,9
