SA2_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
501011001,17,25,39,13,12,20,9,18,27,12,43,55,34,115,155,34,85,116,117,66,186,108,67,174,127,60,186,148,52,197,118,26,146,109,18,126,198,40,240,142,0,147,98,11,105,58,0,58,111,16,129,221,22,240,29,25,47,1704,690,2399
501011003,29,30,58,20,14,31,18,33,46,10,45,56,40,111,153,36,98,134,141,75,219,127,84,214,219,88,305,205,77,283,155,56,208,180,32,211,384,63,445,312,13,324,223,24,243,125,5,127,451,19,471,434,40,476,24,33,54,3133,919,4055
501011004,14,22,44,9,17,25,14,33,45,11,54,68,36,124,156,53,95,147,88,79,164,110,73,184,172,103,278,209,56,266,157,46,203,171,36,207,347,65,412,249,21,270,190,24,213,108,9,115,222,35,252,344,49,396,18,23,39,2526,956,3487
501011293,30,32,64,16,10,26,12,38,48,13,64,75,36,189,214,59,147,205,207,91,296,175,80,249,180,84,271,212,65,277,140,49,187,130,34,163,310,57,369,222,6,225,154,13,170,107,4,110,236,18,251,308,26,332,36,31,68,2579,1030,3616
501011294,39,48,86,17,21,43,24,69,96,31,157,187,124,418,538,115,302,418,404,185,583,298,195,495,410,175,584,414,118,533,280,84,360,280,69,354,583,102,684,434,26,455,355,23,381,223,0,222,436,37,477,591,39,633,60,101,160,5121,2176,7292
501021005,43,36,77,18,9,29,26,38,61,28,85,116,94,235,332,98,132,225,299,97,395,240,98,342,296,107,409,325,86,410,241,88,322,320,65,379,702,139,840,543,5,549,488,37,524,277,3,279,596,32,628,640,30,673,51,35,86,5317,1358,6668
501021007,18,17,40,12,4,10,6,10,19,3,42,44,29,84,115,41,42,86,106,34,136,74,28,109,96,36,132,115,30,150,74,30,109,81,22,100,186,28,220,127,0,131,113,7,124,60,4,61,137,7,139,215,4,218,25,21,40,1532,454,1990
501021008,18,47,63,7,12,16,9,45,52,20,98,120,32,200,233,68,120,184,136,78,213,125,106,227,143,88,230,129,83,209,103,60,161,95,34,125,202,44,246,135,10,138,87,11,100,45,3,53,67,10,76,154,13,165,17,41,57,1580,1099,2677
501021009,27,37,63,6,9,13,11,52,62,26,117,139,69,287,353,61,96,162,218,66,287,148,83,232,156,89,246,187,55,244,109,56,166,124,48,166,230,68,299,199,3,201,162,16,181,87,0,87,170,11,177,239,15,251,38,48,87,2253,1149,3404
501021010,7,7,14,8,8,13,3,13,14,0,14,18,21,37,59,15,35,47,48,11,57,44,29,68,51,22,75,50,22,68,38,17,55,41,12,59,117,21,134,88,0,86,80,5,85,58,0,61,122,7,125,129,0,129,10,12,23,927,268,1192
