SA2_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
501011001,2637,2707,5343,1012,477,1489,419,894,1319,136,135,271,55,36,89,1621,1544,3168,766,947,1708,3.4,2.3,2.8,61.6,57.1,59.3,59.5,55.8,57.6,59,87,147,45,74,120,295,521,812,215,308,518,748,345,1087,33,53,88,41,71,109,819,467,1292,2439,2459,4900,485,518,1002,1565,1561,3129,1195,1289,2481
501011003,4717,4779,9492,1942,967,2909,794,1657,2451,288,264,552,60,59,122,3080,2951,6031,1236,1511,2754,2,2,2,65.3,61.7,63.5,64,60.5,62.2,178,163,337,60,185,240,721,1086,1802,468,668,1140,1274,538,1811,57,89,146,75,131,206,1402,755,2157,4542,4559,9100,865,915,1781,2956,2827,5783,2176,2367,4544
501011004,3977,4038,8018,1695,896,2587,742,1421,2164,239,225,466,77,74,151,2755,2615,5372,850,1175,2026,2.9,2.8,2.8,69.3,64.7,67,67.3,62.9,65.1,157,169,319,66,160,226,595,902,1500,347,537,881,1036,506,1544,61,66,131,69,95,162,1166,665,1828,3759,3876,7632,833,831,1672,2297,2336,4626,2033,2118,4151
501011293,3753,4007,7764,1500,846,2348,510,1147,1655,159,132,290,102,80,179,2267,2207,4473,1214,1592,2805,4.4,3.5,4,60.5,55,57.7,57.8,53.1,55.4,72,96,163,40,122,161,297,558,857,307,404,710,1086,576,1664,61,83,141,57,123,182,1206,788,1986,3490,3698,7186,739,787,1527,2209,2321,4527,1846,1997,3840
501011294,7368,8326,15691,2955,1644,4603,1045,2427,3473,325,310,633,146,150,297,4475,4529,9000,2462,3409,5873,3.3,3.3,3.3,60.8,54.4,57.4,58.8,52.6,55.5,122,162,286,94,224,316,575,1066,1639,549,885,1434,2298,1322,3623,119,197,318,106,197,301,2528,1716,4242,7191,7989,15176,1403,1545,2946,4630,5098,9734,3538,4005,7537
501021005,7231,7677,14910,3690,1779,5472,748,2284,3032,306,315,624,204,213,414,4956,4593,9550,1856,2789,4649,4.1,4.6,4.4,68.5,59.8,64,65.7,57.1,61.2,113,134,246,75,185,263,517,982,1497,493,780,1275,2545,1473,4016,136,219,351,109,210,320,2789,1898,4688,7682,7943,15630,1212,1325,2533,5101,5248,10346,3214,3537,6752
501021007,2128,2270,4400,973,483,1457,243,677,916,121,115,235,33,49,81,1375,1324,2694,584,807,1395,2.4,3.9,3.1,64.4,58.3,61.2,62.8,56,59.3,20,39,63,23,56,77,145,283,431,140,204,345,661,412,1070,22,65,84,28,59,87,708,533,1245,2133,2273,4403,300,325,623,1537,1616,3155,784,866,1651
501021008,2961,2860,5818,968,558,1526,285,682,968,95,115,210,118,81,196,1467,1442,2908,1305,1205,2513,8,5.6,6.8,49.5,50.4,49.9,45.6,47.6,46.5,33,35,63,17,59,74,155,267,426,129,228,349,767,490,1257,56,86,140,32,58,94,851,638,1489,2235,2560,4795,507,547,1059,1489,1610,3096,1092,1333,2428
501021009,3630,3611,7239,1337,615,1946,312,862,1170,165,138,301,157,134,293,1969,1740,3708,1338,1576,2914,8,7.6,7.8,54.2,48.2,51.2,49.9,44.5,47.2,14,23,42,14,46,56,90,229,323,133,248,383,1208,656,1865,56,97,154,58,79,136,1317,838,2162,3518,3429,6945,546,571,1112,2652,2511,5161,1177,1273,2446
501021010,1371,1321,2685,668,298,961,154,417,568,79,60,140,28,29,57,925,790,1718,343,440,778,2.9,3.4,3.1,67.6,60.3,64,65.6,58.2,62,22,12,38,9,42,51,114,201,318,101,136,234,427,218,641,23,33,59,18,24,46,468,268,736,1379,1339,2721,171,147,323,1054,998,2048,431,437,861
