SA2_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
501011001,46,8,97,0,0,3,4,7,0,12,0,0,0,0,0,0,5,0,0,5,3,3,4,15,0,0,8,0,9,0,21,3,5,25,12,6,3,53,3,0,11,4,24,0,46,4,3,13,7,14,0,39,11,17,93,21,37,0,176,15,10,70,44,51,5,197,0,0,10,0,0,0,13,3,0,11,7,17,0,41,0,3,14,8,12,0,32,57,60,378,181,332,48,1055,12,11,47,43,99,12,231,3,3,25,12,107,3,146,7,8,57,30,76,3,181,0,0,0,0,10,0,17,0,0,14,17,155,5,201,0,5,0,3,11,3,22,3,3,35,26,67,13,146,0,5,51,24,77,12,168,0,0,9,8,24,0,36,0,0,6,0,3,0,9,0,0,3,3,3,4,15,0,0,8,8,9,0,28,8,3,48,17,7,3,98,3,0,20,8,39,0,74,5,6,25,12,33,0,77,13
501011003,94,12,251,0,0,5,4,9,0,15,0,0,6,0,3,0,8,0,0,16,16,7,0,36,0,0,19,16,16,9,58,10,8,68,29,29,0,145,5,4,25,25,31,7,91,9,9,32,9,14,0,66,28,44,147,24,53,6,307,29,43,184,79,61,8,417,0,0,14,19,9,3,42,0,5,10,19,48,8,84,4,0,34,18,23,16,92,115,138,797,452,551,103,2149,9,5,57,47,90,12,219,10,9,58,35,173,5,293,19,11,105,53,115,17,312,0,0,12,0,18,0,35,4,5,60,102,378,22,567,0,0,11,16,27,3,59,4,0,66,58,102,14,250,17,14,126,87,177,15,438,4,3,13,13,43,0,74,0,0,8,0,9,0,23,8,3,37,20,7,5,73,0,0,34,39,26,10,106,34,18,139,51,52,4,290,5,5,40,29,75,7,165,6,8,50,19,32,0,127,38
501011004,90,8,221,0,0,5,0,5,4,21,0,0,3,0,0,0,7,0,0,4,6,10,0,18,0,0,5,7,7,0,28,7,3,45,19,15,4,101,4,0,26,15,29,3,74,12,3,36,15,17,6,91,28,38,144,39,73,5,323,37,31,139,82,66,5,374,0,0,16,7,10,0,38,5,3,13,12,35,5,72,3,0,22,16,12,7,68,124,115,677,366,515,68,1869,0,5,43,22,33,3,100,11,3,47,40,140,9,245,13,18,137,56,113,9,351,0,0,0,6,24,4,32,0,8,47,34,283,18,394,0,4,8,8,24,3,56,8,4,74,47,114,11,264,11,9,90,94,169,22,388,0,3,17,20,31,7,74,3,0,6,4,3,0,16,4,7,14,11,13,5,41,0,0,16,15,17,0,56,36,8,93,38,29,0,210,4,0,47,22,71,3,143,20,3,52,36,42,6,149,39
501011293,53,3,128,0,0,7,4,18,0,26,0,0,5,0,0,0,8,0,0,3,3,11,4,28,0,0,5,6,12,0,28,4,3,22,11,18,0,65,0,8,10,13,23,0,58,3,9,14,9,18,0,54,19,28,103,33,58,4,251,30,30,133,71,118,10,389,0,0,4,0,0,0,10,4,0,12,13,51,3,81,0,0,4,6,6,5,33,71,88,409,243,540,53,1405,0,0,16,9,33,0,61,3,0,18,28,137,17,207,0,9,17,21,94,4,139,0,0,4,3,13,0,23,3,3,19,33,216,12,286,0,0,8,3,29,0,39,0,0,39,32,149,11,230,4,0,43,49,115,10,220,0,0,11,11,52,3,79,0,0,9,0,0,4,13,3,4,8,15,15,4,47,0,0,5,15,16,6,46,10,3,51,31,30,3,129,0,10,19,15,48,0,93,9,12,39,23,64,3,155,24
501011294,141,12,275,0,0,3,9,12,4,26,0,3,7,0,4,0,14,0,6,3,12,12,8,37,0,0,5,11,35,5,53,5,6,57,31,48,5,151,0,0,21,22,75,3,128,9,6,41,31,38,4,126,33,73,186,78,143,6,515,42,48,266,141,268,22,802,0,0,6,5,15,0,35,0,3,17,21,94,7,143,3,0,14,13,25,15,73,121,163,758,548,1208,130,2925,4,5,19,21,72,13,129,7,5,34,44,339,9,433,0,7,56,50,154,4,267,0,0,4,7,52,4,75,3,3,34,60,522,25,644,0,0,8,9,41,4,62,10,8,55,82,295,23,465,13,3,64,91,269,18,464,0,4,8,22,86,7,125,0,3,13,4,7,0,24,3,4,22,25,18,8,78,0,0,10,19,46,10,89,13,12,102,49,81,4,265,0,0,28,34,128,12,215,13,16,70,62,93,5,261,45
501021005,86,3,118,0,0,3,6,25,0,41,0,0,7,0,5,0,8,0,0,11,14,13,5,43,0,0,3,9,37,0,41,3,7,38,30,41,3,118,0,0,11,8,40,3,63,11,6,37,36,68,0,161,31,75,224,79,172,5,583,43,31,240,135,361,26,836,0,0,11,9,22,0,37,0,3,9,38,79,4,138,3,0,6,12,31,18,65,107,138,733,514,1349,95,2940,0,0,14,19,47,3,86,15,7,75,69,491,23,672,22,9,105,77,461,11,684,0,3,10,26,107,6,152,15,7,46,70,519,17,672,0,0,6,6,78,0,95,8,6,57,60,251,19,397,0,4,21,20,131,4,186,3,0,14,22,127,6,183,0,0,6,5,10,0,24,4,0,10,29,21,4,70,0,0,5,11,55,0,70,13,13,83,50,95,11,258,0,0,9,18,67,3,98,17,11,65,83,143,4,338,36
501021007,18,0,26,0,0,0,4,5,0,13,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,4,0,8,0,0,14,3,16,0,40,0,0,11,5,19,0,34,3,4,17,12,20,4,52,4,15,54,19,34,6,139,15,16,66,52,100,5,252,0,0,0,0,10,0,13,4,0,6,10,24,0,43,0,0,7,3,3,9,27,33,38,212,143,362,44,845,0,0,13,16,57,7,96,0,0,18,16,99,7,145,0,0,10,12,73,3,106,0,0,3,8,18,0,24,5,0,3,17,123,8,155,0,0,5,0,12,0,22,0,0,21,13,58,4,97,0,0,3,10,29,0,45,0,0,3,13,32,0,53,0,0,0,0,7,0,8,0,0,3,8,0,0,15,0,0,0,0,13,0,19,3,4,23,5,24,0,66,0,6,12,8,32,4,53,3,4,22,22,62,5,115,18
501021008,41,9,69,0,0,0,3,3,0,12,0,0,3,0,0,0,6,0,0,0,5,4,0,9,0,0,0,0,3,0,6,0,4,7,3,12,4,30,0,0,0,4,10,0,20,0,4,14,3,27,0,49,4,20,36,22,31,3,114,9,16,80,48,119,9,278,0,0,5,0,7,0,9,0,0,7,0,25,0,42,0,0,3,0,9,7,24,16,47,192,150,403,36,841,0,0,0,3,13,0,18,0,0,9,11,63,5,83,3,3,17,16,94,10,146,0,0,3,0,20,0,26,0,0,6,25,137,6,171,0,0,5,4,14,0,23,3,4,9,16,100,3,140,0,0,9,14,59,6,99,0,0,5,12,39,0,66,0,0,3,0,8,0,11,0,0,3,4,5,0,14,0,0,0,0,9,0,11,5,4,15,9,26,4,66,0,0,0,13,26,0,44,0,4,15,13,48,3,84,3
501021009,55,4,72,0,0,0,3,11,0,16,0,0,0,0,0,0,5,0,0,0,0,9,0,11,0,0,0,0,3,0,6,0,0,5,5,16,0,22,0,0,0,5,11,0,14,7,0,3,14,29,0,62,5,19,61,34,88,4,206,4,9,56,40,120,12,237,0,0,0,0,11,0,12,0,0,0,13,38,0,57,0,0,3,5,11,5,18,19,36,154,154,557,37,959,0,0,0,7,11,0,25,0,4,18,31,304,17,361,6,0,6,14,141,3,171,0,0,9,9,141,0,167,0,0,3,11,128,6,144,0,0,0,6,13,0,14,0,0,14,6,88,10,116,0,0,4,12,71,3,95,0,0,0,3,49,3,51,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,9,0,12,0,0,4,13,31,0,52,0,0,0,5,30,0,35,4,4,8,18,67,0,107,12
501021010,15,0,25,0,0,3,0,8,0,9,0,0,0,0,0,0,5,0,0,0,0,5,0,9,0,0,0,3,4,0,13,0,0,14,6,9,0,23,0,0,0,3,9,0,7,3,4,13,5,14,0,34,3,15,36,15,19,0,92,3,10,51,23,35,4,123,0,0,9,0,5,0,7,0,0,0,8,14,0,29,0,0,8,0,8,3,13,11,27,169,88,207,20,528,0,5,20,11,41,3,86,0,0,13,18,60,3,96,5,0,16,16,85,3,122,0,0,8,0,17,4,30,0,4,3,13,96,0,118,0,0,4,7,19,0,32,5,0,9,3,32,0,46,0,0,6,6,26,4,42,0,0,8,8,25,0,34,0,0,3,0,4,0,3,0,0,3,0,5,0,12,0,0,3,9,9,0,24,0,5,21,11,13,0,56,0,0,0,0,12,0,19,3,4,21,7,18,0,53,5
