SA3_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
50101,719,336,364,702,343,356,696,388,400,786,322,400,726,1747,1881,3630,359,434,791,343,431,773,380,407,788,350,430,777,402,403,809,1829,2098,3929,364,416,779,381,412,796,373,364,738,365,412,769,347,381,724,1826,1980,3802,366,389,755,356,367,725,383,352,734,319,300,623,394,393,786,1818,1803,3615,263,239,500,252,252,503,223,232,461,189,205,389,186,214,398,1104,1145,2252,720,736,1452,334,505,835,147,238,389,34,62,96,0,10,14,28080,29249,57332
50102,1420,729,716,1443,697,724,1421,691,732,1426,686,742,1421,3501,3630,7131,744,806,1547,709,709,1418,712,743,1459,654,787,1438,693,646,1337,3501,3694,7198,723,709,1437,571,687,1254,646,610,1259,567,595,1163,594,563,1154,3101,3164,6263,596,597,1194,556,611,1167,578,554,1131,565,528,1084,567,568,1130,2863,2858,5715,410,452,857,391,400,794,387,403,788,297,323,622,320,324,649,1808,1909,3713,1079,1312,2385,578,769,1348,208,400,610,60,105,165,3,11,15,53276,54279,107549
50103,340,183,196,375,181,184,366,211,235,439,217,229,444,939,1026,1969,204,225,425,177,193,366,202,215,421,204,209,413,193,199,393,983,1036,2024,202,201,404,223,215,433,194,197,393,188,219,410,190,165,359,1007,1004,2000,192,173,358,179,159,335,179,162,336,179,155,336,171,142,312,895,789,1685,150,155,300,129,144,271,121,93,217,114,84,202,81,85,173,599,564,1159,341,338,680,149,163,311,70,98,165,10,19,31,0,3,4,11911,11949,23863
50201,1340,653,693,1348,709,814,1521,733,710,1448,682,792,1471,3428,3690,7124,684,802,1483,698,773,1467,637,755,1388,674,788,1458,640,761,1402,3332,3875,7206,704,823,1528,686,798,1485,688,750,1439,692,781,1478,721,797,1518,3500,3940,7443,726,709,1437,707,779,1489,685,717,1399,720,756,1480,831,830,1661,3666,3793,7461,586,602,1189,572,609,1182,537,564,1100,498,524,1020,480,498,979,2665,2793,5461,1836,1951,3783,900,1142,2047,325,490,814,73,147,218,7,20,25,51979,55660,107641
50301,972,415,486,899,468,472,935,474,492,970,420,393,805,2230,2355,4587,406,455,858,436,429,863,358,464,818,427,430,858,416,464,884,2042,2244,4282,440,393,826,350,418,765,352,390,745,376,397,773,368,396,768,1888,1985,3875,374,406,779,343,378,728,310,386,698,322,354,677,358,406,763,1713,1928,3643,327,354,682,287,304,593,301,312,617,252,302,553,249,280,526,1424,1551,2969,929,1080,2009,540,728,1269,255,408,662,63,152,215,5,31,34,34905,36829,71735
50302,1178,655,579,1237,636,635,1268,623,585,1206,588,589,1177,3088,2981,6063,587,563,1145,598,563,1154,509,542,1055,534,549,1079,547,522,1071,2771,2741,5509,599,533,1127,427,483,912,449,520,965,449,494,945,433,451,884,2358,2477,4834,473,418,893,419,410,832,431,391,823,372,399,768,360,388,746,2054,2010,4067,304,301,602,268,256,526,237,272,512,219,208,421,243,242,481,1268,1278,2544,817,1025,1847,472,759,1231,226,485,714,71,176,246,0,34,39,55115,55410,110530
50401,950,498,551,1047,499,496,997,511,512,1024,506,502,1005,2505,2510,5020,485,516,1005,483,513,990,464,470,933,416,467,888,421,452,875,2271,2425,4694,404,460,863,414,504,914,388,476,868,400,425,824,395,431,830,2004,2297,4297,394,420,817,341,381,721,351,405,761,364,384,746,377,418,793,1827,2005,3834,297,350,646,273,285,554,272,277,549,209,234,445,199,256,451,1252,1397,2650,894,1079,1971,461,707,1172,183,415,597,49,118,166,0,11,15,41790,42676,84462
50402,636,284,291,573,356,328,683,346,321,665,325,337,666,1642,1585,3225,310,322,631,305,325,633,324,289,613,270,283,550,290,272,565,1497,1492,2992,293,288,582,282,282,569,236,272,503,251,235,483,239,241,476,1293,1319,2616,257,249,502,253,243,500,215,235,452,199,235,434,234,260,497,1158,1222,2381,206,198,402,175,188,363,167,149,320,128,153,286,132,152,281,801,849,1652,474,540,1018,237,309,545,96,161,250,20,40,62,0,6,13,22643,21152,43792
50403,1769,852,837,1684,909,964,1872,810,886,1695,881,857,1735,4321,4440,8755,808,877,1691,753,801,1554,764,801,1568,685,709,1399,619,627,1247,3632,3823,7451,646,668,1311,603,603,1203,561,602,1161,523,536,1057,531,532,1065,2862,2935,5796,505,508,1010,429,489,919,391,458,848,436,457,894,444,486,939,2208,2399,4604,336,350,687,321,339,659,260,304,565,260,280,541,255,270,524,1437,1536,2979,905,1067,1973,450,610,1062,187,292,485,31,81,114,3,13,14,73672,74650,148324
50501,2112,1047,1136,2176,1033,1179,2204,1158,1190,2346,1082,1186,2264,5311,5807,11118,1103,1104,2207,1010,1136,2151,1050,1126,2179,983,1052,2037,968,1142,2112,5120,5571,10687,1044,1024,2067,959,1030,1990,909,1058,1969,892,945,1837,891,936,1818,4693,4993,9683,886,898,1790,826,944,1772,813,877,1687,777,792,1567,852,806,1655,4152,4320,8473,580,629,1214,554,559,1116,518,504,1024,431,426,859,367,393,756,2455,2517,4968,1290,1621,2909,689,1052,1742,288,517,808,67,156,221,4,23,22,79502,81136,160641
50502,2270,1115,1178,2288,1122,1200,2322,1089,1199,2285,1115,1192,2317,5568,5914,11480,1133,1149,2274,1017,1165,2179,1035,1137,2167,1013,1095,2106,965,1080,2048,5160,5620,10781,956,1119,2072,916,1128,2040,897,1016,1911,865,1075,1941,825,953,1781,4454,5290,9740,778,964,1745,860,923,1782,758,993,1748,762,931,1698,804,1002,1805,3958,4817,8774,636,742,1381,615,798,1407,655,769,1420,548,678,1226,566,752,1316,3013,3735,6748,2245,3012,5255,1339,1983,3330,581,1062,1652,157,323,476,11,47,62,101037,107110,208149
50503,2585,1190,1255,2441,1184,1200,2382,1188,1145,2331,1124,1091,2212,5945,6001,11946,1055,1159,2215,986,1058,2049,917,1006,1922,880,941,1821,872,903,1768,4698,5070,9771,737,916,1655,797,911,1701,735,836,1573,742,785,1522,659,774,1432,3668,4218,7888,668,729,1399,652,748,1397,639,708,1349,663,658,1322,674,687,1363,3293,3533,6825,499,559,1064,456,534,987,440,514,955,382,419,796,397,431,831,2172,2464,4634,1398,1751,3147,707,978,1678,255,459,713,57,136,199,8,15,21,102522,105984,208506
50601,963,481,463,944,479,493,967,488,504,991,498,498,991,2422,2445,4862,476,506,980,416,502,923,449,425,873,422,459,878,399,418,816,2159,2307,4472,366,441,807,338,395,738,353,402,757,362,408,768,327,400,726,1744,2048,3791,330,365,692,326,328,653,299,328,631,306,303,610,293,337,637,1559,1663,3224,237,250,483,207,230,439,195,189,386,175,190,365,150,159,310,967,1011,1975,617,686,1310,297,377,676,109,164,271,16,28,44,4,9,7,46604,47583,94184
50602,798,445,359,807,430,390,815,447,455,896,422,410,828,2176,1977,4149,439,397,833,383,366,751,376,362,737,378,360,737,390,343,734,1964,1831,3792,321,389,711,341,337,683,305,341,646,294,302,602,287,273,562,1552,1644,3198,293,296,587,245,248,489,245,269,520,240,244,482,245,269,520,1268,1327,2593,209,185,393,169,175,340,141,175,325,131,148,273,153,147,301,804,832,1632,527,720,1249,320,481,799,147,260,402,34,76,107,0,3,4,38172,37142,75312
50603,1105,529,561,1094,511,525,1034,498,588,1091,489,498,980,2556,2743,5299,490,518,1007,501,554,1054,460,520,978,457,525,982,462,488,952,2383,2600,4982,462,501,957,405,496,901,402,471,877,394,441,840,384,456,840,2048,2369,4418,406,442,845,398,414,810,348,427,778,351,374,732,364,391,758,1872,2053,3926,295,303,596,258,296,550,288,328,615,229,289,515,252,290,537,1312,1500,2817,869,1165,2029,505,735,1239,232,449,680,67,171,237,3,33,37,49396,49742,99139
50604,1414,705,759,1459,670,633,1303,685,659,1343,667,652,1314,3435,3405,6832,620,640,1252,642,651,1291,545,639,1181,596,630,1221,547,623,1165,2938,3173,6113,596,576,1173,602,604,1205,499,563,1064,494,526,1024,508,517,1026,2707,2787,5493,449,514,965,426,505,930,472,470,941,442,485,923,458,455,916,2248,2434,4683,352,364,714,324,327,653,292,352,643,241,308,549,240,277,515,1441,1633,3076,948,1141,2087,476,686,1166,202,354,559,29,93,121,3,14,18,63485,62887,126376
