SA3_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
50101,0,0,0,0,0,0,0,0,0,4,0,3,4,41,23,9,24,15,5,122,0,3,0,64,3,10,15,14,8,111,0,3,6,9,0,0,0,0,0,16,0,5,0,26,4,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,10,3,4,0,34,0,0,0,0,0,3,3,0,0,7,0,0,0,5,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,0,9,0,0,3,12,4,16,42,15,4,100,0,36,30,221,150,139,124,42,4,745,0,0,0,0,0,0,0,0,0,3,0,5,0,6,9,3,0,3,0,17,0,0,0,8,6,8,4,0,0,23,0,8,19,30,13,8,0,0,0,89,0,0,0,5,5,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,5,35,28,41,58,27,10,191
50102,0,0,0,10,3,0,0,0,0,22,0,14,8,74,33,31,27,13,10,202,0,0,7,17,9,22,86,84,63,283,0,5,0,13,7,0,0,0,0,28,0,4,9,48,5,0,0,0,0,68,0,0,0,3,3,7,3,0,0,28,0,4,5,48,16,11,6,7,0,100,0,0,0,0,0,3,5,0,0,12,0,0,0,9,5,9,6,5,3,29,0,3,4,13,5,6,3,0,0,27,0,0,4,25,0,0,0,0,0,36,0,4,5,16,28,28,66,41,5,203,11,79,139,426,297,336,221,62,10,1568,0,0,0,0,0,0,0,0,0,0,0,15,0,32,0,3,4,0,0,59,0,0,0,22,10,4,0,0,0,32,9,94,99,283,120,24,4,0,0,636,0,0,0,13,5,6,13,5,7,47,0,0,0,5,0,0,0,0,0,6,0,3,10,43,47,83,74,39,4,307
50103,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,7,0,0,32,0,0,0,7,7,4,29,20,13,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,20,11,3,54,0,6,10,47,57,75,61,15,4,265,0,0,0,0,0,0,0,4,3,11,0,4,0,4,0,0,0,0,0,11,0,0,0,0,3,3,0,0,0,6,0,0,4,9,7,3,4,0,0,23,0,0,0,0,0,0,4,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,17,15,9,3,71
50201,0,0,3,0,0,4,0,0,0,8,0,20,30,90,18,24,45,25,8,260,0,0,3,13,9,14,65,44,10,154,0,3,0,0,0,0,3,0,0,14,0,3,3,21,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,5,0,9,10,22,24,19,15,3,4,102,0,0,0,0,0,5,8,4,0,18,0,0,4,13,7,4,5,5,0,42,0,0,0,0,3,12,7,3,3,24,0,0,4,21,0,0,0,0,0,26,0,3,4,12,11,18,95,74,21,245,7,113,160,486,321,351,309,104,16,1869,0,0,0,0,0,0,0,5,0,3,0,4,0,12,0,0,0,0,4,30,0,0,10,3,14,5,0,0,0,34,6,72,104,149,73,28,3,0,0,436,0,0,0,3,7,3,14,8,0,40,0,0,0,4,6,0,0,4,0,9,4,29,39,70,84,128,129,100,27,618
50301,0,3,0,3,6,6,0,0,0,17,6,20,11,118,32,57,33,14,4,291,0,11,8,44,30,10,42,34,10,196,9,15,20,31,14,9,5,0,0,98,0,7,7,9,4,5,0,0,0,34,0,0,0,7,3,0,4,0,0,14,5,23,73,111,88,81,89,52,21,537,0,0,0,0,0,0,0,6,0,6,0,0,9,12,3,3,5,0,0,36,0,0,0,0,9,13,3,7,0,29,0,5,0,10,0,0,0,0,0,16,0,16,27,21,28,23,28,15,7,162,4,17,39,133,91,118,72,32,10,513,0,0,0,4,3,0,0,0,0,9,3,5,7,37,4,8,0,0,0,58,0,0,0,0,12,6,0,0,0,22,0,7,6,20,7,0,0,0,4,48,0,0,5,20,15,14,18,4,0,71,0,0,0,0,0,0,0,0,0,0,0,22,36,53,73,69,50,44,14,355
50302,0,0,0,15,0,5,0,0,0,38,0,12,20,443,65,66,55,17,16,704,0,12,35,226,40,58,122,119,106,714,19,45,19,166,54,18,9,0,0,331,0,19,25,221,22,10,4,0,0,306,0,0,0,13,9,6,5,0,0,23,7,29,74,396,101,60,89,46,13,816,0,0,0,3,0,4,3,4,0,11,0,4,15,62,16,10,11,4,8,117,0,0,0,27,15,27,24,6,3,105,0,4,49,210,7,0,0,0,0,266,3,9,20,34,33,21,32,22,15,177,3,28,57,427,225,229,129,44,9,1142,0,0,0,16,7,15,18,16,6,79,0,7,26,96,12,0,4,0,5,154,0,0,3,6,9,11,0,0,0,31,4,15,49,192,47,16,7,0,0,336,0,5,3,68,21,20,30,4,7,164,0,0,0,0,4,0,0,0,0,3,0,11,24,201,130,128,73,45,8,630
50401,0,9,6,30,12,7,4,0,0,76,0,3,11,279,39,32,30,25,11,430,0,11,11,104,39,70,206,193,87,723,3,5,4,22,14,5,5,0,0,54,0,3,4,77,9,5,4,0,0,100,0,0,0,13,3,0,4,0,0,22,0,13,21,222,90,65,80,62,11,563,0,0,0,0,4,7,17,13,3,47,0,0,6,72,17,28,24,10,4,157,0,5,5,27,31,49,58,20,5,194,0,6,24,114,8,0,0,0,0,160,0,3,3,20,18,19,31,33,19,143,4,33,68,371,163,191,133,38,4,1007,0,0,0,18,24,16,14,17,3,84,0,5,62,122,13,9,3,0,0,217,0,0,3,12,10,6,3,0,0,27,0,48,68,161,83,38,17,0,0,418,0,6,0,38,27,20,50,15,6,156,0,0,0,0,0,0,0,0,0,8,0,5,8,83,58,76,61,33,10,333
50402,0,0,0,0,0,0,0,0,0,0,0,3,5,38,26,21,18,9,4,120,0,0,0,8,7,23,53,33,15,135,0,0,0,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,8,0,0,7,16,14,21,0,9,0,59,0,0,0,0,0,0,7,0,0,12,0,0,0,0,3,5,0,0,0,11,0,0,0,0,0,6,4,5,0,14,0,0,0,7,0,0,0,0,0,7,0,5,0,10,13,19,39,32,4,118,3,16,41,179,147,152,106,25,5,662,0,0,0,4,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,3,5,0,0,0,0,19,0,21,64,82,51,18,0,3,0,245,0,0,0,10,0,5,5,0,3,27,0,0,0,0,0,0,0,0,0,0,0,4,4,22,26,33,47,29,7,175
50403,0,16,30,149,70,49,11,4,0,333,0,17,11,214,42,39,33,26,3,391,0,6,7,48,29,68,125,71,44,390,0,5,12,3,3,4,5,0,0,29,0,3,5,39,6,0,0,0,0,49,0,0,3,15,5,3,3,3,0,38,0,37,41,150,76,78,79,31,8,491,0,0,0,3,0,9,15,11,6,46,0,8,37,129,58,47,27,6,0,329,0,5,30,211,97,77,64,32,5,517,0,4,7,66,11,0,4,0,0,90,0,5,4,18,12,19,47,47,11,166,24,198,293,979,477,484,243,56,7,2758,0,0,6,43,24,20,20,4,0,120,0,22,25,139,26,12,8,0,0,229,0,3,9,6,17,8,0,0,0,43,4,199,331,583,338,118,35,0,0,1603,0,0,5,35,22,31,37,11,6,146,0,0,0,14,4,5,0,0,0,21,0,6,34,113,99,153,126,57,19,619
50501,0,3,3,8,11,9,0,0,0,33,4,91,95,609,179,142,145,59,20,1349,0,13,15,74,44,68,134,92,36,471,4,15,16,17,15,7,3,9,5,79,0,7,16,26,8,7,0,0,0,64,0,0,0,4,8,3,8,5,0,23,0,17,30,105,53,68,105,39,9,429,0,0,0,4,0,3,9,5,0,27,0,0,5,28,9,24,22,12,8,102,0,0,0,11,13,32,24,17,5,106,0,0,7,17,0,0,0,0,0,21,0,10,12,42,34,36,96,70,16,330,11,85,135,678,451,381,299,75,9,2116,0,0,0,17,15,21,27,3,0,78,0,5,9,47,0,0,4,0,0,73,0,0,3,11,23,7,8,0,0,43,0,23,34,77,31,28,18,7,0,204,0,9,9,46,36,50,85,16,5,240,0,0,0,0,0,0,0,0,0,9,0,82,146,282,291,346,278,141,28,1589
