SA3_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
50101,0,3,5,4,5,0,0,3,0,26,0,0,0,5,9,6,5,0,0,28,0,25,43,113,36,25,11,0,0,256,0,0,0,12,9,7,6,3,0,40,0,0,0,0,0,0,0,0,0,0,0,4,11,58,47,83,110,54,16,393,0,4,0,17,17,19,6,0,0,74,0,34,43,181,156,94,85,30,17,651,0,10,3,22,13,0,0,4,0,51,6,0,0,61,0,0,0,0,0,74,3,12,15,53,28,13,4,0,0,126,0,0,0,3,0,0,0,0,0,6,3,25,19,74,38,49,65,16,0,286,0,6,8,44,17,3,3,0,0,86,0,0,4,22,21,32,32,19,3,129,0,0,0,34,43,36,26,12,0,153,5,41,50,345,144,144,117,69,32,948,150,458,263,1064,614,474,467,290,121,3902,3016,8006,4932,13356,8001,7556,7420,3702,1332,57332
50102,3,20,4,54,0,3,3,0,0,94,0,6,0,22,21,14,3,0,0,73,17,184,196,678,266,102,52,7,0,1505,0,0,0,27,13,21,22,9,22,111,0,0,0,7,4,0,0,0,0,11,0,5,21,79,95,172,155,86,19,625,0,4,9,41,22,28,19,4,0,130,8,116,235,488,419,259,133,60,17,1731,0,4,3,32,8,8,6,0,0,70,7,0,6,170,0,0,4,0,0,184,0,26,16,76,50,20,9,0,3,202,0,0,0,9,0,6,0,0,0,6,0,16,13,53,42,52,57,17,5,256,0,4,7,64,29,14,13,0,0,130,0,3,4,27,28,50,38,24,7,182,0,18,62,148,117,110,65,15,8,537,11,77,72,449,222,249,171,101,26,1375,244,609,579,1556,900,870,722,439,249,6163,6104,14629,11881,26064,14325,14330,11985,6102,2133,107549
50103,0,5,0,5,0,4,0,0,0,17,0,0,0,5,5,0,4,0,0,15,0,0,15,41,29,12,12,0,0,107,0,0,0,0,0,4,9,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,6,16,24,43,34,24,5,156,0,0,0,3,3,5,6,0,0,23,0,5,8,25,37,27,23,13,0,149,0,0,0,0,0,3,6,0,0,7,0,0,0,47,0,0,0,0,0,47,0,5,0,5,6,5,8,0,0,31,0,0,0,0,0,0,0,0,0,0,0,3,7,21,18,12,11,6,0,79,0,0,3,17,6,3,0,0,0,33,0,0,0,6,4,14,3,7,0,33,0,0,0,19,9,14,18,3,0,65,3,9,14,114,31,67,66,31,6,353,52,212,162,389,331,340,299,191,44,2019,1116,2822,2098,4573,3216,3989,3684,1843,508,23863
50201,4,12,0,28,0,3,0,0,4,50,0,4,19,14,23,12,0,0,0,79,10,139,207,463,226,139,58,16,0,1241,0,5,3,16,17,11,20,11,6,90,0,0,4,6,6,0,3,4,0,22,4,49,73,151,178,287,280,214,56,1293,0,4,15,20,31,33,30,20,5,154,4,103,236,429,410,272,145,63,19,1678,0,13,11,26,21,9,9,4,0,108,0,0,0,27,3,7,3,0,0,39,7,49,47,148,77,47,17,0,0,396,0,0,0,0,0,0,4,0,0,14,0,21,28,66,34,60,66,29,9,315,6,14,18,67,24,16,9,3,0,156,0,18,38,89,71,76,77,63,25,456,0,19,34,113,77,75,46,21,3,398,9,70,112,401,264,285,304,187,40,1684,231,599,600,1558,913,837,774,686,416,6609,5672,13159,11296,22791,13147,14327,14903,9248,3095,107641
50301,6,5,13,63,12,6,0,0,0,108,0,0,0,7,21,17,4,0,0,44,0,9,26,66,28,11,14,0,5,165,0,7,4,44,30,31,38,11,12,179,0,0,0,0,0,0,0,0,0,4,0,35,61,102,139,135,99,79,38,693,10,99,183,194,113,113,110,58,9,889,7,71,242,370,331,262,176,78,24,1557,0,19,22,76,63,50,26,33,10,298,0,6,6,40,30,16,19,8,0,124,3,17,24,47,29,8,10,7,0,137,0,0,4,13,6,3,0,0,0,30,29,151,153,188,118,91,84,41,14,882,6,28,20,97,60,19,16,3,0,239,0,4,9,27,19,40,37,26,3,170,0,0,24,62,57,82,44,7,6,286,23,215,227,740,384,370,260,152,52,2423,64,202,342,668,304,317,327,301,225,2748,2941,9464,11171,14627,9973,8870,7515,4980,2184,71735
50302,7,19,38,144,15,9,9,0,5,244,0,0,10,25,20,15,8,0,0,77,9,35,106,518,135,65,32,3,0,907,5,8,3,145,37,57,71,21,32,380,0,0,0,0,11,4,0,0,0,19,4,20,60,375,222,211,155,75,25,1142,11,75,102,505,168,98,86,38,11,1097,0,35,149,666,236,179,117,40,21,1434,0,17,34,190,31,20,25,23,5,352,0,6,18,291,22,8,12,0,0,361,5,35,80,278,87,34,18,4,0,544,0,3,3,52,5,11,4,0,4,92,39,97,100,396,97,86,71,32,8,919,7,20,120,340,215,172,166,47,21,1116,0,8,10,77,35,36,32,20,5,229,0,0,37,186,55,41,40,12,0,376,53,401,478,3705,622,466,349,196,95,6357,171,273,682,2788,740,605,500,262,171,6192,5222,9772,12269,42802,13375,11574,8897,4386,2226,110530
50401,0,14,65,166,18,19,3,0,0,291,0,0,3,14,27,12,6,0,0,65,0,90,148,429,190,120,65,15,4,1063,0,5,0,100,50,69,106,34,35,394,0,0,3,0,0,0,0,0,0,10,0,11,14,166,98,123,127,77,33,652,0,14,17,148,75,99,90,42,11,507,4,21,75,336,151,126,119,37,3,867,3,19,34,196,44,38,45,39,7,426,3,16,7,145,16,4,0,0,0,191,4,25,47,156,71,41,21,8,0,369,0,4,0,47,10,11,4,0,3,85,10,19,34,133,46,39,22,9,3,314,3,46,117,591,445,462,252,97,55,2073,0,0,3,50,27,33,19,17,0,153,0,3,26,89,37,22,17,9,3,204,18,142,266,1337,503,405,323,241,85,3309,145,317,345,1273,460,399,327,283,200,3748,5021,8733,8849,26621,10831,9712,8133,4621,1949,84462
50402,0,0,0,3,0,4,4,7,0,18,0,0,0,10,14,11,3,0,0,35,3,39,120,209,107,42,20,12,0,556,0,0,0,23,9,12,14,0,10,74,0,0,0,0,0,3,0,0,0,5,0,3,10,48,56,75,94,42,16,345,0,10,6,13,15,18,12,7,0,72,0,32,42,132,125,59,42,17,0,455,0,0,5,9,10,9,9,3,0,49,0,0,0,17,0,4,0,0,0,23,0,13,18,49,18,11,4,0,0,114,0,0,0,3,0,0,0,0,0,4,3,13,13,53,31,48,32,14,5,208,0,0,9,37,20,19,6,0,0,89,0,0,4,14,16,38,24,19,0,123,4,3,17,45,41,39,22,4,7,179,0,22,44,200,130,177,151,95,34,850,60,200,183,535,299,323,193,160,94,2047,2177,5232,4959,10450,6223,6220,4995,2668,870,43792
50403,3,39,49,227,39,22,13,4,0,395,0,8,13,24,24,7,4,0,0,84,13,364,653,1438,741,318,131,27,4,3690,0,0,5,86,46,70,72,31,24,336,0,3,0,18,8,11,3,0,0,34,0,21,60,210,195,314,244,122,44,1209,0,35,66,183,129,136,78,40,7,667,12,106,262,721,455,305,142,81,14,2098,0,21,55,195,100,63,77,19,4,523,0,3,7,95,14,7,3,0,0,131,9,61,98,268,110,55,14,4,0,623,0,0,0,24,10,4,5,0,0,40,6,34,38,122,47,67,39,18,4,366,6,69,124,843,519,388,228,54,25,2261,0,4,17,57,43,59,34,14,7,243,3,49,143,404,193,141,55,21,3,1014,22,261,684,2331,859,665,419,209,76,5518,347,798,722,2164,972,728,492,317,201,6744,10956,21396,18584,44910,19239,16210,10400,4950,1678,148324
50501,0,9,12,80,4,9,14,0,0,133,0,0,6,20,50,19,7,4,0,98,7,41,52,235,108,124,95,18,4,677,0,14,13,130,98,122,187,32,23,614,0,0,0,0,3,4,0,0,0,15,3,155,272,579,590,711,582,272,80,3251,8,45,52,134,118,145,157,41,19,726,28,378,834,1621,1348,898,410,154,52,5726,0,9,29,81,17,22,49,17,5,224,0,3,4,73,19,9,12,0,0,120,3,32,46,157,84,44,23,4,0,392,0,0,0,22,3,3,9,0,0,45,24,88,108,205,109,85,76,23,5,732,0,21,32,128,105,68,54,15,8,426,3,46,78,174,201,154,160,75,21,911,0,3,104,304,325,320,151,44,14,1260,21,226,349,1369,855,880,696,341,107,4837,146,372,434,1333,727,654,528,346,193,4739,8584,21390,19371,37836,22833,21801,18157,7877,2794,160641
