SA3_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
50101,0,0,0,4,23,12,94,72,20,8,8,16,5,0,12,256,0,0,5,4,15,0,3,3,0,0,0,0,0,0,0,40,0,6,9,14,8,8,9,11,0,0,0,3,0,0,0,74,0,3,16,49,108,95,206,100,12,20,4,18,15,0,0,651,0,0,0,0,0,0,17,20,0,3,0,7,0,0,0,51,0,0,0,0,0,0,14,31,11,3,4,7,3,0,0,74,0,0,0,0,7,14,43,29,3,0,7,11,10,0,8,126,96,285,1209,847,714,433,774,394,43,25,36,64,34,10,166,5132,3,6,18,47,38,33,59,31,12,11,7,10,6,5,6,286,0,0,0,5,3,13,24,22,5,3,0,4,3,0,0,86,21,28,126,117,145,112,270,186,40,45,48,89,34,3,80,1347,207,500,1604,1454,1541,1114,2215,1443,221,200,194,326,146,50,396,11616
50102,0,0,0,15,58,72,419,496,104,87,90,88,32,6,36,1505,10,5,6,5,39,9,11,13,0,0,0,0,0,0,7,111,3,5,6,11,10,16,44,14,5,4,4,0,4,0,5,130,0,4,21,56,95,149,833,356,34,53,39,46,15,7,20,1731,0,0,3,0,7,5,17,15,8,4,4,0,0,4,0,70,0,0,0,0,0,4,18,47,3,14,31,49,17,0,0,184,0,0,0,7,11,18,68,32,10,12,12,16,8,0,8,202,162,388,1893,1199,858,467,1045,466,53,21,38,48,27,8,228,6897,0,0,27,58,36,15,60,29,5,0,0,9,0,7,8,256,0,0,0,9,11,19,29,27,4,4,6,6,5,0,5,130,38,44,159,169,206,165,598,319,47,60,59,64,52,20,92,2099,399,986,2547,2070,2202,1528,4669,2974,405,428,468,557,260,98,670,20259
50103,0,0,0,0,17,4,35,29,3,3,4,5,4,0,0,107,0,5,0,0,8,5,0,0,0,0,0,0,0,0,0,25,0,0,4,9,0,4,5,0,0,0,0,0,0,0,0,23,0,3,4,9,31,20,51,14,5,0,0,3,3,0,9,149,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,3,10,6,0,17,13,4,0,0,47,0,0,0,0,0,5,6,9,0,0,3,0,0,0,0,31,48,122,586,440,268,114,181,58,4,3,4,15,10,4,98,1948,0,0,11,16,10,9,18,6,0,0,0,0,0,0,0,79,0,0,0,0,0,0,8,6,3,0,0,0,0,0,7,33,7,15,65,53,55,35,72,32,8,15,16,38,9,16,44,476,98,308,821,702,613,331,562,287,31,38,61,117,40,24,226,4266
50201,0,0,3,15,82,78,354,380,84,55,77,63,15,7,34,1241,8,0,4,0,29,11,12,8,0,5,0,0,0,0,4,90,5,5,13,22,30,18,31,23,0,0,4,3,0,0,4,154,3,7,23,67,83,156,791,354,56,18,59,28,14,7,20,1678,5,5,8,5,3,4,19,45,3,0,5,9,0,0,0,108,0,0,0,0,0,3,7,13,0,0,0,3,0,0,0,39,0,0,0,7,26,41,113,87,23,18,32,21,5,3,8,396,228,676,3164,2188,1518,825,2745,1478,115,92,73,86,42,23,371,13628,3,7,40,38,39,34,67,42,6,9,9,8,0,0,11,315,0,0,0,7,9,10,36,37,12,11,6,18,7,0,12,156,45,77,253,234,235,167,646,368,46,49,56,58,28,4,45,2309,464,1302,4065,3334,3029,2080,6512,4244,496,382,450,507,192,118,719,27879
50301,0,0,5,7,25,14,35,34,7,8,11,13,0,0,3,165,7,5,4,17,76,12,19,27,0,0,3,0,5,0,4,179,11,9,42,113,119,124,160,80,25,34,34,51,61,8,19,889,6,13,39,111,235,214,584,189,31,33,26,37,24,14,8,1557,8,5,9,33,61,35,61,37,11,5,10,14,10,0,3,298,0,0,0,8,53,16,22,13,0,0,0,0,4,0,10,124,0,0,4,12,10,11,38,18,5,7,9,7,3,0,3,137,120,288,913,833,810,763,1271,647,77,109,92,145,98,39,121,6335,3,4,42,84,82,83,179,135,19,41,42,54,65,30,26,882,0,0,3,41,42,16,18,23,17,15,16,36,8,4,3,239,50,55,220,250,357,379,657,473,96,125,142,252,118,20,44,3234,354,717,1727,2270,3069,2623,4628,2745,545,707,761,1221,834,228,388,22826
50302,0,0,4,21,85,75,193,216,40,48,52,101,39,14,20,907,17,3,14,21,142,50,39,33,10,13,17,9,6,0,8,380,0,13,34,100,131,170,278,134,37,39,39,45,50,5,17,1097,0,10,32,73,214,272,490,148,11,20,32,56,34,9,32,1434,3,4,17,24,48,27,46,45,6,18,22,67,17,4,4,352,0,0,0,4,15,30,48,142,19,19,25,35,7,0,9,361,0,3,0,16,35,46,165,111,34,36,29,37,17,7,14,544,80,248,1157,1093,1334,1075,1744,916,119,136,151,218,148,52,191,8660,5,3,29,51,88,90,172,156,51,40,51,86,54,24,28,919,0,0,0,208,350,108,102,120,21,31,49,53,21,8,34,1116,52,74,312,403,578,791,1329,1365,487,557,801,1219,529,70,145,8704,351,1157,2498,2953,4671,4224,8010,6634,1598,1864,2476,3483,1702,424,936,42988
50401,0,0,0,27,117,101,215,331,78,40,49,65,19,0,22,1063,24,12,26,37,164,41,27,34,5,5,8,3,0,0,6,394,3,7,25,84,131,85,92,27,11,7,4,8,7,0,6,507,3,0,16,63,187,178,265,102,7,6,14,18,6,0,8,867,0,5,27,38,43,32,68,78,14,19,10,57,25,5,11,426,0,0,0,0,3,9,44,77,13,5,8,29,0,0,4,191,0,0,0,12,45,43,110,76,19,15,19,11,7,5,12,369,96,242,1301,876,861,501,857,461,57,38,40,44,7,13,106,5495,6,0,19,29,36,41,81,50,8,9,15,9,7,0,3,314,0,0,3,243,645,379,299,220,57,45,34,41,39,3,68,2073,56,95,412,468,560,791,1157,738,145,157,189,187,50,13,87,5092,385,1154,3005,2893,4301,3441,6129,4474,839,735,819,958,371,77,600,30179
50402,0,0,0,7,30,22,177,190,35,14,31,21,12,4,12,556,4,0,10,3,28,3,4,4,0,3,0,3,0,0,4,74,4,0,7,12,11,10,8,3,0,3,3,0,0,0,0,72,0,5,7,22,45,55,178,69,13,7,7,13,0,8,25,455,0,3,0,0,9,5,8,4,0,0,3,0,0,0,3,49,0,0,0,0,0,0,3,3,0,0,4,4,0,0,11,23,0,0,0,4,9,10,44,25,0,0,7,7,3,0,0,114,77,187,1238,851,628,398,732,265,20,4,18,12,10,8,169,4613,0,7,21,28,37,30,37,20,5,0,4,3,3,5,10,208,0,0,0,4,11,5,8,6,4,0,7,0,0,0,49,89,31,34,156,137,142,126,242,112,17,9,3,13,3,3,90,1123,217,547,1788,1448,1474,986,2010,1053,131,77,116,95,63,36,590,10639
50403,0,0,4,36,204,247,1189,1355,155,116,126,142,60,14,49,3690,8,10,21,12,161,47,39,22,4,0,0,0,0,0,6,336,0,6,23,70,119,89,213,85,9,6,10,8,4,0,20,667,0,3,16,44,210,252,987,371,48,41,32,49,21,13,22,2098,0,5,13,33,86,53,141,116,18,9,5,14,20,3,9,523,0,0,0,0,3,7,25,46,6,4,12,13,5,0,8,131,0,5,0,11,65,63,229,136,15,23,25,26,4,9,18,623,100,312,2219,1542,1591,998,2038,885,80,43,45,66,26,15,207,10160,0,0,16,33,39,51,92,64,4,13,13,17,0,3,10,366,0,0,3,128,582,468,469,272,52,40,42,59,34,12,100,2261,28,83,409,449,780,1257,3528,1490,215,192,178,190,90,45,201,9139,273,981,3576,3333,5841,5689,15208,9106,1183,960,951,1162,532,207,1059,50066
50501,0,0,9,42,179,95,108,121,28,10,21,37,16,0,14,677,7,3,15,46,314,81,62,55,6,8,0,9,11,0,4,614,0,15,34,103,155,133,143,43,14,13,18,20,14,6,11,726,0,7,32,156,346,821,2510,1054,165,141,173,145,87,60,32,5726,0,9,18,27,22,25,31,8,3,5,6,45,12,0,6,224,0,0,0,0,10,21,30,35,5,0,5,10,3,0,0,120,0,0,4,12,32,57,101,96,14,12,13,16,8,4,12,392,160,580,2862,3073,4637,3254,7390,3696,350,288,260,246,136,32,362,27324,3,7,28,75,70,97,165,117,21,12,25,41,41,13,12,732,0,0,0,64,132,53,58,46,15,15,13,19,13,0,10,426,48,102,492,599,1023,1031,1930,927,128,125,147,136,87,15,99,6900,442,1432,4474,5615,9683,7551,15902,8834,1010,882,954,1103,597,178,852,59503
