SA3_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
50101,201,46,57,71,103,40,4,28,633,0,0,0,0,0,0,0,0,0,8,4,219,164,383,91,88,103,169,52,8,51,1335,561,348,245,20,11,12,10,14,5,29,1255,86,238,204,33,19,16,20,3,3,11,629,0,8,10,3,0,3,0,0,0,15,41,0,0,0,0,0,0,0,0,0,0,0,86,246,221,31,21,18,21,9,3,16,668,0,0,0,0,0,0,0,0,0,0,0,649,600,467,48,34,28,34,19,4,50,1931,1040,219,115,12,14,4,11,0,0,40,1462,127,112,61,3,4,6,5,0,0,4,325,3,6,13,0,0,4,0,0,0,11,41,0,0,0,0,0,0,0,0,0,0,0,130,123,72,11,4,4,7,0,0,16,369,0,0,0,0,0,0,0,0,0,3,5,1173,346,191,15,18,10,19,6,0,61,1837,1603,108,41,4,3,7,13,8,3,41,1837,118,29,19,0
50102,345,104,115,184,196,61,24,27,1277,0,0,0,0,0,0,0,0,0,20,19,377,479,609,139,143,229,242,82,35,78,2402,649,436,289,18,12,24,16,16,3,33,1498,146,479,554,69,62,48,53,27,12,28,1480,4,21,23,4,7,13,10,4,0,0,87,0,0,4,0,0,0,0,0,0,0,8,153,497,579,76,70,61,64,33,12,34,1580,0,0,0,0,0,0,0,0,0,21,25,802,936,864,95,87,82,86,47,15,89,3106,1499,476,226,11,8,14,16,4,5,41,2312,199,377,219,15,28,8,22,6,5,9,879,8,23,11,3,0,0,3,0,0,0,61,0,5,0,0,0,0,0,0,0,0,4,211,399,240,18,29,6,23,6,5,9,947,4,0,0,0,0,0,0,0,0,19,23,1708,879,472,29,39,17,38,10,7,77,3278,2656,309,99,12,6,7,13,11,7,68,3180,242,141,37,3
50103,48,4,14,31,51,18,7,16,212,0,0,0,0,0,0,0,0,0,0,0,62,51,86,14,14,34,64,26,5,19,377,153,67,39,7,4,0,0,0,3,12,281,17,42,38,4,3,5,7,0,4,4,130,0,3,3,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,17,45,41,4,3,5,16,5,3,6,143,0,0,0,0,0,0,0,0,0,0,0,166,111,83,9,6,8,11,4,4,17,424,380,72,22,0,0,0,0,0,0,16,496,36,30,13,0,7,0,3,0,0,0,95,0,0,3,0,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,43,34,14,0,4,8,4,0,0,3,106,0,0,0,0,0,0,0,0,0,4,0,422,104,39,4,4,6,4,3,0,20,606,753,48,15,5,0,0,4,3,0,39,856,59,11,4,0
50201,280,68,60,71,84,29,11,18,828,0,0,0,0,0,0,0,0,0,5,5,514,632,684,126,91,102,120,48,19,60,2384,786,543,542,40,29,35,47,15,10,41,2087,130,372,450,52,25,51,62,17,6,9,1178,0,12,13,3,6,10,3,4,0,3,55,0,6,0,7,0,0,0,0,0,0,10,138,393,462,57,33,58,68,20,6,19,1242,0,0,0,0,0,0,0,0,0,0,7,922,934,1007,105,61,90,112,38,15,62,3333,1733,910,510,29,21,20,17,3,13,65,3323,221,393,226,24,17,14,8,3,0,12,927,12,23,15,3,0,5,9,0,0,0,70,0,0,0,0,0,0,0,0,0,0,4,234,420,244,25,20,20,18,7,3,15,1004,0,0,0,0,0,0,0,0,0,0,7,1969,1331,752,57,40,45,36,11,15,75,4331,3386,630,251,22,13,15,17,10,4,81,4428,253,164,66,0
50301,224,86,123,167,247,90,20,18,1252,0,0,0,0,0,0,0,0,0,0,4,593,310,414,121,174,233,375,225,59,45,2544,748,343,278,40,42,34,70,32,28,22,1634,385,368,368,63,74,79,110,49,7,18,1520,4,10,16,10,12,9,10,7,0,0,86,0,0,0,0,0,0,0,0,0,0,0,383,374,380,72,86,89,126,60,7,27,1607,0,0,0,0,0,0,0,0,0,0,0,1134,722,666,113,128,123,191,86,34,46,3241,1785,331,232,15,31,21,30,24,10,38,2516,622,294,190,21,35,22,32,26,13,16,1268,10,17,18,0,3,4,15,5,0,0,74,0,0,0,0,0,0,0,0,0,0,3,630,312,207,24,37,30,49,32,9,19,1348,0,0,0,0,0,0,0,0,0,0,0,2415,641,441,43,70,48,75,57,21,52,3864,2378,216,80,11,5,6,15,11,6,30,2760,624,74,27,3
50302,1471,547,644,953,1332,550,98,103,6873,0,0,0,0,0,0,6,0,0,4,14,1794,1335,2404,726,867,1227,1775,759,176,179,11231,1700,840,828,92,80,76,69,66,24,42,3812,875,1152,1258,290,306,357,400,149,51,48,4872,9,55,75,16,26,27,39,24,8,4,303,0,0,0,0,0,0,0,0,0,3,10,882,1213,1336,308,333,387,438,177,55,54,5182,0,0,3,0,0,0,0,0,0,0,7,2590,2049,2166,401,411,464,511,240,76,98,8998,2253,492,247,37,24,18,40,16,13,52,3187,883,418,324,54,54,53,48,41,14,19,1913,61,34,39,16,15,16,16,15,0,0,221,0,0,0,0,0,0,0,0,0,0,0,947,458,366,65,70,70,66,53,13,23,2135,0,0,0,0,0,0,0,0,0,5,3,3201,948,619,99,92,89,103,73,27,80,5321,2874,202,103,12,15,11,25,15,6,45,3308,837,129,72,11
50401,958,231,274,295,324,108,17,50,3206,0,0,0,0,0,0,0,0,0,8,9,1003,971,1513,321,350,362,399,130,35,82,5151,1139,641,482,29,19,33,26,10,6,30,2413,841,1001,827,137,81,82,63,33,5,21,3089,44,103,109,31,26,24,21,4,0,16,371,0,0,0,0,0,0,0,0,0,0,3,880,1102,939,164,100,108,84,35,5,36,3460,0,0,0,0,0,0,0,0,0,0,3,2026,1741,1412,195,124,136,110,47,15,70,5872,1638,268,125,9,11,7,11,12,0,40,2116,920,380,242,27,24,19,20,4,0,26,1666,176,122,69,19,12,18,19,8,0,18,449,0,0,0,0,0,0,3,0,0,0,5,1096,500,310,41,35,31,36,12,0,46,2116,0,0,0,0,0,0,0,0,0,4,3,2734,767,428,53,48,42,48,23,0,89,4238,2375,151,53,4,0,3,11,0,3,40,2639,1051,154,59,8
50402,80,21,7,21,20,8,3,8,259,0,0,0,0,0,0,0,0,0,92,96,219,160,204,34,15,31,25,7,6,114,823,398,210,121,13,7,6,9,4,0,8,771,71,173,145,11,7,8,4,3,3,3,440,4,6,4,0,0,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,80,181,150,11,6,10,11,3,3,3,460,0,0,0,0,0,0,0,0,0,104,104,479,389,271,22,16,15,13,10,6,121,1335,986,212,97,11,14,6,6,3,3,23,1356,110,144,70,5,10,5,0,3,0,6,356,0,21,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,116,162,76,5,10,4,3,3,0,6,384,0,0,0,0,0,0,0,0,0,72,72,1107,376,173,9,19,11,4,4,3,96,1816,1688,156,50,6,5,0,0,4,0,33,1937,172,43,16,6
50403,1724,321,263,267,316,102,37,81,5336,0,3,6,0,0,0,0,0,0,25,36,1658,2280,2508,393,331,343,388,128,53,160,8244,1667,906,722,48,53,34,31,13,10,62,3550,1322,2712,1622,165,101,124,92,28,13,57,6240,99,214,174,19,17,19,25,6,4,15,589,5,3,0,0,0,0,0,0,0,0,14,1422,2928,1794,188,123,147,115,32,16,67,6840,0,0,4,0,0,0,0,0,0,28,37,3096,3838,2518,237,175,178,143,48,25,160,10429,2662,798,410,25,18,17,22,7,8,65,4040,1440,1338,563,55,10,25,37,15,4,47,3537,257,198,109,9,17,12,10,11,3,26,642,3,3,0,0,0,0,0,0,0,0,11,1706,1541,673,63,31,32,48,22,11,72,4194,9,0,0,0,0,0,0,0,0,0,15,4370,2341,1079,90,47,56,75,34,16,137,8244,4101,553,196,18,20,4,12,12,7,77,4994,1349,384,130,16
50501,419,94,108,114,165,78,7,30,1601,0,0,0,0,0,0,0,0,0,0,8,1745,1171,1453,218,211,213,286,124,32,96,5552,2646,1581,1526,138,111,100,81,56,19,63,6310,609,894,848,98,94,87,93,49,21,27,2811,11,26,38,0,4,13,7,4,0,3,107,0,0,0,0,0,0,0,0,0,0,0,619,916,890,99,97,95,100,49,21,33,2913,0,0,4,0,0,0,0,0,0,3,12,3261,2500,2418,240,208,195,183,110,36,94,9240,4756,2276,1186,102,75,46,40,29,11,92,8623,969,680,399,22,22,33,26,16,4,17,2185,43,40,29,9,3,3,11,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,1019,715,425,28,25,36,37,21,4,20,2330,4,3,0,0,0,0,0,0,0,3,14,5776,2997,1618,129,103,79,78,54,13,116,10961,7485,1174,287,23,14,13,34,14,7,78,9139,1437,247,64,9
