SA3_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
50101,9,10,27,92,199,431,662,432,156,2016,386,187,170,275,229,210,196,107,38,1809,6,6,11,27,57,178,350,249,78,952,0,0,0,0,0,12,41,71,57,181,9,7,20,46,115,223,389,253,69,1125,5,4,8,12,87,213,495,427,154,1413,9,4,8,13,17,35,59,66,36,240,3,4,11,9,18,78,171,140,38,474,121,184,229,322,359,300,235,114,22,1884,0,0,4,0,16,44,101,77,39,287,223,137,98,173,248,285,339,186,71,1752,4429,1926,1874,2411,2455,1891,1475,541,98,17101,510,225,346,428,469,329,275,147,54,2782,5625,2627,2701,3624,3940,3580,3640,1829,520,28080,4,16,42,151,350,682,1060,703,363,3378,253,177,245,364,352,321,365,173,82,2328,3,0,14,58,128,215,312,203,64,1010,0,0,0,0,0,5,28,89,134,260,9,3,26,44,96,174,288,171,97,910,8,0,7,14,34,111,256,225,177,828
50102,7,41,95,236,478,945,1263,781,225,4070,1005,486,504,506,484,393,391,188,42,4004,13,10,21,54,113,342,573,386,116,1632,0,0,4,4,6,22,63,135,95,332,21,39,71,166,432,721,1009,528,133,3120,12,20,29,61,187,527,878,635,255,2601,8,5,14,19,48,87,129,123,53,491,21,8,17,18,76,219,369,280,66,1086,292,495,605,626,662,665,470,182,62,4062,4,3,13,9,38,108,186,145,58,549,560,314,255,353,466,682,602,305,111,3653,8153,4199,3987,4302,3998,3285,2036,756,158,30862,926,656,781,835,869,727,495,233,119,5638,10777,6043,6068,6713,6976,7002,5962,2880,857,53276,25,54,154,374,950,1634,1975,1267,557,6993,615,568,676,799,747,743,673,283,92,5192,11,6,39,101,230,426,531,333,122,1806,0,0,4,0,9,27,65,154,214,467,15,46,93,162,326,570,747,427,164,2553,13,10,17,33,110,258,467,431,276,1610
50103,0,3,16,39,93,248,369,212,62,1040,123,77,74,81,91,120,105,47,9,720,8,4,5,5,31,81,147,131,32,433,0,0,0,0,0,0,5,30,24,63,6,12,8,17,72,152,214,169,35,687,5,0,4,9,52,113,254,202,56,701,3,0,0,5,9,20,17,30,9,96,0,5,0,8,10,52,106,66,20,264,37,109,98,119,133,204,132,53,22,907,4,0,0,6,6,15,52,53,14,151,81,57,33,85,98,188,210,101,39,890,1570,764,670,795,944,981,727,237,41,6736,224,107,104,132,222,187,170,98,23,1271,2035,1097,985,1207,1601,1929,1900,942,226,11911,0,8,21,65,174,437,559,318,125,1703,104,97,76,134,157,173,196,102,26,1066,0,6,12,21,41,113,153,96,21,449,0,0,0,3,0,3,17,35,44,117,3,3,13,24,54,117,171,103,38,521,0,3,0,6,22,64,129,123,58,409
50201,11,24,66,183,392,909,1571,1287,377,4806,707,425,397,430,447,408,469,280,77,3649,11,11,29,59,106,369,788,730,212,2316,0,0,0,4,4,16,67,155,115,370,16,37,50,131,351,694,1179,850,216,3518,15,12,34,52,186,608,1290,1135,373,3697,8,6,3,17,29,79,168,232,111,650,18,8,11,25,59,209,479,436,146,1404,267,499,580,597,628,613,568,300,74,4122,8,4,7,24,42,99,243,267,96,782,563,301,241,324,483,672,769,451,158,3961,7214,3968,3435,3563,3621,3256,2349,1056,218,28676,852,562,602,715,765,633,533,353,180,5205,9471,5634,5171,5653,6312,6760,7166,4504,1301,51979,9,44,118,311,750,1554,2521,2023,811,8144,541,494,603,686,663,812,858,511,152,5313,8,13,37,85,222,430,650,516,165,2130,0,0,0,0,3,16,75,167,196,469,17,46,60,147,261,574,843,602,209,2764,8,13,15,41,97,307,632,690,378,2172
50301,8,8,41,53,164,300,450,499,187,1718,307,434,215,241,294,280,213,138,50,2173,7,10,7,32,82,185,375,400,147,1247,0,0,0,0,0,11,31,82,92,223,10,28,16,49,106,176,290,282,104,1070,3,4,16,23,109,279,533,571,266,1804,0,6,3,13,17,29,39,75,38,222,8,6,4,10,20,46,95,108,67,358,107,401,287,260,310,215,173,119,35,1904,0,7,6,12,14,28,59,120,61,302,273,229,134,177,275,365,392,258,116,2226,5444,4266,2585,2581,3333,2587,1606,691,164,23272,296,339,291,275,314,274,229,150,91,2270,6395,5598,3489,3584,4747,4270,3601,2355,865,34905,14,39,35,84,243,541,933,821,458,3169,236,416,260,282,325,330,304,186,67,2413,11,9,21,44,174,299,331,296,150,1340,0,0,0,0,0,9,33,91,179,310,7,25,26,34,55,133,173,162,98,710,6,10,11,12,25,103,239,331,261,1004
50302,9,18,97,147,262,475,639,385,187,2211,370,406,823,691,456,316,258,139,45,3507,12,16,44,55,103,267,389,263,122,1266,0,3,0,0,5,14,60,151,117,353,9,16,60,144,236,325,496,295,108,1692,5,10,23,40,145,368,628,475,191,1901,4,11,11,31,39,56,57,93,45,330,8,8,10,26,34,89,173,146,53,545,106,470,1071,837,604,490,308,125,50,4077,0,3,8,14,40,69,95,131,54,414,272,253,434,429,505,579,506,228,137,3341,6531,4217,8684,6879,4391,3227,1777,597,141,36441,429,525,1229,822,644,529,363,187,83,4806,7669,5770,12067,9647,6826,5852,4417,2083,778,55115,10,45,143,158,378,760,1053,763,568,3882,231,477,922,631,529,492,329,182,106,3902,5,15,40,104,187,355,371,236,114,1427,0,0,0,0,0,19,52,168,346,590,26,26,62,87,139,235,376,250,142,1332,12,16,19,24,59,145,263,289,288,1120
50401,3,15,55,127,263,470,667,451,202,2253,372,355,516,514,393,266,241,128,55,2844,12,5,21,67,88,174,347,275,108,1088,0,0,0,4,4,15,58,104,85,263,8,26,59,145,246,498,625,426,105,2144,15,11,22,42,144,375,599,508,188,1908,7,5,17,15,28,67,91,101,62,389,15,9,16,19,69,112,199,181,85,702,124,380,643,594,504,398,233,114,48,3044,3,3,6,16,26,66,111,124,66,412,336,204,321,345,469,489,451,240,123,2971,5886,3359,4838,4436,3300,2424,1390,610,113,26359,491,361,549,528,446,387,245,153,67,3221,7171,4555,6774,6481,5369,4775,3832,2142,698,41790,5,32,96,179,407,812,1189,946,523,4190,274,362,645,617,504,462,412,255,90,3614,7,4,37,94,177,247,350,242,105,1270,0,0,0,0,3,13,47,147,226,445,9,16,56,102,209,398,522,380,168,1858,6,10,13,23,61,166,321,403,285,1286
50402,4,8,31,63,162,338,443,308,89,1450,269,211,158,207,200,196,176,89,24,1530,0,10,11,24,44,119,223,198,51,683,0,0,0,0,3,6,14,52,49,136,6,23,23,53,139,249,346,207,51,1094,0,4,5,22,88,210,376,312,91,1110,0,0,0,7,10,27,34,46,23,163,3,3,0,5,23,78,153,115,37,429,103,217,226,230,273,238,181,82,27,1573,0,5,0,5,17,37,56,75,26,224,225,123,113,151,198,313,265,154,61,1604,3026,1789,1448,1538,1724,1517,900,328,67,12328,285,398,837,795,596,421,192,104,34,3662,3853,2697,2763,2932,3173,3139,2451,1284,356,22643,0,13,51,117,253,569,747,536,206,2490,210,208,239,250,335,310,256,150,44,1992,0,0,8,42,92,174,250,166,63,789,0,0,0,0,0,0,20,63,79,161,6,8,12,49,105,195,260,182,57,875,5,4,6,21,33,91,188,206,120,664
50403,11,44,134,290,500,879,932,590,163,3531,1176,739,760,768,579,503,318,161,44,5042,12,11,35,80,161,317,428,308,87,1448,0,0,3,0,11,18,49,111,102,301,24,46,130,359,685,1009,983,508,120,3867,27,26,32,82,283,662,873,578,177,2739,19,14,19,48,72,108,138,105,41,565,31,14,17,35,86,232,312,238,79,1048,337,672,933,935,766,630,333,132,46,4775,3,3,7,15,43,136,167,151,55,588,832,506,482,583,733,783,570,259,90,4828,13314,7078,7764,7602,5628,3851,1760,593,123,47703,1272,765,936,964,920,672,329,158,91,6098,16768,9582,10820,11092,9382,7946,5074,2345,678,73672,19,59,199,416,944,1526,1579,1051,415,6212,792,802,1153,1107,1007,886,596,285,79,6706,11,9,53,133,308,462,439,262,82,1763,0,0,0,0,10,14,59,149,217,443,17,37,135,268,570,780,777,454,156,3200,18,20,36,57,156,320,489,441,233,1767
50501,9,46,86,237,523,1138,1605,877,288,4813,1046,770,579,851,784,599,516,227,42,5411,13,16,29,88,190,431,887,584,147,2384,0,0,0,3,7,22,72,161,141,404,27,45,67,145,383,784,1232,660,159,3498,26,22,30,72,290,769,1426,969,307,3907,18,15,9,34,43,87,148,152,64,582,15,8,17,30,53,149,386,288,85,1034,347,749,696,797,829,669,506,175,77,4844,3,5,8,22,40,91,227,209,88,686,754,492,377,493,705,941,987,399,152,5303,12625,7711,5901,7428,7318,5725,3458,1006,196,51365,797,625,628,775,885,716,459,203,91,5181,15442,10188,8116,10457,11225,10433,8847,3747,1044,79502,19,68,122,346,909,1820,2614,1637,729,8267,664,713,754,1023,1037,948,896,396,140,6575,11,24,38,167,387,604,829,438,154,2660,0,0,0,0,3,23,77,179,312,601,36,58,49,134,274,579,817,483,194,2623,20,11,24,56,123,356,674,559,338,2147
