SA3_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
50101,6241,5883,1885,108,14112,3991,544,18648,326,108,106,3,546,763,35,1347,88,53,24,0,165,120,11,307,414,164,131,4,712,886,53,1649,18,6,10,0,34,26,5,68,0,0,0,0,0,0,0,0,9,0,0,0,9,5,0,18,0,0,0,0,0,0,0,0,9,5,0,0,17,14,0,29,34,15,11,0,62,48,4,114,33,8,6,0,42,77,6,127,56,3,4,0,65,118,14,196,0,3,0,0,10,11,0,17,8,7,0,0,19,4,0,16,96,24,10,0,133,206,17,358,21,14,9,0,40,25,7,73,6812,6099,2040,116,15066,5150,623,20841
50102,10948,11278,4207,301,26730,7524,910,35163,601,196,321,22,1128,1940,87,3158,134,66,45,0,242,185,27,450,728,257,358,23,1370,2123,117,3611,95,40,30,5,179,360,18,558,10,8,13,5,35,65,5,104,4,0,0,0,5,8,0,15,17,4,0,0,21,12,0,32,0,0,0,0,9,5,0,11,135,51,48,8,245,458,25,724,64,7,11,4,86,148,0,244,42,9,0,0,48,74,0,118,5,3,3,0,12,12,0,20,9,4,6,0,17,12,3,31,113,21,15,4,156,245,7,408,16,16,0,0,33,44,0,77,11939,11624,4629,336,28531,10384,1065,39978
50103,3254,2152,706,69,6182,2287,185,8653,39,19,18,0,72,235,4,305,0,6,0,0,0,4,0,5,38,17,18,0,74,237,4,318,10,0,0,0,9,37,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,10,0,0,0,13,40,0,53,14,3,0,0,18,14,0,33,0,5,0,0,5,3,0,12,3,0,0,0,9,4,0,17,5,5,0,0,6,3,0,7,23,12,0,0,36,28,4,69,10,4,3,0,20,31,0,53,3335,2189,731,69,6326,2625,189,9142
50201,11668,10239,4462,296,26674,7948,817,35441,1002,163,251,27,1444,2223,70,3736,324,87,114,8,536,518,37,1085,1323,243,374,36,1973,2737,105,4824,73,17,29,5,122,290,14,431,90,22,18,0,125,62,5,189,82,14,17,0,121,77,3,197,86,16,7,4,114,46,0,155,10,3,4,5,21,20,0,39,340,77,71,15,506,487,31,1017,49,6,12,0,72,156,3,230,44,5,5,0,48,105,0,156,5,4,0,0,9,11,0,16,0,0,0,0,0,9,0,8,102,12,14,3,132,273,4,415,14,0,7,0,21,24,0,45,13452,10582,4930,349,29308,11472,957,41734
50301,4960,8103,1330,132,14527,2495,443,17461,378,317,177,17,889,693,75,1663,450,369,165,29,1015,647,126,1793,833,687,348,47,1904,1346,203,3456,301,117,71,13,510,614,106,1224,316,80,53,10,460,862,94,1411,430,129,89,7,661,701,96,1461,120,28,24,8,180,194,19,399,0,8,0,0,12,6,0,17,1170,361,242,42,1816,2382,315,4513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,5,0,3,0,0,8,7,0,18,6960,9153,1917,220,18258,6236,964,25459
50302,4866,6841,1391,188,13280,3357,893,17529,688,487,185,42,1402,1236,158,2795,1488,864,453,76,2884,1682,413,4975,2173,1353,634,116,4280,2920,570,7773,761,312,173,54,1299,1802,231,3336,1464,444,243,63,2215,3012,432,5654,1990,556,285,79,2909,3719,534,7167,1853,578,221,79,2725,2464,479,5677,8,0,0,0,8,8,3,18,6073,1895,918,270,9153,11009,1689,21855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,7,0,37,25,8,75,19,10,7,0,37,27,8,70,15,8,7,0,26,51,0,73,13148,10105,2948,574,26775,17360,3164,47305
50401,7085,8222,2612,361,18283,5480,996,24758,851,661,483,51,2039,2022,181,4245,512,314,198,37,1055,941,183,2173,1362,971,678,83,3099,2957,365,6421,321,113,98,20,559,890,84,1529,125,37,27,13,202,352,37,594,83,27,19,9,133,291,24,444,73,25,7,0,108,146,19,269,0,3,0,0,11,14,0,22,606,208,158,41,1006,1691,161,2861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,9,0,0,0,0,4,4,0,9,7,9,0,0,14,21,5,35,9059,9411,3447,485,22405,10151,1526,34084
50402,4652,5027,1563,122,11364,2850,294,14514,113,33,68,10,223,474,9,705,8,5,7,0,15,25,0,41,119,38,72,11,238,493,9,741,0,0,0,0,5,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,15,4,0,18,7,9,0,0,15,13,0,31,0,0,0,0,3,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,3,0,4,0,3,0,0,9,13,0,19,0,3,6,0,5,4,0,16,4779,5080,1645,129,11638,3372,311,15316
50403,11117,18713,5951,546,36333,7767,1155,45253,656,495,469,46,1667,1708,151,3527,175,107,129,16,419,386,46,849,829,599,592,66,2090,2095,191,4374,59,24,43,10,132,217,12,362,59,24,43,6,124,209,17,357,24,8,9,0,44,56,4,100,14,0,7,0,20,37,3,53,21,7,3,0,31,32,0,63,171,63,106,17,351,546,38,936,22,3,0,0,29,33,0,61,32,3,3,0,42,99,0,142,0,3,0,0,3,4,0,10,7,5,6,3,13,10,0,27,62,9,12,3,87,146,3,234,17,17,3,3,37,28,3,68,12194,19414,6666,630,38902,10579,1394,50874
50501,15619,21590,5049,391,42651,7609,941,51198,894,436,411,36,1775,1763,93,3628,372,191,156,10,729,472,84,1286,1273,624,567,41,2507,2236,178,4915,106,13,36,5,154,291,16,464,116,27,44,3,190,242,37,469,109,39,49,12,204,224,42,471,0,0,0,0,0,0,0,0,19,10,3,0,39,41,0,83,345,91,132,17,589,804,90,1483,20,3,0,0,25,61,0,88,3,0,0,0,4,5,0,11,0,0,0,0,0,0,0,0,4,8,0,0,11,4,5,21,32,4,0,3,43,75,5,120,8,0,0,0,12,19,0,32,17279,22313,5750,458,45800,10739,1210,57751
