SA3_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
50101,0,62,83,130,98,128,64,10,585,0,22,80,69,51,57,19,4,304,26,346,527,519,441,420,164,39,2482,21,187,326,373,361,391,198,29,1888,385,999,1314,1222,1127,933,375,90,6437,153,53,34,36,21,23,11,3,334,22,27,48,74,68,68,37,9,350,562,1084,1396,1333,1213,1018,421,99,7116,4,17,18,25,28,22,20,3,135,197,299,364,421,291,269,184,81,2102,814,2009,2796,2872,2478,2298,1070,269,14613,7,101,192,133,111,101,27,0,671,3,85,183,194,150,113,28,6,758,77,724,1148,863,607,460,197,53,4130,63,337,538,601,583,441,181,56,2797,310,580,779,697,548,279,81,16,3288,135,61,72,79,73,54,17,3,489,26,56,97,123,135,115,44,7,618,471,694,949,903,758,453,140,26,4391,8,23,33,32,31,56,33,11,225,180,251,305,278,299,348,266,167,2093,815,2213,3347,3007,2541,1959,865,318,15067,7,166
50102,5,86,173,175,144,113,42,10,745,4,41,74,95,100,73,13,4,413,84,522,644,644,530,420,143,35,3018,79,312,520,582,562,436,181,36,2714,1045,2417,2543,2435,2320,1603,668,139,13172,390,152,65,46,39,29,7,0,731,45,50,86,88,122,117,50,12,562,1479,2619,2697,2573,2482,1745,723,154,14468,14,29,49,40,51,63,32,6,289,396,513,582,640,583,496,327,181,3729,2062,4131,4748,4741,4453,3353,1468,420,25372,19,158,217,177,153,85,20,0,828,17,159,221,241,212,110,38,7,1003,193,1129,1376,1166,798,507,191,48,5424,133,601,781,813,889,570,210,70,4070,1228,1712,1651,1482,1109,521,107,19,7830,392,263,190,159,131,78,20,6,1244,73,99,160,262,246,168,65,12,1080,1698,2071,2003,1905,1482,761,192,36,10154,10,32,42,46,49,63,31,14,291,387,440,431,454,528,589,503,295,3625,2451,4594,5081,4805,4103,2691,1185,471,25385,22,250
50103,0,10,27,30,28,45,25,0,164,0,5,14,21,25,22,4,0,86,10,85,112,120,133,162,54,7,689,9,43,76,110,157,140,59,6,613,203,359,408,484,552,445,169,42,2666,68,39,15,5,13,4,3,0,150,3,13,18,28,28,36,21,7,165,271,406,447,516,594,488,199,54,2977,0,9,4,15,11,18,12,0,67,97,110,124,192,178,201,128,37,1062,395,665,807,998,1134,1071,476,108,5657,0,29,53,47,37,32,6,0,212,3,26,41,56,63,50,12,0,244,36,183,280,261,234,193,70,18,1279,27,101,177,170,225,226,68,8,1003,154,239,272,279,291,143,34,5,1425,94,41,29,33,34,28,9,0,267,18,20,29,46,66,47,18,0,242,263,306,331,359,385,221,64,8,1926,0,0,8,8,14,17,10,0,51,108,77,139,159,212,204,170,52,1119,435,721,1021,1049,1173,947,399,88,5831,0,41
50201,10,59,147,154,164,142,57,9,740,3,31,50,72,84,83,36,8,352,123,390,457,466,464,499,215,43,2657,112,291,470,580,663,624,358,68,3163,895,1995,1988,2161,2319,2070,1140,275,12843,329,112,60,41,44,32,20,4,638,35,48,72,91,96,124,97,29,592,1255,2157,2120,2291,2458,2231,1255,304,14075,13,22,45,35,45,73,55,22,301,398,500,610,631,546,546,479,256,3966,1909,3442,3906,4235,4412,4197,2452,709,25253,11,127,193,181,146,79,25,5,763,17,125,180,224,195,133,34,8,924,229,950,1110,965,688,562,243,51,4797,206,641,847,928,992,738,286,82,4712,915,1452,1390,1346,1161,608,210,39,7116,318,177,150,110,122,112,33,5,1038,86,112,173,210,247,215,126,27,1201,1317,1741,1717,1665,1532,940,363,76,9356,21,32,46,52,85,86,85,15,413,398,414,445,474,528,721,755,501,4241,2200,4038,4542,4472,4166,3267,1790,739,25208,19,187
50301,82,667,887,1140,992,685,384,132,4967,14,108,159,226,180,116,65,14,881,840,1478,1456,1968,1627,1322,641,175,9506,117,181,258,354,352,348,266,91,1960,251,306,255,305,321,258,180,69,1949,78,21,14,13,14,9,5,0,157,18,11,26,36,31,46,38,8,207,344,335,292,353,364,314,222,79,2311,25,27,32,36,30,42,48,21,263,191,240,226,212,205,208,189,121,1597,1610,3042,3311,4293,3748,3034,1810,631,21485,74,723,943,987,666,415,137,36,3993,21,173,268,435,390,256,111,31,1686,904,1641,1915,2246,1546,1137,604,225,10217,115,182,287,507,661,568,394,157,2878,242,148,167,160,165,117,51,23,1082,88,13,16,19,28,20,25,3,222,24,15,33,95,108,112,103,52,549,357,181,216,282,302,250,179,77,1850,17,26,45,45,43,70,54,34,331,220,190,165,185,215,259,295,233,1767,1703,3118,3842,4692,3822,2959,1778,798,22718,154,1387
50302,107,1904,1821,1104,753,532,210,29,6467,19,345,396,298,244,146,40,6,1488,932,4471,3488,2126,1619,1044,335,85,14105,298,913,908,661,612,503,227,55,4177,532,1321,1016,776,827,540,253,99,5371,159,90,47,15,28,13,4,0,355,33,69,66,88,80,77,29,6,448,720,1484,1135,880,933,626,285,113,6175,27,95,82,48,50,60,45,8,416,392,1138,751,548,456,385,269,130,4069,2500,10349,8579,5662,4666,3301,1418,423,36892,123,2150,1737,1004,639,375,91,23,6150,54,594,530,505,366,261,68,10,2392,1296,5316,3640,2215,1519,941,351,133,15403,458,1021,876,786,809,517,241,101,4799,577,749,511,459,364,187,66,44,2955,189,66,55,47,51,42,21,11,480,49,87,103,146,178,133,58,33,790,815,903,670,648,591,366,142,88,4222,30,93,66,64,54,64,39,18,427,400,867,504,350,369,411,311,272,3480,3173,10949,8020,5576,4332,2938,1237,646,36876,239,4056
50401,45,535,655,347,245,144,55,6,2029,14,129,184,160,135,71,25,6,719,347,1884,1746,1059,666,466,147,32,6347,229,663,686,628,470,384,182,38,3283,524,1449,1304,1123,1169,947,482,127,7129,179,84,50,50,25,19,4,3,401,26,62,66,69,70,78,32,11,413,733,1598,1420,1241,1266,1041,519,140,7945,27,39,50,40,37,28,28,10,250,259,496,450,350,299,238,216,89,2394,1638,5333,5193,3827,3124,2371,1172,317,22973,48,720,802,430,227,122,25,6,2385,15,313,348,293,204,122,38,10,1350,512,2507,2071,1244,751,484,167,44,7784,233,719,738,696,636,443,175,39,3677,463,901,744,664,517,297,91,28,3715,178,99,80,70,70,61,13,4,571,47,68,125,160,178,141,69,19,802,698,1069,952,887,766,497,174,57,5088,16,49,56,37,49,58,37,14,303,211,397,341,289,289,295,305,198,2328,1719,5774,5320,3870,2918,2025,923,372,22919,89,1253
50402,3,53,107,121,124,104,53,7,573,0,29,49,68,82,32,22,0,284,74,261,387,411,310,269,102,11,1821,50,135,210,317,302,278,130,20,1449,380,894,826,909,919,744,319,65,5057,114,45,29,18,10,15,0,0,234,14,21,30,42,60,50,36,0,255,514,966,893,967,990,800,355,69,5546,11,24,21,20,21,23,22,9,132,129,193,221,227,238,138,125,76,1346,775,1657,1887,2131,2065,1654,801,188,11153,0,84,158,164,130,74,23,5,642,9,76,121,148,123,62,26,3,571,139,496,648,628,415,340,152,27,2842,85,232,360,413,417,318,126,37,1988,315,500,461,480,413,183,46,17,2422,115,52,47,55,41,31,18,3,359,27,22,64,88,118,90,34,16,458,458,578,572,621,573,310,99,32,3239,3,11,16,18,28,32,18,3,136,112,141,151,167,190,205,199,127,1295,802,1624,2030,2154,1886,1336,635,238,10707,9,141
50403,21,363,611,297,184,132,54,6,1666,9,114,167,142,114,55,16,7,619,364,1436,1628,1046,670,407,140,24,5730,235,943,1275,952,768,420,170,24,4784,1373,3550,3160,2749,2442,1392,566,112,15341,449,203,123,80,53,25,6,3,947,78,118,133,144,132,110,42,8,765,1900,3874,3417,2968,2628,1527,615,121,17048,45,62,97,78,45,46,25,6,411,526,833,822,737,552,345,239,139,4190,3098,7622,8017,6223,4957,2938,1258,329,34443,32,603,678,328,219,96,19,3,1982,45,323,374,281,160,80,21,3,1290,582,2648,2414,1473,819,439,143,33,8558,402,1424,1552,1318,954,443,159,32,6282,1323,2384,1915,1566,1075,430,104,18,8809,393,251,219,167,103,58,22,0,1211,123,182,279,344,308,136,69,16,1457,1837,2811,2407,2079,1486,625,192,32,11475,33,72,102,79,109,68,36,15,514,492,734,611,560,488,436,371,244,3924,3426,8611,8144,6112,4239,2183,946,364,34034,59,971
50501,40,452,793,924,725,438,113,19,3505,11,146,292,349,268,201,51,3,1323,713,1817,2374,2340,1709,1183,382,59,10573,293,630,1214,1422,1383,1230,413,88,6668,1289,2594,3020,2903,3213,2499,987,206,16709,364,97,64,48,42,42,15,0,676,58,74,133,173,171,168,91,13,889,1717,2770,3219,3131,3428,2710,1094,223,18276,32,46,83,94,89,104,63,18,529,360,484,616,661,502,420,267,170,3477,3161,6333,8584,8922,8104,6286,2379,582,44351,46,591,990,774,462,208,47,7,3124,49,393,666,656,537,257,58,8,2613,915,2910,3820,2986,1930,1184,343,69,14145,386,956,1457,1856,1798,1102,357,81,7991,981,1271,1486,1542,1324,672,170,42,7496,300,91,140,119,160,131,42,7,990,87,109,234,418,439,370,150,34,1853,1374,1482,1860,2081,1924,1175,367,84,10344,27,56,79,108,98,151,72,21,608,277,374,422,450,527,586,466,365,3458,3075,6753,9285,8904,7271,4661,1710,627,42283,88,1040
