SA3_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
50101,70,182,31,16,13,9,14,41,8,384,28,46,31,10,10,19,3,21,4,176,318,257,1368,55,62,65,297,248,46,2716,210,52,823,36,22,31,135,146,16,1468,201,80,145,21,9,16,64,106,13,644,49,289,26,52,9,8,22,16,5,475,75,226,30,45,11,15,19,28,5,449,297,237,104,68,71,110,65,103,19,1075,83,127,44,100,18,19,24,49,4,464,32,69,47,18,3,10,12,35,0,235,100,7,338,41,19,17,64,73,10,677,0,0,3,3,0,8,0,0,0,15,25,16,33,10,6,9,15,22,8,140,42,26,92,9,3,27,49,52,29,332,1535,1609,3123,490,249,367,773,933,164,9243,47,117,35,19,40,14,0,28,3,304,7,11,3,0,17,4,0,10,0,54,23,25,25,14,13,20,10,15,0,138,24,45,16,5,14,3,0,9,3,121,53,57,40,32,31,32,9,39,0,288
50102,57,110,60,13,9,9,32,29,5,320,54,88,99,19,25,36,42,65,0,431,638,634,4227,107,192,116,872,521,108,7427,180,66,992,38,41,30,306,297,28,1975,153,92,107,21,19,26,93,127,14,648,59,494,63,88,14,12,50,42,10,822,100,380,54,41,16,19,71,27,4,709,409,306,200,74,159,123,177,126,32,1608,65,181,53,253,44,44,71,80,8,797,29,46,37,25,11,16,18,34,3,219,63,20,215,34,21,36,160,104,0,655,3,4,0,0,0,3,5,12,0,31,29,37,66,19,17,6,88,35,12,301,68,31,181,25,10,24,126,86,92,646,1902,2479,6360,748,576,496,2116,1597,321,16594,30,133,111,37,39,13,7,23,0,387,7,14,17,17,27,8,0,23,3,116,41,66,123,23,48,20,53,39,8,422,4,32,27,15,34,16,4,16,0,150,34,68,73,26,44,28,18,62,4,355
50103,31,31,9,4,4,5,5,10,0,99,3,13,7,4,4,4,5,5,0,51,196,75,616,23,21,21,164,111,26,1259,79,15,162,10,6,5,40,39,0,362,159,48,54,20,5,9,40,47,7,383,13,63,6,19,0,3,4,3,0,119,31,71,14,5,5,0,13,0,0,142,98,38,29,4,22,26,17,21,3,259,35,28,10,37,7,10,15,21,0,160,10,15,13,8,3,5,5,13,0,71,21,3,55,3,3,10,18,29,3,144,0,0,0,0,0,0,0,0,0,5,12,4,5,6,4,0,17,3,3,54,28,3,31,0,4,3,34,30,17,148,726,405,1019,142,91,97,384,341,62,3274,27,33,20,10,10,4,0,11,0,116,4,3,0,0,5,0,0,0,0,17,5,7,3,4,7,0,3,8,0,50,6,6,3,4,8,0,0,3,0,32,49,26,13,14,25,13,9,30,3,183
50201,43,118,38,12,10,7,20,11,0,262,62,97,80,26,17,32,42,43,7,405,649,515,3277,95,157,122,761,411,96,6080,181,43,927,32,33,32,278,215,46,1787,61,36,117,13,22,15,83,102,7,450,78,308,48,115,11,17,45,31,3,649,77,328,29,45,8,13,58,22,0,566,389,252,164,81,124,147,148,94,21,1422,77,130,52,237,33,34,78,81,9,730,15,34,37,31,11,19,22,21,3,201,75,12,260,53,18,38,113,95,7,669,5,0,5,0,0,0,0,10,0,23,17,35,67,23,7,6,62,14,10,240,30,18,140,28,16,21,116,64,83,508,1752,1933,5239,793,460,492,1819,1198,299,13985,26,97,68,36,38,15,3,19,3,305,18,17,3,20,16,5,5,7,4,101,23,52,85,32,36,16,44,19,0,301,8,18,18,4,7,12,3,10,0,79,25,28,46,20,29,26,10,32,3,225
50301,281,620,41,50,30,28,22,27,14,1108,99,197,31,8,17,8,12,13,4,385,858,1211,382,68,107,69,62,91,28,2867,219,240,188,21,39,26,10,27,6,769,81,77,36,15,19,18,14,26,6,289,112,1804,25,85,13,12,6,7,18,2077,60,199,19,37,11,16,11,3,0,350,1554,1540,78,98,268,261,58,63,86,4005,391,1053,37,138,110,54,25,51,30,1890,50,196,46,42,30,41,8,28,4,437,54,11,86,23,3,15,9,15,0,207,0,0,6,0,0,4,0,3,0,14,39,54,7,13,6,9,5,3,7,143,40,47,24,11,10,11,5,16,33,208,3841,7235,986,614,666,561,238,372,242,14756,123,452,36,89,105,30,0,20,16,877,18,57,9,7,29,10,0,4,0,129,81,257,28,21,29,18,4,4,0,438,45,190,16,24,46,20,0,3,0,342,16,65,12,18,18,0,0,12,3,143
50302,299,1063,114,77,66,43,38,52,16,1769,253,948,141,45,51,40,42,55,14,1583,1184,2742,1252,146,248,121,259,279,64,6294,299,438,515,37,97,49,54,117,21,1628,91,140,67,17,19,22,23,46,4,431,156,1703,66,184,47,27,34,47,16,2276,131,509,28,51,20,14,22,31,3,802,1734,2184,252,283,604,399,205,333,67,6058,451,1555,99,343,254,83,89,140,40,3045,153,565,162,129,93,102,49,66,7,1326,129,21,497,97,23,39,44,80,9,951,4,0,3,3,3,6,3,4,0,26,52,82,55,31,33,14,24,35,20,334,58,73,85,31,27,14,42,48,84,465,4983,12034,3332,1475,1582,952,920,1344,359,26979,151,773,125,104,143,62,5,33,10,1411,51,224,29,37,57,15,0,21,3,436,155,592,111,59,81,38,23,57,9,1123,67,312,53,44,50,39,0,13,3,580,33,124,23,25,30,11,5,22,0,276
50401,112,413,83,28,30,14,22,38,6,748,143,469,117,32,55,41,40,43,6,948,579,1187,1846,121,199,129,388,274,45,4772,211,150,739,24,56,26,89,124,17,1437,46,63,83,10,18,11,28,34,9,297,68,461,39,175,23,25,27,35,8,863,69,376,25,43,25,8,20,12,3,597,787,906,148,177,374,248,169,142,37,2991,176,519,68,307,127,55,74,92,21,1429,76,318,90,77,66,66,49,68,11,825,86,22,326,72,30,32,87,71,4,730,0,0,3,0,0,0,0,6,0,17,36,44,62,31,25,17,25,27,7,268,41,41,124,32,26,21,64,47,73,476,2437,4978,3756,1120,1062,686,1088,1014,250,16398,76,339,75,59,95,41,8,16,10,722,29,102,20,25,27,10,0,16,3,233,49,190,64,31,37,17,22,23,6,443,26,105,45,17,32,16,4,8,0,253,22,69,36,30,38,12,6,14,0,219
50402,45,165,22,12,15,10,8,7,5,295,40,98,27,8,13,0,11,8,0,213,404,377,1507,56,118,58,245,137,42,2947,93,41,384,16,23,18,63,75,9,723,40,40,74,10,11,4,25,41,0,245,36,138,13,50,8,0,14,11,0,276,60,195,18,25,9,4,14,4,3,330,255,226,55,58,98,67,48,34,15,849,57,140,31,113,27,11,25,24,3,436,17,80,37,13,10,21,23,20,4,232,25,17,81,17,4,22,41,30,0,237,0,0,3,0,0,3,3,0,0,9,14,22,33,14,10,0,25,8,6,140,26,14,63,16,8,5,37,27,41,238,1130,1545,2364,415,354,223,584,418,136,7165,32,135,33,14,36,10,0,5,0,273,10,15,0,11,8,9,3,0,0,56,16,36,37,9,21,6,14,8,3,142,8,26,11,4,14,3,0,0,0,70,22,45,26,11,25,10,3,17,0,170
50403,90,246,107,49,33,29,53,46,6,663,179,461,191,66,86,61,121,64,20,1237,997,1079,4976,225,374,225,1141,595,109,9735,253,72,1196,40,61,43,300,280,42,2283,74,48,141,30,12,33,73,95,6,526,105,482,78,209,41,21,62,60,11,1063,85,401,54,59,32,12,63,23,5,730,882,740,296,273,528,298,442,217,49,3717,177,345,126,583,149,75,172,158,22,1811,65,183,93,58,51,68,70,64,10,656,134,33,518,111,72,63,275,124,16,1351,0,6,10,4,5,4,9,5,0,33,54,51,104,60,28,17,100,50,11,485,99,42,220,54,37,33,139,96,169,889,3191,4193,8102,1818,1517,990,3016,1874,474,25170,69,215,166,102,106,51,14,33,9,755,32,75,39,52,44,30,15,28,7,324,68,128,117,73,94,40,55,78,8,660,19,56,37,21,33,29,4,4,3,210,35,58,59,17,48,22,11,34,10,290
50501,226,650,126,51,56,42,30,46,14,1244,311,728,177,47,87,45,48,50,11,1500,1807,2219,4391,269,425,213,613,528,125,10590,595,199,2375,116,137,81,258,351,64,4171,117,111,178,15,35,26,50,82,11,631,246,836,98,277,47,31,33,52,20,1648,208,828,45,87,32,20,43,24,10,1284,1839,1707,302,241,600,398,187,188,52,5526,321,639,152,545,161,97,94,84,23,2116,109,288,148,75,53,78,56,73,3,893,163,29,335,61,42,43,90,68,6,845,0,0,0,0,0,4,3,7,0,21,76,86,87,50,31,19,30,27,16,422,94,72,229,62,43,34,60,99,129,830,6112,8396,8645,1888,1761,1140,1604,1685,480,31723,108,521,130,78,148,57,12,19,12,1089,50,130,22,21,78,12,3,17,4,341,69,226,102,48,77,29,24,31,5,606,46,120,60,30,62,33,0,7,0,352,53,114,46,27,39,22,8,22,5,326
