SA4_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
501,63,4893,297,5256,682,11764,742,13184,260,5024,307,5592,147,3716,305,4170,228,8537,983,9749,225,10208,1111,11545,338,10972,1207,12512,580,11036,892,12506,810,9979,719,11501,864,4416,374,5652,576,856,164,1602,4771,81396,7099,93269,55,4658,268,4976,329,11204,735,12274,137,4928,304,5373,108,3428,242,3777,221,9351,636,10211,258,11534,699,12489,389,11906,739,13035,602,12073,695,13371,808,10165,617,11586,1039,4544,417,5999,1168,981,234,2381,5113,84777,5588,95483,117,9550,564,10232,1013,22968,1476,25456,398,9952,615,10963,257,7144,549,7948,452,17893,1622,19963,478,21751,1807,24032,726,22878,1940,25548,1175,23109,1591,25879,1618,20136,1338,23091,1905,8957,788,11650,1745,1837,399,3986,9884,166175,12682,188747
502,57,2637,175,2866,407,5841,353,6601,156,2700,152,3015,100,2329,188,2623,154,4587,435,5171,164,4961,528,5653,228,5541,547,6312,385,5936,444,6760,611,6174,388,7166,732,3506,265,4504,443,736,125,1301,3444,44945,3592,51979,33,2650,121,2800,198,5973,389,6562,86,2719,165,2971,63,2461,161,2686,137,5252,321,5715,173,5743,336,6255,289,6198,352,6833,433,6791,344,7565,651,6770,315,7731,788,3648,313,4746,772,784,236,1794,3616,48985,3055,55660,91,5283,295,5672,610,11811,737,13159,242,5418,323,5986,166,4783,352,5306,286,9840,761,10886,340,10706,860,11904,513,11741,896,13147,813,12726,791,14327,1260,12948,694,14903,1521,7147,574,9248,1216,1518,366,3095,7062,93925,6648,107641
503,34,4053,146,4233,276,9272,282,9836,77,4787,163,5030,71,5878,387,6339,157,14149,1250,15555,145,12237,852,13230,188,10722,659,11574,243,9293,585,10124,407,7145,462,8013,598,3566,281,4440,658,840,146,1644,2858,81952,5213,90025,28,3771,133,3930,141,8980,285,9407,77,4882,189,5143,96,6437,394,6927,159,14592,923,15671,129,12268,582,12980,190,11153,436,11778,312,9586,420,10317,436,7548,422,8401,856,3796,274,4927,1479,1053,237,2769,3888,84052,4301,92241,62,7820,278,8158,416,18250,572,19246,157,9671,350,10172,173,12313,781,13265,315,28746,2172,31226,270,24500,1435,26204,377,21875,1101,23348,557,18880,1006,20445,839,14691,886,16415,1449,7360,548,9364,2129,1900,387,4406,6743,166007,9519,182267
504,179,8834,402,9414,973,16513,888,18377,354,7533,368,8253,214,7756,609,8574,381,18095,1873,20355,350,18357,1785,20498,503,15990,1427,17925,705,14113,1034,15859,863,9951,535,11344,1024,4397,346,5771,708,834,185,1725,6266,122367,9470,138101,94,8268,380,8738,436,15792,759,16983,216,7034,319,7566,159,7442,389,7993,324,19461,1105,20893,388,18907,946,20243,539,17023,804,18368,837,14838,603,16277,1025,10674,477,12181,1495,4616,358,6469,1503,959,297,2763,7015,125029,6433,138478,267,17099,784,18158,1406,32303,1649,35364,570,14567,687,15820,373,15196,1000,16571,707,37555,2977,41245,737,37273,2732,40744,1044,33016,2231,36289,1542,28952,1644,32139,1888,20625,1012,23530,2525,9019,701,12238,2215,1797,481,4488,13284,247390,15905,276573
505,282,17352,710,18341,1786,35705,1491,38981,612,16547,619,17773,453,16255,872,17578,630,35389,2404,38421,555,38138,2395,41088,790,35245,2081,38118,1106,29151,1541,31802,1670,21612,937,24220,2013,9951,607,12573,1707,2124,329,4162,11604,257468,13993,283068,158,16648,654,17456,864,34484,1423,36779,407,15656,600,16665,276,15969,679,16927,542,38542,1901,40983,667,40697,1668,43031,986,37065,1328,39387,1458,31394,1127,33981,2012,24163,998,27168,3151,11195,746,15091,3579,2664,515,6762,14105,268486,11645,294235,440,33997,1364,35798,2654,70193,2920,75758,1019,32205,1216,34435,732,32227,1550,34506,1172,73924,4307,79404,1223,78831,4065,84122,1776,72312,3415,77506,2563,60545,2671,65784,3678,45783,1931,51388,5168,21148,1353,27668,5289,4790,842,10928,25711,525954,25636,577297
506,232,16325,806,17366,1709,32363,1615,35682,576,14309,715,15601,426,16973,1192,18590,602,36501,3143,40243,624,36845,2839,40310,785,30029,2262,33073,1143,24837,1654,27636,1696,18671,937,21303,1940,8253,600,10792,1357,1762,421,3540,11099,236866,16177,264141,160,15632,765,16559,799,31182,1573,33560,332,13851,666,14847,300,16242,866,17408,590,37723,2265,40585,702,37468,1909,40074,930,30093,1424,32455,1440,26020,1179,28644,1917,20351,888,23153,2689,8930,817,12428,2729,2158,727,5616,12587,239650,13081,265325,388,31963,1575,33926,2514,63543,3186,69242,909,28165,1381,30444,731,33211,2059,35999,1193,74225,5412,80825,1325,74307,4748,80385,1717,60123,3690,65525,2587,50856,2835,56276,3607,39025,1822,44457,4629,17185,1412,23222,4087,3922,1145,9154,23685,476522,29260,529466
507,234,13655,589,14476,1609,27143,1296,30049,525,12334,606,13464,328,12276,969,13576,528,26434,2554,29517,449,28177,2445,31073,693,26196,1927,28818,1004,22432,1411,24857,1411,16347,844,18600,1722,7742,570,10027,1352,1717,348,3417,9853,194443,13567,217864,127,12728,559,13415,812,26777,1230,28828,394,12081,517,12995,269,12502,629,13401,529,28757,1522,30801,564,30593,1333,32489,838,27926,1161,29928,1148,24244,959,26356,1540,18306,821,20661,2371,8306,655,11331,2759,2016,561,5338,11357,204228,9954,225539,357,26382,1145,27888,2420,53925,2531,58876,918,24413,1121,26454,596,24779,1605,26979,1058,55188,4074,60317,1013,58767,3781,63557,1535,54124,3090,58745,2155,46677,2377,51211,2947,34649,1665,39261,4091,16043,1223,21356,4118,3728,908,8752,21210,398679,23520,443407
509,45,3279,310,3633,416,7388,795,8603,142,3387,333,3866,102,2639,355,3099,170,5865,1005,7044,159,6403,1027,7586,262,7706,1066,9033,443,9181,1076,10696,650,8291,807,9744,758,3718,417,4891,471,801,143,1416,3627,58659,7331,69616,45,3108,293,3442,220,7260,741,8222,75,3100,275,3451,71,2299,237,2607,125,6049,600,6776,186,6848,672,7693,342,7974,795,9105,527,9192,791,10511,667,7658,683,9010,862,3563,416,4831,850,866,171,1888,3976,57922,5667,67561,83,6390,599,7079,644,14645,1539,16828,222,6488,611,7320,175,4941,597,5712,302,11921,1604,13823,345,13239,1697,15284,601,15675,1860,18137,973,18370,1870,21212,1318,15958,1488,18757,1616,7276,829,9724,1327,1671,310,3308,7603,116576,12994,137175
510,31,3217,488,3738,206,5835,1040,7085,60,2058,404,2526,40,2109,585,2731,62,6733,1922,8719,52,6824,1801,8683,97,5375,1463,6944,125,3990,1074,5191,145,1435,347,1923,116,303,86,508,35,38,14,91,966,37921,9233,48124,18,3001,390,3408,112,5647,1045,6805,24,1966,313,2308,19,2085,439,2534,50,6920,1391,8365,78,6112,1095,7284,112,4419,844,5377,152,3079,605,3837,170,1125,227,1524,124,243,76,448,61,20,29,113,926,34620,6456,41999,51,6222,873,7142,313,11486,2088,13889,81,4030,716,4829,56,4187,1023,5265,116,13653,3315,17080,133,12932,2899,15963,215,9794,2314,12321,281,7070,1681,9031,314,2554,566,3443,237,552,164,949,97,58,48,204,1894,72541,15688,90128
511,55,3305,414,3775,350,6739,1019,8109,109,2919,410,3438,79,2822,610,3514,114,6655,1503,8276,125,6492,1358,7976,173,7025,1301,8504,289,7055,1108,8448,451,4899,645,5993,455,2015,341,2813,275,376,83,734,2471,50308,8800,61579,22,3191,418,3628,180,6530,922,7631,63,2692,364,3120,48,2701,407,3161,105,6659,918,7681,126,6518,961,7608,221,6734,803,7762,335,6394,754,7475,436,4410,523,5369,528,1924,272,2732,497,389,129,1015,2563,48145,6470,57177,73,6494,832,7403,530,13268,1941,15741,175,5612,768,6553,128,5526,1011,6674,219,13311,2420,15956,250,13011,2317,15584,392,13760,2107,16262,623,13448,1860,15931,884,9306,1171,11367,983,3942,618,5542,772,772,213,1749,5036,98450,15273,118758
597,0,0,0,0,0,0,0,0,0,3,3,7,0,12,13,25,0,55,43,99,0,93,68,157,0,57,43,103,0,33,24,55,0,5,4,14,0,0,0,0,0,0,0,0,0,260,196,455,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,11,0,8,3,14,0,4,5,11,0,5,8,9,0,5,0,3,0,5,0,4,0,0,0,0,0,0,0,0,0,38,25,58,0,0,0,0,0,0,0,0,0,6,5,6,0,17,15,31,0,65,47,116,0,96,77,170,0,61,50,109,0,34,26,62,0,13,3,18,0,0,0,0,0,0,0,0,0,297,218,514
599,6,113,38,149,10,181,51,244,9,69,40,118,12,160,124,295,11,424,385,822,16,385,528,926,16,311,518,842,23,310,334,667,26,273,144,444,3,61,47,118,5,4,10,14,135,2288,2222,4639,0,108,39,153,6,182,46,230,5,85,58,147,4,147,104,256,9,426,256,692,17,319,274,613,20,225,224,468,18,303,152,477,13,216,86,316,4,21,16,38,5,0,12,16,107,2040,1277,3416,5,218,77,300,16,367,95,473,7,156,100,261,21,304,235,562,26,852,641,1512,38,704,805,1543,33,538,739,1313,40,612,484,1144,35,491,229,758,10,86,63,155,8,4,15,30,236,4327,3492,8055
