SA4_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
501,1068,38,8,0,4,1119,538,25,5,0,4,574,463,29,7,0,0,495,912,37,8,7,0,963,1357,69,7,5,0,1436,4389,175,16,12,4,4604,5413,113,13,12,0,5552,5602,95,13,3,7,5720,2050,36,3,5,0,2095,1476,32,4,3,0,1519,910,29,4,3,4,945,1347,51,7,3,3,1407,25524,720,86,52,39,26417
502,563,43,13,0,0,621,254,25,5,5,0,291,229,28,6,0,0,266,448,39,7,3,0,492,598,58,14,3,0,679,2264,128,30,0,0,2423,3023,78,18,4,0,3121,3529,59,19,0,0,3609,1267,23,10,0,5,1300,919,16,21,0,0,954,596,11,11,0,0,619,855,31,12,0,0,896,14544,539,165,19,5,15271
503,763,146,210,0,4,1118,172,29,70,0,0,275,126,36,77,0,0,238,183,52,150,0,0,391,253,102,240,0,0,599,660,280,792,0,0,1731,659,377,959,5,0,1996,1463,568,901,5,0,2934,1242,353,389,4,0,1987,2191,429,355,5,0,2983,4368,337,247,3,3,4959,775,159,188,0,0,1118,12866,2870,4572,18,13,20341
504,1710,152,22,0,0,1883,574,61,13,0,0,657,508,48,20,0,0,574,924,118,53,0,0,1100,1387,172,60,0,0,1625,5148,631,230,0,0,6009,8283,722,147,0,4,9152,11929,618,103,5,9,12659,5160,185,26,0,6,5383,3538,144,23,0,0,3701,2029,67,13,0,0,2116,2387,126,32,0,6,2554,43586,3048,747,15,36,47428
505,3466,473,61,8,0,4009,1078,157,24,0,0,1256,946,168,32,0,0,1148,1625,335,66,0,0,2039,2434,473,83,8,0,2995,8490,1933,341,3,3,10766,12972,2484,325,5,3,15792,20665,2511,226,0,8,23414,10427,930,82,0,0,11445,8455,699,62,0,0,9212,5793,368,46,0,0,6212,4642,572,66,0,0,5288,80998,11113,1413,19,24,93573
506,2957,282,78,0,4,3326,997,107,25,0,0,1127,930,92,43,0,0,1063,1694,221,63,8,0,1981,2483,324,105,0,0,2922,9382,1170,422,0,12,10989,13590,1259,456,7,10,15321,17977,1124,389,6,10,19512,7866,409,140,0,7,8420,5750,329,126,4,0,6212,3942,232,82,3,7,4261,3915,270,116,4,4,4309,71471,5819,2060,43,52,79440
507,2474,242,75,0,3,2797,875,73,27,0,0,978,815,81,43,0,0,935,1398,151,60,5,0,1612,2026,213,148,0,0,2391,7808,772,408,6,0,8995,11708,933,380,3,5,13034,16113,980,304,4,20,17419,7170,427,130,0,0,7725,5766,366,112,0,5,6243,4179,251,100,0,3,4534,3482,257,98,3,4,3846,63814,4733,1878,20,47,70500
509,1042,11,0,3,7,1067,525,3,0,3,0,535,521,9,0,0,4,539,931,11,0,5,4,955,1087,13,3,5,8,1111,2820,40,3,10,9,2878,2620,25,6,3,7,2657,2466,26,0,3,9,2502,976,14,0,5,3,998,682,14,0,0,0,696,439,8,0,0,4,453,890,13,0,3,6,903,14997,185,19,43,52,15294
510,121,8,7,5,4,139,44,7,0,0,0,54,39,15,0,0,0,53,122,25,0,5,0,151,158,24,8,8,0,195,478,64,8,8,0,557,570,44,4,3,0,628,810,59,5,18,6,899,455,23,0,9,0,488,470,12,0,6,0,490,345,7,0,12,6,381,222,10,3,12,3,248,3841,313,41,71,25,4292
511,540,23,0,10,9,580,289,8,0,5,0,306,274,19,4,5,0,293,628,39,6,6,0,679,809,56,3,3,0,875,2365,125,11,10,0,2522,2344,83,5,9,4,2445,2464,82,0,13,0,2567,882,13,0,3,0,904,694,18,0,3,3,719,403,15,0,7,7,436,729,19,4,7,0,761,12420,499,32,88,33,13082
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
