SA4_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
501,72330,74951,147279,3954,4269,8221,215,224,435,232,241,471,216,219,437,74,74,144,7321,8087,15407,65,72,136,73,86,160,10,8,22,9,0,11,8216,9016,17229,492,472,965,260,212,470,12917,13966,26879,7046,5613,12653,92290,94522,186810
502,40538,43879,84415,1503,1701,3200,173,158,333,123,142,260,165,197,363,42,53,93,4757,5386,10145,28,42,73,45,45,86,12,14,22,9,4,10,5359,6033,11392,250,280,528,146,166,313,7260,8181,15442,3644,3087,6733,51443,55153,106593
503,67674,69844,137514,2820,2987,5805,580,581,1155,661,704,1369,452,433,886,138,124,266,9894,10629,20526,48,52,95,77,77,156,71,67,136,4,0,4,11920,12674,24592,1557,1619,3171,212,191,404,16501,17474,33975,4985,4110,9097,89162,91425,180589
504,110834,113309,224142,2476,2671,5151,291,288,579,342,334,680,287,294,574,98,84,179,11855,12574,24432,44,51,98,81,61,146,23,33,57,0,3,3,13030,13726,26753,769,805,1577,348,281,624,16626,17480,34104,8868,5941,14809,136325,136730,273053
505,231643,242797,474441,5394,5921,11313,744,837,1581,874,875,1753,614,706,1316,165,149,318,24226,25935,50161,104,91,192,148,151,300,71,63,136,15,11,26,26951,28829,55779,1989,2086,4069,626,531,1158,34960,37364,72325,12902,10743,23643,279498,290905,570407
506,210436,214374,424808,5681,5800,11473,753,618,1368,867,778,1644,572,529,1099,237,233,473,24035,24604,48642,98,113,214,165,164,332,76,94,163,11,23,37,26811,27157,53965,2077,2144,4220,671,590,1264,35238,35690,70929,15154,12091,27246,260826,262160,522984
507,173386,181998,355383,4824,5336,10165,845,804,1650,875,831,1707,566,613,1176,216,217,430,19263,21439,40707,104,130,234,170,175,343,85,72,157,3,5,9,22136,24280,46414,1545,1592,3138,549,544,1092,29046,31763,60806,12720,9219,21935,215154,222976,438124
509,52902,52303,105202,2613,2769,5379,112,103,210,114,121,235,154,152,303,65,68,124,4843,5059,9904,34,29,63,45,35,82,3,7,12,4,0,4,5368,5568,10938,341,249,596,125,124,257,8459,8714,17164,7592,5916,13511,68950,66934,135885
510,29752,26611,56362,3096,3311,6402,275,241,514,269,277,546,482,445,926,110,92,201,3771,3654,7428,34,36,72,167,160,326,11,12,23,3,0,8,5130,4920,10051,276,252,523,167,130,295,8667,8607,17276,9044,6150,15194,47461,41372,88836
511,43041,41333,84380,2746,2729,5476,221,184,401,202,201,406,305,267,566,125,103,225,4688,4662,9344,43,38,80,91,101,190,13,8,21,4,3,11,5690,5556,11253,357,299,656,194,149,346,8989,8741,17733,8806,6466,15271,60844,56537,117382
597,200,24,229,0,0,0,7,0,3,0,0,0,6,3,10,0,0,0,31,4,39,0,0,0,3,0,3,0,0,0,0,0,0,46,9,55,10,0,14,0,0,0,55,10,71,200,19,216,455,58,514
599,650,443,1089,269,221,487,144,127,273,133,121,259,180,191,365,40,42,86,775,793,1565,27,17,42,30,25,58,3,12,8,0,0,0,1335,1324,2661,99,96,192,43,20,61,1743,1662,3403,2228,1281,3513,4620,3386,8005
