SA4_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
501,701,22,3,28,720,118,0,842,6,0,0,7,14,0,0,0,14,0,10,27,3832,508,185,91,4619,69,17,81,4696,263,22,4989,933,117,28,7,1085,8,6,13,1097,47,0,1144,1197,173,48,9,1428,10,6,16,1444,61,4,1502,37,3,16,0,56,0,0,0,58,0,0,63,13,0,0,14,24,0,0,0,24,6,3,33,2185,294,91,37,2597,16,11,30,2627,107,6,2741,23,4,0,0,25,5,0,5,31,0,0,35,24,0,0,0,31,0,0,7,33,7,0,32,48,8,0,0,54,4,0,10,66,4,0,70,2227,302,93,35,2653,22,10,37,2692,110,6,2806,327,43,13,14,401,10,0,11,411,79,0,491,0,0,0,6,6,0,0,0,6,0,6,13,2558,344,104,56,3061,32,10,48,3104,187,13,3308,1150,124,43,8,1327,15,0,15,1347,64,0,1413,1392,203,70,10,1679,17,0,18,1700,50,6,1749
502,428,6,0,12,438,71,0,515,0,0,0,8,14,0,0,0,14,0,13,26,1743,224,98,59,2117,40,4,47,2167,151,17,2340,404,44,19,6,476,12,0,12,491,25,0,516,480,69,28,10,584,10,0,9,595,26,5,624,18,0,5,0,26,0,0,0,32,3,0,38,3,0,0,0,4,0,0,0,4,0,0,5,907,118,51,10,1096,21,0,21,1114,60,10,1182,12,0,4,3,19,8,0,6,23,0,0,25,17,0,3,4,19,3,0,3,26,0,0,26,30,0,4,4,41,10,0,8,47,0,0,50,938,121,58,20,1132,30,4,32,1164,58,10,1227,178,37,17,12,245,14,0,13,257,59,0,312,0,0,0,0,3,0,0,0,3,0,10,11,1113,166,74,30,1378,39,5,47,1424,116,20,1561,559,55,17,6,640,9,0,8,653,39,0,692,585,73,28,11,688,11,3,12,703,43,0,742
503,797,0,0,9,800,58,0,859,6,0,0,5,13,0,0,0,13,0,12,26,3943,435,49,21,4442,55,17,73,4511,160,25,4701,888,110,14,0,1019,14,7,26,1038,53,3,1093,1101,135,14,0,1258,10,8,20,1274,17,0,1285,18,3,0,0,20,0,0,0,20,0,0,20,12,0,0,7,14,0,0,0,14,0,5,22,2019,248,29,11,2312,29,6,38,2353,63,8,2428,13,3,0,0,20,4,0,4,21,4,0,27,34,4,0,0,36,3,0,3,43,0,0,44,52,6,0,0,59,8,0,8,63,6,0,68,2070,254,30,11,2367,38,6,51,2411,70,8,2490,401,36,7,9,450,9,4,8,459,40,0,507,0,0,0,4,9,0,0,0,9,0,6,8,2467,295,38,23,2822,50,14,62,2882,114,14,3009,1240,145,17,5,1409,29,7,38,1443,77,0,1525,1385,179,13,7,1586,12,7,21,1608,59,0,1664
504,1215,35,11,50,1264,213,4,1478,15,3,0,15,31,0,0,0,31,4,23,58,5398,750,154,105,6406,120,31,154,6556,430,42,7025,1313,151,39,4,1511,24,3,35,1539,72,10,1617,1454,212,46,9,1719,13,5,16,1736,57,0,1788,33,8,10,0,51,0,0,0,51,4,0,51,11,5,0,18,31,0,0,0,31,5,0,31,2814,373,88,37,3305,36,7,47,3348,133,8,3494,26,0,0,0,28,3,0,3,32,0,0,38,50,12,0,0,58,0,0,0,59,0,0,65,76,17,0,0,89,5,0,5,97,5,0,106,2885,387,89,39,3396,44,7,54,3448,137,9,3594,562,110,29,20,720,20,4,22,747,143,3,889,0,0,0,12,10,0,0,0,10,0,12,26,3454,494,117,67,4133,61,14,80,4207,280,26,4509,1690,214,59,8,1963,30,11,39,2012,98,0,2111,1758,253,40,8,2063,35,10,43,2112,77,4,2193
505,2470,57,19,81,2544,407,11,2965,23,0,0,14,34,0,0,0,32,0,45,85,12861,1567,320,223,14966,227,49,274,15241,830,90,16160,3031,371,58,9,3472,42,7,50,3519,129,5,3653,3845,482,80,29,4436,44,3,49,4481,128,8,4608,108,20,19,0,148,0,0,0,148,12,0,158,27,3,6,38,66,0,0,0,71,0,12,82,7013,874,159,75,8122,81,13,96,8220,270,21,8509,46,13,0,0,63,6,0,6,68,10,3,81,139,13,3,5,169,7,3,12,178,19,0,199,187,34,4,5,230,15,3,19,247,28,3,277,7199,907,162,79,8350,98,14,114,8464,297,23,8784,1157,189,30,31,1408,38,16,60,1464,277,4,1747,11,0,0,10,24,3,0,3,21,0,38,59,8368,1095,196,120,9773,143,32,179,9949,574,68,10598,4144,473,83,16,4711,79,12,96,4803,176,9,4990,4643,593,101,40,5370,56,17,66,5437,187,5,5629
506,2980,90,26,120,3100,458,9,3569,16,3,0,24,46,0,0,0,46,5,47,95,11120,1565,316,193,13194,253,74,331,13525,847,84,14457,2383,289,50,11,2731,53,8,67,2793,162,6,2967,2821,378,75,19,3289,37,11,45,3340,115,4,3459,89,17,25,3,135,3,0,3,136,3,0,141,25,7,4,34,68,3,0,0,74,0,9,88,5318,689,149,69,6224,95,20,116,6346,286,21,6647,61,16,3,0,83,15,0,14,98,9,0,108,130,24,3,0,167,10,6,13,179,11,0,195,194,39,6,8,252,27,5,30,279,24,0,305,5518,728,159,71,6475,125,29,148,6625,308,19,6949,1398,230,37,28,1702,62,18,80,1779,320,5,2101,5,0,0,20,25,0,0,0,26,4,24,53,6921,959,200,122,8204,186,38,231,8431,630,49,9107,3175,375,52,28,3624,56,18,74,3700,219,6,3924,3375,482,77,28,3954,54,15,64,4020,156,8,4189
507,2006,60,6,69,2067,246,0,2319,9,0,0,10,21,0,0,0,21,0,27,55,9708,968,291,161,11126,196,32,230,11355,574,60,11987,2287,237,51,18,2587,24,8,39,2623,107,7,2733,2684,296,70,26,3072,38,8,43,3121,102,4,3233,73,7,12,0,90,4,0,4,95,6,0,104,21,3,0,19,41,0,0,0,47,3,6,54,5059,547,128,67,5801,72,14,87,5890,217,14,6122,51,5,4,3,61,3,0,3,65,5,0,67,111,8,6,9,128,12,3,9,141,10,0,148,155,17,6,5,189,14,3,16,209,9,0,216,5217,562,135,70,5989,88,18,103,6096,227,14,6339,952,140,49,27,1169,25,5,33,1196,164,5,1374,9,0,0,4,15,0,0,0,15,0,22,37,6176,705,195,109,7172,115,20,133,7310,394,40,7746,2983,289,71,14,3358,37,10,52,3410,141,9,3561,3193,362,92,18,3673,46,14,58,3735,138,9,3881
509,449,19,0,20,468,88,5,563,9,3,0,0,11,0,0,0,9,0,7,22,2471,350,81,48,2953,39,11,55,3000,217,19,3235,550,69,19,3,641,5,4,6,648,42,3,692,644,99,19,9,767,13,7,19,784,40,0,821,27,0,4,0,33,0,0,0,33,3,0,38,7,0,0,12,18,0,0,0,18,0,0,18,1226,169,41,20,1460,19,7,23,1485,80,4,1567,10,4,0,0,7,0,0,0,13,0,0,13,12,6,0,3,18,3,0,4,23,0,0,26,18,6,0,3,31,9,0,6,31,0,0,35,1245,171,41,25,1484,21,10,30,1516,80,4,1603,213,40,8,13,272,12,0,12,281,84,3,367,0,0,0,0,0,0,0,0,6,3,11,17,1461,212,48,39,1762,27,7,41,1799,169,10,1984,639,71,17,8,736,4,0,9,743,43,0,786,612,118,28,3,760,12,7,25,781,39,0,822
510,304,19,9,24,330,193,0,520,3,0,0,0,6,0,0,0,6,0,13,21,1687,186,115,42,2035,49,14,65,2101,273,19,2387,460,34,18,0,519,8,0,8,522,22,0,543,298,41,10,7,362,4,0,4,361,15,0,375,8,5,8,0,19,0,0,0,19,0,0,20,0,0,0,9,11,0,0,0,11,3,0,9,767,81,40,17,904,9,0,9,913,39,0,953,12,0,0,0,10,8,0,8,20,6,0,24,3,0,0,0,8,3,0,3,13,12,0,26,13,0,0,0,21,10,0,11,36,14,0,51,783,88,38,20,924,23,0,25,946,55,0,1007,112,16,7,9,145,7,7,11,156,120,3,279,5,0,0,0,5,0,0,0,5,0,14,21,897,103,50,29,1076,25,9,35,1108,178,15,1303,477,24,15,3,528,5,0,3,528,24,0,552,246,40,10,6,294,4,0,4,295,7,0,302
511,372,22,7,30,406,108,0,516,3,0,0,0,3,0,0,0,3,0,15,15,2050,231,72,52,2405,47,16,62,2472,205,14,2689,579,55,15,7,658,13,0,13,667,30,0,701,487,90,24,3,604,0,3,3,609,27,0,633,25,3,5,0,32,0,0,0,32,0,0,33,3,0,0,4,7,0,0,0,7,4,0,13,1093,144,44,18,1300,13,0,14,1311,60,8,1378,5,0,0,0,5,5,0,4,3,6,0,10,15,0,0,0,19,0,0,0,20,0,0,18,17,0,0,0,20,3,0,3,25,7,0,26,1112,147,44,18,1320,16,5,17,1337,66,8,1405,161,17,6,3,192,11,3,16,206,92,0,297,0,0,0,0,0,0,0,0,0,0,9,16,1276,163,56,20,1517,28,9,34,1549,155,17,1720,660,61,20,8,748,5,5,7,754,25,0,784,497,73,31,7,613,0,0,0,615,34,0,647
