SA4_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
501,133,0,0,0,130,10,0,142,5360,709,180,50,6299,67,20,84,6389,305,5,6696,10514,1325,476,103,12414,86,30,111,12528,395,13,12937,775,122,191,18,1107,8,0,8,1112,24,0,1140,92,5,4,121,223,0,0,0,224,17,17,262,16735,2169,857,294,20048,163,51,213,20261,742,38,21040,87,16,3,0,105,31,0,31,140,16,0,150,288,27,20,3,335,28,8,31,372,15,0,387,375,39,21,8,441,58,8,63,505,33,0,538,17102,2208,879,300,20489,217,59,277,20768,774,38,21582,4468,571,273,171,5475,133,25,161,5640,637,9,6289,23,7,0,39,61,0,0,0,68,0,79,143,21593,2784,1147,505,26030,354,84,438,26471,1412,125,28005
502,195,8,0,9,203,14,0,226,2672,306,116,26,3127,45,12,55,3179,191,5,3376,4333,542,196,66,5135,70,14,82,5220,197,11,5432,388,58,93,11,547,11,0,11,562,29,0,586,33,0,4,48,86,0,5,3,97,18,11,122,7434,906,410,144,8893,127,34,158,9047,441,27,9516,67,15,6,7,103,22,3,28,127,11,0,140,166,14,9,16,206,12,3,20,226,0,0,227,235,28,14,21,309,41,6,48,350,13,0,368,7670,938,426,170,9197,166,40,201,9407,453,27,9885,2424,377,192,118,3116,74,22,95,3206,449,12,3665,20,3,5,20,50,0,0,0,50,0,62,109,10113,1315,620,306,12363,241,58,301,12661,903,99,13657
503,980,16,11,24,1003,99,0,1107,7199,916,97,10,8227,141,42,184,8417,463,11,8885,10579,1346,149,37,12112,98,30,123,12236,243,7,12494,930,128,108,3,1162,6,0,6,1171,32,4,1209,82,6,0,53,145,6,0,6,153,3,18,172,18784,2400,357,111,21653,253,74,321,21979,744,43,22759,169,18,7,0,197,21,3,28,218,10,0,236,415,21,3,0,440,21,4,21,463,22,0,487,584,43,9,0,640,44,3,45,682,33,0,721,19368,2444,363,110,22286,290,80,371,22657,781,43,23480,4775,506,82,43,5405,58,24,79,5483,465,5,5947,22,6,0,23,56,0,0,0,56,4,52,113,24168,2957,451,179,27751,348,102,447,28199,1241,98,29543
504,997,25,4,29,1034,136,0,1170,10415,1328,268,52,12057,180,59,239,12305,600,35,12932,15285,1980,370,111,17749,199,47,247,17996,534,32,18565,1595,226,207,10,2037,17,0,17,2054,45,3,2101,120,19,5,171,317,6,0,6,322,23,20,363,27410,3561,850,342,32169,400,107,509,32674,1200,86,33966,279,45,4,6,328,33,8,40,369,32,0,402,634,117,33,6,791,40,14,56,844,44,6,896,918,162,30,14,1119,74,22,96,1215,79,8,1301,28327,3729,882,356,33291,474,129,603,33889,1279,92,35263,8054,1301,365,296,10014,255,65,328,10336,1293,42,11667,70,22,0,119,205,0,0,0,209,6,124,342,36449,5053,1251,760,43510,727,196,923,44434,2581,262,47274
505,2913,53,18,67,2979,327,6,3309,23427,2925,506,113,26972,354,83,434,27404,1142,37,28588,38034,4553,891,253,43730,380,76,453,44189,1089,63,45334,3582,388,535,51,4552,49,14,63,4610,121,8,4741,340,41,10,405,794,8,3,12,815,25,72,910,65379,7909,1941,823,76053,790,172,958,77010,2378,185,79569,532,124,11,13,688,75,3,77,764,78,4,842,1569,214,44,51,1875,78,32,109,1980,118,19,2122,2097,341,54,63,2559,150,36,187,2750,196,20,2963,67482,8247,1999,884,78606,940,206,1148,79757,2576,200,82529,15818,2586,638,428,19476,474,155,628,20105,2603,72,22779,143,20,3,114,276,5,0,5,284,26,266,574,83447,10855,2633,1424,98359,1415,367,1783,100142,5200,542,105886
506,2394,55,27,77,2472,308,17,2797,20202,2530,390,132,23251,351,117,469,23721,1231,33,24982,28636,4039,665,248,33585,381,110,494,34072,986,71,35132,2664,428,439,25,3552,32,12,43,3597,99,20,3709,312,42,11,309,672,16,0,13,691,28,53,768,51808,7041,1501,708,61066,778,239,1016,62081,2342,172,64591,703,159,12,14,886,93,17,110,1000,87,0,1094,1523,290,43,25,1879,105,37,138,2016,94,12,2117,2225,448,53,40,2763,197,51,246,3011,179,11,3203,54037,7487,1556,748,63824,976,293,1267,65097,2521,184,67797,18671,3202,663,506,23046,711,187,899,23943,2992,85,27023,120,24,0,195,339,3,0,3,345,24,279,651,72833,10719,2217,1454,87214,1688,479,2170,89383,5540,545,95468
507,1886,45,5,51,1932,188,3,2127,17036,1892,374,115,19415,230,80,309,19726,948,30,20705,27183,2924,705,210,31024,316,75,384,31403,898,40,32347,2640,323,388,31,3381,27,13,34,3416,110,12,3544,224,15,4,208,452,13,0,13,462,12,46,518,47083,5160,1478,556,54273,578,163,739,55011,1973,128,57112,432,54,22,10,513,70,4,79,593,58,0,653,1207,129,51,36,1426,84,15,102,1529,61,3,1594,1635,182,81,42,1947,153,22,181,2125,120,3,2247,48719,5335,1560,602,56216,733,190,922,57135,2096,136,59361,13026,1494,655,374,15549,366,57,424,15974,1540,54,17568,78,10,0,53,141,3,0,3,143,8,165,320,61824,6845,2212,1032,71902,1106,244,1349,73252,3642,354,77246
509,56,3,0,3,56,9,0,64,3638,437,85,36,4200,28,9,40,4240,271,11,4525,6400,869,176,74,7519,80,30,108,7626,262,7,7897,547,68,97,8,716,0,0,0,722,23,0,742,81,3,7,107,194,7,0,7,198,15,4,215,10663,1378,358,224,12626,111,41,152,12784,576,27,13380,52,9,3,0,65,11,0,11,76,0,0,77,122,18,9,3,144,15,5,19,168,12,0,176,175,20,7,3,208,22,5,34,244,13,0,257,10842,1403,366,225,12840,135,47,188,13022,594,27,13638,2964,431,139,118,3658,108,19,124,3780,513,13,4302,23,12,6,10,51,0,7,7,55,7,60,116,13830,1842,512,359,16547,245,68,307,16857,1110,95,18060
510,10,0,0,0,10,0,0,13,3669,304,134,40,4143,50,13,61,4203,218,4,4434,3733,430,204,71,4437,29,3,36,4469,130,13,4610,525,53,142,8,723,3,0,3,727,24,0,757,60,4,0,91,145,0,0,0,151,24,3,181,7976,788,480,205,9453,78,15,98,9551,402,30,9979,82,0,0,3,95,65,0,65,159,20,0,177,95,15,17,5,131,17,23,32,168,18,0,187,181,19,19,12,220,82,23,100,325,37,0,362,8154,803,498,214,9674,158,41,203,9873,438,30,10342,2005,274,190,99,2572,149,39,187,2756,1050,12,3822,32,4,0,14,49,0,0,0,49,10,125,190,10196,1086,685,331,12294,309,77,387,12678,1497,168,14352
511,42,0,0,0,41,5,0,50,3727,351,94,40,4207,47,19,61,4272,205,0,4477,5230,609,211,55,6108,42,14,52,6162,195,9,6360,490,64,101,20,671,4,0,4,676,29,0,704,66,4,0,60,137,9,0,9,140,9,7,165,9513,1031,408,176,11124,94,33,128,11253,440,20,11708,33,9,5,5,49,11,0,16,64,16,0,78,126,24,5,6,160,17,8,23,188,4,9,191,158,28,6,11,208,33,12,36,243,19,9,269,9673,1061,418,184,11336,127,42,166,11501,460,23,11981,2620,287,149,96,3152,131,37,164,3316,670,16,3998,30,0,0,12,43,0,0,0,43,5,74,127,12323,1343,570,293,14528,251,75,328,14860,1134,112,16101
