SA4_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
501,8,0,5,8,5,4,9,20,69,3,94,0,7,0,7,0,3,3,5,30,0,38,0,25,4,29,11,14,18,47,51,0,100,7,50,0,56,12,21,32,82,115,0,205,5,92,7,105,23,9,32,138,228,0,368,35,204,21,257,26,48,68,324,339,0,662,78,344,28,449,15,13,33,479,291,0,776,179,328,23,532,21,10,27,558,326,0,891,273,344,35,653,11,12,17,670,280,0,950,254,215,15,488,6,12,16,504,208,0,714,223,141,21,382,5,6,7,386,92,0,476,207,71,9,287,5,0,9,295,70,0,369,367,83,31,485,3,0,11,495,107,0,603,125,56,19,196,0,0,3,198,45,0,242,96,28,8,128,6,0,8,128,16,0,150,31,9,3,43,0,0,0,44,9,0,54,70,22,9,96,0,0,0,100,21,0,125,266,163,35,456,19,6,27,481,196,10,689,7,6
502,0,0,0,8,3,10,13,18,66,0,84,5,6,0,8,9,0,4,12,18,0,35,0,16,0,16,5,8,16,35,37,0,65,3,25,0,30,12,21,32,62,75,0,137,5,48,0,57,24,21,41,93,145,0,248,14,147,16,175,25,48,71,249,283,0,537,44,196,16,254,17,26,40,295,218,0,511,73,199,12,281,9,23,29,310,263,0,578,137,175,11,323,9,6,23,340,212,5,560,166,110,9,283,8,4,10,299,161,3,452,131,75,6,217,6,4,9,217,68,0,293,116,40,12,167,0,0,4,175,77,0,250,214,59,33,303,6,0,6,307,73,0,378,98,34,3,137,3,0,8,140,44,0,184,77,11,5,89,0,0,0,89,19,0,109,25,10,0,33,4,0,3,39,4,0,43,67,19,8,92,5,3,4,96,21,0,116,118,92,18,231,11,9,21,253,148,7,409,3,4
503,6,7,0,9,5,10,17,26,111,0,135,4,5,0,8,3,0,3,13,25,0,41,0,15,0,15,8,3,13,22,30,0,56,0,13,0,13,11,3,16,29,53,0,89,8,34,0,46,5,10,18,62,62,0,124,5,79,9,93,3,10,17,111,82,0,194,23,84,12,118,6,16,18,134,98,0,233,45,131,14,191,4,5,12,207,133,0,337,103,147,13,264,6,3,13,278,127,0,408,112,132,8,257,0,8,8,263,106,0,371,157,102,8,270,4,0,6,276,83,0,355,183,70,8,263,4,0,7,273,70,0,339,348,135,15,498,4,0,11,504,93,0,605,124,44,7,173,0,4,6,177,61,0,241,155,42,11,200,0,0,0,201,28,0,235,41,20,0,62,0,0,0,67,26,0,86,454,96,12,561,12,0,12,570,69,5,639,177,73,12,266,7,0,10,275,112,7,398,4,3
504,4,10,4,23,17,12,25,49,177,8,227,0,11,0,7,3,8,11,25,54,0,72,9,32,6,37,18,10,28,68,99,0,171,5,56,9,63,25,25,50,118,160,3,276,8,81,5,99,23,33,51,154,302,0,456,42,235,24,308,49,57,106,412,403,4,825,99,342,25,476,27,41,70,547,421,0,969,233,387,32,649,16,31,43,694,519,3,1216,395,414,43,851,20,22,44,898,402,5,1304,465,330,40,833,16,7,28,863,334,3,1203,438,169,29,632,12,9,24,653,209,0,869,437,140,29,604,7,6,14,613,157,0,772,801,227,44,1070,13,5,22,1095,205,0,1305,354,106,20,479,8,3,14,491,118,0,612,246,53,13,314,7,9,14,330,50,0,375,100,21,7,119,0,0,0,127,28,0,152,211,35,8,260,0,4,4,261,48,0,304,344,175,48,563,19,14,33,597,265,21,886,12,10
505,10,6,7,20,21,32,55,74,295,3,375,3,31,4,34,11,12,15,52,77,0,130,7,63,6,72,21,26,53,128,145,0,273,12,132,13,149,40,42,79,232,298,3,537,22,204,15,242,46,73,121,356,560,5,929,62,483,45,592,75,121,199,789,785,4,1578,155,709,52,916,48,60,108,1023,727,6,1760,415,777,60,1250,52,55,98,1354,922,5,2282,757,828,61,1643,40,29,69,1710,864,6,2578,885,697,57,1633,33,32,58,1694,578,0,2281,874,432,48,1351,30,16,42,1392,459,0,1850,854,317,52,1220,13,11,21,1243,322,7,1565,1582,530,79,2192,26,18,46,2240,454,10,2693,648,191,51,890,14,15,27,918,231,0,1148,539,133,36,704,5,4,8,714,80,0,796,218,39,11,264,0,0,3,273,68,0,338,601,113,27,738,15,3,18,754,122,3,874,761,417,72,1254,34,36,65,1323,502,37,1862,31,23
506,11,9,13,26,21,21,46,74,346,3,417,5,20,3,25,7,7,12,41,72,0,109,0,55,8,59,24,24,52,112,172,0,281,21,106,12,131,54,53,108,240,287,8,530,21,168,14,203,49,65,118,325,569,3,891,52,391,35,484,77,101,172,656,776,6,1435,140,552,54,748,75,69,142,890,744,0,1637,381,595,55,1028,41,56,94,1123,862,0,1988,725,647,41,1407,38,41,82,1486,767,6,2258,773,538,50,1357,45,36,85,1443,566,8,2017,680,330,42,1054,24,16,37,1093,364,8,1466,635,251,34,920,19,13,32,952,302,0,1261,1226,362,59,1649,11,13,28,1679,442,4,2125,505,169,32,709,8,7,15,728,213,0,936,450,98,28,577,5,5,8,586,84,0,670,153,40,8,198,0,0,0,200,53,0,253,428,74,16,522,0,7,8,532,110,0,641,539,293,94,927,37,34,69,990,516,41,1553,16,8
507,10,13,3,28,21,17,40,62,244,3,315,3,27,4,33,6,5,18,50,65,0,118,8,52,9,67,31,19,51,113,149,4,267,12,83,10,98,29,42,71,167,269,3,446,12,164,15,195,39,58,97,292,478,10,776,46,393,41,483,62,101,161,644,755,4,1405,118,588,46,757,44,63,113,867,607,0,1475,330,639,51,1022,24,36,64,1085,777,12,1869,569,657,48,1267,38,25,58,1323,669,3,2005,641,495,52,1188,25,25,43,1236,485,3,1723,676,348,57,1077,14,24,41,1118,346,0,1468,637,236,31,903,8,16,25,926,230,0,1153,1139,337,63,1543,22,9,28,1573,355,4,1923,484,147,26,656,12,11,22,679,179,0,859,400,91,24,517,11,4,12,530,92,0,618,170,38,15,225,0,0,0,225,33,0,260,474,91,25,595,5,0,6,601,93,8,693,566,301,81,947,27,19,47,993,440,13,1454,19,11
509,4,3,0,11,3,5,5,17,38,4,58,0,10,0,9,0,5,3,16,15,0,30,3,9,0,16,6,3,15,31,36,0,69,4,23,0,25,9,11,19,47,74,0,121,3,59,8,76,18,17,35,105,179,6,286,15,138,15,172,16,33,48,219,217,5,440,49,170,14,236,21,6,27,260,201,8,470,85,159,25,271,15,3,18,283,248,7,541,168,144,18,331,3,8,14,349,195,5,544,168,125,11,303,4,0,10,315,119,0,432,130,70,8,209,3,4,7,215,87,0,295,96,50,14,155,4,6,8,164,59,0,226,171,66,10,247,0,0,4,254,67,3,315,67,28,4,102,0,0,0,104,33,0,138,56,10,4,75,0,0,0,76,13,0,80,22,0,0,20,0,0,0,20,4,0,27,40,8,10,56,0,0,0,53,18,3,76,138,117,22,271,0,6,7,281,145,12,434,6,0
510,0,0,4,6,5,4,5,7,38,0,51,0,0,0,0,0,0,0,3,22,0,23,0,11,3,19,6,7,14,32,122,0,159,0,14,6,16,13,12,17,40,140,4,184,10,17,0,30,0,7,9,37,166,0,204,10,35,5,51,14,5,21,73,131,0,199,18,53,7,77,4,10,12,88,142,4,228,41,47,3,89,3,7,17,102,113,3,221,72,45,9,126,10,3,11,137,89,0,231,89,33,11,133,3,8,8,141,68,0,212,138,25,5,167,0,0,4,169,27,0,195,105,22,9,139,0,4,4,137,32,0,174,202,41,15,257,0,3,3,254,26,0,288,55,13,3,70,0,0,0,70,12,0,90,84,14,12,108,0,0,0,108,9,0,119,31,4,5,35,0,0,0,35,0,0,37,73,11,7,92,0,0,0,94,16,0,111,93,31,20,143,0,8,6,150,102,14,266,5,6
511,3,0,0,0,3,4,9,15,60,0,73,0,7,0,8,0,0,5,14,21,0,35,3,12,0,17,9,3,14,34,76,0,108,0,27,3,34,14,17,27,64,88,5,156,3,53,7,64,13,21,34,99,157,0,262,17,102,9,127,12,20,38,162,189,0,352,45,137,11,193,12,17,23,216,164,0,382,97,119,12,232,8,6,13,246,208,0,452,141,116,11,278,10,5,7,286,151,0,438,153,72,11,230,4,11,14,246,86,0,334,145,57,9,212,3,6,9,220,60,0,283,148,39,13,195,0,0,3,199,40,0,238,241,40,15,302,3,0,4,302,79,0,383,97,29,12,135,0,0,0,138,46,0,182,77,17,3,101,0,0,0,101,19,0,117,48,5,0,54,6,0,6,56,3,0,57,89,7,7,99,0,0,0,104,20,0,119,151,65,13,232,12,6,14,248,151,12,409,6,3
