SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL50001,0,0,0,15,7,0,26,31,5,65
SAL50002,22,4,26,250,74,19,343,626,58,1026
SAL50003,0,0,0,13,8,0,26,41,9,76
SAL50004,0,0,0,8,0,0,13,19,0,33
SAL50005,0,0,0,9,8,0,13,14,0,33
SAL50006,33,7,40,130,95,13,234,941,79,1257
SAL50007,0,0,0,16,0,0,15,11,0,32
SAL50008,97,7,100,1203,504,45,1758,4323,214,6301
SAL50009,0,0,0,0,0,0,0,0,4,3
SAL50010,57,6,65,531,160,11,701,1500,74,2279
SAL50011,37,0,35,2395,473,97,2963,4162,365,7482
SAL50012,0,0,0,3,0,0,5,9,0,17
SAL50013,3,0,3,84,47,7,140,339,11,490
SAL50014,0,0,0,17,7,0,20,63,10,94
SAL50015,0,0,0,0,0,0,0,6,0,11
SAL50016,3,0,3,104,38,6,149,257,34,437
SAL50017,0,0,0,16,4,0,12,37,5,60
SAL50018,0,0,0,0,0,0,0,3,0,3
SAL50019,0,0,0,51,21,0,69,148,16,232
SAL50020,0,0,0,7,0,3,12,27,3,43
SAL50021,0,0,0,0,0,0,0,0,0,0
SAL50022,162,6,169,1188,545,24,1751,4029,254,6039
SAL50023,0,0,0,9,3,0,9,33,3,46
SAL50024,90,8,96,841,329,31,1200,2390,119,3709
SAL50025,4,0,4,90,26,4,116,326,23,469
SAL50026,296,51,347,1746,641,78,2460,7427,1062,10948
SAL50027,0,0,0,8,0,0,8,17,6,39
SAL50028,0,0,0,6,0,0,5,0,4,13
SAL50029,0,0,0,12,0,0,16,25,4,49
SAL50030,0,0,0,6,5,0,18,33,5,54
SAL50031,34,78,112,369,233,13,616,1783,331,2739
SAL50032,81,9,93,520,156,21,693,1478,108,2282
SAL50033,0,0,0,0,0,0,0,0,0,3
SAL50034,24,4,26,203,74,10,289,782,96,1168
SAL50035,178,10,200,1160,491,60,1713,3475,176,5371
SAL50036,41,0,42,1950,493,77,2523,4505,220,7244
SAL50037,85,4,84,1759,306,79,2141,2487,162,4791
SAL50038,89,13,100,131,80,10,220,1001,101,1321
SAL50039,164,9,184,3013,887,193,4096,7526,638,12258
SAL50040,47,0,49,3195,682,104,3983,5852,461,10298
SAL50041,0,0,0,5,0,0,5,3,0,9
SAL50042,0,0,0,4,0,0,4,0,0,8
SAL50043,0,0,0,8,0,0,12,22,9,45
SAL50044,0,0,0,0,0,0,3,10,6,19
SAL50045,0,0,0,9,3,0,7,22,0,34
SAL50046,0,0,0,12,0,0,14,5,0,13
SAL50047,0,0,0,0,0,0,0,3,4,6
SAL50048,0,0,0,19,4,0,22,105,25,150
SAL50049,0,0,0,0,0,0,4,13,3,22
SAL50050,0,0,0,6,5,0,15,26,6,42
SAL50051,4,0,9,174,60,16,251,667,104,1023
SAL50052,0,0,0,14,14,0,28,89,8,126
SAL50053,387,38,436,1688,548,51,2282,6313,541,9133
SAL50054,158,9,169,8204,1877,400,10479,15483,1609,27574
SAL50055,114,17,129,2178,514,69,2765,7100,1076,10943
SAL50056,11,0,16,60,50,4,112,352,31,499
SAL50057,0,0,0,4,0,0,4,9,0,18
SAL50058,0,0,0,0,0,0,0,3,0,8
SAL50059,0,0,0,14,9,0,14,54,10,76
SAL50060,0,0,0,0,0,0,0,0,0,0
SAL50061,185,8,198,2834,1194,87,4113,10126,676,14916
SAL50062,0,0,0,7,6,0,12,12,3,26
SAL50063,0,0,0,0,0,0,0,58,0,58
SAL50064,0,0,0,4,0,0,5,31,10,45
SAL50065,0,0,0,7,4,0,11,44,0,52
SAL50066,0,0,0,73,22,0,95,164,29,291
SAL50067,0,0,0,9,10,0,24,103,152,275
SAL50068,18,0,18,201,121,11,330,794,50,1174
SAL50069,18,0,19,2572,529,106,3203,4648,369,8221
SAL50070,0,0,0,0,0,0,0,0,0,0
SAL50071,0,0,0,16,4,0,23,30,0,51
SAL50072,0,0,0,0,0,0,0,11,0,17
SAL50073,0,0,0,5,4,0,5,8,0,14
SAL50074,0,0,0,6,8,0,12,22,7,40
SAL50075,12,0,12,145,51,3,204,536,61,798
SAL50076,0,0,0,0,0,0,0,8,42,45
SAL50077,3,0,3,47,16,0,62,189,11,257
SAL50078,244,22,267,1798,626,88,2505,5933,497,8938
SAL50079,99,0,101,683,291,34,1009,2018,98,3128
SAL50080,0,0,0,0,0,0,0,0,0,0
SAL50081,0,0,0,1028,119,58,1205,1519,387,3115
SAL50082,63,9,73,521,165,20,703,1792,125,2628
SAL50083,378,46,428,2701,810,124,3633,8454,580,12668
SAL50084,32,12,41,182,70,17,266,822,115,1202
SAL50085,3,0,3,16,4,0,29,60,11,98
SAL50086,133,3,147,933,347,50,1332,2817,232,4381
SAL50087,0,0,0,0,0,0,0,0,0,0
SAL50088,0,0,0,9,3,0,15,26,4,48
SAL50089,0,0,0,17,0,0,17,24,0,44
SAL50090,92,10,101,1544,383,48,1968,4840,510,7319
SAL50091,108,8,114,1079,317,31,1427,3034,176,4631
SAL50092,19,0,29,516,245,38,795,1569,91,2460
SAL50093,103,17,114,1279,466,76,1822,5097,452,7371
SAL50094,5,0,5,27,13,0,39,55,4,99
SAL50095,0,0,0,3,3,0,5,36,9,56
SAL50096,0,0,0,7,5,0,3,29,12,44
SAL50097,0,0,0,16,8,0,30,59,9,101
SAL50098,44,4,53,1780,502,66,2347,4006,298,6653
SAL50099,0,0,0,3,0,0,10,15,3,31
SAL50100,0,0,0,15,3,0,18,60,6,85
SAL50101,0,0,0,25,10,4,35,76,13,124
SAL50102,37,0,37,786,232,36,1052,2103,131,3292
SAL50103,9,0,3,28,24,0,57,170,6,231
SAL50104,29,0,29,217,90,14,316,867,81,1264
SAL50105,124,6,132,984,291,28,1299,4135,459,5896
SAL50106,9,0,9,25,12,0,32,115,21,173
SAL50107,0,0,0,27,12,0,38,87,4,129
SAL50108,0,0,0,10,3,0,10,8,0,16
SAL50109,0,0,0,16,8,4,31,64,15,106
SAL50110,18,0,20,1080,278,32,1396,2900,207,4501
SAL50111,372,282,656,786,266,24,1079,5944,1142,8164
SAL50112,32,0,34,193,99,5,304,832,103,1239
SAL50113,0,0,0,6,0,0,6,19,3,33
SAL50114,0,0,0,0,0,0,0,0,0,0
SAL50115,11,3,12,1445,276,70,1792,2424,222,4444
SAL50116,45,7,54,106,57,9,175,691,108,972
SAL50117,159,27,186,931,441,44,1414,3287,226,4928
SAL50118,18,0,18,114,59,7,180,393,31,600
SAL50119,231,27,262,1100,541,50,1690,3897,301,5881
SAL50120,0,0,0,0,0,0,0,15,3,20
SAL50121,0,0,0,21,13,0,32,151,17,204
SAL50122,0,0,0,3,4,0,5,10,0,14
SAL50123,4,0,4,295,62,24,379,578,165,1123
SAL50124,0,0,0,0,0,0,0,0,0,0
SAL50125,0,0,0,11,3,0,11,34,4,49
SAL50126,22,7,28,128,75,10,208,686,111,1007
SAL50127,0,0,0,0,0,0,0,0,0,0
SAL50128,0,0,0,0,3,0,0,0,0,4
SAL50129,6,0,14,205,68,11,281,732,66,1074
SAL50130,0,0,0,7,3,0,12,31,3,43
SAL50131,0,0,0,13,0,0,15,50,10,72
SAL50132,72,38,108,149,86,8,241,820,147,1205
SAL50133,0,0,0,6,5,0,9,51,0,69
SAL50134,0,0,0,3,3,0,6,19,3,33
SAL50135,0,0,0,5,3,0,8,22,3,32
SAL50136,0,0,0,3,0,0,3,23,7,38
SAL50137,7,3,13,201,54,10,261,540,98,902
SAL50138,0,0,0,4,0,0,4,16,0,22
SAL50139,0,0,0,4,3,0,9,24,0,36
SAL50140,3,0,3,15,3,0,18,91,11,118
SAL50141,0,0,0,12,6,0,18,15,7,40
SAL50142,0,0,0,26,7,3,32,115,24,177
SAL50143,0,0,0,39,7,3,45,55,33,129
SAL50144,0,0,0,4,0,0,4,0,0,8
SAL50145,0,0,0,17,4,0,23,91,17,125
SAL50146,0,0,0,3,0,0,3,13,5,24
SAL50147,0,0,0,4,0,0,4,21,17,48
SAL50148,266,23,300,1003,390,31,1422,3078,158,4663
SAL50149,0,0,0,4,5,0,5,11,0,17
SAL50150,0,0,0,0,0,0,0,0,0,0
SAL50151,0,0,0,19,8,3,28,91,6,124
SAL50152,0,0,0,3,0,0,7,30,14,39
SAL50153,0,0,0,3,0,0,3,20,3,34
SAL50154,0,0,0,0,0,0,3,0,0,0
SAL50155,0,0,0,3,4,0,9,24,0,31
SAL50156,0,0,0,5,0,0,8,11,3,22
SAL50157,0,0,0,14,0,0,14,71,3,90
SAL50158,0,0,0,14,3,0,13,34,3,57
SAL50159,21,0,21,705,187,43,933,2200,634,3763
SAL50160,0,0,0,5,10,0,9,28,5,41
SAL50161,15,0,15,105,74,7,180,589,41,810
SAL50162,6,0,6,83,31,6,120,227,28,378
SAL50163,0,0,0,15,3,0,15,41,3,61
SAL50164,0,0,0,16,0,0,15,38,12,63
SAL50165,3,0,5,15,0,0,23,58,7,88
SAL50166,0,0,0,3,0,0,10,13,0,26
SAL50167,0,0,0,25,0,0,26,35,3,64
SAL50168,9,0,15,129,45,5,178,344,19,542
SAL50169,12,0,10,202,121,12,336,609,100,1047
SAL50170,0,0,0,8,0,0,5,16,0,24
SAL50171,0,0,0,8,0,0,8,16,0,24
SAL50172,28,0,30,113,53,10,174,518,91,784
SAL50173,0,0,0,2231,321,82,2636,3350,258,6236
SAL50174,0,0,0,15,6,0,24,54,16,95
SAL50175,0,0,0,8,4,0,4,29,0,36
