SAL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL50001,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,7,0,5,8,17,12,4,0,0,48
SAL50002,4,3,4,6,3,3,0,0,0,20,0,0,0,9,8,4,3,0,0,21,56,40,84,150,158,106,36,0,0,625
SAL50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,8,14,5,0,0,46
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,8,0,0,28
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,7,0,0,14
SAL50006,5,0,7,4,4,5,0,0,0,20,0,0,5,3,6,3,4,0,0,19,32,33,100,87,138,188,87,6,0,665
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,5,0,0,0,25
SAL50008,3,15,41,37,41,35,7,0,0,188,5,35,52,34,36,46,9,0,0,218,199,400,743,763,830,800,169,15,3,3922
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SAL50010,0,7,10,13,10,8,4,3,0,49,0,8,6,17,20,9,0,4,0,64,94,127,240,343,354,249,56,11,0,1471
SAL50011,15,22,98,63,39,23,0,0,0,258,11,24,58,63,31,20,3,0,0,217,252,470,1622,1414,1026,478,85,4,0,5356
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,4,0,0,15
SAL50013,3,0,0,4,8,5,0,0,0,20,0,0,0,0,4,0,0,0,0,8,33,22,34,60,75,65,13,0,0,303
SAL50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,11,13,3,0,0,54
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9
SAL50016,0,0,3,4,3,4,0,0,0,16,0,0,0,0,5,3,0,0,0,18,26,18,33,69,80,69,21,0,0,315
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,12,3,9,0,0,44
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50019,0,0,0,4,0,4,0,0,0,7,0,0,5,0,3,0,0,0,0,10,8,12,26,26,26,24,17,0,0,133
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,6,0,0,0,29
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,3,15,20,22,20,22,12,3,0,118,8,12,43,43,35,23,13,9,0,173,184,342,614,736,735,638,289,59,3,3594
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,9,0,9,8,0,0,0,31
