SAL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SAL50001,9,10,9,0,0,7,5,8,0,48
SAL50002,88,114,98,101,60,43,42,68,10,625
SAL50003,15,6,4,5,0,0,5,10,0,46
SAL50004,17,5,0,3,0,3,0,0,0,28
SAL50005,9,0,0,0,0,0,0,0,0,14
SAL50006,114,206,75,84,72,36,27,54,9,665
SAL50007,18,0,0,0,5,0,0,0,0,25
SAL50008,342,501,733,516,562,357,356,481,70,3922
SAL50009,0,0,0,0,0,0,0,0,0,3
SAL50010,236,505,155,136,175,124,43,81,28,1471
SAL50011,527,930,1024,825,672,440,405,466,71,5356
SAL50012,5,0,0,3,0,0,0,0,0,15
SAL50013,15,32,84,22,30,17,53,35,4,303
SAL50014,26,4,4,3,8,0,3,0,3,54
SAL50015,9,0,0,0,0,0,0,0,0,9
SAL50016,58,32,62,33,30,31,33,27,7,315
SAL50017,24,0,0,0,6,0,5,12,5,44
SAL50018,0,0,0,0,0,0,0,3,0,3
SAL50019,26,14,29,5,20,7,9,16,5,133
SAL50020,3,3,5,4,6,0,0,4,0,29
SAL50021,0,0,0,0,0,0,0,0,0,0
SAL50022,736,1339,244,251,452,281,92,136,54,3594
SAL50023,18,0,4,0,0,0,0,6,0,31
SAL50024,393,898,195,196,270,194,51,99,27,2325
SAL50025,36,58,72,31,32,13,27,19,11,297
SAL50026,261,422,780,709,522,430,732,723,108,4686
SAL50027,10,3,0,0,0,0,0,0,3,25
SAL50028,4,0,0,0,0,0,0,0,0,7
SAL50029,25,3,0,3,8,0,0,3,0,36
SAL50030,19,3,3,0,3,0,3,6,0,39
SAL50031,275,413,227,167,223,113,90,89,12,1612
SAL50032,137,239,242,163,197,102,107,128,20,1332
SAL50033,0,0,0,0,0,0,0,0,0,0
SAL50034,73,182,105,71,72,48,36,72,4,664
SAL50035,651,1089,287,286,479,287,90,140,44,3343
SAL50036,617,1156,804,631,768,449,325,439,94,5282
SAL50037,435,957,530,378,488,243,191,260,57,3537
SAL50038,87,44,89,62,54,55,27,78,7,506
SAL50039,602,1066,1517,899,865,668,887,924,122,7549
SAL50040,801,1179,1244,1115,1087,665,718,662,105,7580
SAL50041,3,0,0,0,0,0,0,0,0,9
SAL50042,0,0,0,0,0,0,0,0,0,11
SAL50043,15,3,0,0,0,0,0,0,0,25
SAL50044,3,0,0,0,0,0,8,0,0,13
SAL50045,12,4,0,3,0,0,0,4,0,25
SAL50046,3,0,0,0,0,0,0,6,0,17
SAL50047,0,0,0,0,0,0,0,0,0,4
SAL50048,28,8,13,0,10,0,8,25,0,102
SAL50049,0,0,0,0,0,0,0,0,0,6
SAL50050,8,0,12,0,0,0,0,0,0,21
SAL50051,54,71,108,83,60,39,64,42,10,539
SAL50052,18,11,23,6,9,7,11,17,0,97
SAL50053,602,1206,802,616,790,516,342,483,94,5446
SAL50054,1882,2836,3456,2648,2314,1505,1780,1727,324,18478
SAL50055,366,781,925,1129,604,469,769,989,171,6202
SAL50056,55,41,38,22,18,13,20,20,4,230
SAL50057,3,0,0,3,0,0,0,0,0,10
SAL50058,0,0,0,0,0,0,0,0,0,0
SAL50059,11,9,4,4,3,6,3,3,0,42
SAL50060,0,0,0,0,0,0,0,0,0,0
SAL50061,811,1251,1613,1187,1223,892,905,1104,177,9154
SAL50062,12,0,0,0,0,0,3,0,0,16
SAL50063,3,0,3,0,0,5,4,3,0,24
SAL50064,9,4,0,0,8,0,4,0,0,19
SAL50065,14,7,3,0,6,0,5,6,0,37
SAL50066,27,29,29,15,19,24,18,7,3,182
SAL50067,6,7,24,5,0,0,57,5,3,106
SAL50068,115,141,138,68,93,67,46,49,22,742
SAL50069,501,872,1055,841,774,547,509,717,114,5924
SAL50070,0,0,0,0,0,0,0,0,0,0
SAL50071,11,6,0,3,3,4,6,3,0,39
SAL50072,6,0,0,0,0,0,3,0,0,9
SAL50073,7,3,0,4,0,0,0,0,0,12
SAL50074,7,5,0,0,4,0,0,3,0,20
SAL50075,44,52,107,54,46,43,50,44,7,448
SAL50076,0,0,0,0,5,0,0,0,0,8
SAL50077,41,31,18,11,25,11,10,15,5,164
SAL50078,731,1586,760,635,757,416,304,372,69,5641
SAL50079,244,679,204,182,238,139,66,101,21,1877
SAL50080,0,0,0,0,0,0,0,0,0,0
SAL50081,315,455,494,282,266,128,183,173,52,2347
SAL50082,142,230,234,218,191,173,116,180,21,1496
SAL50083,1197,2625,990,922,1080,524,390,529,105,8368
SAL50084,70,162,99,90,58,48,54,66,13,655
SAL50085,37,3,5,0,3,0,8,15,0,67
SAL50086,395,936,359,309,261,166,84,141,42,2693
SAL50087,0,0,0,0,0,0,0,0,0,0
SAL50088,15,4,5,0,0,0,0,5,0,30
SAL50089,24,6,0,0,0,0,4,3,0,40
SAL50090,332,762,799,624,522,324,490,577,92,4524
SAL50091,437,944,350,331,413,211,115,191,29,2999
SAL50092,244,277,331,163,247,121,107,110,34,1630
SAL50093,297,445,809,594,517,373,431,585,89,4142
SAL50094,7,6,16,7,11,4,7,7,0,70
SAL50095,14,4,0,0,0,0,0,19,3,41
SAL50096,0,0,0,0,3,3,0,3,0,12
SAL50097,15,6,9,0,6,0,10,8,3,58
SAL50098,512,913,881,535,638,395,351,461,68,4767
SAL50099,8,0,0,0,0,0,0,0,0,12
SAL50100,25,3,7,0,3,0,8,13,0,64
SAL50101,12,8,12,8,6,7,13,5,0,69
SAL50102,202,430,437,238,318,179,135,207,41,2182
SAL50103,32,28,17,11,20,11,7,7,0,133
SAL50104,73,103,144,98,75,56,87,98,15,740
SAL50105,356,713,625,433,443,251,377,350,62,3607
SAL50106,30,5,12,9,8,0,10,16,0,101
SAL50107,24,14,20,7,8,10,9,8,6,103
SAL50108,13,6,4,0,0,0,0,0,0,14
SAL50109,29,10,3,4,8,4,8,5,0,79
SAL50110,293,431,468,386,351,296,318,332,71,2964
SAL50111,229,795,467,729,350,400,399,658,108,4131
SAL50112,87,146,111,102,84,71,50,75,15,736
SAL50113,15,0,0,6,5,0,0,3,0,31
SAL50114,0,0,0,0,0,0,0,0,0,0
SAL50115,240,389,564,390,413,278,393,351,46,3070
SAL50116,77,44,52,41,34,23,50,45,9,370
SAL50117,316,701,501,309,443,248,178,244,33,2970
SAL50118,72,95,49,39,32,25,20,32,6,373
SAL50119,640,1121,355,347,467,282,108,193,36,3553
SAL50120,3,0,0,0,0,0,0,0,0,8
SAL50121,15,16,13,6,0,5,14,14,0,80
SAL50122,3,0,0,0,0,0,0,0,0,10
SAL50123,100,194,104,145,108,57,40,55,29,828
SAL50124,0,0,0,0,0,0,0,0,0,0
SAL50125,18,0,3,0,0,0,6,5,0,38
SAL50126,81,63,78,60,53,25,66,58,5,491
SAL50127,0,0,0,0,0,0,0,0,0,0
SAL50128,0,0,0,0,0,0,0,0,0,4
SAL50129,62,98,121,77,80,41,73,85,10,643
SAL50130,24,0,0,0,0,0,0,5,0,39
SAL50131,0,0,7,12,5,6,9,3,3,38
SAL50132,62,136,90,101,73,57,43,74,9,639
SAL50133,14,0,8,0,0,0,0,5,6,36
SAL50134,8,6,0,0,0,0,0,8,0,23
SAL50135,14,3,6,0,0,0,0,3,0,28
SAL50136,8,0,5,0,0,0,0,3,0,21
SAL50137,49,62,117,35,55,14,128,54,4,521
SAL50138,10,5,0,0,0,0,5,0,0,20
SAL50139,14,0,0,0,0,0,0,5,0,25
SAL50140,27,3,7,3,0,4,14,8,3,75
SAL50141,18,0,3,0,0,0,0,0,0,25
SAL50142,11,12,21,5,7,8,8,12,0,86
SAL50143,15,8,23,0,12,4,15,4,0,81
SAL50144,0,0,0,0,0,0,0,0,0,6
SAL50145,10,8,11,5,8,0,10,7,0,68
SAL50146,4,0,0,0,0,0,0,10,0,15
SAL50147,0,0,12,0,0,0,6,0,0,25
SAL50148,406,932,297,269,325,231,92,156,27,2743
SAL50149,9,0,0,0,0,0,0,0,0,12
SAL50150,0,0,0,0,0,0,0,0,0,0
SAL50151,29,3,3,6,3,5,4,11,0,58
SAL50152,3,0,4,0,5,6,0,4,0,21
SAL50153,9,5,0,0,0,0,0,7,0,22
SAL50154,0,0,0,0,0,0,0,0,0,0
SAL50155,0,0,6,0,0,0,0,7,0,17
SAL50156,6,5,0,0,0,0,0,0,0,15
SAL50157,19,19,8,6,0,0,0,5,0,59
SAL50158,20,6,0,3,4,0,0,4,0,42
SAL50159,135,160,536,208,237,185,478,253,45,2234
SAL50160,20,4,0,4,0,0,0,0,0,27
SAL50161,44,57,71,40,35,19,42,46,8,366
SAL50162,40,51,41,23,31,19,9,22,5,237
SAL50163,15,4,7,3,0,4,0,3,0,39
SAL50164,25,0,5,0,0,0,8,0,0,40
SAL50165,20,4,3,5,8,5,0,4,0,52
SAL50166,17,6,0,0,0,0,0,0,0,22
SAL50167,23,0,0,0,5,0,3,8,0,41
SAL50168,57,98,56,33,43,20,14,27,8,366
SAL50169,70,85,114,72,64,38,82,90,10,617
SAL50170,14,0,0,0,0,0,3,0,3,22
SAL50171,8,4,0,5,0,0,3,3,0,15
SAL50172,67,39,52,34,39,25,44,63,8,368
SAL50173,375,717,853,767,630,380,600,434,90,4852
SAL50174,16,12,5,8,3,4,0,8,0,58
SAL50175,11,5,0,0,0,3,4,0,0,19
SAL50176,6,0,0,0,0,0,0,0,0,15
SAL50177,69,14,38,14,13,7,12,40,0,204
SAL50178,146,366,119,105,115,71,38,76,13,1040
SAL50179,0,0,0,0,0,0,0,0,0,0
SAL50180,151,210,222,170,116,106,142,159,23,1289
SAL50181,103,108,105,56,68,50,36,29,22,573
SAL50182,3,3,0,0,3,0,0,0,0,13
SAL50183,172,248,303,242,187,163,109,225,29,1670
SAL50184,61,57,91,58,94,27,43,14,3,453
SAL50185,55,68,37,44,39,22,32,38,10,354
SAL50186,0,5,0,0,0,0,0,3,0,3
SAL50187,75,98,191,175,110,115,177,190,27,1154
SAL50188,20,16,31,12,11,8,16,9,3,126
SAL50189,72,26,29,34,24,21,28,52,6,288
SAL50190,212,340,205,230,206,126,92,175,46,1637
SAL50191,46,12,0,4,3,0,0,9,0,68
SAL50192,15,3,11,11,6,0,15,13,0,76
SAL50193,42,12,7,4,3,0,4,13,0,89
SAL50194,0,0,0,0,0,0,0,0,0,0
SAL50195,15,4,9,0,7,3,7,12,0,58
SAL50196,93,23,38,30,22,8,37,33,5,298
SAL50197,67,47,98,63,45,33,69,76,6,505
SAL50198,4,0,4,7,0,0,0,3,4,16
SAL50199,17,6,6,0,4,0,0,3,0,25
SAL50200,154,139,412,141,179,114,220,224,41,1624
SAL50201,432,1308,326,349,446,216,135,198,66,3477
SAL50202,0,0,0,0,0,0,0,0,0,0
SAL50203,35,0,0,0,9,0,6,3,0,54
SAL50204,9,14,10,9,13,4,7,6,3,78
SAL50205,4,0,5,0,0,0,3,0,0,12
SAL50206,4,0,0,0,0,0,0,0,0,6
SAL50207,315,351,604,301,367,188,371,320,65,2878
SAL50208,0,0,0,0,0,0,0,0,0,0
SAL50209,16,0,0,0,0,0,0,3,0,28
SAL50210,260,590,265,188,199,137,113,178,15,1944
SAL50211,9,0,0,0,0,3,0,0,0,6
SAL50212,11,0,0,0,0,0,4,0,0,16
SAL50213,23,4,0,0,0,0,0,0,0,34
SAL50214,12,4,0,0,5,0,0,0,0,25
SAL50215,15,0,0,0,0,0,0,0,0,22
SAL50216,0,0,0,0,0,0,0,0,0,0
SAL50217,47,60,78,32,55,20,43,43,3,393
SAL50218,0,3,0,0,0,0,0,0,0,7
SAL50219,6,3,0,0,0,0,0,0,0,14
SAL50220,0,0,0,0,0,0,0,3,0,3
SAL50221,429,578,318,219,345,207,83,108,35,2323
SAL50222,38,30,26,11,13,10,9,14,0,153
SAL50223,14,5,5,4,0,3,3,7,0,46
SAL50224,4,0,0,3,0,0,0,0,0,9
SAL50225,0,0,0,0,0,0,0,0,0,0
SAL50226,304,473,168,166,208,113,99,119,23,1676
SAL50227,55,135,87,55,79,24,14,24,0,460
SAL50228,91,116,122,95,72,68,50,101,9,731
SAL50229,572,944,1163,1006,817,702,569,737,134,6648
SAL50230,810,1158,1844,1222,1264,770,1190,921,163,9333
SAL50231,422,705,357,409,341,199,144,261,50,2889
SAL50232,17,0,0,5,0,4,3,4,0,33
SAL50233,0,0,0,0,0,0,0,0,0,0
SAL50234,23,10,18,4,6,5,11,12,3,85
SAL50235,39,71,118,81,83,63,88,103,11,671
SAL50236,3,0,5,4,0,4,4,4,0,19
SAL50237,0,0,0,0,0,0,0,0,0,3
SAL50238,13,17,6,16,8,5,0,23,4,98
SAL50239,0,0,0,0,4,0,0,9,0,20
SAL50240,115,158,310,221,202,171,269,298,36,1781
SAL50241,14,0,0,0,0,0,0,4,0,17
SAL50242,5,0,0,0,0,0,0,0,0,5
SAL50243,14,0,0,0,0,0,0,0,0,24
SAL50244,0,0,0,0,0,0,5,0,0,12
SAL50245,2007,4293,2424,1901,2302,1543,1217,1411,267,17369
SAL50246,231,660,548,549,353,265,413,523,103,3651
SAL50247,0,0,0,0,0,0,0,0,0,0
SAL50248,28,35,44,31,26,20,30,30,3,257
SAL50249,0,3,0,0,0,0,0,0,0,3
SAL50250,0,0,0,5,0,0,0,4,0,13
SAL50251,108,140,217,154,101,102,151,187,22,1182
SAL50252,17,11,11,0,11,3,6,6,0,71
