SAL_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL50001,0,0,0,0,0,0,0,0,0,9,0,4,0,0,10,0,3,0,0,10,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,5,0,3,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,8,5,4,15,0,3,8,5,48
SAL50002,7,6,6,3,9,17,13,23,0,88,12,20,20,9,18,19,8,12,0,114,13,3,6,6,18,26,13,13,0,98,8,27,19,11,15,15,3,6,0,101,3,14,12,0,9,10,4,0,0,60,0,10,8,9,3,4,8,0,0,43,4,0,4,0,4,7,3,14,0,42,3,16,9,9,10,7,0,7,0,68,0,0,0,0,0,0,0,0,0,10,42,98,79,55,90,111,52,85,3,625
SAL50003,0,0,0,0,0,0,0,3,0,15,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,6,8,4,3,4,11,0,46
SAL50004,5,0,0,0,0,0,0,12,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,12,0,28
SAL50005,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,14
SAL50006,4,16,13,4,14,22,12,26,0,114,13,23,28,16,33,38,11,40,0,206,8,6,3,8,10,18,6,17,0,75,5,22,14,19,8,9,0,4,0,84,5,23,10,10,15,9,4,8,0,72,3,7,4,4,0,5,4,3,0,36,4,0,0,4,0,4,0,5,0,27,3,17,8,3,6,10,5,5,0,54,0,0,0,0,0,0,0,0,5,9,37,120,88,63,88,111,42,102,6,665
SAL50007,0,0,3,0,0,5,0,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,5,0,12,0,25
SAL50008,9,13,23,32,69,85,30,85,0,342,21,56,38,37,138,121,35,56,3,501,25,62,47,44,165,197,53,136,12,733,25,127,102,64,109,55,12,38,3,516,22,66,93,60,164,116,14,33,0,562,18,117,56,37,52,37,9,15,18,357,10,39,21,21,81,66,34,83,4,356,14,115,65,51,87,80,22,35,10,481,0,4,0,3,13,15,0,4,20,70,137,588,442,341,871,766,206,489,82,3922
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50010,7,4,15,19,41,61,23,69,0,236,23,52,56,46,81,126,41,82,0,505,3,13,10,9,27,36,26,22,3,155,6,47,24,12,13,21,10,4,0,136,6,27,29,11,42,41,8,14,0,175,0,55,18,11,19,10,3,7,0,124,0,10,7,4,9,4,0,7,0,43,4,35,18,8,4,5,0,8,0,81,0,0,0,0,4,6,0,11,5,28,55,239,177,111,236,307,114,219,9,1471
