SED_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
SED50106,0,0,0,11,4,0,0,0,0,16,0,0,0,10,7,10,6,5,3,42,0,5,5,17,13,10,4,0,0,52,3,5,5,68,31,56,58,30,8,269,23,93,80,198,136,142,145,96,51,967,949,2374,1955,4174,2635,2872,2565,1551,661,19732,0,0,0,0,0,0,0,0,0,3,1857,4383,3515,6394,3631,3745,3341,1691,695,29248,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,16,14,25,17,26,11,4,6,128,0,0,0,0,0,0,0,0,0,5,0,4,6,38,9,17,5,5,0,83,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,0,4,4,0,4,0,38,63,235,318,658,657,577,224,2771,0,0,0,9,6,0,0,0,0,17,0,0,4,19,9,3,6,3,0,43
SED50202,0,3,4,36,6,11,3,0,0,61,0,0,0,6,7,15,15,10,3,55,0,12,23,71,37,15,8,5,0,161,3,53,91,369,119,114,44,22,7,831,131,226,218,474,179,134,119,96,65,1646,1859,3498,3151,7648,2947,2778,2242,1155,441,25722,0,13,34,115,17,9,0,0,0,191,3521,5994,4453,8712,3195,2575,2052,809,220,31529,0,3,0,27,0,0,0,0,0,36,0,0,5,0,0,3,0,3,0,13,0,0,3,3,3,6,0,0,0,18,0,0,0,20,3,6,3,0,0,38,4,13,17,32,9,8,4,7,0,86,0,0,0,10,9,22,11,0,0,44,3,8,4,54,31,16,13,4,0,134,0,0,0,0,3,6,3,7,0,25,0,0,0,6,3,4,4,0,0,21,3,29,82,494,502,1075,819,598,210,3809,0,0,3,14,6,4,0,0,0,21,3,0,0,10,4,11,3,4,3,33
SED50304,0,9,20,129,91,67,50,10,11,372,0,0,6,16,7,7,9,0,0,35,0,0,5,47,9,7,9,0,0,82,7,116,180,920,164,123,83,61,34,1700,43,90,98,407,113,119,97,82,40,1085,1340,2113,2269,8356,2663,2447,2162,1386,694,23438,0,5,3,35,13,9,0,5,0,70,2561,3333,2902,7198,2823,2363,1605,922,346,24065,0,3,3,26,4,0,3,0,0,35,0,0,0,54,19,59,30,8,8,183,5,6,5,217,14,4,3,0,0,261,0,0,0,7,6,8,0,0,0,22,0,6,10,44,19,13,6,0,0,103,0,5,7,20,11,6,6,4,0,64,0,21,47,336,93,107,62,32,11,720,0,4,3,34,20,33,89,75,40,296,0,6,7,10,4,11,13,16,5,68,5,30,92,537,272,318,238,165,63,1715,0,0,0,8,3,4,5,0,0,18,0,4,10,50,7,20,5,0,0,87
SED50405,0,3,3,39,11,7,6,0,0,60,0,4,10,27,21,16,10,3,4,93,5,13,49,153,63,28,8,0,0,316,0,50,79,384,137,95,58,22,9,831,84,203,147,412,129,84,84,61,32,1224,2473,4785,3576,9908,3446,2457,1697,833,174,29342,0,0,0,8,3,0,0,0,0,8,4813,7879,4432,10440,3060,1985,1440,644,115,34804,0,6,7,37,5,0,0,0,0,45,0,0,0,24,7,3,5,0,0,45,0,6,6,31,0,3,0,0,0,52,0,0,0,9,0,0,0,0,0,7,0,16,10,49,19,10,9,0,0,102,0,0,0,11,9,4,4,0,0,33,0,4,10,89,26,16,19,0,0,168,0,4,0,14,13,12,6,8,0,53,0,3,0,17,3,6,5,3,0,35,6,258,532,1264,980,1075,646,491,100,5361,3,3,16,45,15,13,0,0,0,99,0,0,0,14,9,10,7,3,0,47
SED50502,4,20,39,254,162,128,78,24,11,721,0,0,0,3,3,9,0,0,0,29,0,4,11,27,9,5,4,3,0,55,8,20,72,278,125,111,79,36,19,745,48,107,103,269,121,108,73,69,37,937,1269,2562,2385,6135,2881,2777,2113,1081,479,21674,0,12,35,162,45,14,13,3,0,287,2476,4737,3800,6627,3037,2622,1858,798,316,26268,0,0,0,19,4,3,9,4,0,41,0,0,0,51,33,49,32,11,4,187,0,0,0,26,5,0,0,0,0,37,0,0,0,24,25,18,13,3,0,79,0,3,0,18,19,7,9,3,0,56,0,0,0,0,0,9,3,0,0,15,4,7,36,185,80,85,44,5,4,452,0,0,0,24,19,36,33,20,7,142,0,0,3,8,8,5,8,7,0,50,10,27,54,408,337,544,404,269,100,2153,0,0,0,9,0,5,8,0,0,28,0,0,0,33,7,5,9,3,0,62
SED50605,0,17,11,41,29,17,14,0,0,125,0,3,0,8,6,14,12,11,4,52,0,0,5,21,29,24,9,6,4,97,8,39,66,238,129,132,100,57,37,794,19,40,56,138,70,85,85,43,38,569,981,2734,2667,5285,3091,3032,2765,1428,715,22696,0,0,0,6,0,0,0,6,0,10,1878,4586,4048,5055,2797,2749,2324,1278,614,25327,0,3,7,44,3,0,4,0,0,58,0,5,0,14,4,10,4,3,0,41,5,4,7,41,7,4,0,5,0,69,3,3,0,7,0,0,0,0,0,20,5,13,10,35,32,20,11,3,0,121,0,4,3,13,8,8,11,0,0,43,3,63,85,548,186,179,110,38,36,1249,0,0,0,13,4,11,24,15,4,75,0,6,4,9,0,11,11,13,0,59,9,139,167,383,444,585,463,360,118,2664,0,0,0,8,7,3,9,0,3,30,0,12,6,42,19,10,6,0,4,95
SED50702,0,0,25,113,32,30,40,5,5,250,0,0,0,10,5,0,0,7,3,30,3,6,13,54,15,13,5,0,0,110,4,86,107,611,131,87,65,44,15,1158,80,124,140,504,148,147,96,95,95,1435,1428,2362,2659,8339,2810,2547,2030,1121,606,23909,0,17,37,161,36,12,4,0,0,263,2602,3807,3489,7368,2907,2596,1912,909,400,25990,4,31,33,153,35,5,0,0,0,259,0,0,4,25,5,4,7,0,0,45,0,4,5,104,10,7,0,0,0,128,0,0,0,12,9,5,7,0,0,31,3,3,5,52,5,3,10,6,4,86,0,0,0,10,12,7,6,3,0,38,9,36,99,548,195,176,77,20,5,1161,0,0,3,10,9,19,17,14,7,73,0,8,6,19,9,9,11,4,0,70,0,32,91,440,308,566,405,264,124,2237,0,0,8,13,12,5,9,0,0,40,0,3,0,44,3,6,5,6,0,64
SED50805,0,0,5,7,9,0,0,0,0,26,0,8,0,13,11,14,15,4,5,66,0,0,4,19,17,22,9,3,0,69,4,31,32,203,98,68,54,57,34,587,23,62,57,186,98,79,82,92,99,772,1015,2479,2389,4967,2998,2611,2105,1358,872,20794,0,0,0,0,0,0,0,0,0,0,1961,4382,3926,6316,3789,3049,2376,1311,784,27889,0,0,0,9,0,3,0,0,0,8,0,0,0,6,3,7,10,0,0,34,0,6,8,54,12,9,0,0,0,95,0,0,0,3,0,0,0,0,0,4,7,11,9,47,28,25,23,7,3,145,0,0,0,12,6,3,6,0,6,34,0,15,9,57,25,24,16,7,7,165,0,0,0,9,7,13,28,18,9,80,0,0,0,11,0,0,9,10,9,43,14,116,184,615,593,645,497,325,152,3136,0,0,0,0,7,0,3,0,0,10,0,8,0,44,13,14,15,6,0,98
SED50906,0,0,0,22,12,5,3,0,0,50,0,0,0,5,10,12,3,11,4,42,0,4,12,46,25,23,14,0,4,133,5,28,23,135,66,56,37,31,8,391,58,114,128,319,143,125,125,85,59,1152,1199,2761,2573,5661,3066,2883,2432,1342,650,22567,0,0,0,3,0,0,0,0,0,3,2266,4990,4160,7745,4077,3769,3169,1628,607,32406,0,5,0,24,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,3,26,5,0,0,0,0,31,0,0,3,0,0,0,0,0,0,5,0,3,9,31,14,17,10,0,3,90,0,0,0,6,3,9,0,0,0,20,0,4,7,61,17,14,0,0,0,116,0,0,0,0,0,4,4,4,0,20,3,3,0,9,0,0,0,0,0,23,3,63,134,297,387,609,462,354,142,2439,0,0,0,3,0,0,0,0,0,7,0,0,0,15,6,4,3,9,4,34
SED51004,0,4,11,45,14,13,9,0,0,92,0,4,20,27,38,40,8,8,0,149,0,0,20,63,56,47,14,3,0,209,5,50,69,286,188,151,71,31,3,853,38,98,104,221,105,83,53,35,20,746,1299,3003,3157,6002,3821,2990,1652,812,271,23003,0,0,3,55,21,28,10,0,0,120,2461,5058,3834,5459,2610,1855,1146,504,155,23075,0,0,0,16,0,0,0,0,0,18,0,0,0,11,8,4,4,5,0,34,0,0,4,46,10,5,0,0,0,68,0,4,0,12,13,12,7,0,0,49,0,17,15,39,24,21,4,6,0,116,0,0,3,11,9,19,4,4,7,47,0,16,15,110,38,29,21,8,0,235,0,0,0,4,9,5,10,7,0,42,0,4,15,34,18,17,11,4,0,104,21,374,1063,1771,1925,1835,858,484,158,8486,0,0,7,5,3,4,0,0,0,15,0,4,0,20,6,3,4,11,0,56
