SED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED50106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,5,64,88,235,127,44,28,6,0,608,0,0,0,5,8,0,4,10,4,41,0,0,0,0,0,3,0,0,0,5,0,5,7,19,25,74,53,53,21,264,0,0,0,8,12,4,3,6,0,34,0,40,59,119,108,78,40,20,7,458,3,0,4,5,5,0,9,8,0,32,0,0,0,9,0,0,0,0,0,17,0,39,42,39,15,8,5,0,0,146,0,0,0,6,0,0,0,0,0,6,0,3,8,23,16,34,32,13,4,148,0,3,3,23,12,3,0,0,0,38,0,0,0,11,13,21,20,9,3,78,0,0,10,27,18,21,21,3,0,106,3,22,32,139,61,91,96,62,19,523,53,193,185,479,276,316,298,182,102,2079,1932,4864,4134,8379,4976,5440,4990,2890,1164,38763
SED50202,0,23,11,76,10,11,8,5,0,144,0,14,19,26,10,4,3,0,0,69,6,156,257,473,257,107,56,11,0,1327,0,5,0,20,3,8,10,3,6,54,0,4,7,11,7,3,4,5,0,39,0,0,9,67,36,86,93,61,27,380,0,7,29,72,30,40,33,7,3,220,6,17,59,183,104,65,40,18,4,485,0,20,35,153,51,24,11,4,0,293,0,0,0,27,0,5,0,0,0,41,0,72,124,117,38,20,11,0,0,386,0,6,0,4,0,3,0,3,0,20,0,6,4,27,27,16,23,7,0,127,0,3,5,42,15,14,3,0,0,82,0,3,0,8,16,28,26,16,4,99,0,16,48,116,75,21,17,5,0,301,3,105,184,683,220,200,105,62,22,1581,232,484,448,1055,419,337,220,184,112,3490,3809,7314,6266,15029,5896,5439,4225,2173,736,50888
SED50304,6,6,21,156,8,9,4,0,0,216,0,0,0,11,3,0,4,0,0,20,0,45,83,210,82,42,30,6,0,510,0,0,3,45,28,37,48,16,9,184,0,0,0,3,0,0,0,0,0,9,0,9,11,82,40,47,52,35,14,277,7,0,7,99,44,37,37,3,3,242,0,6,61,238,95,63,47,19,4,534,5,9,14,95,18,13,14,5,0,170,3,0,0,105,19,8,3,4,0,137,4,22,25,93,28,16,8,0,0,194,0,0,5,22,8,7,0,0,0,41,0,6,25,79,20,15,12,0,0,158,0,17,34,211,161,126,86,14,11,665,0,0,6,25,4,13,8,9,0,66,0,0,13,100,21,18,15,0,0,166,21,225,307,1748,351,243,165,112,42,3216,93,171,220,866,286,238,178,137,76,2263,2756,4174,4441,16414,5369,4706,3832,2460,1145,45295
SED50405,0,7,5,48,4,0,4,0,0,77,0,3,6,24,11,3,0,0,0,43,8,204,386,686,398,111,42,7,0,1842,0,0,3,24,15,7,12,0,0,62,0,0,0,14,6,6,0,0,0,26,0,29,52,185,136,138,82,60,10,685,0,13,23,79,37,30,20,3,0,201,7,101,216,496,335,152,56,20,3,1385,0,3,0,57,4,6,5,4,0,80,0,0,0,28,0,0,0,0,0,31,3,14,10,91,20,10,4,0,0,160,0,0,0,7,0,0,0,0,0,4,5,19,22,62,18,24,10,6,0,171,0,4,12,52,15,10,6,0,0,101,0,16,31,45,39,33,15,3,0,191,5,36,105,251,128,49,18,0,0,595,7,109,152,665,284,167,103,53,9,1552,188,398,294,1042,369,233,159,115,51,2839,5100,9705,7006,18963,6820,4738,3092,1589,328,57344
SED50502,0,15,18,78,8,13,7,0,0,146,0,4,14,9,17,9,0,0,0,42,4,55,103,283,144,97,47,10,0,759,0,0,4,34,20,31,38,17,13,164,0,0,0,3,0,0,0,0,0,3,0,6,5,58,36,84,80,33,17,318,0,6,14,44,32,43,31,26,4,207,0,7,31,135,69,53,25,23,4,338,0,4,14,70,24,15,36,9,0,169,0,3,6,44,11,5,0,0,0,69,0,23,36,84,37,32,11,0,0,226,0,0,0,12,0,0,0,0,0,15,3,5,17,40,16,9,11,5,0,99,11,40,68,423,292,239,144,42,15,1276,0,0,4,10,8,17,9,4,0,53,0,11,17,44,21,16,6,3,0,112,10,52,134,535,243,223,165,92,30,1479,108,238,222,641,268,237,184,130,54,2076,2648,5459,5011,12274,5627,5430,4042,1982,748,43217
SED50605,0,7,4,35,11,4,0,4,0,73,0,0,0,4,10,3,0,0,0,19,0,39,52,117,46,33,17,7,4,314,0,0,4,28,11,9,23,3,9,86,0,0,0,0,0,0,0,0,0,0,0,15,36,61,70,121,109,61,17,499,0,64,109,272,145,154,160,71,22,1002,0,45,121,181,199,135,99,44,14,833,0,0,18,80,59,44,70,14,8,299,8,11,9,75,25,13,17,0,0,151,4,17,27,59,29,21,13,5,0,176,0,0,0,12,0,5,0,0,0,24,6,40,43,70,29,22,27,6,0,246,0,17,20,60,46,38,21,3,5,207,0,6,3,17,15,20,22,16,7,105,0,0,19,48,55,43,24,13,4,202,11,101,138,434,225,239,202,106,56,1508,35,80,115,328,179,176,169,84,52,1217,1997,5592,5573,10325,5856,5717,5205,2766,1166,44195
SED50702,17,83,74,306,35,8,13,3,0,537,0,7,6,18,10,7,0,0,0,51,6,107,203,534,199,88,39,15,5,1204,0,0,0,30,9,28,34,17,24,147,0,0,3,8,8,3,0,0,0,29,0,0,10,63,46,85,60,57,24,346,0,11,29,186,64,75,76,27,8,470,5,17,45,171,84,73,34,8,0,434,0,8,28,206,30,35,29,8,0,348,0,6,9,187,7,9,0,0,0,212,0,14,28,150,57,19,15,0,0,292,0,0,0,32,15,17,4,4,0,75,0,16,13,62,13,24,14,4,0,151,0,3,40,182,65,47,65,13,5,417,0,0,0,20,12,14,10,10,5,77,3,9,24,109,31,31,9,5,0,224,18,196,220,1178,266,183,117,94,33,2315,136,255,329,1162,396,340,217,167,145,3142,2865,4914,5467,17108,5853,5290,3881,2069,961,48411
SED50805,0,0,0,6,3,0,3,0,0,20,0,0,0,4,17,7,4,0,0,29,0,11,16,50,20,18,13,0,0,133,0,0,0,19,11,15,20,4,3,69,0,0,0,0,0,0,0,0,0,0,0,6,28,83,68,116,90,58,24,470,0,12,14,41,26,29,25,13,3,170,0,12,54,151,107,74,46,21,10,484,0,3,0,14,14,8,0,4,0,42,0,0,0,17,0,0,0,0,0,19,0,16,13,33,23,8,3,0,0,107,0,4,0,6,10,0,0,0,0,16,3,23,22,65,27,31,31,13,3,219,0,0,6,12,15,3,0,0,0,41,0,5,0,29,30,25,25,13,6,137,0,0,11,40,32,37,17,9,0,147,11,59,55,315,161,149,117,102,57,1027,43,131,98,414,225,187,167,157,158,1579,2059,4907,4584,9232,5708,4988,3970,2385,1385,39223
SED50906,3,14,0,41,0,5,4,0,0,75,0,6,5,10,10,9,5,0,0,33,8,74,116,315,157,49,28,3,0,756,0,0,0,10,7,12,17,4,10,64,0,0,0,3,0,0,0,0,0,6,0,9,14,43,47,80,61,34,13,293,0,0,3,22,10,12,10,5,0,56,3,69,131,261,195,146,64,31,5,903,0,4,0,31,8,3,4,0,0,56,0,0,4,82,0,0,0,0,0,88,0,6,13,31,28,14,6,0,0,100,0,0,0,3,0,0,0,0,0,3,0,7,6,26,17,21,23,4,0,115,0,0,4,30,19,5,7,0,0,75,0,0,3,11,16,20,15,10,6,81,0,17,26,75,58,47,35,9,5,265,13,53,38,233,121,121,71,46,14,711,107,243,242,700,344,287,256,146,94,2429,2426,5737,5114,11151,5984,5637,4671,2502,1024,44242
SED51004,0,7,6,39,10,3,0,0,0,67,0,0,0,4,5,4,0,0,0,23,4,28,61,145,86,40,33,3,0,407,0,4,5,55,35,38,42,10,0,192,0,0,0,0,3,3,0,0,0,7,3,63,159,291,260,272,138,64,10,1265,5,15,13,63,40,48,40,8,0,231,18,194,417,711,622,317,106,44,9,2427,6,0,11,17,6,4,12,0,0,47,0,0,0,29,6,3,0,0,0,39,0,8,25,59,27,19,5,0,0,148,0,0,0,3,4,0,0,0,0,11,4,19,25,55,28,27,19,10,4,186,0,9,12,62,34,21,9,0,0,146,3,19,43,68,83,63,29,18,3,320,0,4,34,123,99,95,33,8,0,395,14,83,136,493,315,318,144,65,18,1569,81,210,214,543,290,227,106,62,31,1769,2641,6357,6468,11664,7314,5981,3227,1489,447,45594
SED51104,0,3,11,33,4,3,0,0,0,54,0,3,9,4,10,6,7,0,0,38,5,51,125,255,123,51,18,5,0,633,0,0,0,26,19,27,35,3,6,127,0,0,0,0,3,4,3,0,0,15,3,88,156,328,251,159,114,67,30,1193,0,11,9,45,33,26,12,5,0,138,22,193,347,772,507,201,123,44,3,2213,0,0,0,17,4,4,0,4,0,34,5,4,0,25,0,3,0,0,0,32,0,19,22,83,19,13,7,0,0,157,0,3,0,3,7,0,0,0,0,13,0,11,17,52,27,27,14,10,0,156,0,4,13,49,16,15,3,0,0,99,0,18,58,112,70,47,38,17,16,361,6,14,52,224,108,91,26,11,0,528,5,88,245,681,284,206,156,82,26,1778,161,353,336,956,458,278,133,144,44,2864,4484,8953,7177,16793,7549,5095,3526,2133,769,56481
SED51205,17,58,80,422,42,18,11,4,0,638,0,0,5,5,13,4,0,0,0,32,11,154,323,709,314,181,60,11,3,1758,0,0,0,15,15,22,32,7,4,99,0,0,0,5,4,5,4,0,0,22,0,0,8,44,29,64,53,52,14,262,0,26,75,223,82,100,104,51,8,675,5,6,54,122,63,41,46,12,9,362,7,37,52,290,94,43,30,17,4,567,5,4,5,205,7,3,6,0,0,235,0,25,65,114,47,29,16,12,0,307,5,8,14,91,73,39,13,8,0,252,0,17,20,45,8,23,9,8,0,132,5,10,57,148,59,63,47,18,5,416,0,0,3,14,12,8,11,9,0,59,0,11,30,58,31,31,12,4,0,167,24,236,326,1194,316,226,165,115,30,2626,151,269,351,1040,301,226,169,125,76,2709,3798,5915,6651,18655,5744,5042,4161,2159,791,52916
SED51304,0,0,0,5,4,4,0,0,0,20,0,0,0,7,16,5,0,0,0,30,0,4,6,32,14,21,20,7,0,105,0,5,3,46,17,23,50,4,9,148,0,0,0,0,0,0,0,0,0,3,0,28,61,88,116,111,126,70,13,619,0,14,17,24,17,25,45,13,9,171,4,93,148,380,253,262,126,50,20,1330,0,0,0,9,4,4,12,7,0,39,0,0,4,10,3,0,8,0,0,25,3,9,5,19,16,8,6,0,0,64,0,0,3,9,4,3,0,0,0,21,5,38,47,75,32,27,27,9,0,255,0,3,8,28,20,14,13,5,0,100,0,9,11,32,42,23,27,13,3,165,0,0,22,60,78,63,49,24,5,296,0,65,71,327,235,165,206,107,29,1202,18,77,59,269,173,138,164,110,47,1066,2247,6289,4574,8858,6014,5158,5630,2866,853,42494
SED51401,0,0,0,19,0,6,0,0,0,25,0,0,0,0,8,0,0,0,0,19,0,44,61,145,74,45,8,4,0,388,0,0,0,5,4,5,7,9,8,29,0,0,0,6,0,0,0,0,0,4,0,0,0,19,16,45,50,24,7,167,0,0,0,3,9,8,6,0,0,33,0,14,17,69,48,58,32,5,0,241,0,0,6,24,0,5,0,0,0,34,0,0,0,9,0,0,0,0,0,8,0,3,8,9,16,4,0,0,0,41,0,0,0,3,0,0,0,0,0,3,0,5,0,22,10,11,13,0,0,72,0,0,4,22,4,10,4,0,0,57,0,0,0,6,0,15,11,6,0,38,0,0,7,27,19,20,8,0,0,88,0,10,16,142,59,76,69,49,17,442,164,457,378,928,629,677,583,367,152,4335,1932,4475,3357,7903,4958,5907,5284,2719,929,37453
SED51504,0,8,3,29,6,4,9,0,0,51,0,0,0,3,10,5,7,0,0,22,0,15,21,82,29,13,4,0,0,167,0,0,0,25,19,25,31,6,9,113,0,0,0,0,3,0,0,0,0,7,0,14,36,68,96,87,45,33,22,416,5,43,34,97,82,39,44,34,3,386,8,52,122,242,210,132,84,45,19,910,0,9,15,63,26,16,21,22,4,174,0,7,10,46,6,8,5,3,0,87,0,12,11,39,19,14,0,0,0,98,0,0,0,3,5,5,3,0,0,13,12,58,47,79,60,38,25,13,10,344,0,9,8,49,47,35,20,3,0,178,0,4,8,19,18,13,18,9,3,95,0,0,3,47,48,47,29,0,0,178,16,284,218,1523,297,235,146,76,45,2855,52,84,90,404,137,126,141,91,78,1203,2247,6412,5356,11415,6408,4926,3777,2471,1345,44359
