SED_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
SED50106,0,7,..,39,0,36,0,42,..,78,5,91,4,91,..,13,0,16,0,16,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,16,0,19,0,19,..,5,0,5,0,5,..,23,0,24,0,24,..,3,0,3,0,3,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,119,6,123,0,123,..,37,3,43,0,43,..,125,7,128,0,132,..,48,0,54,0,54,..,329,17,343,0,347,..,16,0,16,0,16,..,11,0,11,0,11,..,40,4,44,0,44,..,0,0,0,0,0,..,16,0,20,0,20,..,221,63,285,0,288,..,1145,122,1273,4,1274,..,51,9,60,898,960,17495,1203,135,1334,904,19732,34040,..,..,..,..,34040,..,218,3,217,0,219,..,6,4,6,0,6,..,28,0,28,0,28,..,37,11,51,0,51,..,81,17,102,0,102
SED50202,0,26,..,539,58,590,3,599,..,76,14,88,3,90,..,32,6,41,0,39,..,15,8,24,0,24,..,22,9,29,0,29,..,4,0,3,0,3,..,195,22,211,3,220,..,43,18,57,0,57,..,28,0,29,0,26,..,20,0,21,0,21,..,23,8,32,0,32,..,30,0,32,0,32,..,11,0,11,0,11,..,218,14,237,0,236,..,114,5,127,3,129,..,337,26,363,0,363,..,148,17,163,0,163,..,820,62,885,4,887,..,75,7,83,0,81,..,215,37,251,4,257,..,102,17,120,0,120,..,10,4,11,0,11,..,47,12,60,3,61,..,1246,245,1488,21,1512,..,4116,594,4708,57,4767,..,146,26,172,1540,1712,19245,4257,622,4884,1595,25722,38175,..,..,..,..,38175,..,180,8,189,0,189,..,227,22,251,0,254,..,108,0,108,3,110,..,94,12,106,0,110,..,238,62,296,10,302
SED50304,0,43,..,1231,116,1354,10,1364,..,1061,173,1230,23,1259,..,104,8,112,0,112,..,3,3,13,0,13,..,42,14,60,0,61,..,433,90,526,9,535,..,71,3,76,0,76,..,141,29,172,0,172,..,87,9,97,0,99,..,155,22,180,4,181,..,57,8,65,0,65,..,0,0,0,0,0,..,140,16,158,0,158,..,88,0,88,0,88,..,90,14,96,0,100,..,133,3,144,0,144,..,53,0,58,0,58,..,374,21,389,4,393,..,201,17,222,0,223,..,35,3,43,0,43,..,91,18,108,0,108,..,24,0,31,0,29,..,309,121,437,0,438,..,1209,151,1355,18,1373,..,7266,1207,8474,102,8577,..,153,23,171,976,1151,13712,7422,1228,8648,1078,23438,26621,..,..,..,..,26621,..,101,0,101,0,101,..,363,88,450,7,457,..,19,0,20,0,20,..,483,144,627,8,628,..,891,268,1163,11,1174
SED50405,0,22,..,701,85,784,21,798,..,46,5,51,0,51,..,61,3,65,0,65,..,8,0,6,0,6,..,41,12,56,0,54,..,3,0,3,0,3,..,106,4,114,0,115,..,22,4,26,0,26,..,34,3,35,0,35,..,56,8,63,0,63,..,48,0,46,0,46,..,21,0,24,0,24,..,58,5,58,0,58,..,320,9,328,6,336,..,86,5,89,0,89,..,520,27,540,4,549,..,123,6,127,0,133,..,1045,44,1087,12,1100,..,128,10,141,3,146,..,85,4,87,0,87,..,113,12,133,0,133,..,8,3,13,0,10,..,52,20,66,3,74,..,950,82,1033,22,1056,..,4338,383,4724,61,4787,..,133,11,142,1155,1298,23259,4466,399,4865,1221,29342,45389,..,..,..,..,45389,..,568,14,576,6,584,..,133,15,148,0,149,..,70,0,70,0,70,..,88,27,113,0,117,..,280,72,348,4,352
SED50502,0,28,..,517,65,581,7,585,..,242,41,287,8,287,..,59,5,61,0,67,..,22,14,41,0,42,..,32,9,42,0,46,..,31,3,38,0,38,..,50,5,54,0,53,..,79,26,110,0,109,..,74,15,91,0,91,..,44,5,43,0,43,..,30,4,36,0,36,..,4,0,4,0,4,..,129,25,153,0,153,..,128,7,135,3,135,..,67,0,72,0,72,..,202,11,211,0,208,..,50,11,60,0,60,..,448,27,472,6,477,..,52,6,64,0,64,..,66,8,72,0,76,..,92,18,108,0,108,..,9,0,11,0,11,..,537,358,899,5,902,..,950,233,1182,19,1200,..,4501,1155,5657,52,5712,..,130,32,161,880,1039,14921,4632,1183,5820,931,21674,30017,..,..,..,..,30017,..,64,0,68,0,69,..,541,77,619,8,624,..,59,0,64,0,64,..,361,164,530,0,530,..,528,184,714,0,710
SED50605,0,23,..,400,20,418,4,419,..,220,8,224,0,224,..,96,10,111,0,111,..,13,0,9,0,9,..,134,53,189,0,187,..,13,0,13,0,13,..,75,0,74,0,74,..,234,17,251,3,254,..,45,4,49,0,55,..,50,3,59,0,59,..,44,5,53,0,53,..,4,0,4,0,4,..,43,3,47,0,47,..,63,0,62,0,61,..,579,82,664,4,667,..,52,4,55,0,55,..,78,5,85,0,87,..,774,95,868,5,876,..,140,6,148,3,149,..,121,6,125,0,124,..,75,13,85,0,91,..,14,0,15,0,15,..,99,18,114,0,117,..,336,23,361,5,366,..,5364,696,6064,44,6108,..,113,9,120,505,624,15967,5476,706,6183,547,22696,31552,..,..,..,..,31552,..,142,0,143,0,143,..,251,10,264,0,266,..,9,0,9,0,9,..,1085,191,1281,3,1282,..,2357,406,2762,21,2780
SED50702,0,29,..,1015,111,1120,16,1134,..,233,27,261,0,268,..,81,17,98,0,94,..,15,4,20,0,18,..,121,43,161,0,161,..,20,0,23,0,23,..,77,6,82,0,84,..,74,22,96,0,95,..,75,11,81,0,81,..,85,5,91,0,96,..,51,6,47,0,47,..,17,0,17,0,17,..,28,0,31,0,32,..,242,3,241,5,247,..,190,18,206,3,210,..,320,7,331,4,332,..,165,9,173,0,173,..,914,37,945,9,955,..,154,21,175,5,175,..,50,0,52,0,51,..,145,38,185,0,182,..,37,15,54,0,54,..,223,60,288,0,288,..,989,162,1149,28,1180,..,6133,1009,7140,93,7234,..,146,22,162,1396,1561,15114,6275,1028,7303,1491,23909,30948,..,..,..,..,30948,..,102,0,102,0,100,..,686,79,767,10,774,..,65,3,64,0,68,..,597,135,733,7,742,..,1418,493,1916,18,1934
SED50805,0,5,..,77,4,82,0,82,..,311,54,364,3,368,..,33,0,37,0,37,..,6,0,6,0,6,..,28,11,37,0,41,..,4,0,4,0,4,..,18,0,12,0,12,..,42,7,50,0,50,..,41,4,42,0,42,..,100,5,102,6,105,..,43,7,50,0,50,..,0,0,0,0,0,..,25,0,25,0,25,..,17,0,21,0,21,..,93,7,99,0,99,..,31,0,31,0,31,..,19,0,19,0,19,..,167,7,174,0,174,..,131,10,145,0,144,..,15,0,18,0,18,..,56,3,60,0,60,..,11,0,11,0,11,..,20,7,19,0,19,..,249,21,268,3,271,..,1970,184,2152,16,2165,..,62,4,65,708,773,17856,2031,185,2218,729,20794,33867,..,..,..,..,33867,..,65,0,65,0,65,..,72,4,78,3,77,..,11,0,11,0,11,..,109,22,137,0,131,..,207,34,243,0,241
SED50906,0,3,..,181,14,193,0,196,..,151,30,179,3,178,..,19,0,27,0,21,..,0,0,0,0,0,..,22,8,27,0,27,..,3,0,3,0,3,..,73,6,85,0,85,..,11,3,14,0,14,..,32,5,36,0,36,..,30,0,27,0,27,..,46,11,57,0,57,..,0,0,0,0,0,..,7,0,7,0,7,..,134,0,139,5,143,..,43,6,44,0,44,..,188,4,189,0,189,..,64,4,65,0,65,..,419,17,439,5,445,..,54,0,54,0,54,..,16,0,16,0,16,..,50,4,54,0,54,..,0,0,0,0,0,..,35,26,58,0,60,..,311,27,339,8,349,..,2030,224,2254,26,2278,..,73,5,74,1068,1148,19141,2106,228,2334,1094,22567,37050,..,..,..,..,37050,..,427,5,432,4,434,..,119,3,125,0,126,..,65,3,66,0,66,..,60,14,79,3,79,..,217,87,299,4,304
SED51004,0,4,..,288,29,313,3,319,..,82,4,89,0,87,..,49,8,56,0,56,..,19,12,37,0,35,..,16,6,22,0,22,..,18,0,22,0,19,..,4,0,6,0,6,..,70,14,82,0,87,..,101,6,106,0,107,..,74,10,81,0,81,..,53,3,55,0,55,..,0,0,0,0,0,..,28,3,28,0,28,..,80,0,81,0,81,..,52,7,59,0,64,..,92,0,92,0,92,..,74,8,85,0,85,..,300,11,308,0,316,..,136,19,153,3,157,..,16,0,16,0,17,..,70,13,91,0,91,..,6,0,6,0,6,..,75,29,102,0,102,..,445,61,511,6,523,..,2935,326,3263,32,3293,..,110,20,129,703,832,18881,3047,352,3398,728,23003,37548,..,..,..,..,37548,..,1034,10,1043,3,1045,..,281,27,306,0,306,..,24,0,24,0,24,..,126,36,166,0,169,..,308,77,389,5,392
