SED_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED50106,9860,10291,20155,1603,1793,3399,81,95,176,58,77,137,80,67,147,28,38,60,4246,4754,8998,13,23,38,33,38,68,11,13,24,0,0,0,4554,5095,9655,363,369,730,133,136,273,6652,7398,14052,1536,1094,2625,18049,18783,36831
SED50202,12634,12762,25400,1173,1316,2488,109,130,242,114,124,239,111,107,218,55,51,108,6202,6687,12889,22,30,57,40,29,67,7,14,22,0,3,3,6667,7177,13842,586,756,1341,241,199,440,8666,9444,18106,1915,1660,3573,23213,23865,47074
SED50304,10362,11477,21842,891,890,1783,98,115,216,98,145,241,84,88,173,38,34,70,5784,6139,11921,9,18,28,23,34,55,17,8,31,0,0,0,6158,6579,12736,1654,1896,3545,149,135,285,8849,9506,18353,1223,1118,2338,20437,22092,42536
SED50405,13059,13571,26631,1772,1983,3759,299,317,621,229,235,467,217,243,466,98,86,185,6766,7603,14373,38,38,78,83,96,181,17,25,37,0,0,0,7755,8647,16402,917,1157,2077,233,244,472,10680,12032,22710,1641,1269,2909,25379,26872,52247
SED50502,12512,12760,25272,962,1018,1976,58,58,126,84,77,156,80,76,154,27,31,64,4419,4482,8904,7,8,15,18,18,40,5,3,12,3,0,4,4704,4764,9474,648,768,1421,152,115,264,6466,6667,13136,1194,976,2166,20173,20405,40574
SED50605,11602,12451,24054,1202,1214,2418,154,160,319,128,152,284,75,96,173,38,45,79,5101,5449,10548,14,14,24,27,20,46,18,17,41,3,3,3,5572,5952,11522,1328,1414,2741,109,99,201,8201,8683,16881,672,592,1261,20474,21719,42192
SED50702,10754,10608,21362,992,1041,2029,224,194,420,158,137,297,169,164,339,84,95,179,6729,6542,13267,24,34,58,67,62,124,21,21,48,3,0,0,7474,7264,14731,1767,1856,3614,269,207,470,10495,10358,20855,1822,1514,3336,23067,22481,45546
SED50805,9959,11121,21084,1098,1253,2353,169,189,355,149,186,342,85,98,185,34,31,65,4275,5113,9389,13,16,26,23,30,50,13,16,26,0,0,0,4758,5683,10441,592,695,1284,127,162,289,6570,7794,14366,848,871,1722,17382,19779,37165
SED50906,10760,11411,22172,1422,1525,2943,104,104,209,103,110,213,127,132,258,50,43,96,5043,5774,10817,38,43,79,85,87,178,9,7,17,0,0,0,5569,6299,11862,580,701,1285,188,185,373,7759,8709,16465,1927,1244,3174,20448,21365,41815
SED51004,12375,12563,24939,1367,1343,2711,194,191,383,123,134,264,133,144,273,29,34,60,4777,5164,9939,9,23,35,47,41,82,12,12,22,0,0,4,5319,5740,11060,961,1083,2045,156,156,314,7803,8330,16132,1073,813,1886,21252,21709,42958
