SED_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED50106,3428,2744,1346,498,18875
SED50202,2921,1971,970,297,22322
SED50304,2814,1860,942,382,25322
SED50405,2782,1472,750,149,26603
SED50502,3021,1977,849,233,20486
SED50605,4343,3597,1658,554,26006
SED50702,3150,2027,938,383,26525
SED50805,3823,2689,1399,728,22829
SED50906,3458,2458,1111,407,21405
SED51004,4028,1764,698,211,23201
SED51104,3135,1811,1005,359,26139
SED51205,2874,2095,974,304,27790
SED51304,3904,3737,1700,415,23858
SED51401,3044,2474,1124,352,16520
SED51504,4042,2741,1603,743,26528
SED51605,3058,1618,630,174,24273
SED51706,3615,2632,1166,359,20857
SED51804,4794,3884,2389,1018,27561
SED51902,3457,2166,886,194,22600
SED52006,3858,3543,1876,492,20705
SED52102,2725,1790,801,254,19533
SED52205,4185,2891,1166,439,25802
SED52301,2945,1890,880,370,18164
SED52404,3886,2825,993,232,22599
SED52505,3629,2181,650,148,29578
SED52604,4350,2619,955,336,22633
SED52702,4047,3397,1831,574,21644
SED52803,2517,1150,368,100,17505
SED52903,2335,1123,291,60,16135
SED53004,3605,2928,1146,384,21908
SED53105,2469,1407,539,200,22774
SED53204,2801,1522,586,194,22642
SED53306,3258,2660,1695,746,21293
SED53402,3268,2196,923,345,25670
SED53502,3329,2285,1194,541,22964
SED53602,2475,1730,839,278,20111
SED53701,3587,2956,1270,263,17872
SED53802,2904,2179,1155,329,23247
SED53902,3426,2450,1381,683,24757
SED54006,3484,2674,1237,383,19751
SED54104,4374,3801,2091,720,30539
SED54203,1702,913,307,55,11600
SED54304,4034,2334,838,274,36702
SED54403,2946,720,145,18,24996
SED54505,3840,3176,1576,485,25120
SED54605,3621,2593,1487,570,20327
SED54701,2763,1904,1020,302,16454
SED54804,3404,2296,1329,614,27671
SED54905,3956,3175,1536,742,26861
SED55005,2834,1732,695,229,23683
SED55102,3317,1943,708,116,22401
SED55202,2820,2095,1150,448,21849
SED55306,3835,3274,1576,452,22551
SED55405,2955,1927,1020,661,29606
SED55504,3114,1907,874,284,23369
SED55605,3472,1561,690,208,22729
SED55706,4326,3738,1573,425,22276
SED55802,3048,1531,706,221,24415
SED55905,3161,2130,1171,561,21136
SED59494,876,505,105,20,5668
SED59797,48,15,0,0,428
