SED_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
SED50106,0,5,0,0,0,0,0,0,0,5,10,42,0,0,0,0,0,3,0,56,32,104,9,13,4,5,0,0,0,172,0,6,0,0,0,0,0,0,0,6,15,76,5,7,0,0,0,11,0,103,12,12,0,5,3,0,0,0,0,31,167,502,61,52,31,16,28,36,8,907,0,4,0,0,0,0,0,0,0,3,82,89,43,41,22,20,29,15,4,333,98,93,90,61,20,21,24,48,5,455,370,114,1467,234,67,133,357,331,39,3113,16,14,39,25,7,37,32,45,4,218,26,8,19,15,7,11,16,24,4,129,14,9,4,7,0,0,0,0,4,45,19,7,25,21,3,8,17,32,10,145,858,1070,1764,474,165,255,510,550,81,5714,8,19,0,0,0,0,0,0,0,29,9,30,5,0,0,0,0,0,0,42,27,180,7,13,19,0,3,9,0,258,3,9,0,0,0,0,0,0,0,13
SED50202,0,4,0,0,0,0,3,0,0,3,3,36,0,3,0,0,4,0,0,54,56,93,24,21,22,13,21,6,0,258,0,7,0,0,4,0,5,0,0,16,11,48,7,4,3,0,0,0,0,81,0,15,3,3,6,0,0,0,0,28,120,420,137,86,88,40,97,63,8,1068,0,0,0,0,0,0,0,0,0,4,54,74,89,32,23,20,42,22,8,350,63,96,185,93,61,21,109,56,12,708,257,126,1763,224,151,115,607,399,70,3703,9,6,54,17,9,35,46,68,0,247,12,11,25,19,6,7,31,22,6,145,9,6,23,4,5,6,22,19,4,88,13,10,30,11,8,16,46,33,39,207,615,941,2349,524,386,276,1039,692,153,6960,0,8,0,0,4,0,0,0,0,10,0,25,4,0,3,0,0,0,0,29,23,144,17,47,50,17,3,11,0,319,0,10,0,0,5,0,5,0,0,15
SED50304,5,10,0,0,0,0,0,0,0,14,19,102,3,0,0,0,3,0,4,131,174,514,50,60,55,55,75,95,14,1097,4,18,0,0,7,0,0,4,0,32,35,134,4,4,14,4,3,13,0,213,23,17,5,3,0,0,5,0,0,50,460,1407,265,188,222,172,184,198,26,3129,0,0,0,4,0,0,0,0,0,12,103,101,112,33,38,25,55,37,8,519,154,146,259,90,69,59,80,77,14,945,233,121,1236,144,117,95,246,251,51,2499,11,4,26,29,11,16,20,19,0,131,18,6,26,12,9,13,11,25,0,133,21,19,21,5,9,10,14,16,3,116,17,32,46,20,9,4,16,33,26,204,1264,2628,2059,606,569,456,718,760,159,9231,0,15,4,0,7,0,0,0,0,21,0,99,4,3,7,0,0,0,0,123,130,519,23,127,127,55,6,71,10,1071,6,26,0,10,3,5,0,6,0,50
SED50405,0,9,0,0,0,0,0,0,0,8,3,38,5,0,3,0,0,0,0,48,105,185,32,19,33,16,28,8,9,441,0,9,0,0,5,0,0,3,0,27,16,48,4,8,6,6,3,0,0,96,9,33,8,9,5,0,0,0,0,66,237,661,192,113,117,49,126,77,20,1592,0,0,3,0,0,3,0,0,0,9,85,90,114,62,39,11,48,23,9,486,196,158,246,139,70,39,90,55,11,1008,433,218,2723,314,193,125,657,404,87,5146,14,14,55,36,11,23,56,76,0,282,21,17,63,30,10,13,52,33,0,233,13,16,26,6,8,3,13,6,0,100,25,21,43,15,11,13,30,31,27,218,1164,1506,3509,758,509,301,1110,721,164,9748,0,23,0,5,3,0,0,0,0,28,0,34,0,0,0,0,0,0,0,41,60,230,20,52,55,26,8,16,3,453,0,18,0,0,0,0,0,6,0,27
SED50502,0,5,0,0,0,0,0,0,0,12,8,44,0,0,3,0,0,0,0,56,99,246,33,17,35,15,22,18,6,480,0,12,0,0,4,0,0,0,0,12,19,101,0,9,7,0,7,3,0,155,10,25,0,0,3,0,0,0,0,45,265,840,148,112,143,69,88,96,23,1785,0,0,0,0,0,0,0,0,0,7,47,81,88,36,28,20,33,27,3,367,117,113,172,82,56,47,66,51,10,711,223,146,1519,181,162,119,336,280,48,3016,13,9,35,15,19,29,32,45,0,187,13,12,26,22,8,15,25,14,0,142,7,17,14,5,13,0,10,8,0,87,20,17,29,11,7,10,31,23,20,169,848,1662,2068,506,477,324,656,569,116,7218,0,8,0,0,0,0,0,0,0,12,10,63,5,0,0,0,0,0,0,77,79,310,15,40,55,24,7,10,10,536,0,18,0,3,5,0,0,0,0,29
SED50605,5,14,0,0,0,4,0,0,0,24,54,319,10,0,3,0,4,4,0,388,354,624,44,25,71,21,16,25,11,1202,17,13,3,0,0,0,0,0,0,40,79,168,7,16,23,7,0,8,0,307,17,32,3,3,11,0,0,4,0,66,904,1956,199,122,262,150,86,95,39,3815,0,0,3,0,0,0,0,0,0,13,124,129,76,42,41,36,17,22,12,499,120,111,125,41,51,52,37,16,7,561,252,113,760,90,95,90,104,109,24,1631,10,10,22,13,4,14,8,21,0,111,22,29,33,11,8,9,10,10,0,132,26,28,11,12,4,5,5,4,8,101,16,34,16,3,4,12,8,15,25,142,2002,3588,1314,379,580,402,287,334,134,9032,6,32,0,0,0,5,0,0,0,42,29,222,3,0,10,0,0,0,4,261,178,607,19,49,136,31,3,14,8,1031,7,43,0,4,0,0,0,0,0,56
SED50702,0,6,0,0,0,0,0,0,0,9,10,112,0,0,7,0,5,0,0,129,144,460,59,44,64,48,52,30,8,911,0,10,0,0,0,0,0,0,5,22,34,93,13,8,11,0,10,5,3,176,18,22,7,10,6,0,0,0,0,59,456,1257,280,167,191,117,170,149,24,2810,0,0,8,0,0,6,0,0,0,14,107,95,136,52,37,14,64,29,6,554,171,142,270,94,78,52,112,71,12,1005,269,166,1622,184,157,108,371,277,59,3215,12,11,28,32,8,21,42,48,7,212,30,9,20,18,19,14,38,16,0,169,21,26,32,7,3,0,20,17,3,128,19,23,44,14,15,6,27,39,51,245,1291,2434,2534,635,592,384,908,682,176,9640,3,19,0,3,0,6,0,0,0,29,5,74,0,4,3,0,0,3,0,93,97,427,25,76,110,36,7,20,16,820,11,19,0,0,0,0,0,0,0,29
SED50805,3,13,0,0,0,0,0,0,0,13,35,167,0,0,0,0,0,0,0,212,274,376,14,23,43,12,3,10,8,761,11,18,0,0,0,0,0,0,4,32,78,148,4,12,9,7,4,11,0,269,19,34,6,4,4,4,0,3,3,73,706,1478,134,112,171,93,51,62,21,2831,3,0,0,0,0,0,0,0,0,8,119,114,74,19,33,26,16,18,3,429,159,118,106,46,38,42,20,34,5,581,347,116,920,123,91,80,102,154,22,1950,11,5,16,17,6,19,8,26,0,114,31,18,18,15,5,18,13,15,3,144,23,26,10,6,4,4,3,7,0,74,18,24,26,11,9,8,9,9,13,129,1844,2662,1335,386,421,317,231,350,77,7633,3,30,0,4,9,0,0,0,0,44,21,170,0,6,13,0,0,0,0,200,157,548,10,30,64,8,0,0,6,824,8,31,0,4,0,0,0,0,0,39
SED50906,0,6,0,0,0,0,0,0,0,5,7,57,0,0,3,0,0,0,0,76,65,170,17,7,12,0,8,8,0,292,0,3,0,0,0,0,0,0,0,6,18,73,6,7,4,8,5,3,0,120,17,20,6,0,0,0,0,0,0,39,187,631,106,68,58,31,55,61,7,1216,0,0,0,0,0,0,0,0,0,0,80,58,73,19,15,15,29,12,5,301,98,111,144,44,31,28,47,36,4,550,280,143,1869,177,120,108,509,393,69,3650,11,7,55,20,6,22,43,55,0,229,19,10,32,11,3,19,24,28,0,141,11,20,10,3,0,0,16,11,0,77,21,12,34,7,4,10,32,27,26,172,808,1331,2351,369,263,243,769,637,116,6878,3,13,0,0,0,0,0,0,0,22,10,41,0,0,0,0,0,0,0,55,35,179,4,20,29,5,0,7,0,283,0,11,0,0,0,0,0,0,0,17
SED51004,3,11,0,0,3,0,0,0,0,17,6,59,0,0,5,0,0,0,0,72,132,240,12,15,24,19,10,9,6,466,10,13,0,0,0,0,0,0,0,23,26,86,6,10,8,4,0,0,3,137,21,8,4,8,6,3,5,0,0,53,384,762,149,139,147,64,60,58,19,1780,0,4,4,0,0,0,0,0,0,10,127,139,121,62,54,25,27,30,5,587,175,150,178,112,55,42,46,47,10,816,420,172,2176,203,185,125,366,373,81,4105,5,7,34,26,16,31,26,51,3,211,31,21,35,17,18,9,24,26,3,192,24,19,19,11,3,8,15,8,0,111,21,18,37,13,14,9,17,16,22,169,1389,1714,2782,612,529,342,606,615,153,8744,6,24,0,5,0,0,0,0,0,26,11,52,0,0,0,0,0,0,0,66,52,270,15,37,50,22,0,8,0,458,3,15,0,3,0,0,0,0,0,24
